,CRD/B US Equity,CRD/B US Equity,CRD/B US Equity,CRD/B US Equity,CRD/B US Equity
2020-03-15,5.6857,5.8723,5.4458,5.8545,15831.0
2020-03-16,5.4103,5.7923,5.1971,5.7745,17051.0
2020-03-17,5.7923,5.8989,5.5969,5.7212,19026.0
2020-03-18,5.4814,5.4814,5.206,5.357,4641.0
2020-03-19,5.4814,5.4814,4.975,4.975,33287.0
2020-03-20,5.1527,5.4458,5.1527,5.2948,32939.0
2020-03-21,5.1527,5.4458,5.1527,5.2948,32939.0
2020-03-22,5.1527,5.4458,5.1527,5.2948,32939.0
2020-03-23,5.1882,5.6235,5.1882,5.6235,12526.0
2020-03-24,5.7745,5.9433,5.6324,5.8569,10818.0
2020-03-25,5.8811,5.9344,5.6324,5.6324,20521.0
2020-03-26,5.588,5.8012,5.5613,5.6235,3929.0
2020-03-27,5.3303,5.6235,5.3303,5.3925,11530.0
2020-03-28,5.3303,5.6235,5.3303,5.3925,11530.0
2020-03-29,5.3303,5.6235,5.3303,5.3925,11530.0
2020-03-30,5.6235,5.6857,5.437,5.5347,9677.0
2020-03-31,5.4192,5.7212,5.4192,5.6768,9534.0
2020-04-01,5.3392,5.3748,5.206,5.235,9563.0
2020-04-02,5.1082,5.2859,4.975,5.0727,22039.0
2020-04-03,4.975,5.3037,4.6996,5.3037,27233.0
2020-04-04,4.975,5.3037,4.6996,5.3037,27233.0
2020-04-05,4.975,5.3037,4.6996,5.3037,27233.0
2020-04-06,5.3303,5.9078,5.3303,5.7124,7663.0
2020-04-07,5.89,5.9789,5.7301,5.819,7702.0
2020-04-08,5.8723,6.1832,5.8501,6.0411,14551.0
2020-04-09,6.0188,6.2898,6.0188,6.201,12078.0
2020-04-10,6.0188,6.2898,6.0188,6.201,12078.0
2020-04-11,6.0188,6.2898,6.0188,6.201,12078.0
2020-04-12,6.0188,6.2898,6.0188,6.201,12078.0
2020-04-13,6.352,6.352,5.8101,5.9522,10011.0
2020-04-14,5.8723,6.0944,5.8723,6.0677,4094.0
2020-04-15,6.0855,6.0855,5.6413,5.7124,4209.0
2020-04-16,5.5791,5.5791,5.1527,5.3303,6003.0
2020-04-17,5.6857,5.8811,5.5977,5.5977,2182.0
2020-04-18,5.6857,5.8811,5.5977,5.5977,2182.0
2020-04-19,5.6857,5.8811,5.5977,5.5977,2182.0
2020-04-20,5.4725,5.6213,5.4547,5.4814,10970.0
2020-04-21,5.4903,5.5258,5.3836,5.3836,1357.0
2020-04-22,5.4263,5.437,5.3392,5.4014,2017.0
2020-04-23,5.5613,5.5613,5.3303,5.3392,8451.0
2020-04-24,5.2304,5.8456,5.2304,5.8145,13666.0
2020-04-25,5.2304,5.8456,5.2304,5.8145,13666.0
2020-04-26,5.2304,5.8456,5.2304,5.8145,13666.0
2020-04-27,5.7035,6.2809,5.7035,6.1832,2945.0
2020-04-28,6.1921,6.2987,6.1477,6.1477,6115.0
2020-04-29,6.4004,6.5405,6.3076,6.4853,4563.0
2020-04-30,5.8989,6.0677,5.8634,5.8634,5795.0
2020-05-01,5.8634,5.8634,5.1704,5.3481,5346.0
2020-05-02,5.8634,5.8634,5.1704,5.3481,5346.0
2020-05-03,5.8634,5.8634,5.1704,5.3481,5346.0
2020-05-04,5.2149,5.4903,5.2149,5.437,7209.0
2020-05-05,5.2859,5.6057,5.2859,5.437,12324.0
2020-05-06,5.3215,5.4903,5.1527,5.1527,7125.0
2020-05-07,5.1527,5.2859,4.8639,4.895,11926.0
2020-05-08,4.9039,5.1349,4.8773,4.8773,10170.0
2020-05-09,4.9039,5.1349,4.8773,4.8773,10170.0
2020-05-10,4.9039,5.1349,4.8773,4.8773,10170.0
2020-05-11,4.975,5.2149,4.9128,4.9839,19488.0
2020-05-12,4.9839,5.1971,4.7707,4.7707,3222.0
2020-05-13,4.8417,4.8506,4.513,4.5397,10030.0
2020-05-14,4.4591,4.5308,4.3975,4.4864,7084.0
2020-05-15,4.5397,4.6107,4.4686,4.5041,3304.0
2020-05-16,4.5397,4.6107,4.4686,4.5041,3304.0
2020-05-17,4.5397,4.6107,4.4686,4.5041,3304.0
2020-05-18,4.5308,5.0016,4.5308,4.8062,7500.0
2020-05-19,4.6374,4.6374,4.4242,4.5308,16411.0
2020-05-20,4.4775,4.7351,4.4775,4.7351,3914.0
2020-05-21,4.7973,5.0905,4.7973,5.0638,122555.0
2020-05-22,4.9839,5.0016,4.8151,5.0016,14438.0
2020-05-23,4.9839,5.0016,4.8151,5.0016,14438.0
2020-05-24,4.9839,5.0016,4.8151,5.0016,14438.0
2020-05-25,4.9839,5.0016,4.8151,5.0016,14438.0
2020-05-26,5.2593,5.3481,5.2237,5.3481,17355.0
2020-05-27,5.3836,5.6146,5.3836,5.5702,817.0
2020-05-28,5.6146,5.6146,5.4814,5.4814,12272.0
2020-05-29,5.4814,5.4814,4.9928,5.0994,33648.0
2020-05-30,5.4814,5.4814,4.9928,5.0994,33648.0
2020-05-31,5.4814,5.4814,4.9928,5.0994,33648.0
2020-06-01,5.0458,5.3137,5.0458,5.2958,43302.0
2020-06-02,5.5369,5.5816,5.4607,5.5816,15642.0
2020-06-03,5.5459,5.6486,5.5012,5.5905,14180.0
2020-06-04,5.5816,5.6263,5.4834,5.6263,5700.0
2020-06-05,5.6263,6.564,5.6263,6.5015,16185.0
2020-06-06,5.6263,6.564,5.6263,6.5015,16185.0
2020-06-07,5.6263,6.564,5.6263,6.5015,16185.0
2020-06-08,6.3675,6.4865,6.3675,6.4865,2602.0
2020-06-09,6.3318,6.3318,6.2514,6.2514,5344.0
2020-06-10,6.305,6.305,6.0728,6.1085,2852.0
2020-06-11,5.8138,5.8138,5.7245,5.7245,17641.0
2020-06-12,5.9031,6.0013,5.7602,5.8495,13633.0
2020-06-13,5.9031,6.0013,5.7602,5.8495,13633.0
2020-06-14,5.9031,6.0013,5.7602,5.8495,13633.0
2020-06-15,5.7513,6.5818,5.7424,6.5818,8815.0
2020-06-16,6.5997,6.7872,6.4747,6.5015,3106.0
2020-06-17,6.3675,6.3675,6.1352,6.171,3796.0
2020-06-18,5.9656,6.305,5.9656,6.2514,4129.0
2020-06-19,6.2157,6.2612,6.1666,6.2425,22086.0
2020-06-20,6.2157,6.2612,6.1666,6.2425,22086.0
2020-06-21,6.2157,6.2612,6.1666,6.2425,22086.0
2020-06-22,6.1889,6.2604,6.1889,6.2559,12015.0
2020-06-23,6.3005,6.3764,6.2514,6.2514,46425.0
2020-06-24,6.2246,6.2514,6.0281,6.1353,28930.0
2020-06-25,6.0996,6.2871,6.0996,6.2514,24154.0
2020-06-26,6.1442,6.564,6.0815,6.564,28572.0
2020-06-27,6.1442,6.564,6.0815,6.564,28572.0
2020-06-28,6.1442,6.564,6.0815,6.564,28572.0
2020-06-29,6.4479,6.8364,6.2068,6.2514,13971.0
2020-06-30,6.2514,6.2871,6.2068,6.2782,11768.0
2020-07-01,6.4479,6.4479,6.2961,6.4211,1996.0
2020-07-02,6.4122,6.4122,6.4122,6.4122,522.0
2020-07-03,6.4122,6.4122,6.4122,6.4122,522.0
2020-07-04,6.4122,6.4122,6.4122,6.4122,522.0
2020-07-05,6.4122,6.4122,6.4122,6.4122,522.0
2020-07-06,6.3675,6.3675,6.2246,6.2246,4100.0
2020-07-07,6.1442,6.2246,6.0548,6.1532,13559.0
2020-07-08,6.0996,6.2514,5.9656,6.2514,9115.0
2020-07-09,6.2961,6.2961,6.1532,6.1532,15490.0
2020-07-10,6.0192,6.1764,6.0192,6.0371,6461.0
2020-07-11,6.0192,6.1764,6.0192,6.0371,6461.0
2020-07-12,6.0192,6.1764,6.0192,6.0371,6461.0
2020-07-13,5.9924,6.2143,5.9924,6.0907,6100.0
2020-07-14,6.2157,6.2603,6.1889,6.2246,17363.0
2020-07-15,6.43,6.5729,6.3943,6.3943,5595.0
2020-07-16,6.2871,6.3764,6.2871,6.3675,1198.0
2020-07-17,6.3496,6.4747,6.2603,6.2961,3193.0
2020-07-18,6.3496,6.4747,6.2603,6.2961,3193.0
2020-07-19,6.3496,6.4747,6.2603,6.2961,3193.0
2020-07-20,6.1353,6.2246,5.9478,6.0281,11976.0
2020-07-21,5.9388,6.2603,5.9388,6.1621,5348.0
2020-07-22,6.1621,6.2068,6.1085,6.1085,1425.0
2020-07-23,6.18,6.2871,6.18,6.2514,1905.0
2020-07-24,6.2157,6.2157,6.0426,6.1442,4300.0
2020-07-25,6.2157,6.2157,6.0426,6.1442,4300.0
2020-07-26,6.2157,6.2157,6.0426,6.1442,4300.0
2020-07-27,6.0817,6.0951,6.0281,6.0281,6678.0
2020-07-28,6.0728,6.1621,5.9835,6.0103,5002.0
2020-07-29,5.9835,6.0371,5.8049,5.8317,17729.0
2020-07-30,5.9031,5.9656,5.7066,5.9656,8171.0
2020-07-31,5.8763,5.9478,5.8629,5.9388,9388.0
2020-08-01,5.8763,5.9478,5.8629,5.9388,9388.0
2020-08-02,5.8763,5.9478,5.8629,5.9388,9388.0
2020-08-03,6.0549,6.3496,5.9388,6.1532,22403.0
2020-08-04,6.1085,6.305,5.7602,5.8674,61254.0
2020-08-05,6.0371,6.171,5.9478,5.9746,1508.0
2020-08-06,5.9254,6.3943,5.9254,6.3496,20855.0
2020-08-07,6.2871,6.637,6.2871,6.6086,26673.0
2020-08-08,6.2871,6.637,6.2871,6.6086,26673.0
2020-08-09,6.2871,6.637,6.2871,6.6086,26673.0
2020-08-10,6.6979,7.0552,6.6979,7.0552,4124.0
2020-08-11,7.1891,7.1891,7.1168,7.1623,13864.0
2020-08-12,7.0983,7.1445,6.9748,7.1266,15750.0
2020-08-13,7.1043,7.2224,7.0552,7.198,8343.0
2020-08-14,7.2248,7.2338,7.0998,7.1713,7049.0
2020-08-15,7.2248,7.2338,7.0998,7.1713,7049.0
2020-08-16,7.2248,7.2338,7.0998,7.1713,7049.0
2020-08-17,6.9873,7.0007,6.9199,6.9199,2747.0
2020-08-18,6.7763,6.8481,6.6875,6.7404,7446.0
2020-08-19,7.0905,7.0905,6.7943,6.9917,9275.0
2020-08-20,6.902,6.902,6.6776,6.7135,11134.0
2020-08-21,6.5618,6.7943,6.5609,6.7135,10803.0
2020-08-22,6.5618,6.7943,6.5609,6.7135,10803.0
2020-08-23,6.5618,6.7943,6.5609,6.7135,10803.0
2020-08-24,6.5879,6.7404,6.5879,6.7315,3260.0
2020-08-25,6.7413,6.7413,6.6417,6.6507,7533.0
2020-08-26,6.6507,6.6597,6.4802,6.4802,12556.0
2020-08-27,6.5161,6.5259,6.4613,6.4721,12484.0
2020-08-28,6.4263,6.4263,6.4084,6.4263,15535.0
2020-08-29,6.4263,6.4263,6.4084,6.4263,15535.0
2020-08-30,6.4263,6.4263,6.4084,6.4263,15535.0
2020-08-31,6.4622,6.4802,6.2378,6.2468,21813.0
2020-09-01,6.2378,6.5161,6.2378,6.4622,1998.0
2020-09-02,6.4981,6.5609,6.4508,6.5609,4113.0
2020-09-03,6.534,6.6327,6.4173,6.5071,2982.0
2020-09-04,6.5071,6.7135,6.4353,6.4353,16186.0
2020-09-05,6.5071,6.7135,6.4353,6.4353,16186.0
2020-09-06,6.5071,6.7135,6.4353,6.4353,16186.0
2020-09-07,6.5071,6.7135,6.4353,6.4353,16186.0
2020-09-08,6.3994,6.3994,6.2917,6.2917,3543.0
2020-09-09,6.2558,6.3006,6.1032,6.2109,10983.0
2020-09-10,6.184,6.2288,6.1211,6.2019,8392.0
2020-09-11,6.1481,6.3096,6.0987,6.1929,8838.0
2020-09-12,6.1481,6.3096,6.0987,6.1929,8838.0
2020-09-13,6.1481,6.3096,6.0987,6.1929,8838.0
2020-09-14,6.0314,6.3186,6.0045,6.2199,10703.0
2020-09-15,6.2019,6.3186,6.1929,6.2827,2935.0
2020-09-16,6.3186,6.3276,6.2199,6.2737,8131.0
2020-09-17,6.3366,6.3545,6.157,6.3096,7754.0
2020-09-18,6.2737,6.3725,6.1211,6.3276,23024.0
2020-09-19,6.2737,6.3725,6.1211,6.3276,23024.0
2020-09-20,6.2737,6.3725,6.1211,6.3276,23024.0
2020-09-21,6.3635,6.5789,6.0583,6.5789,15177.0
2020-09-22,6.543,6.543,6.2199,6.3814,3502.0
2020-09-23,6.4712,6.4712,6.0404,6.0493,5091.0
2020-09-24,6.0045,6.0134,5.8339,5.9686,6392.0
2020-09-25,5.9327,6.0493,5.9057,5.9057,7198.0
2020-09-26,5.9327,6.0493,5.9057,5.9057,7198.0
2020-09-27,5.9327,6.0493,5.9057,5.9057,7198.0
2020-09-28,6.0763,6.0763,5.9327,5.9686,3025.0
2020-09-29,5.8788,5.9686,5.8339,5.9237,4403.0
2020-09-30,5.9775,6.0067,5.7801,5.7801,7465.0
2020-10-01,5.8339,6.0224,5.825,6.0224,6952.0
2020-10-02,6.0404,6.4981,5.9955,6.1211,5467.0
2020-10-03,6.0404,6.4981,5.9955,6.1211,5467.0
2020-10-04,6.0404,6.4981,5.9955,6.1211,5467.0
2020-10-05,6.1391,6.3635,6.0493,6.3276,5682.0
2020-10-06,6.157,6.2378,5.9237,5.9416,21265.0
2020-10-07,6.0224,6.0314,5.5916,5.8338,8105.0
2020-10-08,5.9147,6.0224,5.8878,6.0224,65310.0
2020-10-09,6.0224,6.0404,5.9237,5.9327,22643.0
2020-10-10,6.0224,6.0404,5.9237,5.9327,22643.0
2020-10-11,6.0224,6.0404,5.9237,5.9327,22643.0
2020-10-12,5.9686,6.1211,5.9506,6.1211,33367.0
2020-10-13,5.9237,6.0493,5.8429,5.9147,15795.0
2020-10-14,5.9686,6.0763,5.8653,5.8788,20201.0
2020-10-15,5.8339,6.0134,5.6185,5.8339,9365.0
2020-10-16,6.1929,6.1929,6.0045,6.0583,1850.0
2020-10-17,6.1929,6.1929,6.0045,6.0583,1850.0
2020-10-18,6.1929,6.1929,6.0045,6.0583,1850.0
2020-10-19,6.0852,6.0852,5.7801,5.7801,47919.0
2020-10-20,6.0134,6.0134,5.7801,5.807,38734.0
2020-10-21,5.8339,6.1391,5.7891,5.807,167679.0
2020-10-22,5.8788,5.9955,5.7891,5.7891,7261.0
2020-10-23,6.0134,6.0134,5.798,5.9147,881.0
2020-10-24,6.0134,6.0134,5.798,5.9147,881.0
2020-10-25,6.0134,6.0134,5.798,5.9147,881.0
2020-10-26,5.8339,5.8788,5.7891,5.8339,7279.0
2020-10-27,5.7891,5.8788,5.6948,5.6993,12478.0
2020-10-28,5.6096,5.6544,5.6096,5.6365,3818.0
2020-10-29,5.5737,5.8609,5.5647,5.8609,6544.0
2020-10-30,5.8698,5.8698,5.6814,5.6903,9182.0
2020-10-31,5.8698,5.8698,5.6814,5.6903,9182.0
2020-11-01,5.8698,5.8698,5.6814,5.6903,9182.0
2020-11-02,5.807,6.0484,5.807,6.0484,11435.0
2020-11-03,6.5071,6.6327,6.4487,6.6327,13229.0
2020-11-04,6.8661,6.8661,6.2827,6.2827,15279.0
2020-11-05,6.3366,6.4891,6.3096,6.4802,6421.0
2020-11-06,6.4891,6.7135,6.4613,6.7135,9019.0
2020-11-07,6.4891,6.7135,6.4613,6.7135,9019.0
2020-11-08,6.4891,6.7135,6.4613,6.7135,9019.0
2020-11-09,6.9469,7.2072,6.9469,7.0546,4252.0
2020-11-10,7.0635,7.2072,6.8392,6.8392,8807.0
2020-11-11,6.902,6.902,6.8122,6.8481,1492.0
2020-11-12,6.7225,6.9199,6.543,6.8481,1665.0
2020-11-13,6.902,7.1623,6.902,7.1623,3162.0
2020-11-14,6.902,7.1623,6.902,7.1623,3162.0
2020-11-15,6.902,7.1623,6.902,7.1623,3162.0
2020-11-16,7.2072,7.5751,7.2072,7.252,4857.0
2020-11-17,7.1713,7.2341,7.0097,7.0187,10611.0
2020-11-18,7.1264,7.1264,6.8212,6.911,3727.0
2020-11-19,7.1007,7.1007,6.7755,6.8929,2124.0
2020-11-20,6.8929,6.8929,6.5496,6.7122,3647.0
2020-11-21,6.8929,6.8929,6.5496,6.7122,3647.0
2020-11-22,6.8929,6.8929,6.5496,6.7122,3647.0
2020-11-23,6.6128,6.7577,6.6128,6.7122,2276.0
2020-11-24,6.8387,6.8387,6.7032,6.7032,12699.0
2020-11-25,6.7393,6.7755,6.5496,6.5496,9549.0
2020-11-26,6.7393,6.7755,6.5496,6.5496,9549.0
2020-11-27,6.5586,6.8297,6.5044,6.6219,36954.0
2020-11-28,6.5586,6.8297,6.5044,6.6219,36954.0
2020-11-29,6.5586,6.8297,6.5044,6.6219,36954.0
2020-11-30,6.4954,6.6295,6.4954,6.5948,19110.0
2020-12-01,6.6038,6.7077,6.5496,6.658,13886.0
2020-12-02,6.649,6.649,6.5496,6.6399,12504.0
2020-12-03,6.6128,6.6128,6.5496,6.5948,3698.0
2020-12-04,6.7755,6.8793,6.5767,6.8297,9305.0
2020-12-05,6.7755,6.8793,6.5767,6.8297,9305.0
2020-12-06,6.7755,6.8793,6.5767,6.8297,9305.0
2020-12-07,6.7213,7.0284,6.7213,7.0284,3171.0
2020-12-08,6.9652,7.1278,6.7755,7.1007,8994.0
2020-12-09,7.5343,7.5343,6.8297,7.0465,18816.0
2020-12-10,6.8206,6.9643,6.8206,6.8658,6430.0
2020-12-11,6.8297,6.9561,6.7664,6.8206,7306.0
2020-12-12,6.8297,6.9561,6.7664,6.8206,7306.0
2020-12-13,6.8297,6.9561,6.7664,6.8206,7306.0
2020-12-14,6.8929,6.9356,6.7213,6.8839,15393.0
2020-12-15,6.8206,7.0194,6.6942,6.911,17214.0
2020-12-16,7.1458,7.2723,6.9652,7.1458,55165.0
2020-12-17,7.1458,7.3265,7.0645,7.3265,37102.0
2020-12-18,7.1368,7.4711,7.1368,7.3807,111630.0
2020-12-19,7.1368,7.4711,7.1368,7.3807,111630.0
2020-12-20,7.1368,7.4711,7.1368,7.3807,111630.0
2020-12-21,7.2994,7.444,7.0194,7.4169,52622.0
2020-12-22,7.3446,7.3536,7.0203,7.2091,148204.0
2020-12-23,7.0916,7.2091,6.9923,7.0374,6907.0
2020-12-24,7.0284,7.2452,7.0284,7.0465,238930.0
2020-12-25,7.0284,7.2452,7.0284,7.0465,238930.0
2020-12-26,7.0284,7.2452,7.0284,7.0465,238930.0
2020-12-27,7.0284,7.2452,7.0284,7.0465,238930.0
2020-12-28,7.191,7.2001,6.9381,6.9381,15504.0
2020-12-29,7.0103,7.1458,6.4412,6.4773,28741.0
2020-12-30,6.5135,6.8116,6.4593,6.4865,18910.0
2020-12-31,6.5225,6.6761,6.5044,6.5044,11816.0
2021-01-01,6.5225,6.6761,6.5044,6.5044,11816.0
2021-01-02,6.5225,6.6761,6.5044,6.5044,11816.0
2021-01-03,6.5225,6.6761,6.5044,6.5044,11816.0
2021-01-04,6.5044,6.6545,6.2876,6.3599,27327.0
2021-01-05,6.3509,6.5767,6.3509,6.4231,5745.0
2021-01-06,6.4593,7.065,6.4593,6.7122,23983.0
2021-01-07,6.92,6.9381,6.6942,6.6942,7551.0
2021-01-08,6.8297,6.8839,6.8026,6.8026,11581.0
2021-01-09,6.8297,6.8839,6.8026,6.8026,11581.0
2021-01-10,6.8297,6.8839,6.8026,6.8026,11581.0
2021-01-11,6.8297,6.8839,6.7664,6.7755,7630.0
2021-01-12,6.8116,7.1187,6.8116,6.8297,3664.0
2021-01-13,6.929,7.0465,6.8035,7.0465,15548.0
2021-01-14,7.0465,7.1007,6.9787,7.0194,4308.0
2021-01-15,6.8658,7.0736,6.8658,7.042,11291.0
2021-01-16,6.8658,7.0736,6.8658,7.042,11291.0
2021-01-17,6.8658,7.0736,6.8658,7.042,11291.0
2021-01-18,6.8658,7.0736,6.8658,7.042,11291.0
2021-01-19,7.0736,7.462,7.0465,7.2543,23517.0
2021-01-20,7.3446,7.3898,7.0916,7.0916,5994.0
2021-01-21,7.191,7.2272,7.1097,7.2272,9676.0
2021-01-22,7.1729,7.3265,7.1729,7.2723,9916.0
2021-01-23,7.1729,7.3265,7.1729,7.2723,9916.0
2021-01-24,7.1729,7.3265,7.1729,7.2723,9916.0
2021-01-25,7.2452,7.4169,7.1639,7.2452,4544.0
2021-01-26,7.2362,7.3365,7.1865,7.2272,4969.0
2021-01-27,7.1187,7.3356,7.0603,7.2407,24510.0
2021-01-28,7.2181,7.2543,7.0374,7.2181,6954.0
2021-01-29,7.1549,7.2181,7.0827,7.0827,7338.0
2021-01-30,7.1549,7.2181,7.0827,7.0827,7338.0
2021-01-31,7.1549,7.2181,7.0827,7.0827,7338.0
2021-02-01,7.0645,7.2633,7.0645,7.2633,18277.0
2021-02-02,7.1865,7.3627,7.1865,7.3627,9442.0
2021-02-03,7.2001,7.2904,7.2001,7.2452,2788.0
2021-02-04,7.191,7.453,7.191,7.453,5050.0
2021-02-05,7.444,7.5433,7.444,7.5433,5803.0
2021-02-06,7.444,7.5433,7.444,7.5433,5803.0
2021-02-07,7.444,7.5433,7.444,7.5433,5803.0
2021-02-08,7.4078,7.4078,7.2452,7.2994,13850.0
2021-02-09,7.1549,7.6879,7.1549,7.6517,15925.0
2021-02-10,7.8144,7.8325,7.706,7.7692,6353.0
2021-02-11,7.7692,7.977,7.7692,7.977,6827.0
2021-02-12,8.0221,8.1305,7.9318,7.9318,6989.0
2021-02-13,8.0221,8.1305,7.9318,7.9318,6989.0
2021-02-14,8.0221,8.1305,7.9318,7.9318,6989.0
2021-02-15,8.0221,8.1305,7.9318,7.9318,6989.0
2021-02-16,7.995,8.135,7.995,8.0246,6554.0
2021-02-17,8.239,8.239,8.0329,8.0583,2667.0
2021-02-18,8.0221,8.0221,7.8144,7.8144,1535.0
2021-02-19,7.8234,7.9318,7.8234,7.9318,1323.0
2021-02-20,7.8234,7.9318,7.8234,7.9318,1323.0
2021-02-21,7.8234,7.9318,7.8234,7.9318,1323.0
2021-02-22,7.8144,8.6139,7.8144,8.6093,18319.0
2021-02-23,8.8442,8.8442,8.519,8.519,7172.0
2021-02-24,8.3835,8.6093,8.3835,8.6093,2934.0
2021-02-25,8.5275,8.5338,8.5003,8.5003,3940.0
2021-02-26,7.8093,8.373,7.8093,8.273,6164.0
2021-02-27,7.8093,8.373,7.8093,8.273,6164.0
2021-02-28,7.8093,8.373,7.8093,8.273,6164.0
2021-03-01,8.5275,8.5275,8.273,8.273,1848.0
2021-03-02,8.2821,8.4275,8.1912,8.4275,3019.0
2021-03-03,8.6093,8.8094,8.5548,8.8003,5818.0
2021-03-04,8.6275,8.8094,8.4821,8.4821,3715.0
2021-03-05,8.473,9.0912,8.473,9.0912,12119.0
2021-03-06,8.473,9.0912,8.473,9.0912,12119.0
2021-03-07,8.473,9.0912,8.473,9.0912,12119.0
2021-03-08,9.1185,9.3375,9.1185,9.3275,11498.0
2021-03-09,9.3185,9.3185,9.2275,9.273,4964.0
2021-03-10,9.7003,9.7003,9.073,9.2912,3928.0
2021-03-11,9.2457,9.2457,8.8366,9.1912,6879.0
2021-03-12,9.273,9.3185,9.2366,9.273,4574.0
2021-03-13,9.273,9.3185,9.2366,9.273,4574.0
2021-03-14,9.273,9.3185,9.2366,9.273,4574.0
2021-03-15,9.2185,9.2185,8.8457,8.9821,6073.0
2021-03-16,8.9548,8.9548,8.6639,8.6639,3160.0
2021-03-17,8.873,8.873,8.4548,8.4548,8212.0
2021-03-18,8.7548,8.7548,8.5093,8.6366,14930.0
2021-03-19,8.5912,8.9366,8.2548,8.9366,23713.0
2021-03-20,8.5912,8.9366,8.2548,8.9366,23713.0
2021-03-21,8.5912,8.9366,8.2548,8.9366,23713.0
2021-03-22,8.5912,8.873,8.5912,8.8003,5006.0
2021-03-23,8.9094,8.9094,8.5366,8.5366,4570.0
2021-03-24,8.7639,8.8275,8.473,8.8275,9618.0
2021-03-25,8.5912,8.9003,8.5912,8.7912,6823.0
2021-03-26,8.8184,9.0912,8.8094,9.0184,2058.0
2021-03-27,8.8184,9.0912,8.8094,9.0184,2058.0
2021-03-28,8.8184,9.0912,8.8094,9.0184,2058.0
2021-03-29,9.0457,9.0821,8.7548,8.9457,3028.0
2021-03-30,8.8366,8.8548,8.6184,8.8003,1285.0
2021-03-31,8.7821,8.8366,8.6275,8.8094,2021.0
2021-04-01,8.973,8.973,8.6275,8.7275,3103.0
2021-04-02,8.973,8.973,8.6275,8.7275,3103.0
2021-04-03,8.973,8.973,8.6275,8.7275,3103.0
2021-04-04,8.973,8.973,8.6275,8.7275,3103.0
2021-04-05,8.8184,9.0945,8.8184,8.9275,2614.0
2021-04-06,8.9548,9.0334,8.8275,8.8275,1384.0
2021-04-07,8.6184,8.8639,8.6184,8.6821,1426.0
2021-04-08,8.7275,8.9639,8.673,8.9639,1262.0
2021-04-09,8.9275,9.0003,8.8003,9.0003,7601.0
2021-04-10,8.9275,9.0003,8.8003,9.0003,7601.0
2021-04-11,8.9275,9.0003,8.8003,9.0003,7601.0
2021-04-12,9.0003,9.0003,8.8457,8.8912,4083.0
2021-04-13,8.9821,8.9821,8.5093,8.673,16939.0
2021-04-14,8.673,9.0003,8.6705,8.9334,3905.0
2021-04-15,8.7275,8.8912,8.7275,8.8912,1793.0
2021-04-16,8.8366,9.1094,8.8003,9.0003,5641.0
2021-04-17,8.8366,9.1094,8.8003,9.0003,5641.0
2021-04-18,8.8366,9.1094,8.8003,9.0003,5641.0
2021-04-19,8.8457,9.0003,8.773,8.7821,3377.0
2021-04-20,8.8639,8.9912,8.6275,8.9821,3251.0
2021-04-21,8.8184,9.0821,8.7821,8.7821,9594.0
2021-04-22,9.0204,9.0912,8.5912,8.673,8911.0
2021-04-23,8.7457,8.873,8.6184,8.7821,4447.0
2021-04-24,8.7457,8.873,8.6184,8.7821,4447.0
2021-04-25,8.7457,8.873,8.6184,8.7821,4447.0
2021-04-26,8.9457,8.9457,8.473,8.5457,1463.0
2021-04-27,8.5912,8.6912,8.4003,8.4457,1936.0
2021-04-28,8.4002,8.5457,8.4002,8.5457,639.0
2021-04-29,8.6275,8.7729,8.573,8.573,1920.0
2021-04-30,8.5276,8.8626,8.5276,8.6548,6168.0
2021-05-01,8.5276,8.8626,8.5276,8.6548,6168.0
2021-05-02,8.5276,8.8626,8.5276,8.6548,6168.0
2021-05-03,8.7004,8.8766,8.7004,8.8638,710.0
2021-05-04,8.7093,8.8412,8.7093,8.8412,598.0
2021-05-05,8.6639,8.8275,8.6639,8.6639,13173.0
2021-05-06,8.6457,8.6457,8.4548,8.4639,2468.0
2021-05-07,8.473,8.6365,8.4548,8.5821,6992.0
2021-05-08,8.473,8.6365,8.4548,8.5821,6992.0
2021-05-09,8.473,8.6365,8.4548,8.5821,6992.0
2021-05-10,8.6184,8.6366,8.4957,8.5412,8200.0
2021-05-11,8.4548,8.473,8.3639,8.3639,3675.0
2021-05-12,8.3366,8.3366,7.9548,7.9548,6018.0
2021-05-13,8.1912,8.4275,8.0093,8.273,4715.0
2021-05-14,8.4184,8.6978,8.4184,8.6821,5886.0
2021-05-15,8.4184,8.6978,8.4184,8.6821,5886.0
2021-05-16,8.4184,8.6978,8.4184,8.6821,5886.0
2021-05-17,8.6275,8.6503,8.473,8.5093,3847.0
2021-05-18,8.4912,8.6457,8.4366,8.5003,6623.0
2021-05-19,8.5093,8.5093,8.1821,8.2366,4835.0
2021-05-20,8.4093,8.5003,8.3549,8.3549,6650.0
2021-05-21,8.4457,8.6912,8.3184,8.4912,7335.0
2021-05-22,8.4457,8.6912,8.3184,8.4912,7335.0
2021-05-23,8.4457,8.6912,8.3184,8.4912,7335.0
2021-05-24,8.6184,8.8457,8.4548,8.6093,10753.0
2021-05-25,8.8457,8.8457,8.6093,8.623,3426.0
2021-05-26,8.6003,8.6912,8.3639,8.3639,5352.0
2021-05-27,8.573,8.6184,8.4548,8.5912,3358.0
2021-05-28,8.7101,8.7101,8.5004,8.5454,2587.0
2021-05-29,8.7101,8.7101,8.5004,8.5454,2587.0
