,RS US Equity,RS US Equity,RS US Equity,RS US Equity,RS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2022-04-11,174.281,180.2695,174.281,177.2244,422937.0
2022-04-12,178.4057,183.2081,177.3212,178.5025,389038.0
2022-04-13,179.9548,183.6535,177.6698,183.1597,258913.0
2022-04-14,186.1224,188.9303,184.8928,188.0879,363403.0
2022-04-15,186.1224,188.9303,184.8928,188.0879,363403.0
2022-04-16,186.1224,188.9303,184.8928,188.0879,363403.0
2022-04-17,186.1224,188.9303,184.8928,188.0879,363403.0
2022-04-18,188.3978,190.5472,186.6792,188.359,302402.0
2022-04-19,187.8362,192.5321,187.7491,192.2029,399570.0
2022-04-20,193.2486,194.9914,191.2928,194.2556,366955.0
2022-04-21,195.0785,198.4189,189.6516,190.9636,335656.0
2022-04-22,192.0093,192.0093,185.6674,186.5194,492472.0
2022-04-23,192.0093,192.0093,185.6674,186.5194,492472.0
2022-04-24,192.0093,192.0093,185.6674,186.5194,492472.0
2022-04-25,184.0698,187.2069,177.7579,184.3312,503952.0
2022-04-26,184.2344,184.5394,180.5358,180.8166,417621.0
2022-04-27,182.9854,187.1149,180.8262,183.2274,477509.0
2022-04-28,187.5651,193.8053,185.7351,192.8032,489529.0
2022-04-29,196.405,200.8685,190.6634,191.9512,491704.0
2022-04-30,196.405,200.8685,190.6634,191.9512,491704.0
2022-05-01,196.405,200.8685,190.6634,191.9512,491704.0
2022-05-02,191.864,193.3938,187.3327,191.5348,451640.0
2022-05-03,190.0922,198.8256,189.5112,198.1188,543329.0
2022-05-04,197.1312,204.9303,197.1312,204.7124,536584.0
2022-05-05,203.628,204.1218,189.7436,191.2734,630362.0
2022-05-06,190.0728,192.1255,184.5539,190.9152,501837.0
2022-05-07,190.0728,192.1255,184.5539,190.9152,501837.0
2022-05-08,190.0728,192.1255,184.5539,190.9152,501837.0
2022-05-09,186.287,190.4117,185.038,186.8486,446794.0
2022-05-10,187.9911,188.9884,181.7751,183.8955,473926.0
2022-05-11,183.6535,187.8168,181.4362,181.5524,539449.0
2022-05-12,179.9064,182.937,177.9796,181.3007,422023.0
2022-05-13,181.4846,184.3022,180.2937,180.5648,388496.0
2022-05-14,181.4846,184.3022,180.2937,180.5648,388496.0
2022-05-15,181.4846,184.3022,180.2937,180.5648,388496.0
2022-05-16,181.078,183.1645,179.1125,179.6159,361829.0
2022-05-17,182.7143,186.7282,181.2232,185.7739,250359.0
2022-05-18,184.9315,185.4032,175.7818,176.6144,356505.0
2022-05-19,175.5494,176.2368,168.2102,173.0998,644755.0
2022-05-20,174.3778,175.0846,168.8105,172.7899,399675.0
2022-05-21,174.3778,175.0846,168.8105,172.7899,399675.0
2022-05-22,174.3778,175.0846,168.8105,172.7899,399675.0
2022-05-23,175.6462,176.8371,172.6253,174.3391,432816.0
2022-05-24,172.6834,173.9712,169.7449,173.2644,236828.0
2022-05-25,171.8314,181.8526,171.0278,180.9618,420579.0
2022-05-26,183.3403,195.0526,183.3403,193.7102,670068.0
2022-05-27,195.2472,199.6626,194.6732,199.3912,457944.0
2022-05-28,195.2472,199.6626,194.6732,199.3912,457944.0
2022-05-29,195.2472,199.6626,194.6732,199.3912,457944.0
2022-05-30,195.2472,199.6626,194.6732,199.3912,457944.0
2022-05-31,198.8173,198.8173,188.6128,189.1089,1043156.0
2022-06-01,190.6459,191.6381,184.8481,190.072,445303.0
2022-06-02,192.2802,194.0506,189.4786,191.6576,253284.0
2022-06-03,189.9358,191.677,187.33,188.2334,215594.0
2022-06-04,189.9358,191.677,187.33,188.2334,215594.0
2022-06-05,189.9358,191.677,187.33,188.2334,215594.0
2022-06-06,190.3152,192.4164,188.1069,191.0934,242059.0
2022-06-07,189.5661,195.2958,189.4105,195.1499,301549.0
2022-06-08,192.7763,193.0681,187.0271,189.1478,273779.0
2022-06-09,187.6205,187.7567,182.8928,183.029,275400.0
2022-06-10,179.099,183.243,178.9725,181.7255,295668.0
2022-06-11,179.099,183.243,178.9725,181.7255,295668.0
2022-06-12,179.099,183.243,178.9725,181.7255,295668.0
2022-06-13,176.1904,177.8246,172.5667,173.8557,374944.0
2022-06-14,173.9919,176.5308,170.8887,171.0638,519029.0
2022-06-15,174.1281,177.2604,170.6795,174.8771,506927.0
2022-06-16,171.8128,172.7905,162.1336,162.7854,604326.0
2022-06-17,162.9994,166.696,162.2407,165.4703,1013896.0
2022-06-18,162.9994,166.696,162.2407,165.4703,1013896.0
2022-06-19,162.9994,166.696,162.2407,165.4703,1013896.0
2022-06-20,162.9994,166.696,162.2407,165.4703,1013896.0
2022-06-21,169.2933,169.2933,165.6746,165.8108,453801.0
2022-06-22,160.7815,163.3302,160.0227,161.5111,490347.0
2022-06-23,163.0383,163.1599,155.9273,159.0207,503634.0
2022-06-24,160.0713,168.3692,159.9157,168.0871,631894.0
2022-06-25,160.0713,168.3692,159.9157,168.0871,631894.0
2022-06-26,160.0713,168.3692,159.9157,168.0871,631894.0
2022-06-27,169.4879,170.4996,166.7155,169.2058,379217.0
2022-06-28,171.5307,171.5307,167.4742,168.1454,347029.0
2022-06-29,168.1357,168.1357,163.6658,166.2291,395200.0
2022-06-30,162.8438,167.2797,161.1852,165.2368,408588.0
2022-07-01,163.9333,167.3478,161.3603,166.4139,437063.0
2022-07-02,163.9333,167.3478,161.3603,166.4139,437063.0
2022-07-03,163.9333,167.3478,161.3603,166.4139,437063.0
2022-07-04,163.9333,167.3478,161.3603,166.4139,437063.0
2022-07-05,161.6764,165.5043,158.0747,165.1201,481101.0
2022-07-06,165.2465,166.4917,160.7037,165.0228,617418.0
2022-07-07,169.0988,171.234,167.552,169.5754,418633.0
2022-07-08,170.3245,170.3245,167.2943,167.8731,325809.0
2022-07-09,170.3245,170.3245,167.2943,167.8731,325809.0
2022-07-10,170.3245,170.3245,167.2943,167.8731,325809.0
2022-07-11,166.375,170.3926,166.1123,168.5248,374933.0
2022-07-12,167.8731,172.3576,167.8731,168.4081,408301.0
2022-07-13,165.48,171.093,165.48,170.8206,395755.0
2022-07-14,166.0442,170.4704,165.48,169.9354,383442.0
2022-07-15,171.7156,172.2409,168.9334,171.6572,242420.0
2022-07-16,171.7156,172.2409,168.9334,171.6572,242420.0
2022-07-17,171.7156,172.2409,168.9334,171.6572,242420.0
2022-07-18,173.7292,176.1514,169.9003,170.5677,293290.0
2022-07-19,170.0618,176.132,169.5073,175.5678,346770.0
2022-07-20,174.9646,175.4219,171.9977,174.7214,303089.0
2022-07-21,175.1203,178.9385,173.4082,178.6709,391213.0
2022-07-22,179.7994,180.8597,173.9627,175.811,338989.0
2022-07-23,179.7994,180.8597,173.9627,175.811,338989.0
2022-07-24,179.7994,180.8597,173.9627,175.811,338989.0
2022-07-25,177.6495,180.743,176.9783,180.1593,271990.0
2022-07-26,179.0211,179.9647,176.0153,179.1573,307834.0
2022-07-27,179.527,182.1389,175.9374,181.6379,387533.0
2022-07-28,176.4141,183.7926,175.4802,181.2585,623514.0
2022-07-29,182.8831,185.5582,180.7722,185.0719,469545.0
2022-07-30,182.8831,185.5582,180.7722,185.0719,469545.0
2022-07-31,182.8831,185.5582,180.7722,185.0719,469545.0
2022-08-01,183.457,187.0952,183.0096,185.9668,469987.0
