,WERN US Equity,WERN US Equity,WERN US Equity,WERN US Equity,WERN US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2021-01-07,39.894,40.5379,39.1828,40.4322,834672.0
2021-01-08,40.5572,41.1626,40.3842,40.5956,846146.0
2021-01-09,40.5572,41.1626,40.3842,40.5956,846146.0
2021-01-10,40.5572,41.1626,40.3842,40.5956,846146.0
2021-01-11,40.4899,40.932,39.2885,39.4615,598114.0
2021-01-12,39.6826,40.3265,39.3558,40.1151,479420.0
2021-01-13,40.2688,40.6485,39.3654,39.9901,606124.0
2021-01-14,40.3553,40.9031,40.1247,40.5572,457076.0
2021-01-15,40.3746,40.413,39.7114,40.3073,410816.0
2021-01-16,40.3746,40.413,39.7114,40.3073,410816.0
2021-01-17,40.3746,40.413,39.7114,40.3073,410816.0
2021-01-18,40.3746,40.413,39.7114,40.3073,410816.0
2021-01-19,41.2395,41.7297,40.5283,40.6148,472983.0
2021-01-20,40.7494,41.0954,40.2688,40.98,388735.0
2021-01-21,41.0761,41.1314,40.4707,40.9704,517668.0
2021-01-22,40.8647,41.3068,40.7205,41.2828,456911.0
2021-01-23,40.8647,41.3068,40.7205,41.2828,456911.0
2021-01-24,40.8647,41.3068,40.7205,41.2828,456911.0
2021-01-25,41.2299,42.6138,40.9656,42.3159,506247.0
2021-01-26,41.8354,42.3063,41.5086,41.6143,679554.0
2021-01-27,41.0761,41.4029,39.8075,40.067,847116.0
2021-01-28,40.586,40.586,38.4044,38.4332,690787.0
2021-01-29,38.5677,38.5677,37.6259,37.7124,785865.0
2021-01-30,38.5677,38.5677,37.6259,37.7124,785865.0
2021-01-31,38.5677,38.5677,37.6259,37.7124,785865.0
2021-02-01,38.2314,38.635,37.3952,38.4716,636646.0
2021-02-02,38.8945,39.5865,38.6206,39.1828,404257.0
2021-02-03,39.7499,39.9997,38.3803,38.5149,664751.0
2021-02-04,38.6542,39.0291,38.1449,38.76,804324.0
2021-02-05,38.76,39.8556,38.1497,39.3847,596668.0
2021-02-06,38.76,39.8556,38.1497,39.3847,596668.0
2021-02-07,38.76,39.8556,38.1497,39.3847,596668.0
2021-02-08,39.4519,39.9613,38.6158,39.327,438166.0
2021-02-09,39.4808,40.9224,39.3366,40.7974,527035.0
2021-02-10,40.9416,41.6047,40.6052,40.9896,681173.0
2021-02-11,40.9896,41.2251,39.8844,40.3746,450163.0
2021-02-12,40.413,41.1146,40.0574,41.0761,456524.0
2021-02-13,40.413,41.1146,40.0574,41.0761,456524.0
2021-02-14,40.413,41.1146,40.0574,41.0761,456524.0
2021-02-15,40.413,41.1146,40.0574,41.0761,456524.0
2021-02-16,41.3068,41.3837,40.6917,40.7205,378896.0
2021-02-17,40.8743,40.9224,40.0574,40.6533,292719.0
2021-02-18,40.6533,41.8642,40.6533,41.6432,477881.0
2021-02-19,41.6432,42.2054,41.6432,41.8162,489522.0
2021-02-20,41.6432,42.2054,41.6432,41.8162,489522.0
2021-02-21,41.6432,42.2054,41.6432,41.8162,489522.0
2021-02-22,41.7008,42.0949,41.2972,41.3837,372543.0
