,TRS US Equity,TRS US Equity,TRS US Equity,TRS US Equity,TRS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2021-12-05,32.5937,33.2646,32.0064,32.6134,96673.0
2021-12-06,32.7614,34.4192,32.7614,33.7186,77499.0
2021-12-07,34.1627,34.6955,33.9258,34.0344,125240.0
2021-12-08,34.0837,34.6758,33.5805,34.1725,70362.0
2021-12-09,33.8173,34.3403,33.3732,33.7384,87393.0
2021-12-10,34.0443,35.0409,33.7482,34.2811,99238.0
2021-12-11,34.0443,35.0409,33.7482,34.2811,99238.0
2021-12-12,34.0443,35.0409,33.7482,34.2811,99238.0
2021-12-13,34.2811,35.184,32.8996,33.0476,98165.0
2021-12-14,33.0377,33.6214,32.6726,32.722,84920.0
2021-12-15,32.6726,33.2252,31.5674,32.9785,141644.0
2021-12-16,33.3535,33.9851,32.8305,33.2548,137271.0
2021-12-17,33.3042,34.3896,31.9917,33.4818,231528.0
2021-12-18,33.3042,34.3896,31.9917,33.4818,231528.0
2021-12-19,33.3042,34.3896,31.9917,33.4818,231528.0
2021-12-20,32.9489,32.9489,31.6464,32.5246,133761.0
2021-12-21,33.0081,33.8173,32.9391,33.6989,113547.0
2021-12-22,33.7088,34.6709,33.6298,34.1824,98844.0
2021-12-23,34.3008,34.6758,33.6199,34.3008,43995.0
2021-12-24,34.3008,34.6758,33.6199,34.3008,43995.0
2021-12-25,34.3008,34.6758,33.6199,34.3008,43995.0
2021-12-26,34.3008,34.6758,33.6199,34.3008,43995.0
2021-12-27,34.4587,35.1297,33.8469,35.0804,61300.0
2021-12-28,34.8929,35.4948,34.8041,35.3962,63603.0
2021-12-29,35.5146,36.2152,35.258,35.9192,82732.0
2021-12-30,35.8698,36.3928,35.406,36.0376,88566.0
2021-12-31,36.0376,36.906,36.0376,36.5112,99954.0
2022-01-01,36.0376,36.906,36.0376,36.5112,99954.0
2022-01-02,36.0376,36.906,36.0376,36.5112,99954.0
2022-01-03,36.6296,37.1493,36.1116,36.383,89249.0
2022-01-04,36.6987,37.1551,36.1955,36.2251,198856.0
2022-01-05,36.1659,36.5014,35.6626,35.7909,82043.0
2022-01-06,35.7317,36.1165,35.5639,35.7613,81424.0
2022-01-07,35.6034,35.8205,35.036,35.2975,70696.0
2022-01-08,35.6034,35.8205,35.036,35.2975,70696.0
