,AAPL US Equity,AAPL US Equity,AAPL US Equity,AAPL US Equity,AAPL US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-04-23,67.173,68.605,66.929,66.968,124814328.0
2020-04-24,67.497,68.912,67.448,68.902,126508732.0
2020-04-25,67.497,68.912,67.448,68.902,126508732.0
2020-04-26,67.497,68.912,67.448,68.902,126508732.0
2020-04-27,68.617,69.284,68.166,68.95,117087572.0
2020-04-28,69.416,69.598,67.74,67.833,112004748.0
2020-04-29,69.33,70.533,69.126,70.061,137280816.0
2020-04-30,70.604,71.717,70.212,71.539,183063872.0
2020-05-01,69.7,72.805,69.603,70.387,240616700.0
2020-05-02,69.7,72.805,69.603,70.387,240616700.0
2020-05-03,69.7,72.805,69.603,70.387,240616700.0
2020-05-04,70.411,71.512,69.717,71.383,133567944.0
2020-05-05,71.846,73.292,71.7,72.454,147751180.0
2020-05-06,73.161,73.837,72.773,73.202,142333752.0
2020-05-07,73.833,74.307,73.528,73.959,115215056.0
2020-05-08,74.623,75.773,74.294,75.72,134047940.0
2020-05-09,74.623,75.773,74.294,75.72,134047940.0
2020-05-10,74.623,75.773,74.294,75.72,134047940.0
2020-05-11,75.224,77.409,75.014,76.911,145946244.0
2020-05-12,77.6,78.053,75.91,76.032,162301052.0
2020-05-13,76.213,77.141,74.03,75.114,200622556.0
2020-05-14,74.347,75.637,73.62,75.576,158929076.0
2020-05-15,73.332,75.175,73.298,75.129,166348376.0
2020-05-16,73.332,75.175,73.298,75.129,166348376.0
2020-05-17,73.332,75.175,73.298,75.129,166348376.0
2020-05-18,76.462,77.275,75.767,76.899,135372500.0
2020-05-19,76.916,77.768,76.423,76.454,101729540.0
2020-05-20,77.319,78.012,77.202,77.941,111504860.0
2020-05-21,77.802,78.347,77.121,77.36,102688844.0
2020-05-22,77.097,77.941,76.994,77.858,81803016.0
2020-05-23,77.097,77.941,76.994,77.858,81803016.0
2020-05-24,77.097,77.941,76.994,77.858,81803016.0
2020-05-25,77.097,77.941,76.994,77.858,81803016.0
2020-05-26,78.984,79.165,77.275,77.331,125521816.0
2020-05-27,77.187,77.814,76.442,77.668,112945096.0
2020-05-28,77.341,78.969,77.062,77.702,133796412.0
2020-05-29,77.946,78.41,77.267,77.626,153598128.0
2020-05-30,77.946,78.41,77.267,77.626,153598128.0
2020-05-31,77.946,78.41,77.267,77.626,153598128.0
2020-06-01,77.58,78.703,77.448,78.581,81018612.0
2020-06-02,78.311,78.969,77.868,78.945,87642816.0
2020-06-03,79.267,79.643,78.691,79.379,104491216.0
2020-06-04,79.201,79.502,78.32,78.696,87560364.0
2020-06-05,78.947,80.998,78.918,80.937,137250200.0
2020-06-06,78.947,80.998,78.918,80.937,137250200.0
2020-06-07,78.947,80.998,78.918,80.937,137250200.0
2020-06-08,80.632,81.45,79.917,81.416,95654536.0
2020-06-09,81.093,84.382,81.062,83.987,147712364.0
2020-06-10,84.941,86.619,84.499,86.147,166651752.0
2020-06-11,85.286,85.713,81.909,82.011,201662452.0
2020-06-12,84.165,84.917,81.602,82.719,200146052.0
2020-06-13,84.165,84.917,81.602,82.719,200146052.0
2020-06-14,84.165,84.917,81.602,82.719,200146052.0
2020-06-15,81.364,84.399,81.201,83.742,138808920.0
2020-06-16,85.81,86.235,84.165,85.962,165428728.0
2020-06-17,86.711,86.772,85.72,85.842,114406504.0
2020-06-18,85.798,86.296,85.264,85.876,96820384.0
2020-06-19,86.586,87.056,84.27,85.386,264475808.0
2020-06-20,86.586,87.056,84.27,85.386,264475808.0
2020-06-21,86.586,87.056,84.27,85.386,264475808.0
2020-06-22,85.781,87.764,85.735,87.62,135445264.0
2020-06-23,88.872,90.918,88.45,89.49,212155476.0
2020-06-24,89.116,90.042,87.534,87.91,192623396.0
2020-06-25,88.066,89.116,87.302,89.077,137522512.0
2020-06-26,88.972,89.194,86.191,86.34,205256844.0
2020-06-27,88.972,89.194,86.191,86.34,205256844.0
2020-06-28,88.972,89.194,86.191,86.34,205256844.0
2020-06-29,86.247,88.426,85.767,88.33,130646076.0
2020-06-30,87.915,89.356,87.896,89.067,140223284.0
2020-07-01,89.146,89.693,88.85,88.899,110737236.0
2020-07-02,89.812,90.452,88.784,88.899,114041468.0
2020-07-03,89.812,90.452,88.784,88.899,114041468.0
2020-07-04,89.812,90.452,88.784,88.899,114041468.0
2020-07-05,89.812,90.452,88.784,88.899,114041468.0
2020-07-06,90.337,91.748,90.305,91.277,118655652.0
2020-07-07,91.658,92.442,90.882,90.994,112424456.0
2020-07-08,91.978,93.145,91.89,93.113,117091880.0
2020-07-09,94.012,94.065,92.459,93.445,125642608.0
2020-07-10,93.106,93.736,92.491,93.677,90257320.0
2020-07-11,93.106,93.736,92.491,93.677,90257320.0
2020-07-12,93.106,93.736,92.491,93.677,90257320.0
2020-07-13,94.991,97.618,93.03,93.245,191649140.0
