,ECOL US Equity,ECOL US Equity,ECOL US Equity,ECOL US Equity,ECOL US Equity
2021-05-07,43.0,43.52,42.89,43.25,98210.0
2021-05-08,43.0,43.52,42.89,43.25,98210.0
2021-05-09,43.0,43.52,42.89,43.25,98210.0
2021-05-10,43.52,43.65,41.99,42.09,109224.0
2021-05-11,41.25,41.5671,40.6,40.73,120041.0
2021-05-12,40.65,41.35,40.29,40.41,101751.0
2021-05-13,40.38,42.225,40.38,42.0,113444.0
2021-05-14,42.2,42.975,41.88,42.15,103488.0
2021-05-15,42.2,42.975,41.88,42.15,103488.0
2021-05-16,42.2,42.975,41.88,42.15,103488.0
2021-05-17,41.97,42.44,41.17,42.19,84500.0
2021-05-18,42.37,42.37,41.29,41.29,108111.0
2021-05-19,40.87,41.2,39.78,40.18,133498.0
2021-05-20,40.22,40.33,39.41,40.17,102569.0
2021-05-21,40.51,40.99,40.08,40.62,356020.0
2021-05-22,40.51,40.99,40.08,40.62,356020.0
2021-05-23,40.51,40.99,40.08,40.62,356020.0
2021-05-24,40.98,40.99,40.02,40.24,90042.0
2021-05-25,40.24,40.5,38.79,38.97,175567.0
2021-05-26,39.27,39.43,38.76,39.09,109658.0
2021-05-27,39.49,39.97,39.295,39.44,109336.0
2021-05-28,39.77,39.94,39.04,39.63,146024.0
2021-05-29,39.77,39.94,39.04,39.63,146024.0
2021-05-30,39.77,39.94,39.04,39.63,146024.0
2021-05-31,39.77,39.94,39.04,39.63,146024.0
2021-06-01,39.4,40.575,39.29,40.21,127205.0
2021-06-02,40.21,40.21,38.56,38.72,135994.0
2021-06-03,39.655,39.655,38.0,38.59,97518.0
2021-06-04,38.64,38.87,37.77,38.45,71998.0
2021-06-05,38.64,38.87,37.77,38.45,71998.0
2021-06-06,38.64,38.87,37.77,38.45,71998.0
2021-06-07,38.46,38.95,37.79,37.86,78353.0
2021-06-08,37.83,38.05,37.4,37.59,103209.0
2021-06-09,37.56,37.9999,37.06,37.8,202826.0
2021-06-10,38.505,38.505,36.93,37.08,75275.0
2021-06-11,37.33,37.36,36.9,37.23,135727.0
2021-06-12,37.33,37.36,36.9,37.23,135727.0
2021-06-13,37.33,37.36,36.9,37.23,135727.0
2021-06-14,37.51,37.595,37.12,37.57,142770.0
2021-06-15,37.775,37.82,37.15,37.68,128992.0
2021-06-16,37.66,37.66,37.15,37.65,178755.0
2021-06-17,37.71,37.71,36.78,37.43,337830.0
2021-06-18,36.98,37.14,36.56,36.65,305510.0
2021-06-19,36.98,37.14,36.56,36.65,305510.0
2021-06-20,36.98,37.14,36.56,36.65,305510.0
2021-06-21,36.85,37.54,36.7517,37.45,148788.0
2021-06-22,38.17,38.17,36.965,37.47,73484.0
2021-06-23,38.66,38.66,37.28,37.64,120916.0
2021-06-24,37.93,37.93,37.39,37.8,169212.0
2021-06-25,37.71,38.285,37.56,37.87,425530.0
2021-06-26,37.71,38.285,37.56,37.87,425530.0
2021-06-27,37.71,38.285,37.56,37.87,425530.0
2021-06-28,37.9,37.9,36.73,37.23,166557.0
2021-06-29,37.795,37.795,36.92,37.09,86240.0
2021-06-30,37.15,37.67,36.91,37.52,127509.0
2021-07-01,37.85,38.26,37.76,37.92,204208.0
2021-07-02,37.86,38.23,37.51,37.73,163720.0
2021-07-03,37.86,38.23,37.51,37.73,163720.0
2021-07-04,37.86,38.23,37.51,37.73,163720.0
2021-07-05,37.86,38.23,37.51,37.73,163720.0
2021-07-06,37.55,37.72,37.0,37.5,121072.0
2021-07-07,37.31,37.95,37.02,37.54,186870.0
2021-07-08,36.83,37.26,36.35,36.42,142721.0
2021-07-09,36.78,37.66,36.78,37.25,106153.0
2021-07-10,36.78,37.66,36.78,37.25,106153.0
2021-07-11,36.78,37.66,36.78,37.25,106153.0
2021-07-12,36.98,37.18,36.655,37.07,128980.0
2021-07-13,36.9,37.15,35.66,35.7,101223.0
2021-07-14,35.73,36.355,35.36,35.51,109945.0
2021-07-15,35.4,35.77,34.81,35.59,57959.0
2021-07-16,35.95,36.35,35.6,36.15,161540.0
2021-07-17,35.95,36.35,35.6,36.15,161540.0
2021-07-18,35.95,36.35,35.6,36.15,161540.0
2021-07-19,35.64,36.775,35.36,36.25,167421.0
2021-07-20,36.39,37.46,36.39,36.93,106594.0
2021-07-21,37.03,37.71,36.485,37.2,126801.0
2021-07-22,37.2,37.35,36.66,36.74,83239.0
2021-07-23,36.92,37.03,36.51,36.92,61871.0
2021-07-24,36.92,37.03,36.51,36.92,61871.0
2021-07-25,36.92,37.03,36.51,36.92,61871.0
2021-07-26,37.02,37.3513,36.88,37.09,74355.0
2021-07-27,36.99,37.4,36.59,36.67,68785.0
2021-07-28,36.71,37.15,36.395,36.73,67900.0
2021-07-29,37.03,38.28,37.0,38.18,183970.0
2021-07-30,34.14,36.4,33.0101,35.0,794071.0
2021-07-31,34.14,36.4,33.0101,35.0,794071.0
2021-08-01,34.14,36.4,33.0101,35.0,794071.0
2021-08-02,35.22,36.98,35.06,36.71,707481.0
2021-08-03,36.64,37.22,35.92,37.19,220570.0
2021-08-04,36.82,37.31,36.63,36.74,107830.0
2021-08-05,37.01,37.38,36.74,37.25,63153.0
2021-08-06,37.59,37.89,36.84,37.03,181256.0
2021-08-07,37.59,37.89,36.84,37.03,181256.0
2021-08-08,37.59,37.89,36.84,37.03,181256.0
2021-08-09,36.96,37.2,36.23,36.27,188911.0
2021-08-10,36.38,37.51,35.78,37.47,248221.0
2021-08-11,37.71,37.895,37.16,37.74,57916.0
2021-08-12,37.77,37.77,36.87,37.04,54130.0
2021-08-13,37.12,37.66,36.45,36.91,28092.0
2021-08-14,37.12,37.66,36.45,36.91,28092.0
2021-08-15,37.12,37.66,36.45,36.91,28092.0
2021-08-16,36.84,37.475,36.4,37.11,77907.0
2021-08-17,36.86,37.0,36.2366,36.28,98467.0
2021-08-18,36.09,36.23,35.21,35.27,76924.0
2021-08-19,35.49,35.49,34.0,35.31,137257.0
2021-08-20,35.51,36.23,34.62,36.0,100343.0
2021-08-21,35.51,36.23,34.62,36.0,100343.0
2021-08-22,35.51,36.23,34.62,36.0,100343.0
2021-08-23,36.37,36.37,35.715,36.01,47031.0
2021-08-24,36.0,36.73,35.83,36.55,56890.0
2021-08-25,36.56,36.56,36.02,36.3,117880.0
2021-08-26,36.18,36.3,35.15,35.55,187770.0
2021-08-27,35.59,35.87,35.49,35.79,226509.0
2021-08-28,35.59,35.87,35.49,35.79,226509.0
2021-08-29,35.59,35.87,35.49,35.79,226509.0
2021-08-30,35.92,36.01,35.2333,35.7,103299.0
2021-08-31,35.8,35.93,35.56,35.85,114865.0
2021-09-01,35.87,35.87,34.94,35.78,112367.0
2021-09-02,35.95,36.33,35.55,35.93,127228.0
2021-09-03,35.99,35.99,35.0801,35.18,99922.0
2021-09-04,35.99,35.99,35.0801,35.18,99922.0
2021-09-05,35.99,35.99,35.0801,35.18,99922.0
2021-09-06,35.99,35.99,35.0801,35.18,99922.0
2021-09-07,34.95,35.74,34.25,35.47,647641.0
2021-09-08,36.855,36.855,35.43,35.72,88921.0
2021-09-09,35.58,36.13,35.435,35.77,100719.0
2021-09-10,35.88,35.88,35.34,35.49,106303.0
2021-09-11,35.88,35.88,35.34,35.49,106303.0
2021-09-12,35.88,35.88,35.34,35.49,106303.0
2021-09-13,35.75,36.37,35.645,35.84,101690.0
2021-09-14,36.03,36.185,35.05,35.23,237656.0
2021-09-15,35.24,35.52,34.46,35.0,176277.0
2021-09-16,35.525,35.525,33.96,34.36,400487.0
2021-09-17,34.32,34.53,33.77,34.36,440151.0
2021-09-18,34.32,34.53,33.77,34.36,440151.0
2021-09-19,34.32,34.53,33.77,34.36,440151.0
2021-09-20,33.86,34.1,33.36,33.57,189263.0
2021-09-21,33.74,33.97,33.3,33.4,175050.0
2021-09-22,33.65,34.435,33.65,33.94,186027.0
2021-09-23,34.14,34.545,33.74,33.96,109856.0
2021-09-24,33.74,34.41,33.51,33.71,141387.0
2021-09-25,33.74,34.41,33.51,33.71,141387.0
2021-09-26,33.74,34.41,33.51,33.71,141387.0
2021-09-27,33.88,34.79,33.5,34.21,198596.0
2021-09-28,34.19,34.45,33.08,33.4,796486.0
2021-09-29,33.55,34.01,32.92,33.5,176575.0
2021-09-30,33.64,33.64,32.21,32.35,278077.0
2021-10-01,32.58,33.26,32.08,33.0,396985.0
2021-10-02,32.58,33.26,32.08,33.0,396985.0
2021-10-03,32.58,33.26,32.08,33.0,396985.0
2021-10-04,33.06,33.6,32.675,33.15,198214.0
2021-10-05,32.95,33.15,32.35,32.41,223481.0
2021-10-06,32.04,32.23,30.57,30.62,212752.0
2021-10-07,30.9,31.37,30.46,30.95,208727.0
2021-10-08,30.95,31.37,30.41,31.06,228227.0
2021-10-09,30.95,31.37,30.41,31.06,228227.0
2021-10-10,30.95,31.37,30.41,31.06,228227.0
2021-10-11,30.79,31.35,30.68,30.7,166122.0
2021-10-12,30.54,31.21,30.31,30.74,139442.0
2021-10-13,30.77,31.07,30.3,30.39,175532.0
2021-10-14,30.62,31.2,30.53,31.16,162905.0
2021-10-15,31.59,31.7,31.26,31.4,191662.0
2021-10-16,31.59,31.7,31.26,31.4,191662.0
2021-10-17,31.59,31.7,31.26,31.4,191662.0
2021-10-18,31.32,31.71,31.1,31.52,176136.0
2021-10-19,30.03,31.0287,29.565,30.64,410705.0
2021-10-20,30.52,31.56,30.52,31.56,239716.0
2021-10-21,31.59,31.94,30.96,31.86,163370.0
2021-10-22,31.95,32.03,31.54,32.0,131437.0
2021-10-23,31.95,32.03,31.54,32.0,131437.0
2021-10-24,31.95,32.03,31.54,32.0,131437.0
2021-10-25,31.92,32.1,31.55,31.87,194868.0
2021-10-26,31.095,32.08,31.095,32.01,179475.0
2021-10-27,32.02,32.285,31.14,31.28,109306.0
2021-10-28,31.37,32.25,30.18,32.21,124418.0
2021-10-29,32.38,32.48,31.92,32.19,95577.0
2021-10-30,32.38,32.48,31.92,32.19,95577.0
2021-10-31,32.38,32.48,31.92,32.19,95577.0
2021-11-01,32.29,33.33,32.24,33.27,113555.0
2021-11-02,33.28,33.415,32.4,32.77,96336.0
2021-11-03,32.62,33.15,31.65,32.82,145661.0
2021-11-04,33.12,33.63,32.47,32.57,137546.0
2021-11-05,34.44,35.485,33.24,35.0,169267.0
2021-11-06,34.44,35.485,33.24,35.0,169267.0
2021-11-07,34.44,35.485,33.24,35.0,169267.0
2021-11-08,35.02,35.92,35.02,35.7,98408.0
2021-11-09,35.74,35.74,34.935,34.98,92862.0
2021-11-10,34.73,35.355,34.395,35.25,81901.0
2021-11-11,35.05,35.75,34.955,35.74,89375.0
2021-11-12,35.81,35.97,35.39,35.75,82479.0
2021-11-13,35.81,35.97,35.39,35.75,82479.0
2021-11-14,35.81,35.97,35.39,35.75,82479.0
2021-11-15,35.99,36.025,35.4,35.5,152637.0
2021-11-16,35.51,35.92,35.46,35.78,96788.0
2021-11-17,35.4,35.63,35.02,35.35,113929.0
2021-11-18,35.2,35.32,34.725,35.01,131907.0
2021-11-19,34.8,35.2,34.8,35.07,78787.0
2021-11-20,34.8,35.2,34.8,35.07,78787.0
2021-11-21,34.8,35.2,34.8,35.07,78787.0
2021-11-22,35.33,36.09,35.27,35.75,105526.0
2021-11-23,35.68,36.32,35.68,36.02,96566.0
2021-11-24,35.96,36.4,35.53,36.01,64772.0
2021-11-25,35.96,36.4,35.53,36.01,64772.0
2021-11-26,35.1,35.665,34.0501,34.64,87519.0
2021-11-27,35.1,35.665,34.0501,34.64,87519.0
2021-11-28,35.1,35.665,34.0501,34.64,87519.0
2021-11-29,34.98,35.16,34.59,34.67,98488.0
2021-11-30,34.26,34.64,33.66,34.07,271466.0
2021-12-01,34.74,35.4,33.7907,33.84,148867.0
2021-12-02,33.9,35.19,33.225,34.96,177425.0
2021-12-03,35.1,35.27,33.68,33.97,102163.0
2021-12-04,35.1,35.27,33.68,33.97,102163.0
2021-12-05,35.1,35.27,33.68,33.97,102163.0
2021-12-06,34.46,35.7941,34.005,35.71,152852.0
2021-12-07,36.08,36.7,35.93,36.15,104572.0
2021-12-08,36.09,36.445,35.83,36.19,133257.0
2021-12-09,36.02,36.05,35.12,35.15,104873.0
2021-12-10,35.36,35.36,34.28,34.29,65126.0
2021-12-11,35.36,35.36,34.28,34.29,65126.0
2021-12-12,35.36,35.36,34.28,34.29,65126.0
2021-12-13,34.26,34.34,33.655,33.97,133126.0
2021-12-14,33.9,34.41,32.8,33.12,147620.0
2021-12-15,33.11,33.11,31.94,32.52,230429.0
2021-12-16,32.87,33.2,32.065,32.16,240192.0
2021-12-17,31.77,32.31,30.22,30.68,1031160.0
2021-12-18,31.77,32.31,30.22,30.68,1031160.0
2021-12-19,31.77,32.31,30.22,30.68,1031160.0
2021-12-20,31.28,31.28,28.91,29.85,502798.0
2021-12-21,30.13,31.14,30.07,30.12,222367.0
2021-12-22,30.2,30.63,29.84,30.05,214530.0
2021-12-23,30.31,30.76,29.93,30.56,351547.0
2021-12-24,30.31,30.76,29.93,30.56,351547.0
2021-12-25,30.31,30.76,29.93,30.56,351547.0
2021-12-26,30.31,30.76,29.93,30.56,351547.0
2021-12-27,30.83,31.54,30.56,31.35,227779.0
2021-12-28,31.2,31.97,30.56,31.2,98635.0
2021-12-29,31.0,31.73,30.84,31.53,162445.0
2021-12-30,31.49,32.02,31.26,31.68,173584.0
2021-12-31,31.42,32.3,31.42,31.94,136040.0
2022-01-01,31.42,32.3,31.42,31.94,136040.0
2022-01-02,31.42,32.3,31.42,31.94,136040.0
2022-01-03,32.11,32.48,31.51,31.86,125128.0
2022-01-04,31.95,32.5,31.91,32.09,131793.0
2022-01-05,32.27,32.63,31.19,31.38,154581.0
2022-01-06,31.39,31.9,31.15,31.62,155562.0
2022-01-07,31.62,32.27,31.62,32.07,122264.0
2022-01-08,31.62,32.27,31.62,32.07,122264.0
2022-01-09,31.62,32.27,31.62,32.07,122264.0
2022-01-10,31.81,32.48,31.37,31.96,187171.0
2022-01-11,32.19,32.19,30.4,31.68,264447.0
2022-01-12,31.95,32.16,31.7,31.82,117272.0
2022-01-13,31.86,32.36,31.36,31.52,178769.0
2022-01-14,31.125,31.64,29.75,31.49,94916.0
2022-01-15,31.125,31.64,29.75,31.49,94916.0
2022-01-16,31.125,31.64,29.75,31.49,94916.0
2022-01-17,31.125,31.64,29.75,31.49,94916.0
2022-01-18,31.08,31.3244,30.41,30.49,103516.0
2022-01-19,30.48,30.64,29.9,29.98,74511.0
2022-01-20,30.08,30.64,28.97,29.09,108483.0
2022-01-21,28.73,29.33,28.32,29.05,411236.0
2022-01-22,28.73,29.33,28.32,29.05,411236.0
2022-01-23,28.73,29.33,28.32,29.05,411236.0
2022-01-24,28.64,30.1,28.64,29.78,227032.0
2022-01-25,29.35,29.71,28.64,29.1,228864.0
2022-01-26,29.25,29.51,27.65,27.79,159729.0
2022-01-27,27.8,28.0,26.34,26.82,335472.0
2022-01-28,26.75,27.6,26.26,27.37,194714.0
2022-01-29,26.75,27.6,26.26,27.37,194714.0
2022-01-30,26.75,27.6,26.26,27.37,194714.0
2022-01-31,27.11,28.74,27.11,28.58,159384.0
2022-02-01,28.1,28.97,28.0,28.65,96759.0
2022-02-02,29.09,29.09,27.65,28.48,201272.0
2022-02-03,28.33,28.59,27.42,27.51,87817.0
2022-02-04,27.35,27.78,26.91,27.15,295838.0
2022-02-05,27.35,27.78,26.91,27.15,295838.0
2022-02-06,27.35,27.78,26.91,27.15,295838.0
2022-02-07,27.18,27.9704,26.72,26.78,126035.0
2022-02-08,26.85,28.17,26.79,28.17,305952.0
2022-02-09,47.11,47.8,47.1,47.25,13623656.0
2022-02-10,47.25,47.42,47.02,47.06,6755810.0
2022-02-11,47.22,47.26,46.96,47.0,3778452.0
2022-02-12,47.22,47.26,46.96,47.0,3778452.0
2022-02-13,47.22,47.26,46.96,47.0,3778452.0
2022-02-14,47.06,47.41,46.75,46.88,1600243.0
2022-02-15,47.18,47.24,46.85,46.92,1334627.0
2022-02-16,47.0,47.21,46.83,47.0,956133.0
2022-02-17,47.0,47.17,46.87,47.0,1090511.0
2022-02-18,46.96,47.4,46.91,47.05,1091807.0
2022-02-19,46.96,47.4,46.91,47.05,1091807.0
2022-02-20,46.96,47.4,46.91,47.05,1091807.0
2022-02-21,46.96,47.4,46.91,47.05,1091807.0
2022-02-22,47.19,47.3,46.95,47.13,922932.0
2022-02-23,47.23,47.5,47.07,47.32,481284.0
2022-02-24,47.15,48.02,47.01,47.67,1083215.0
2022-02-25,47.55,47.74,47.25,47.49,280838.0
2022-02-26,47.55,47.74,47.25,47.49,280838.0
2022-02-27,47.55,47.74,47.25,47.49,280838.0
2022-02-28,47.38,47.48,47.08,47.44,877264.0
2022-03-01,47.27,47.55,47.19,47.5,547331.0
2022-03-02,47.55,47.78,47.19,47.38,720715.0
2022-03-03,47.47,47.61,47.34,47.57,378793.0
2022-03-04,47.36,47.72,47.27,47.64,572953.0
2022-03-05,47.36,47.72,47.27,47.64,572953.0
2022-03-06,47.36,47.72,47.27,47.64,572953.0
2022-03-07,47.6,47.73,47.4,47.41,302375.0
2022-03-08,47.5,47.67,47.25,47.51,943455.0
2022-03-09,47.6,47.75,47.37,47.49,573043.0
2022-03-10,47.42,47.57,47.32,47.55,293192.0
2022-03-11,47.5,47.59,47.39,47.39,393795.0
2022-03-12,47.5,47.59,47.39,47.39,393795.0
2022-03-13,47.5,47.59,47.39,47.39,393795.0
2022-03-14,47.5,47.79,47.38,47.67,573818.0
2022-03-15,47.72,47.75,47.45,47.5,417887.0
2022-03-16,47.65,47.67,47.45,47.55,463374.0
2022-03-17,47.51,47.67,47.51,47.55,261541.0
2022-03-18,47.6,47.6,47.45,47.47,1073297.0
2022-03-19,47.6,47.6,47.45,47.47,1073297.0
2022-03-20,47.6,47.6,47.45,47.47,1073297.0
2022-03-21,47.51,47.55,47.38,47.5,530009.0
2022-03-22,47.48,47.58,47.41,47.45,740438.0
2022-03-23,47.47,47.55,47.08,47.53,517135.0
2022-03-24,47.38,47.61,47.36,47.59,577838.0
2022-03-25,47.52,47.59,47.36,47.56,652943.0
2022-03-26,47.52,47.59,47.36,47.56,652943.0
2022-03-27,47.52,47.59,47.36,47.56,652943.0
2022-03-28,47.45,47.52,47.27,47.38,976553.0
2022-03-29,47.4,47.55,47.22,47.25,841999.0
2022-03-30,47.35,47.6,47.29,47.37,396468.0
2022-03-31,47.8,47.915,47.79,47.88,1420068.0
2022-04-01,47.87,47.95,47.87,47.91,1064461.0
2022-04-02,47.87,47.95,47.87,47.91,1064461.0
2022-04-03,47.87,47.95,47.87,47.91,1064461.0
2022-04-04,47.91,47.95,47.89,47.92,702493.0
2022-04-05,47.93,47.98,47.89,47.9,664684.0
2022-04-06,47.91,47.95,47.89,47.92,542853.0
2022-04-07,47.86,47.96,47.86,47.95,608537.0
2022-04-08,47.9,47.96,47.9,47.95,764723.0
2022-04-09,47.9,47.96,47.9,47.95,764723.0
2022-04-10,47.9,47.96,47.9,47.95,764723.0
2022-04-11,47.91,48.03,47.9,47.93,1312160.0
2022-04-12,47.99,48.02,47.91,47.91,891882.0
2022-04-13,47.91,47.99,47.9,47.94,685741.0
2022-04-14,47.93,47.98,47.93,47.94,1789147.0
2022-04-15,47.93,47.98,47.93,47.94,1789147.0
2022-04-16,47.93,47.98,47.93,47.94,1789147.0
2022-04-17,47.93,47.98,47.93,47.94,1789147.0
2022-04-18,47.92,47.97,47.92,47.95,961466.0
2022-04-19,47.95,48.0,47.94,47.95,955569.0
2022-04-20,47.95,48.09,47.94,47.96,1280292.0
2022-04-21,47.96,47.99,47.95,47.97,672333.0
2022-04-22,47.96,48.0,47.96,47.97,1089815.0
2022-04-23,47.96,48.0,47.96,47.97,1089815.0
2022-04-24,47.96,48.0,47.96,47.97,1089815.0
2022-04-25,47.96,47.99,47.96,47.99,1212081.0
2022-04-26,47.98,47.99,47.96,47.96,1692777.0
2022-04-27,47.96,47.98,47.95,47.96,1262385.0
2022-04-28,47.97,48.01,47.96,48.01,772815.0
2022-04-29,47.99,48.01,47.985,47.99,1055495.0
2022-04-30,47.99,48.01,47.985,47.99,1055495.0
2022-05-01,47.99,48.01,47.985,47.99,1055495.0
2022-05-02,47.99,48.01,47.985,47.99,1055495.0
2022-05-03,47.99,48.01,47.985,47.99,1055495.0
2022-05-04,47.99,48.01,47.985,47.99,1055495.0
2022-05-05,47.99,48.01,47.985,47.99,1055495.0
2022-05-06,47.99,48.01,47.985,47.99,1055495.0
2022-05-07,47.99,48.01,47.985,47.99,1055495.0
2022-05-08,47.99,48.01,47.985,47.99,1055495.0
2022-05-09,47.99,48.01,47.985,47.99,1055495.0
2022-05-10,47.99,48.01,47.985,47.99,1055495.0
2022-05-11,47.99,48.01,47.985,47.99,1055495.0
2022-05-12,47.99,48.01,47.985,47.99,1055495.0
2022-05-13,47.99,48.01,47.985,47.99,1055495.0
2022-05-14,47.99,48.01,47.985,47.99,1055495.0
2022-05-15,47.99,48.01,47.985,47.99,1055495.0
2022-05-16,47.99,48.01,47.985,47.99,1055495.0
2022-05-17,47.99,48.01,47.985,47.99,1055495.0
2022-05-18,47.99,48.01,47.985,47.99,1055495.0
2022-05-19,47.99,48.01,47.985,47.99,1055495.0
2022-05-20,47.99,48.01,47.985,47.99,1055495.0
2022-05-21,47.99,48.01,47.985,47.99,1055495.0
2022-05-22,47.99,48.01,47.985,47.99,1055495.0
2022-05-23,47.99,48.01,47.985,47.99,1055495.0
2022-05-24,47.99,48.01,47.985,47.99,1055495.0
2022-05-25,47.99,48.01,47.985,47.99,1055495.0
2022-05-26,47.99,48.01,47.985,47.99,1055495.0
2022-05-27,47.99,48.01,47.985,47.99,1055495.0
2022-05-28,47.99,48.01,47.985,47.99,1055495.0
2022-05-29,47.99,48.01,47.985,47.99,1055495.0
2022-05-30,47.99,48.01,47.985,47.99,1055495.0
2022-05-31,47.99,48.01,47.985,47.99,1055495.0
2022-06-01,47.99,48.01,47.985,47.99,1055495.0
2022-06-02,47.99,48.01,47.985,47.99,1055495.0
2022-06-03,47.99,48.01,47.985,47.99,1055495.0
2022-06-04,47.99,48.01,47.985,47.99,1055495.0
2022-06-05,47.99,48.01,47.985,47.99,1055495.0
2022-06-06,47.99,48.01,47.985,47.99,1055495.0
2022-06-07,47.99,48.01,47.985,47.99,1055495.0
2022-06-08,47.99,48.01,47.985,47.99,1055495.0
2022-06-09,47.99,48.01,47.985,47.99,1055495.0
2022-06-10,47.99,48.01,47.985,47.99,1055495.0
2022-06-11,47.99,48.01,47.985,47.99,1055495.0
2022-06-12,47.99,48.01,47.985,47.99,1055495.0
2022-06-13,47.99,48.01,47.985,47.99,1055495.0
2022-06-14,47.99,48.01,47.985,47.99,1055495.0
2022-06-15,47.99,48.01,47.985,47.99,1055495.0
2022-06-16,47.99,48.01,47.985,47.99,1055495.0
2022-06-17,47.99,48.01,47.985,47.99,1055495.0
2022-06-18,47.99,48.01,47.985,47.99,1055495.0
2022-06-19,47.99,48.01,47.985,47.99,1055495.0
2022-06-20,47.99,48.01,47.985,47.99,1055495.0
2022-06-21,47.99,48.01,47.985,47.99,1055495.0
2022-06-22,47.99,48.01,47.985,47.99,1055495.0
2022-06-23,47.99,48.01,47.985,47.99,1055495.0
2022-06-24,47.99,48.01,47.985,47.99,1055495.0
2022-06-25,47.99,48.01,47.985,47.99,1055495.0
2022-06-26,47.99,48.01,47.985,47.99,1055495.0
2022-06-27,47.99,48.01,47.985,47.99,1055495.0
2022-06-28,47.99,48.01,47.985,47.99,1055495.0
2022-06-29,47.99,48.01,47.985,47.99,1055495.0
2022-06-30,47.99,48.01,47.985,47.99,1055495.0
2022-07-01,47.99,48.01,47.985,47.99,1055495.0
2022-07-02,47.99,48.01,47.985,47.99,1055495.0
2022-07-03,47.99,48.01,47.985,47.99,1055495.0
2022-07-04,47.99,48.01,47.985,47.99,1055495.0
2022-07-05,47.99,48.01,47.985,47.99,1055495.0
2022-07-06,47.99,48.01,47.985,47.99,1055495.0
2022-07-07,47.99,48.01,47.985,47.99,1055495.0
2022-07-08,47.99,48.01,47.985,47.99,1055495.0
2022-07-09,47.99,48.01,47.985,47.99,1055495.0
2022-07-10,47.99,48.01,47.985,47.99,1055495.0
2022-07-11,47.99,48.01,47.985,47.99,1055495.0
2022-07-12,47.99,48.01,47.985,47.99,1055495.0
2022-07-13,47.99,48.01,47.985,47.99,1055495.0
2022-07-14,47.99,48.01,47.985,47.99,1055495.0
2022-07-15,47.99,48.01,47.985,47.99,1055495.0
2022-07-16,47.99,48.01,47.985,47.99,1055495.0
2022-07-17,47.99,48.01,47.985,47.99,1055495.0
2022-07-18,47.99,48.01,47.985,47.99,1055495.0
2022-07-19,47.99,48.01,47.985,47.99,1055495.0
2022-07-20,47.99,48.01,47.985,47.99,1055495.0
2022-07-21,47.99,48.01,47.985,47.99,1055495.0
2022-07-22,47.99,48.01,47.985,47.99,1055495.0
2022-07-23,47.99,48.01,47.985,47.99,1055495.0
2022-07-24,47.99,48.01,47.985,47.99,1055495.0
2022-07-25,47.99,48.01,47.985,47.99,1055495.0
2022-07-26,47.99,48.01,47.985,47.99,1055495.0
2022-07-27,47.99,48.01,47.985,47.99,1055495.0
2022-07-28,47.99,48.01,47.985,47.99,1055495.0
2022-07-29,47.99,48.01,47.985,47.99,1055495.0
2022-07-30,47.99,48.01,47.985,47.99,1055495.0
2022-07-31,47.99,48.01,47.985,47.99,1055495.0
2022-08-01,47.99,48.01,47.985,47.99,1055495.0
2022-08-02,47.99,48.01,47.985,47.99,1055495.0
2022-08-03,47.99,48.01,47.985,47.99,1055495.0
2022-08-04,47.99,48.01,47.985,47.99,1055495.0
2022-08-05,47.99,48.01,47.985,47.99,1055495.0
2022-08-06,47.99,48.01,47.985,47.99,1055495.0
2022-08-07,47.99,48.01,47.985,47.99,1055495.0
2022-08-08,47.99,48.01,47.985,47.99,1055495.0
2022-08-09,47.99,48.01,47.985,47.99,1055495.0
2022-08-10,47.99,48.01,47.985,47.99,1055495.0
2022-08-11,47.99,48.01,47.985,47.99,1055495.0
2022-08-12,47.99,48.01,47.985,47.99,1055495.0
2022-08-13,47.99,48.01,47.985,47.99,1055495.0
2022-08-14,47.99,48.01,47.985,47.99,1055495.0
2022-08-15,47.99,48.01,47.985,47.99,1055495.0
2022-08-16,47.99,48.01,47.985,47.99,1055495.0
2022-08-17,47.99,48.01,47.985,47.99,1055495.0
2022-08-18,47.99,48.01,47.985,47.99,1055495.0
2022-08-19,47.99,48.01,47.985,47.99,1055495.0
2022-08-20,47.99,48.01,47.985,47.99,1055495.0
2022-08-21,47.99,48.01,47.985,47.99,1055495.0
2022-08-22,47.99,48.01,47.985,47.99,1055495.0
2022-08-23,47.99,48.01,47.985,47.99,1055495.0
2022-08-24,47.99,48.01,47.985,47.99,1055495.0
2022-08-25,47.99,48.01,47.985,47.99,1055495.0
2022-08-26,47.99,48.01,47.985,47.99,1055495.0
2022-08-27,47.99,48.01,47.985,47.99,1055495.0
2022-08-28,47.99,48.01,47.985,47.99,1055495.0
2022-08-29,47.99,48.01,47.985,47.99,1055495.0
2022-08-30,47.99,48.01,47.985,47.99,1055495.0
2022-08-31,47.99,48.01,47.985,47.99,1055495.0
2022-09-01,47.99,48.01,47.985,47.99,1055495.0
2022-09-02,47.99,48.01,47.985,47.99,1055495.0
2022-09-03,47.99,48.01,47.985,47.99,1055495.0
2022-09-04,47.99,48.01,47.985,47.99,1055495.0
2022-09-05,47.99,48.01,47.985,47.99,1055495.0
2022-09-06,47.99,48.01,47.985,47.99,1055495.0
2022-09-07,47.99,48.01,47.985,47.99,1055495.0
2022-09-08,47.99,48.01,47.985,47.99,1055495.0
2022-09-09,47.99,48.01,47.985,47.99,1055495.0
