,VSH US Equity,VSH US Equity,VSH US Equity,VSH US Equity,VSH US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2022-07-04,17.1678,17.3423,16.6149,16.8768,1214147.0
2022-07-05,16.4888,16.7798,16.2221,16.7604,1340780.0
2022-07-06,16.7604,16.9059,16.4888,16.7022,957850.0
2022-07-07,16.9059,17.3811,16.9059,17.2648,973337.0
2022-07-08,17.2066,17.7303,17.1969,17.6818,896780.0
2022-07-09,17.2066,17.7303,17.1969,17.6818,896780.0
2022-07-10,17.2066,17.7303,17.1969,17.6818,896780.0
2022-07-11,17.6236,17.9486,17.5557,17.8564,1264347.0
2022-07-12,17.8467,18.1668,17.837,17.9146,1215114.0
2022-07-13,17.6818,18.2104,17.6527,18.1571,1122958.0
2022-07-14,17.934,18.1474,17.7303,18.1377,876131.0
2022-07-15,18.4093,18.7293,18.2056,18.7196,1219043.0
2022-07-16,18.4093,18.7293,18.2056,18.7196,1219043.0
2022-07-17,18.4093,18.7293,18.2056,18.7196,1219043.0
2022-07-18,18.8263,18.8263,17.9922,18.225,1286680.0
2022-07-19,18.3414,19.0979,18.3414,18.9233,830154.0
2022-07-20,18.8845,19.1464,18.6906,19.0688,991785.0
2022-07-21,19.0591,19.2434,18.8614,19.2337,1087111.0
2022-07-22,19.3113,19.3113,18.6906,18.7487,1274766.0
2022-07-23,19.3113,19.3113,18.6906,18.7487,1274766.0
2022-07-24,19.3113,19.3113,18.6906,18.7487,1274766.0
2022-07-25,18.7875,18.8845,18.5499,18.7196,1079967.0
2022-07-26,18.6227,18.8506,18.5936,18.7487,834376.0
2022-07-27,19.0106,19.5489,18.8845,19.4277,638040.0
2022-07-28,19.5441,19.7672,19.321,19.7187,585992.0
2022-07-29,19.6314,20.1212,19.5829,20.0388,827325.0
2022-07-30,19.6314,20.1212,19.5829,20.0388,827325.0
2022-07-31,19.6314,20.1212,19.5829,20.0388,827325.0
2022-08-01,19.8448,20.1648,19.7575,19.9612,880904.0
2022-08-02,20.0291,20.2618,19.4471,20.126,950153.0
2022-08-03,20.2909,20.3443,19.9321,20.2715,1128898.0
2022-08-04,20.4073,20.5237,20.1745,20.4461,799835.0
2022-08-05,20.2036,20.2715,19.9224,20.0775,527585.0
2022-08-06,20.2036,20.2715,19.9224,20.0775,527585.0
2022-08-07,20.2036,20.2715,19.9224,20.0775,527585.0
2022-08-08,20.0969,20.1454,19.675,19.903,743907.0
2022-08-09,19.6217,19.709,19.0252,19.127,847551.0
2022-08-10,19.515,20.0921,19.3251,19.9806,875317.0
2022-08-11,20.2036,20.417,19.9418,20.0291,549576.0
2022-08-12,20.1648,20.5916,20.0969,20.5431,608934.0
2022-08-13,20.1648,20.5916,20.0969,20.5431,608934.0
2022-08-14,20.1648,20.5916,20.0969,20.5431,608934.0
2022-08-15,20.3297,20.5674,20.3006,20.5043,621462.0
2022-08-16,20.3685,20.5916,20.2812,20.4364,461078.0
2022-08-17,20.4752,20.5819,20.0194,20.2715,799346.0
2022-08-18,20.2909,20.9311,20.2715,20.8632,714924.0
2022-08-19,20.6595,20.7662,20.514,20.6789,740780.0
2022-08-20,20.6595,20.7662,20.514,20.6789,740780.0
2022-08-21,20.6595,20.7662,20.514,20.6789,740780.0
2022-08-22,20.3782,20.4219,20.0388,20.1066,501957.0
2022-08-23,20.1066,20.3782,20.0097,20.0291,552914.0
2022-08-24,19.9903,20.2036,19.9321,20.0388,542561.0
2022-08-25,20.0291,20.5625,20.0291,20.3976,929424.0
2022-08-26,20.3976,20.4364,19.5732,19.5926,700796.0
2022-08-27,20.3976,20.4364,19.5732,19.5926,700796.0
2022-08-28,20.3976,20.4364,19.5732,19.5926,700796.0
2022-08-29,19.3501,19.6799,19.3307,19.4665,698133.0
2022-08-30,19.6217,19.6217,19.1076,19.224,631787.0
2022-08-31,19.1852,19.3792,18.9912,19.0785,1473979.0
2022-09-01,18.9136,18.9912,18.6033,18.7778,811125.0
2022-09-02,18.9912,19.1949,18.4772,18.613,896948.0
2022-09-03,18.9912,19.1949,18.4772,18.613,896948.0
2022-09-04,18.9912,19.1949,18.4772,18.613,896948.0
2022-09-05,18.9912,19.1949,18.4772,18.613,896948.0
2022-09-06,18.6615,18.6857,18.1474,18.225,1999304.0
2022-09-07,18.1474,18.5742,18.1474,18.4481,958910.0
2022-09-08,18.3116,18.7845,18.2043,18.7601,1004460.0
2022-09-09,18.8576,19.1794,18.8576,19.0331,812820.0
2022-09-10,18.8576,19.1794,18.8576,19.0331,812820.0
2022-09-11,18.8576,19.1794,18.8576,19.0331,812820.0
2022-09-12,19.2379,19.3939,19.1209,19.2281,982717.0
2022-09-13,18.7893,18.9746,18.492,18.5651,930570.0
2022-09-14,18.6723,18.6723,18.3213,18.5651,864712.0
2022-09-15,18.4676,18.6431,18.1994,18.2531,873212.0
2022-09-16,18.0873,18.3164,17.941,18.2921,1684848.0
2022-09-17,18.0873,18.3164,17.941,18.2921,1684848.0
2022-09-18,18.0873,18.3164,17.941,18.2921,1684848.0
2022-09-19,18.0873,18.5651,17.9605,18.4773,614326.0
2022-09-20,18.3018,18.4178,18.0288,18.2336,717505.0
2022-09-21,18.2921,18.7113,18.1848,18.1946,859198.0
2022-09-22,18.2433,18.3116,17.9215,17.9508,1004659.0
2022-09-23,17.6973,17.7948,17.356,17.7265,875780.0
2022-09-24,17.6973,17.7948,17.356,17.7265,875780.0
2022-09-25,17.6973,17.7948,17.356,17.7265,875780.0
2022-09-26,17.6875,18.0483,17.6095,17.629,765767.0
2022-09-27,17.863,18.0288,17.317,17.59,708944.0
2022-09-28,17.5315,18.1653,17.5315,18.0386,941126.0
2022-09-29,17.7363,17.7753,17.356,17.6388,709880.0
2022-09-30,17.5413,17.9654,17.3268,17.3463,1079607.0
2022-10-01,17.5413,17.9654,17.3268,17.3463,1079607.0
2022-10-02,17.5413,17.9654,17.3268,17.3463,1079607.0
2022-10-03,17.5608,18.2092,17.4243,18.0093,890609.0
2022-10-04,18.3701,18.7991,18.3701,18.7991,979608.0
2022-10-05,18.5261,18.999,18.4822,18.9649,745411.0
2022-10-06,18.9356,19.1891,18.9161,19.0331,912869.0
2022-10-07,18.7113,18.7698,18.3798,18.4091,900633.0
2022-10-08,18.7113,18.7698,18.3798,18.4091,900633.0
2022-10-09,18.7113,18.7698,18.3798,18.4091,900633.0
2022-10-10,18.4286,18.5358,17.785,17.9605,924121.0
2022-10-11,17.785,18.0727,17.4876,17.6875,1625409.0
2022-10-12,17.7655,17.8825,17.4925,17.6388,1271382.0
2022-10-13,17.3268,18.4383,17.1903,18.3701,1112691.0
2022-10-14,18.4481,18.4968,17.9118,17.9313,694713.0
2022-10-15,18.4481,18.4968,17.9118,17.9313,694713.0
2022-10-16,18.4481,18.4968,17.9118,17.9313,694713.0
2022-10-17,18.3116,18.5261,18.2043,18.4188,877029.0
2022-10-18,19.5401,19.5401,18.3896,18.9649,1932101.0
2022-10-19,18.8966,19.1891,18.6918,18.9941,1409450.0
2022-10-20,19.0916,19.6084,18.8332,18.9746,1485775.0
2022-10-21,19.1014,19.9107,19.0721,19.8619,1731944.0
2022-10-22,19.1014,19.9107,19.0721,19.8619,1731944.0
2022-10-23,19.1014,19.9107,19.0721,19.8619,1731944.0
2022-10-24,19.9107,20.0764,19.6718,19.9204,979983.0
2022-10-25,19.8424,20.4177,19.8327,20.1934,1386685.0
2022-10-26,19.9887,20.4274,19.9302,20.0959,1450715.0
2022-10-27,20.1447,20.2519,19.8328,19.9302,985251.0
