,CRD/A US Equity,CRD/A US Equity,CRD/A US Equity,CRD/A US Equity,CRD/A US Equity
2021-03-15,9.9172,9.9172,9.4414,9.6884,36776.0
2021-03-16,9.597,9.6427,9.2859,9.3774,18718.0
2021-03-17,9.414,9.4597,9.1304,9.414,92584.0
2021-03-18,9.167,9.6884,9.167,9.6884,44364.0
2021-03-19,9.6153,9.8165,9.1441,9.7525,184144.0
2021-03-20,9.6153,9.8165,9.1441,9.7525,184144.0
2021-03-21,9.6153,9.8165,9.1441,9.7525,184144.0
2021-03-22,9.5604,9.9629,9.4963,9.6884,26525.0
2021-03-23,9.5329,9.6701,9.4963,9.6701,37094.0
2021-03-24,9.7799,9.8152,9.4597,9.5421,64720.0
2021-03-25,9.4048,9.661,9.1761,9.661,32601.0
2021-03-26,9.7342,9.9446,9.7342,9.9446,13891.0
2021-03-27,9.7342,9.9446,9.7342,9.9446,13891.0
2021-03-28,9.7342,9.9446,9.7342,9.9446,13891.0
2021-03-29,9.8348,10.0178,9.597,9.6793,26818.0
2021-03-30,9.6153,9.8165,9.2402,9.8165,15931.0
2021-03-31,9.6061,9.8257,9.478,9.7433,26300.0
2021-04-01,9.6061,9.7799,9.3682,9.7708,19600.0
2021-04-02,9.6061,9.7799,9.3682,9.7708,19600.0
2021-04-03,9.6061,9.7799,9.3682,9.7708,19600.0
2021-04-04,9.6061,9.7799,9.3682,9.7708,19600.0
2021-04-05,9.6793,9.8257,9.6428,9.8165,14326.0
2021-04-06,9.7159,9.8348,9.6701,9.7525,15511.0
2021-04-07,9.7342,9.7342,9.4323,9.5329,12814.0
2021-04-08,9.5146,9.8487,9.3957,9.7891,23781.0
2021-04-09,9.7433,9.8531,9.5604,9.7891,40436.0
2021-04-10,9.7433,9.8531,9.5604,9.7891,40436.0
2021-04-11,9.7433,9.8531,9.5604,9.7891,40436.0
2021-04-12,9.8806,10.1184,9.5878,10.1184,17749.0
2021-04-13,9.8348,9.8348,9.0389,9.0755,50944.0
2021-04-14,9.048,9.5512,9.0389,9.5512,20936.0
2021-04-15,9.5238,9.6061,9.2585,9.5878,20981.0
2021-04-16,10.0635,10.0635,9.4048,9.7342,24080.0
2021-04-17,10.0635,10.0635,9.4048,9.7342,24080.0
2021-04-18,10.0635,10.0635,9.4048,9.7342,24080.0
2021-04-19,9.6427,9.725,9.4414,9.5329,37117.0
2021-04-20,9.6061,10.0178,9.1853,10.0178,49583.0
2021-04-21,9.3774,9.6884,9.3774,9.5238,21740.0
2021-04-22,9.6518,9.9903,9.3042,9.4048,27031.0
2021-04-23,9.8348,9.8348,9.295,9.295,19100.0
2021-04-24,9.8348,9.8348,9.295,9.295,19100.0
2021-04-25,9.8348,9.8348,9.295,9.295,19100.0
2021-04-26,9.3774,9.3774,9.0206,9.295,15044.0
2021-04-27,9.048,9.2768,8.9703,9.1944,22725.0
2021-04-28,9.1304,9.2859,9.0938,9.2859,14153.0
2021-04-29,9.3591,9.5787,9.2964,9.3957,16211.0
2021-04-30,9.1944,9.6793,9.1944,9.597,30523.0
2021-05-01,9.1944,9.6793,9.1944,9.597,30523.0
2021-05-02,9.1944,9.6793,9.1944,9.597,30523.0
2021-05-03,9.6061,9.6976,9.4718,9.5878,31541.0
2021-05-04,9.5146,9.5478,9.2219,9.4048,39804.0
2021-05-05,9.167,9.4014,9.167,9.3591,16146.0
2021-05-06,9.1853,9.2402,8.8834,9.0572,12316.0
2021-05-07,8.6912,9.0572,8.6912,8.92,23433.0
2021-05-08,8.6912,9.0572,8.6912,8.92,23433.0
2021-05-09,8.6912,9.0572,8.6912,8.92,23433.0
2021-05-10,9.5238,9.5238,8.801,8.8102,42543.0
2021-05-11,8.8102,8.9794,8.6565,8.7736,21243.0
2021-05-12,8.6638,8.8193,8.3161,8.4259,41191.0
2021-05-13,8.2795,8.8285,8.2795,8.8285,23118.0
2021-05-14,8.6546,9.2859,8.6546,9.2585,22890.0
2021-05-15,8.6546,9.2859,8.6546,9.2585,22890.0
2021-05-16,8.6546,9.2859,8.6546,9.2585,22890.0
2021-05-17,8.737,9.1578,8.737,9.1578,27597.0
2021-05-18,9.0938,9.2402,8.8468,8.8559,29644.0
2021-05-19,8.7004,8.8651,8.4579,8.4991,36481.0
2021-05-20,8.4625,8.767,8.4625,8.6638,63929.0
2021-05-21,8.7736,9.0069,8.6363,8.6363,42529.0
2021-05-22,8.7736,9.0069,8.6363,8.6363,42529.0
2021-05-23,8.7736,9.0069,8.6363,8.6363,42529.0
2021-05-24,9.1487,9.231,8.6912,8.7827,76522.0
2021-05-25,9.1029,9.1578,8.6272,8.6363,50423.0
2021-05-26,8.8742,8.9291,8.5632,8.5815,51415.0
2021-05-27,8.8651,9.0389,8.6912,8.9474,94559.0
2021-05-28,8.7817,8.9106,8.7633,8.9014,41795.0
2021-05-29,8.7817,8.9106,8.7633,8.9014,41795.0
2021-05-30,8.7817,8.9106,8.7633,8.9014,41795.0
2021-05-31,8.7817,8.9106,8.7633,8.9014,41795.0
2021-06-01,8.929,9.3985,8.929,9.3985,38740.0
2021-06-02,9.3985,9.4445,9.0045,9.4445,28388.0
2021-06-03,9.3248,9.4445,9.3248,9.4261,21313.0
2021-06-04,9.3892,9.5549,9.3892,9.5457,24391.0
2021-06-05,9.3892,9.5549,9.3892,9.5457,24391.0
2021-06-06,9.3892,9.5549,9.3892,9.5457,24391.0
2021-06-07,9.5089,9.5089,8.6712,8.7449,47186.0
2021-06-08,8.7633,8.883,8.6528,8.6897,32182.0
2021-06-09,8.8277,8.8277,8.4595,8.5148,79249.0
2021-06-10,8.7173,8.7679,8.5562,8.7081,33928.0
2021-06-11,8.8001,8.8139,8.5792,8.6897,48218.0
2021-06-12,8.8001,8.8139,8.5792,8.6897,48218.0
2021-06-13,8.8001,8.8139,8.5792,8.6897,48218.0
2021-06-14,9.0671,9.0671,8.6344,8.7909,55551.0
2021-06-15,9.021,9.021,8.6436,8.6712,44322.0
2021-06-16,8.5516,8.8369,8.4871,8.4963,90590.0
2021-06-17,8.4687,8.6712,8.3307,8.3583,103575.0
2021-06-18,8.165,8.4135,8.165,8.2386,137924.0
2021-06-19,8.165,8.4135,8.165,8.2386,137924.0
2021-06-20,8.165,8.4135,8.165,8.2386,137924.0
2021-06-21,8.1281,8.57,8.1281,8.5516,114201.0
2021-06-22,8.5516,8.7449,8.5516,8.6252,142834.0
2021-06-23,8.5332,8.7265,8.4963,8.6344,48997.0
2021-06-24,8.5792,8.6819,8.3122,8.3767,59824.0
2021-06-25,8.303,8.7357,8.2846,8.5976,248110.0
2021-06-26,8.303,8.7357,8.2846,8.5976,248110.0
2021-06-27,8.303,8.7357,8.2846,8.5976,248110.0
2021-06-28,8.8646,8.8646,8.3813,8.4503,51260.0
2021-06-29,8.3951,8.5109,8.3767,8.4963,30874.0
2021-06-30,8.4043,8.477,8.3055,8.3491,40294.0
2021-07-01,8.303,8.4963,8.2938,8.4503,105055.0
2021-07-02,8.4503,8.662,8.4411,8.5792,52535.0
2021-07-03,8.4503,8.662,8.4411,8.5792,52535.0
2021-07-04,8.4503,8.662,8.4411,8.5792,52535.0
2021-07-05,8.4503,8.662,8.4411,8.5792,52535.0
2021-07-06,8.7633,8.9106,8.5792,8.7541,43955.0
2021-07-07,8.8185,8.8646,8.6989,8.6989,34529.0
2021-07-08,8.7449,8.7467,8.5792,8.5792,34509.0
2021-07-09,8.7357,8.9106,8.6528,8.6528,32697.0
2021-07-10,8.7357,8.9106,8.6528,8.6528,32697.0
2021-07-11,8.7357,8.9106,8.6528,8.6528,32697.0
2021-07-12,8.5424,8.6712,8.5056,8.5056,57021.0
2021-07-13,8.5332,8.9014,8.4687,8.6805,77125.0
2021-07-14,8.7633,8.883,8.7449,8.7725,24597.0
2021-07-15,8.7449,8.9011,8.6195,8.6897,50981.0
2021-07-16,8.8369,8.8553,8.6712,8.7357,43424.0
2021-07-17,8.8369,8.8553,8.6712,8.7357,43424.0
2021-07-18,8.8369,8.8553,8.6712,8.7357,43424.0
2021-07-19,8.4227,9.1867,8.4227,9.1131,83173.0
2021-07-20,9.1959,9.5549,9.0533,9.1407,74919.0
2021-07-21,9.2972,9.5305,9.2328,9.2696,98880.0
2021-07-22,9.3064,9.4629,9.1867,9.2972,45096.0
2021-07-23,9.4537,9.6102,9.2972,9.5365,40145.0
2021-07-24,9.4537,9.6102,9.2972,9.5365,40145.0
2021-07-25,9.4537,9.6102,9.2972,9.5365,40145.0
2021-07-26,9.7298,10.1257,9.6378,9.8587,42317.0
2021-07-27,9.739,9.8127,9.6378,9.7851,26704.0
2021-07-28,9.7206,9.96,9.6378,9.9508,33738.0
2021-07-29,9.9047,9.9968,9.7114,9.8035,21448.0
2021-07-30,9.7114,9.8679,9.5273,9.7298,27825.0
2021-07-31,9.7114,9.8679,9.5273,9.7298,27825.0
2021-08-01,9.7114,9.8679,9.5273,9.7298,27825.0
2021-08-02,9.6746,9.96,9.6562,9.6654,28952.0
2021-08-03,9.6654,9.7022,9.5918,9.6378,25698.0
2021-08-04,9.4353,9.4721,9.2696,9.3248,30892.0
2021-08-05,9.1867,9.624,9.1867,9.4721,46409.0
2021-08-06,9.3432,9.7206,9.3432,9.6286,17678.0
2021-08-07,9.3432,9.7206,9.3432,9.6286,17678.0
2021-08-08,9.3432,9.7206,9.3432,9.6286,17678.0
2021-08-09,9.3064,9.426,8.7566,8.8646,197229.0
2021-08-10,8.8646,9.4353,8.8646,9.4261,38842.0
2021-08-11,9.2788,9.601,9.2788,9.5457,21622.0
2021-08-12,9.5365,9.6286,9.4629,9.5641,24677.0
2021-08-13,9.6102,9.6194,9.4813,9.5457,26405.0
2021-08-14,9.6102,9.6194,9.4813,9.5457,26405.0
2021-08-15,9.6102,9.6194,9.4813,9.5457,26405.0
2021-08-16,9.5273,9.5918,9.4997,9.5457,19762.0
2021-08-17,9.4069,9.618,9.4069,9.555,20102.0
2021-08-18,9.4994,9.6198,9.3976,9.4254,16873.0
2021-08-19,9.3235,9.4531,9.3235,9.3976,22990.0
2021-08-20,9.2032,9.6198,9.2032,9.5735,30209.0
2021-08-21,9.2032,9.6198,9.2032,9.5735,30209.0
2021-08-22,9.2032,9.6198,9.2032,9.5735,30209.0
2021-08-23,9.5735,9.5735,9.2495,9.3698,38630.0
2021-08-24,9.4346,9.5133,9.3698,9.4439,31902.0
2021-08-25,9.3513,9.3744,9.0828,9.1013,24684.0
2021-08-26,8.8884,9.1013,8.6291,8.981,39587.0
2021-08-27,8.8791,9.268,8.8791,9.2032,25731.0
2021-08-28,8.8791,9.268,8.8791,9.2032,25731.0
2021-08-29,8.8791,9.268,8.8791,9.2032,25731.0
2021-08-30,9.1106,9.2587,9.0828,9.1291,20562.0
2021-08-31,9.055,9.2598,9.018,9.2309,23240.0
2021-09-01,9.4346,9.4346,9.1846,9.2772,15049.0
2021-09-02,9.7772,9.7772,9.2124,9.2772,10349.0
2021-09-03,9.2032,9.3143,8.9902,9.2124,30528.0
2021-09-04,9.2032,9.3143,8.9902,9.2124,30528.0
2021-09-05,9.2032,9.3143,8.9902,9.2124,30528.0
2021-09-06,9.2032,9.3143,8.9902,9.2124,30528.0
2021-09-07,8.9995,9.0921,8.8421,8.8884,31486.0
2021-09-08,8.9439,9.018,8.8698,8.9902,17261.0
2021-09-09,8.8513,8.981,8.7217,8.7217,14436.0
2021-09-10,8.8698,8.9254,8.6662,8.6754,13223.0
2021-09-11,8.8698,8.9254,8.6662,8.6754,13223.0
2021-09-12,8.8698,8.9254,8.6662,8.6754,13223.0
2021-09-13,8.6291,9.0643,8.6291,8.805,19057.0
2021-09-14,8.9161,9.1291,8.5273,8.5365,17225.0
2021-09-15,8.518,8.8606,8.518,8.805,32940.0
2021-09-16,8.7125,8.8421,8.6106,8.8328,16897.0
2021-09-17,9.2217,9.2217,8.3606,8.3606,173162.0
2021-09-18,9.2217,9.2217,8.3606,8.3606,173162.0
2021-09-19,9.2217,9.2217,8.3606,8.3606,173162.0
2021-09-20,8.2032,8.4532,8.1015,8.2125,43645.0
2021-09-21,8.2125,8.3699,8.1662,8.268,28594.0
2021-09-22,8.2032,8.3791,7.8051,8.1014,67892.0
2021-09-23,8.0643,8.4162,8.0597,8.4162,20303.0
2021-09-24,8.5643,8.5643,8.3884,8.4439,30086.0
2021-09-25,8.5643,8.5643,8.3884,8.4439,30086.0
2021-09-26,8.5643,8.5643,8.3884,8.4439,30086.0
2021-09-27,8.0643,8.5921,8.0643,8.5458,19144.0
2021-09-28,8.2495,8.5273,8.2403,8.4532,26789.0
2021-09-29,8.3606,8.5706,8.3606,8.4717,10679.0
2021-09-30,8.6199,8.6199,8.2958,8.3051,15394.0
2021-10-01,8.3606,8.5458,8.1292,8.4902,33567.0
2021-10-02,8.3606,8.5458,8.1292,8.4902,33567.0
2021-10-03,8.3606,8.5458,8.1292,8.4902,33567.0
2021-10-04,8.3699,8.4995,8.2495,8.4069,23437.0
2021-10-05,8.3328,8.4015,8.3328,8.3514,10388.0
2021-10-06,8.2032,8.2958,8.1662,8.1847,58060.0
2021-10-07,8.2541,8.3791,7.9347,8.2958,44673.0
2021-10-08,8.2773,8.4902,8.2773,8.4162,10239.0
2021-10-09,8.2773,8.4902,8.2773,8.4162,10239.0
2021-10-10,8.2773,8.4902,8.2773,8.4162,10239.0
2021-10-11,8.3791,8.5365,8.3791,8.5088,11226.0
2021-10-12,8.4625,8.4856,8.2403,8.2958,16803.0
2021-10-13,8.1199,8.2958,8.1106,8.2588,13697.0
2021-10-14,8.3143,8.3791,8.2125,8.3143,13922.0
2021-10-15,8.6754,8.6754,8.2217,8.2217,30828.0
2021-10-16,8.6754,8.6754,8.2217,8.2217,30828.0
2021-10-17,8.6754,8.6754,8.2217,8.2217,30828.0
2021-10-18,8.194,8.3514,8.1106,8.2958,38217.0
2021-10-19,8.2866,8.3467,8.1569,8.3143,33832.0
2021-10-20,8.2217,8.5273,8.2217,8.481,20328.0
2021-10-21,8.3791,8.5689,8.2866,8.4254,20592.0
2021-10-22,8.3514,8.5551,8.1731,8.4995,26955.0
2021-10-23,8.3514,8.5551,8.1731,8.4995,26955.0
2021-10-24,8.3514,8.5551,8.1731,8.4995,26955.0
2021-10-25,8.4162,8.6013,8.4162,8.4532,28246.0
2021-10-26,8.3514,8.4902,8.3514,8.3606,12020.0
2021-10-27,8.1847,8.4254,8.0551,8.0551,35280.0
2021-10-28,7.9162,8.1569,7.8792,7.9162,46396.0
2021-10-29,7.8699,8.2449,7.8699,7.9995,20158.0
2021-10-30,7.8699,8.2449,7.8699,7.9995,20158.0
2021-10-31,7.8699,8.2449,7.8699,7.9995,20158.0
2021-11-01,7.9255,8.2125,7.8931,8.1477,48956.0
2021-11-02,8.1847,8.194,7.981,8.018,19413.0
2021-11-03,8.0366,8.2866,8.0366,8.2125,18423.0
2021-11-04,8.2495,8.356,8.1014,8.1384,12528.0
2021-11-05,8.3884,8.4439,8.194,8.3699,34924.0
2021-11-06,8.3884,8.4439,8.194,8.3699,34924.0
2021-11-07,8.3884,8.4439,8.194,8.3699,34924.0
2021-11-08,8.4069,8.6384,8.2495,8.3236,46942.0
2021-11-09,8.2958,8.2958,7.7958,7.8606,42684.0
2021-11-10,7.8236,7.8699,7.7042,7.8051,24497.0
2021-11-11,7.8329,7.9162,7.6477,7.9162,53551.0
2021-11-12,7.9162,7.944,7.6107,7.8977,66501.0
2021-11-13,7.9162,7.944,7.6107,7.8977,66501.0
2021-11-14,7.9162,7.944,7.6107,7.8977,66501.0
2021-11-15,7.9532,7.9532,7.657,7.7495,23035.0
2021-11-16,7.6384,7.7681,7.5088,7.5088,26638.0
2021-11-17,7.5736,7.5736,7.3329,7.444,45795.0
2021-11-18,7.4162,7.4533,7.3699,7.4255,45717.0
2021-11-19,7.2576,7.5188,7.2576,7.4628,33395.0
2021-11-20,7.2576,7.5188,7.2576,7.4628,33395.0
2021-11-21,7.2576,7.5188,7.2576,7.4628,33395.0
2021-11-22,7.3975,7.6867,7.2576,7.5561,30649.0
2021-11-23,7.4628,7.6227,7.2576,7.2762,39903.0
2021-11-24,7.2389,7.4395,7.2389,7.4068,55563.0
2021-11-25,7.2389,7.4395,7.2389,7.4068,55563.0
2021-11-26,7.1829,7.3695,7.1783,7.2296,22695.0
2021-11-27,7.1829,7.3695,7.1783,7.2296,22695.0
2021-11-28,7.1829,7.3695,7.1783,7.2296,22695.0
2021-11-29,7.4908,7.4908,7.2762,7.3229,47229.0
2021-11-30,7.2856,7.3322,6.7725,6.8005,365496.0
2021-12-01,7.3695,7.3695,6.9497,7.071,53939.0
2021-12-02,6.9684,7.155,6.9684,6.987,33767.0
2021-12-03,7.2576,7.2576,6.8285,7.099,99626.0
2021-12-04,7.2576,7.2576,6.8285,7.099,99626.0
2021-12-05,7.2576,7.2576,6.8285,7.099,99626.0
2021-12-06,7.155,7.2576,6.9977,7.1176,55578.0
2021-12-07,7.0803,7.141,6.9497,7.043,59745.0
2021-12-08,7.0057,7.0897,6.9684,7.0244,48339.0
2021-12-09,6.9777,7.1363,6.9777,7.099,22226.0
2021-12-10,7.2389,7.2389,7.0057,7.0897,47924.0
2021-12-11,7.2389,7.2389,7.0057,7.0897,47924.0
2021-12-12,7.2389,7.2389,7.0057,7.0897,47924.0
2021-12-13,6.9777,7.1083,6.9777,7.015,45822.0
2021-12-14,6.9031,7.015,6.8611,6.8658,78071.0
2021-12-15,6.8564,7.099,6.8564,6.8938,79930.0
2021-12-16,6.8378,6.9964,6.8378,6.8658,91156.0
2021-12-17,6.8471,7.0337,6.8471,6.9217,119128.0
2021-12-18,6.8471,7.0337,6.8471,6.9217,119128.0
2021-12-19,6.8471,7.0337,6.8471,6.9217,119128.0
2021-12-20,6.7725,6.9124,6.7445,6.8005,80271.0
2021-12-21,6.8658,6.9404,6.8564,6.8564,109405.0
2021-12-22,6.8564,7.071,6.8285,6.9964,31736.0
2021-12-23,6.9217,7.071,6.9217,7.0057,16419.0
2021-12-24,6.9217,7.071,6.9217,7.0057,16419.0
2021-12-25,6.9217,7.071,6.9217,7.0057,16419.0
2021-12-26,6.9217,7.071,6.9217,7.0057,16419.0
2021-12-27,7.015,7.127,6.9124,7.0897,49936.0
2021-12-28,7.0337,7.1629,6.9031,7.071,39261.0
2021-12-29,7.1363,7.2016,7.0617,7.1829,14022.0
2021-12-30,7.2016,7.2016,7.043,7.099,18450.0
2021-12-31,6.9404,7.1643,6.9404,6.987,29865.0
2022-01-01,6.9404,7.1643,6.9404,6.987,29865.0
2022-01-02,6.9404,7.1643,6.9404,6.987,29865.0
2022-01-03,7.015,7.1923,6.9964,7.1923,42561.0
2022-01-04,7.0897,7.2762,7.0897,7.2016,29562.0
2022-01-05,7.3229,7.4068,7.2576,7.3229,31900.0
2022-01-06,7.4115,7.4317,7.2762,7.3602,56142.0
2022-01-07,7.2762,7.4721,7.2762,7.3509,28775.0
2022-01-08,7.2762,7.4721,7.2762,7.3509,28775.0
2022-01-09,7.2762,7.4721,7.2762,7.3509,28775.0
2022-01-10,7.3695,7.4875,7.3415,7.3602,30692.0
2022-01-11,7.4255,7.4255,7.2669,7.3229,12441.0
2022-01-12,7.4441,7.4441,7.099,7.099,83486.0
2022-01-13,7.099,7.2762,7.099,7.2669,31878.0
2022-01-14,7.2296,7.4628,7.2296,7.3135,40759.0
2022-01-15,7.2296,7.4628,7.2296,7.3135,40759.0
2022-01-16,7.2296,7.4628,7.2296,7.3135,40759.0
2022-01-17,7.2296,7.4628,7.2296,7.3135,40759.0
2022-01-18,7.4628,7.5001,7.127,7.1643,28645.0
2022-01-19,7.4139,7.4139,7.071,7.0803,19999.0
2022-01-20,7.2674,7.2674,6.8938,6.9124,33014.0
2022-01-21,6.8098,7.0803,6.8098,7.0057,64580.0
2022-01-22,6.8098,7.0803,6.8098,7.0057,64580.0
2022-01-23,6.8098,7.0803,6.8098,7.0057,64580.0
2022-01-24,6.9591,7.2296,6.8378,7.2296,38690.0
2022-01-25,7.0523,7.2856,6.8658,7.2389,17374.0
2022-01-26,7.3695,7.3975,7.041,7.127,37995.0
2022-01-27,7.155,7.1829,7.0897,7.1456,23444.0
2022-01-28,6.9777,6.9964,6.7911,6.987,14942.0
2022-01-29,6.9777,6.9964,6.7911,6.987,14942.0
2022-01-30,6.9777,6.9964,6.7911,6.987,14942.0
2022-01-31,6.9964,7.1643,6.9964,7.099,29052.0
2022-02-01,7.1363,7.2016,7.0523,7.2016,69831.0
2022-02-02,7.155,7.2576,7.155,7.2203,34129.0
2022-02-03,7.1083,7.1829,7.099,7.1829,14061.0
2022-02-04,7.1363,7.2856,7.0617,7.2482,24148.0
2022-02-05,7.1363,7.2856,7.0617,7.2482,24148.0
2022-02-06,7.1363,7.2856,7.0617,7.2482,24148.0
2022-02-07,7.1643,7.2669,6.9591,7.2389,21295.0
2022-02-08,7.1363,7.2389,7.0337,7.2109,10314.0
2022-02-09,7.155,7.2669,7.1363,7.2576,49840.0
2022-02-10,7.099,7.2389,7.0617,7.1643,22358.0
2022-02-11,7.1176,7.3229,7.0431,7.1363,23375.0
2022-02-12,7.1176,7.3229,7.0431,7.1363,23375.0
2022-02-13,7.1176,7.3229,7.0431,7.1363,23375.0
2022-02-14,7.0803,7.0897,7.0057,7.0617,49024.0
2022-02-15,7.1456,7.2762,6.9684,7.2109,14301.0
2022-02-16,7.127,7.2668,7.0523,7.1643,24531.0
2022-02-17,7.0617,7.2436,7.0617,7.1829,20357.0
2022-02-18,7.015,7.2109,7.015,7.1829,20966.0
2022-02-19,7.015,7.2109,7.015,7.1829,20966.0
2022-02-20,7.015,7.2109,7.015,7.1829,20966.0
2022-02-21,7.015,7.2109,7.015,7.1829,20966.0
2022-02-22,7.1643,7.2063,7.0897,7.1829,18595.0
2022-02-23,7.1643,7.2471,7.1363,7.1829,18494.0
2022-02-24,7.0244,7.4255,7.0244,7.155,27757.0
2022-02-25,7.531,7.531,7.1174,7.2866,32792.0
2022-02-26,7.531,7.531,7.1174,7.2866,32792.0
2022-02-27,7.531,7.531,7.1174,7.2866,32792.0
2022-02-28,7.1738,7.5216,7.1738,7.249,26046.0
2022-03-01,7.2662,7.2662,6.9246,7.0421,80978.0
2022-03-02,7.0703,7.2678,7.0703,7.202,14262.0
2022-03-03,7.3054,7.3054,7.1362,7.1832,20631.0
2022-03-04,7.1926,7.3617,7.1926,7.202,10068.0
2022-03-05,7.1926,7.3617,7.1926,7.202,10068.0
2022-03-06,7.1926,7.3617,7.1926,7.202,10068.0
2022-03-07,7.343,7.343,7.0421,7.0421,22367.0
2022-03-08,7.0609,7.2114,6.7131,6.7131,84049.0
2022-03-09,6.8823,6.9669,6.7789,6.8917,15292.0
2022-03-10,6.7883,6.9387,6.7789,6.7789,13233.0
2022-03-11,6.9575,7.0045,6.793,6.8541,19587.0
2022-03-12,6.9575,7.0045,6.793,6.8541,19587.0
2022-03-13,6.9575,7.0045,6.793,6.8541,19587.0
2022-03-14,7.0045,7.0045,6.6755,6.6755,19928.0
2022-03-15,6.6755,6.7131,6.5908,6.6567,23957.0
2022-03-16,6.7977,6.7977,6.5438,6.6473,36025.0
2022-03-17,6.572,6.822,6.5626,6.7789,16952.0
2022-03-18,6.6002,6.9105,6.6002,6.7883,98871.0
2022-03-19,6.6002,6.9105,6.6002,6.7883,98871.0
2022-03-20,6.6002,6.9105,6.6002,6.7883,98871.0
2022-03-21,6.7225,6.9481,6.7225,6.8729,14998.0
2022-03-22,6.7695,7.0045,6.7695,6.9293,30998.0
2022-03-23,6.8447,7.0139,6.8447,6.9199,49396.0
2022-03-24,6.8729,7.0233,6.7695,6.8635,1509088.0
2022-03-25,6.8259,7.2208,6.8259,7.1738,35875.0
2022-03-26,6.8259,7.2208,6.8259,7.1738,35875.0
2022-03-27,6.8259,7.2208,6.8259,7.1738,35875.0
2022-03-28,7.0797,7.1098,6.9481,7.0421,9977.0
2022-03-29,7.2208,7.2208,7.0609,7.108,46444.0
2022-03-30,7.0797,7.2584,7.0797,7.108,32387.0
2022-03-31,7.0139,7.202,6.8541,7.108,36290.0
2022-04-01,7.2396,7.296,7.1926,7.2584,19285.0
2022-04-02,7.2396,7.296,7.1926,7.2584,19285.0
2022-04-03,7.2396,7.296,7.1926,7.2584,19285.0
2022-04-04,7.3524,7.3524,7.1644,7.2208,29671.0
2022-04-05,7.0797,7.296,7.0797,7.1738,29088.0
2022-04-06,7.1268,7.2067,7.0797,7.1456,22915.0
2022-04-07,7.0797,7.2114,7.0797,7.108,24193.0
2022-04-08,7.0609,7.202,7.0609,7.1456,670609.0
2022-04-09,7.0609,7.202,7.0609,7.1456,670609.0
2022-04-10,7.0609,7.202,7.0609,7.1456,670609.0
2022-04-11,7.1174,7.2396,7.1174,7.2208,24070.0
2022-04-12,7.3054,7.4793,7.3054,7.3994,33965.0
2022-04-13,7.3242,7.4652,7.3148,7.3618,43686.0
2022-04-14,7.2584,7.5593,7.2584,7.4088,39653.0
2022-04-15,7.2584,7.5593,7.2584,7.4088,39653.0
2022-04-16,7.2584,7.5593,7.2584,7.4088,39653.0
2022-04-17,7.2584,7.5593,7.2584,7.4088,39653.0
2022-04-18,7.296,7.4746,7.296,7.39,15428.0
2022-04-19,7.5593,7.6157,7.3994,7.5122,23905.0
2022-04-20,7.5498,7.7379,7.5498,7.6533,16513.0
2022-04-21,7.5875,7.7095,7.5875,7.6721,15688.0
2022-04-22,7.7661,7.7661,7.6627,7.6909,23500.0
2022-04-23,7.7661,7.7661,7.6627,7.6909,23500.0
2022-04-24,7.7661,7.7661,7.6627,7.6909,23500.0
2022-04-25,7.7097,7.7097,7.6251,7.6533,25189.0
2022-04-26,7.5498,7.5687,7.484,7.5216,25146.0
2022-04-27,7.484,7.6439,7.2866,7.3148,39055.0
2022-04-28,7.3007,7.4088,7.2114,7.39,21897.0
2022-04-29,7.3383,7.4276,7.249,7.3336,30822.0
2022-04-30,7.3383,7.4276,7.249,7.3336,30822.0
2022-05-01,7.3383,7.4276,7.249,7.3336,30822.0
2022-05-02,7.3806,7.3806,7.0986,7.1738,24645.0
2022-05-03,7.0609,7.4934,7.0609,7.3524,879954.0
2022-05-04,7.155,7.4088,7.155,7.296,24418.0
2022-05-05,7.3148,7.3947,7.1739,7.3148,30214.0
2022-05-06,7.484,7.484,7.2114,7.2114,15481.0
2022-05-07,7.484,7.484,7.2114,7.2114,15481.0
2022-05-08,7.484,7.484,7.2114,7.2114,15481.0
2022-05-09,7.1174,7.1174,7.0609,7.0609,39466.0
2022-05-10,7.0986,7.2866,7.0986,7.2584,47054.0
2022-05-11,7.2678,7.39,7.0703,7.0703,34400.0
2022-05-12,7.0609,7.1926,7.0609,7.0986,45509.0
2022-05-13,7.3524,7.3524,7.0797,7.0891,38761.0
2022-05-14,7.3524,7.3524,7.0797,7.0891,38761.0
2022-05-15,7.3524,7.3524,7.0797,7.0891,38761.0
2022-05-16,7.0609,7.2208,7.0609,7.1268,124515.0
2022-05-17,7.1926,7.2302,7.0986,7.1644,33379.0
2022-05-18,7.0609,7.2302,7.0609,7.0891,34109.0
2022-05-19,7.1436,7.1464,6.9199,6.9199,54045.0
2022-05-20,6.9575,7.0045,6.9293,6.9951,36982.0
2022-05-21,6.9575,7.0045,6.9293,6.9951,36982.0
2022-05-22,6.9575,7.0045,6.9293,6.9951,36982.0
2022-05-23,7.2866,7.2866,6.9763,6.9763,14176.0
2022-05-24,7.0421,7.1644,7.0327,7.108,53781.0
2022-05-25,7.0943,7.3806,7.0943,7.343,31994.0
2022-05-26,7.3998,7.583,7.3998,7.4756,45878.0
2022-05-27,7.703,7.722,7.5988,7.6178,31964.0
2022-05-28,7.703,7.722,7.5988,7.6178,31964.0
2022-05-29,7.703,7.722,7.5988,7.6178,31964.0
2022-05-30,7.703,7.722,7.5988,7.6178,31964.0
