,UFS US Equity,UFS US Equity,UFS US Equity,UFS US Equity,UFS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2022-10-24,55.48,55.5,55.47,55.49,3952659.0
2022-10-25,55.48,55.5,55.47,55.49,3952659.0
2022-10-26,55.48,55.5,55.47,55.49,3952659.0
2022-10-27,55.48,55.5,55.47,55.49,3952659.0
2022-10-28,55.48,55.5,55.47,55.49,3952659.0
2022-10-29,55.48,55.5,55.47,55.49,3952659.0
2022-10-30,55.48,55.5,55.47,55.49,3952659.0
2022-10-31,55.48,55.5,55.47,55.49,3952659.0
2022-11-01,55.48,55.5,55.47,55.49,3952659.0
2022-11-02,55.48,55.5,55.47,55.49,3952659.0
2022-11-03,55.48,55.5,55.47,55.49,3952659.0
2022-11-04,55.48,55.5,55.47,55.49,3952659.0
2022-11-05,55.48,55.5,55.47,55.49,3952659.0
2022-11-06,55.48,55.5,55.47,55.49,3952659.0
2022-11-07,55.48,55.5,55.47,55.49,3952659.0
2022-11-08,55.48,55.5,55.47,55.49,3952659.0
2022-11-09,55.48,55.5,55.47,55.49,3952659.0
2022-11-10,55.48,55.5,55.47,55.49,3952659.0
2022-11-11,55.48,55.5,55.47,55.49,3952659.0
2022-11-12,55.48,55.5,55.47,55.49,3952659.0
2022-11-13,55.48,55.5,55.47,55.49,3952659.0
2022-11-14,55.48,55.5,55.47,55.49,3952659.0
2022-11-15,55.48,55.5,55.47,55.49,3952659.0
2022-11-16,55.48,55.5,55.47,55.49,3952659.0
2022-11-17,55.48,55.5,55.47,55.49,3952659.0
2022-11-18,55.48,55.5,55.47,55.49,3952659.0
2022-11-19,55.48,55.5,55.47,55.49,3952659.0
2022-11-20,55.48,55.5,55.47,55.49,3952659.0
2022-11-21,55.48,55.5,55.47,55.49,3952659.0
2022-11-22,55.48,55.5,55.47,55.49,3952659.0
2022-11-23,55.48,55.5,55.47,55.49,3952659.0
2022-11-24,55.48,55.5,55.47,55.49,3952659.0
2022-11-25,55.48,55.5,55.47,55.49,3952659.0
2022-11-26,55.48,55.5,55.47,55.49,3952659.0
2022-11-27,55.48,55.5,55.47,55.49,3952659.0
2022-11-28,55.48,55.5,55.47,55.49,3952659.0
2022-11-29,55.48,55.5,55.47,55.49,3952659.0
2022-11-30,55.48,55.5,55.47,55.49,3952659.0
2022-12-01,55.48,55.5,55.47,55.49,3952659.0
2022-12-02,55.48,55.5,55.47,55.49,3952659.0
2022-12-03,55.48,55.5,55.47,55.49,3952659.0
2022-12-04,55.48,55.5,55.47,55.49,3952659.0
2022-12-05,55.48,55.5,55.47,55.49,3952659.0
2022-12-06,55.48,55.5,55.47,55.49,3952659.0
2022-12-07,55.48,55.5,55.47,55.49,3952659.0
2022-12-08,55.48,55.5,55.47,55.49,3952659.0
2022-12-09,55.48,55.5,55.47,55.49,3952659.0
2022-12-10,55.48,55.5,55.47,55.49,3952659.0
2022-12-11,55.48,55.5,55.47,55.49,3952659.0
2022-12-12,55.48,55.5,55.47,55.49,3952659.0
2022-12-13,55.48,55.5,55.47,55.49,3952659.0
2022-12-14,55.48,55.5,55.47,55.49,3952659.0
2022-12-15,55.48,55.5,55.47,55.49,3952659.0
2022-12-16,55.48,55.5,55.47,55.49,3952659.0
2022-12-17,55.48,55.5,55.47,55.49,3952659.0
2022-12-18,55.48,55.5,55.47,55.49,3952659.0
2022-12-19,55.48,55.5,55.47,55.49,3952659.0
2022-12-20,55.48,55.5,55.47,55.49,3952659.0
2022-12-21,55.48,55.5,55.47,55.49,3952659.0
2022-12-22,55.48,55.5,55.47,55.49,3952659.0
2022-12-23,55.48,55.5,55.47,55.49,3952659.0
2022-12-24,55.48,55.5,55.47,55.49,3952659.0
2022-12-25,55.48,55.5,55.47,55.49,3952659.0
2022-12-26,55.48,55.5,55.47,55.49,3952659.0
2022-12-27,55.48,55.5,55.47,55.49,3952659.0
2022-12-28,55.48,55.5,55.47,55.49,3952659.0
2022-12-29,55.48,55.5,55.47,55.49,3952659.0
2022-12-30,55.48,55.5,55.47,55.49,3952659.0
2022-12-31,55.48,55.5,55.47,55.49,3952659.0
2023-01-01,55.48,55.5,55.47,55.49,3952659.0
2023-01-02,55.48,55.5,55.47,55.49,3952659.0
2023-01-03,55.48,55.5,55.47,55.49,3952659.0
2023-01-04,55.48,55.5,55.47,55.49,3952659.0
2023-01-05,55.48,55.5,55.47,55.49,3952659.0
2023-01-06,55.48,55.5,55.47,55.49,3952659.0
2023-01-07,55.48,55.5,55.47,55.49,3952659.0
2023-01-08,55.48,55.5,55.47,55.49,3952659.0
2023-01-09,55.48,55.5,55.47,55.49,3952659.0
2023-01-10,55.48,55.5,55.47,55.49,3952659.0
2023-01-11,55.48,55.5,55.47,55.49,3952659.0
2023-01-12,55.48,55.5,55.47,55.49,3952659.0
2023-01-13,55.48,55.5,55.47,55.49,3952659.0
2023-01-14,55.48,55.5,55.47,55.49,3952659.0
2023-01-15,55.48,55.5,55.47,55.49,3952659.0
2023-01-16,55.48,55.5,55.47,55.49,3952659.0
2023-01-17,55.48,55.5,55.47,55.49,3952659.0
2023-01-18,55.48,55.5,55.47,55.49,3952659.0
2023-01-19,55.48,55.5,55.47,55.49,3952659.0
2023-01-20,55.48,55.5,55.47,55.49,3952659.0
2023-01-21,55.48,55.5,55.47,55.49,3952659.0
2023-01-22,55.48,55.5,55.47,55.49,3952659.0
2023-01-23,55.48,55.5,55.47,55.49,3952659.0
2023-01-24,55.48,55.5,55.47,55.49,3952659.0
2023-01-25,55.48,55.5,55.47,55.49,3952659.0
2023-01-26,55.48,55.5,55.47,55.49,3952659.0
2023-01-27,55.48,55.5,55.47,55.49,3952659.0
2023-01-28,55.48,55.5,55.47,55.49,3952659.0
2023-01-29,55.48,55.5,55.47,55.49,3952659.0
2023-01-30,55.48,55.5,55.47,55.49,3952659.0
2023-01-31,55.48,55.5,55.47,55.49,3952659.0
2023-02-01,55.48,55.5,55.47,55.49,3952659.0
2023-02-02,55.48,55.5,55.47,55.49,3952659.0
2023-02-03,55.48,55.5,55.47,55.49,3952659.0
2023-02-04,55.48,55.5,55.47,55.49,3952659.0
2023-02-05,55.48,55.5,55.47,55.49,3952659.0
2023-02-06,55.48,55.5,55.47,55.49,3952659.0
2023-02-07,55.48,55.5,55.47,55.49,3952659.0
2023-02-08,55.48,55.5,55.47,55.49,3952659.0
2023-02-09,55.48,55.5,55.47,55.49,3952659.0
2023-02-10,55.48,55.5,55.47,55.49,3952659.0
2023-02-11,55.48,55.5,55.47,55.49,3952659.0
2023-02-12,55.48,55.5,55.47,55.49,3952659.0
2023-02-13,55.48,55.5,55.47,55.49,3952659.0
2023-02-14,55.48,55.5,55.47,55.49,3952659.0
2023-02-15,55.48,55.5,55.47,55.49,3952659.0
2023-02-16,55.48,55.5,55.47,55.49,3952659.0
2023-02-17,55.48,55.5,55.47,55.49,3952659.0
2023-02-18,55.48,55.5,55.47,55.49,3952659.0
2023-02-19,55.48,55.5,55.47,55.49,3952659.0
2023-02-20,55.48,55.5,55.47,55.49,3952659.0
2023-02-21,55.48,55.5,55.47,55.49,3952659.0
2023-02-22,55.48,55.5,55.47,55.49,3952659.0
2023-02-23,55.48,55.5,55.47,55.49,3952659.0
2023-02-24,55.48,55.5,55.47,55.49,3952659.0
2023-02-25,55.48,55.5,55.47,55.49,3952659.0
2023-02-26,55.48,55.5,55.47,55.49,3952659.0
2023-02-27,55.48,55.5,55.47,55.49,3952659.0
2023-02-28,55.48,55.5,55.47,55.49,3952659.0
2023-03-01,55.48,55.5,55.47,55.49,3952659.0
2023-03-02,55.48,55.5,55.47,55.49,3952659.0
2023-03-03,55.48,55.5,55.47,55.49,3952659.0
2023-03-04,55.48,55.5,55.47,55.49,3952659.0
2023-03-05,55.48,55.5,55.47,55.49,3952659.0
2023-03-06,55.48,55.5,55.47,55.49,3952659.0
2023-03-07,55.48,55.5,55.47,55.49,3952659.0
2023-03-08,55.48,55.5,55.47,55.49,3952659.0
2023-03-09,55.48,55.5,55.47,55.49,3952659.0
2023-03-10,55.48,55.5,55.47,55.49,3952659.0
2023-03-11,55.48,55.5,55.47,55.49,3952659.0
2023-03-12,55.48,55.5,55.47,55.49,3952659.0
2023-03-13,55.48,55.5,55.47,55.49,3952659.0
2023-03-14,55.48,55.5,55.47,55.49,3952659.0
2023-03-15,55.48,55.5,55.47,55.49,3952659.0
2023-03-16,55.48,55.5,55.47,55.49,3952659.0
2023-03-17,55.48,55.5,55.47,55.49,3952659.0
2023-03-18,55.48,55.5,55.47,55.49,3952659.0
2023-03-19,55.48,55.5,55.47,55.49,3952659.0
2023-03-20,55.48,55.5,55.47,55.49,3952659.0
2023-03-21,55.48,55.5,55.47,55.49,3952659.0
2023-03-22,55.48,55.5,55.47,55.49,3952659.0
2023-03-23,55.48,55.5,55.47,55.49,3952659.0
