,ONGC IN Equity,ONGC IN Equity,ONGC IN Equity,ONGC IN Equity,ONGC IN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2014-06-18,183.82,187.21,178.33,182.75,12597935.0
2014-06-19,179.67,181.84,168.53,173.69,29904650.0
2014-06-20,173.6,177.42,171.31,172.35,14246898.0
2014-06-21,173.6,177.42,171.31,172.35,14246898.0
2014-06-22,173.6,177.42,171.31,172.35,14246898.0
2014-06-23,173.95,182.71,173.07,180.64,14331737.0
2014-06-24,183.7,185.35,177.92,182.85,17633297.0
2014-06-25,183.7,185.04,179.26,180.33,14000261.0
2014-06-26,171.31,173.05,167.76,169.81,28391126.0
2014-06-27,171.91,172.88,168.22,169.74,10945148.0
2014-06-28,171.91,172.88,168.22,169.74,10945148.0
2014-06-29,171.91,172.88,168.22,169.74,10945148.0
2014-06-30,172.51,176.12,171.42,175.38,12615809.0
2014-07-01,177.09,177.51,173.54,174.66,10494168.0
2014-07-02,175.85,177.46,174.02,176.1,8489501.0
2014-07-03,177.05,177.34,172.22,172.61,8072693.0
2014-07-04,171.4,175.19,169.89,174.12,13387494.0
2014-07-05,171.4,175.19,169.89,174.12,13387494.0
2014-07-06,171.4,175.19,169.89,174.12,13387494.0
2014-07-07,175.73,175.73,170.88,171.54,8085342.0
2014-07-08,173.25,173.36,162.69,163.76,16753248.0
2014-07-09,164.83,168.69,161.22,167.16,11155767.0
2014-07-10,167.16,171.52,163.02,166.77,16518566.0
2014-07-11,166.38,167.23,161.45,163.53,10637514.0
2014-07-12,166.38,167.23,161.45,163.53,10637514.0
2014-07-13,166.38,167.23,161.45,163.53,10637514.0
2014-07-14,163.63,166.67,162.6,166.26,7886823.0
2014-07-15,167.08,170.98,166.77,170.34,8869071.0
2014-07-16,170.9,172.47,169.25,171.77,8566622.0
2014-07-17,170.12,171.73,167.23,170.59,10480217.0
2014-07-18,170.18,170.9,168.01,169.46,7050609.0
2014-07-19,170.18,170.9,168.01,169.46,7050609.0
2014-07-20,170.18,170.9,168.01,169.46,7050609.0
2014-07-21,168.84,170.61,167.35,167.89,3258365.0
2014-07-22,168.01,169.58,167.76,168.79,4958357.0
