,SUNTV IN Equity,SUNTV IN Equity,SUNTV IN Equity,SUNTV IN Equity,SUNTV IN Equity
2012-11-06,247.59,251.97,244.52,250.32,642504.0
2012-11-07,251.89,251.89,247.77,249.45,603249.0
2012-11-08,241.79,249.52,236.57,242.33,719783.0
2012-11-09,241.57,248.13,237.66,239.56,1025087.0
2012-11-10,241.57,248.13,237.66,239.56,1025087.0
2012-11-11,241.57,248.13,237.66,239.56,1025087.0
2012-11-12,240.11,248.13,234.45,246.02,1643478.0
2012-11-13,247.55,252.15,246.68,251.09,334652.0
2012-11-14,247.55,252.15,246.68,251.09,334652.0
2012-11-15,250.25,272.8,248.46,269.26,3073299.0
2012-11-16,270.1,272.66,259.08,260.65,1487676.0
2012-11-17,270.1,272.66,259.08,260.65,1487676.0
2012-11-18,270.1,272.66,259.08,260.65,1487676.0
2012-11-19,262.0,271.85,259.7,268.02,1672545.0
2012-11-20,269.37,279.52,266.16,274.7,3273783.0
2012-11-21,279.4,282.86,274.04,281.2,2543014.0
2012-11-22,282.23,285.43,275.25,277.79,1125257.0
2012-11-23,277.75,285.54,271.91,281.94,1005608.0
2012-11-24,277.75,285.54,271.91,281.94,1005608.0
2012-11-25,277.75,285.54,271.91,281.94,1005608.0
2012-11-26,283.59,287.89,277.42,278.85,2047687.0
2012-11-27,280.43,289.14,278.45,285.39,2219181.0
2012-11-28,280.43,289.14,278.45,285.39,2219181.0
2012-11-29,285.06,304.23,284.1,299.02,2860266.0
2012-11-30,300.67,302.51,294.06,300.34,2741971.0
2012-12-01,300.67,302.51,294.06,300.34,2741971.0
2012-12-02,300.67,302.51,294.06,300.34,2741971.0
2012-12-03,297.55,305.63,297.55,301.19,655021.0
2012-12-04,299.75,309.3,297.03,303.35,1380361.0
2012-12-05,305.63,310.33,304.16,308.13,1260895.0
2012-12-06,308.97,314.37,302.4,311.91,1716171.0
2012-12-07,314.23,316.8,305.52,308.17,1092470.0
2012-12-08,314.23,316.8,305.52,308.17,1092470.0
2012-12-09,314.23,316.8,305.52,308.17,1092470.0
2012-12-10,307.98,310.74,301.22,303.24,2528285.0
2012-12-11,303.43,307.76,287.78,297.73,2299145.0
2012-12-12,297.55,301.15,291.97,297.25,954841.0
2012-12-13,298.28,302.73,292.11,294.32,977227.0
2012-12-14,297.48,299.28,288.81,296.45,1639681.0
2012-12-15,297.48,299.28,288.81,296.45,1639681.0
2012-12-16,297.48,299.28,288.81,296.45,1639681.0
2012-12-17,296.45,301.66,295.12,299.57,641070.0
2012-12-18,300.45,305.48,296.15,304.23,1322506.0
2012-12-19,307.83,307.83,302.29,303.83,1128032.0
2012-12-20,303.65,313.71,303.65,311.77,1368034.0
2012-12-21,309.82,314.23,289.17,300.97,1052698.0
2012-12-22,309.82,314.23,289.17,300.97,1052698.0
2012-12-23,309.82,314.23,289.17,300.97,1052698.0
2012-12-24,303.68,309.16,295.23,307.58,976297.0
2012-12-25,303.68,309.16,295.23,307.58,976297.0
2012-12-26,308.02,319.04,308.02,316.06,1387371.0
2012-12-27,316.65,318.89,308.64,309.97,1462657.0
2012-12-28,312.54,314.3,307.17,309.08,536668.0
2012-12-29,312.54,314.3,307.17,309.08,536668.0
2012-12-30,312.54,314.3,307.17,309.08,536668.0
2012-12-31,310.48,315.29,307.91,313.79,1058330.0
2013-01-01,314.89,317.39,312.24,316.54,515745.0
2013-01-02,318.12,324.73,314.81,323.26,984636.0
2013-01-03,326.86,327.19,322.57,325.21,779801.0
2013-01-04,324.81,325.87,320.18,322.64,605406.0
2013-01-05,324.81,325.87,320.18,322.64,605406.0
2013-01-06,324.81,325.87,320.18,322.64,605406.0
2013-01-07,322.68,325.69,319.96,320.95,565051.0
2013-01-08,322.01,327.38,320.84,324.84,1362781.0
2013-01-09,325.28,328.26,318.23,320.25,743079.0
2013-01-10,323.45,324.44,313.34,315.77,752530.0
2013-01-11,317.17,319.59,309.38,311.29,677164.0
2013-01-12,317.17,319.59,309.38,311.29,677164.0
2013-01-13,317.17,319.59,309.38,311.29,677164.0
2013-01-14,311.51,322.42,306.92,321.24,763727.0
2013-01-15,322.27,322.64,316.17,319.77,455566.0
2013-01-16,320.84,323.26,304.45,306.62,853443.0
2013-01-17,307.17,314.37,306.18,313.27,405056.0
2013-01-18,315.92,315.92,306.92,308.13,742289.0
2013-01-19,315.92,315.92,306.92,308.13,742289.0
2013-01-20,315.92,315.92,306.92,308.13,742289.0
2013-01-21,308.57,313.34,307.83,311.47,258532.0
2013-01-22,312.32,319.52,310.04,311.58,631751.0
2013-01-23,314.45,326.57,313.82,322.68,2405888.0
2013-01-24,323.34,329.88,313.45,316.91,1547820.0
2013-01-25,317.9,328.77,314.45,326.86,809191.0
2013-01-26,317.9,328.77,314.45,326.86,809191.0
2013-01-27,317.9,328.77,314.45,326.86,809191.0
2013-01-28,328.86,338.39,326.27,336.87,1227544.0
2013-01-29,335.43,353.76,334.69,347.0,2956940.0
2013-01-30,345.15,353.17,331.81,346.85,1645236.0
2013-01-31,347.99,350.95,343.56,348.81,1181194.0
2013-02-01,347.4,357.86,345.78,354.61,1333449.0
2013-02-02,347.4,357.86,345.78,354.61,1333449.0
2013-02-03,347.4,357.86,345.78,354.61,1333449.0
2013-02-04,357.78,365.65,354.64,363.51,2730455.0
2013-02-05,365.28,365.28,348.73,350.95,1574324.0
2013-02-06,353.17,359.0,352.06,354.46,1134182.0
2013-02-07,354.83,354.83,343.97,345.22,1062977.0
2013-02-08,346.52,350.95,339.87,346.11,1311984.0
2013-02-09,346.52,350.95,339.87,346.11,1311984.0
2013-02-10,346.52,350.95,339.87,346.11,1311984.0
2013-02-11,347.33,347.85,341.71,344.23,2315557.0
2013-02-12,343.56,344.56,330.93,336.58,1881338.0
2013-02-13,338.2,339.13,321.4,323.94,1185935.0
2013-02-14,325.09,332.48,321.54,330.45,835642.0
2013-02-15,329.89,333.07,322.5,327.12,690447.0
2013-02-16,329.89,333.07,322.5,327.12,690447.0
2013-02-17,329.89,333.07,322.5,327.12,690447.0
2013-02-18,327.16,327.75,318.81,325.13,1391412.0
2013-02-19,328.78,331.0,321.21,328.78,934530.0
2013-02-20,330.26,333.81,325.46,327.79,608066.0
2013-02-21,322.87,322.87,301.45,303.88,2123356.0
2013-02-22,303.66,308.1,297.94,303.22,2423925.0
2013-02-23,303.66,308.1,297.94,303.22,2423925.0
2013-02-24,303.66,308.1,297.94,303.22,2423925.0
2013-02-25,304.4,317.33,304.37,315.52,2050415.0
2013-02-26,313.27,315.85,309.72,312.53,1098226.0
2013-02-27,314.75,318.14,300.49,313.45,1792223.0
2013-02-28,315.48,321.32,301.11,303.7,2189928.0
2013-03-01,304.4,327.68,302.92,324.13,2190789.0
2013-03-02,304.4,327.68,302.92,324.13,2190789.0
2013-03-03,304.4,327.68,302.92,324.13,2190789.0
2013-03-04,330.26,330.26,313.64,319.03,1344588.0
2013-03-05,319.55,323.35,314.08,318.51,953897.0
2013-03-06,325.09,325.09,308.84,311.38,1569798.0
2013-03-07,312.16,318.22,280.76,316.93,1049773.0
2013-03-08,320.95,321.73,315.08,317.81,620962.0
2013-03-09,320.95,321.73,315.08,317.81,620962.0
2013-03-10,320.95,321.73,315.08,317.81,620962.0
2013-03-11,318.26,319.7,311.83,313.16,634892.0
2013-03-12,314.01,316.63,311.05,315.26,468648.0
2013-03-13,314.01,323.06,311.9,318.33,1399686.0
2013-03-14,318.4,334.69,314.04,332.11,1372860.0
2013-03-15,333.96,337.69,327.75,329.45,1293739.0
2013-03-16,333.96,337.69,327.75,329.45,1293739.0
2013-03-17,333.96,337.69,327.75,329.45,1293739.0
2013-03-18,328.97,330.56,315.48,323.24,652486.0
2013-03-19,323.61,325.35,298.71,304.7,1676511.0
2013-03-20,303.04,313.19,295.24,308.91,1899576.0
2013-03-21,310.31,312.46,281.13,283.86,3946013.0
2013-03-22,285.82,288.89,277.84,286.41,2539768.0
2013-03-23,285.82,288.89,277.84,286.41,2539768.0
2013-03-24,285.82,288.89,277.84,286.41,2539768.0
2013-03-25,290.18,299.97,288.52,291.88,1552522.0
2013-03-26,289.63,294.72,277.03,279.58,2121029.0
2013-03-27,289.63,294.72,277.03,279.58,2121029.0
2013-03-28,280.39,293.32,278.91,288.52,1788804.0
2013-03-29,280.39,293.32,278.91,288.52,1788804.0
2013-03-30,280.39,293.32,278.91,288.52,1788804.0
2013-03-31,280.39,293.32,278.91,288.52,1788804.0
2013-04-01,291.47,296.27,284.56,287.7,985698.0
2013-04-02,290.14,295.39,285.23,290.51,968105.0
2013-04-03,287.41,292.21,280.09,281.39,1128759.0
2013-04-04,278.62,281.13,273.37,274.63,1104869.0
2013-04-05,271.89,284.45,271.52,277.73,729861.0
2013-04-06,271.89,284.45,271.52,277.73,729861.0
2013-04-07,271.89,284.45,271.52,277.73,729861.0
2013-04-08,280.76,280.76,264.62,267.9,1327355.0
2013-04-09,268.94,273.08,265.06,266.83,1178691.0
2013-04-10,266.02,273.44,261.55,271.23,1330391.0
2013-04-11,272.3,274.85,263.4,268.13,945918.0
2013-04-12,269.49,269.49,262.29,266.94,661987.0
2013-04-13,269.49,269.49,262.29,266.94,661987.0
2013-04-14,269.49,269.49,262.29,266.94,661987.0
2013-04-15,264.87,267.61,257.86,259.89,1201058.0
2013-04-16,256.38,275.51,256.38,272.82,4003339.0
2013-04-17,271.89,282.61,270.6,279.32,3130411.0
2013-04-18,279.28,291.21,276.4,288.89,3286113.0
2013-04-19,279.28,291.21,276.4,288.89,3286113.0
2013-04-20,279.28,291.21,276.4,288.89,3286113.0
2013-04-21,279.28,291.21,276.4,288.89,3286113.0
2013-04-22,290.44,306.4,287.08,302.92,4000623.0
2013-04-23,304.81,304.99,293.98,297.94,1305882.0
2013-04-24,304.81,304.99,293.98,297.94,1305882.0
2013-04-25,297.75,308.8,297.75,306.88,2095650.0
2013-04-26,308.1,315.12,306.58,311.01,890727.0
2013-04-27,308.1,315.12,306.58,311.01,890727.0
2013-04-28,308.1,315.12,306.58,311.01,890727.0
2013-04-29,311.01,315.45,307.62,312.49,774438.0
2013-04-30,313.93,315.34,297.16,308.02,717432.0
2013-05-01,313.93,315.34,297.16,308.02,717432.0
2013-05-02,305.14,319.18,301.89,317.48,736386.0
2013-05-03,318.96,321.4,309.57,312.64,600566.0
2013-05-04,318.96,321.4,309.57,312.64,600566.0
2013-05-05,318.96,321.4,309.57,312.64,600566.0
2013-05-06,314.23,317.55,311.35,315.23,270037.0
2013-05-07,315.26,321.95,315.12,320.25,547839.0
2013-05-08,320.29,327.79,318.51,324.98,661620.0
2013-05-09,322.32,326.57,309.06,312.2,725742.0
2013-05-10,308.84,316.59,308.84,312.12,581529.0
2013-05-11,312.42,315.96,311.57,314.67,29982.0
2013-05-12,312.42,315.96,311.57,314.67,29982.0
2013-05-13,315.96,315.96,305.29,307.03,524236.0
2013-05-14,308.1,314.75,306.58,312.6,415503.0
2013-05-15,313.05,328.64,313.05,322.98,946849.0
2013-05-16,319.62,332.26,319.62,327.31,694837.0
2013-05-17,328.78,332.48,312.38,316.11,2194299.0
2013-05-18,328.78,332.48,312.38,316.11,2194299.0
2013-05-19,328.78,332.48,312.38,316.11,2194299.0
2013-05-20,317.96,324.13,310.5,312.16,651673.0
2013-05-21,312.2,320.47,311.16,313.12,1429090.0
2013-05-22,314.71,316.59,305.14,309.17,657734.0
2013-05-23,307.58,308.47,294.17,302.74,956510.0
2013-05-24,303.66,308.02,297.97,304.29,415301.0
2013-05-25,303.66,308.02,297.97,304.29,415301.0
2013-05-26,303.66,308.02,297.97,304.29,415301.0
2013-05-27,304.59,312.01,298.93,309.39,487611.0
2013-05-28,306.62,309.28,300.34,303.7,870739.0
2013-05-29,303.66,320.55,302.19,316.45,3589954.0
2013-05-30,312.46,314.23,306.62,311.09,2682205.0
2013-05-31,308.1,315.71,305.55,307.54,860918.0
2013-06-01,308.1,315.71,305.55,307.54,860918.0
2013-06-02,308.1,315.71,305.55,307.54,860918.0
2013-06-03,306.25,314.08,306.03,312.34,447168.0
2013-06-04,311.79,321.4,311.79,316.0,822596.0
2013-06-05,316.22,322.87,314.01,320.92,619955.0
2013-06-06,318.07,323.91,317.33,321.36,678817.0
2013-06-07,318.59,321.73,313.27,315.08,445536.0
2013-06-08,318.59,321.73,313.27,315.08,445536.0
2013-06-09,318.59,321.73,313.27,315.08,445536.0
2013-06-10,314.75,319.25,310.79,312.38,333477.0
2013-06-11,311.05,315.04,305.29,308.35,315998.0
2013-06-12,306.69,309.57,279.36,295.5,2284384.0
2013-06-13,287.41,299.82,242.93,257.86,4359056.0
2013-06-14,244.93,273.37,239.75,256.41,10228149.0
2013-06-15,244.93,273.37,239.75,256.41,10228149.0
2013-06-16,244.93,273.37,239.75,256.41,10228149.0
2013-06-17,256.86,265.61,251.5,258.96,2519910.0
2013-06-18,261.77,270.42,261.77,267.09,1739350.0
2013-06-19,266.24,269.16,261.07,265.43,1184732.0
2013-06-20,265.21,268.86,254.9,266.13,1035762.0
2013-06-21,262.66,275.37,259.44,270.93,876266.0
2013-06-22,262.66,275.37,259.44,270.93,876266.0
2013-06-23,262.66,275.37,259.44,270.93,876266.0
2013-06-24,269.75,273.85,259.48,261.84,1075696.0
2013-06-25,265.24,272.26,258.89,267.28,742074.0
2013-06-26,267.46,275.33,267.46,272.48,864305.0
2013-06-27,274.85,275.22,264.54,272.52,1412133.0
2013-06-28,274.11,283.6,272.45,280.46,1064249.0
2013-06-29,274.11,283.6,272.45,280.46,1064249.0
2013-06-30,274.11,283.6,272.45,280.46,1064249.0
2013-07-01,277.8,290.73,273.37,288.89,710640.0
2013-07-02,289.4,290.66,281.57,282.5,549156.0
2013-07-03,279.95,286.6,277.07,280.87,746074.0
2013-07-04,282.16,287.41,280.76,284.86,353453.0
2013-07-05,287.0,288.66,283.49,285.38,306509.0
2013-07-06,287.0,288.66,283.49,285.38,306509.0
2013-07-07,287.0,288.66,283.49,285.38,306509.0
2013-07-08,279.28,291.69,279.28,289.63,724285.0
2013-07-09,291.84,291.84,287.19,289.81,335594.0
2013-07-10,288.3,291.77,283.97,288.3,493084.0
2013-07-11,290.44,298.05,290.18,295.65,548515.0
2013-07-12,296.27,310.17,292.21,305.47,726253.0
2013-07-13,296.27,310.17,292.21,305.47,726253.0
2013-07-14,296.27,310.17,292.21,305.47,726253.0
2013-07-15,307.14,311.79,303.66,309.28,938117.0
2013-07-16,302.96,311.79,286.67,292.95,2249645.0
2013-07-17,291.1,301.45,285.86,293.39,1512340.0
2013-07-18,292.1,304.25,291.84,298.79,633474.0
2013-07-19,304.4,304.4,291.18,295.91,873117.0
2013-07-20,304.4,304.4,291.18,295.91,873117.0
2013-07-21,304.4,304.4,291.18,295.91,873117.0
2013-07-22,294.43,299.23,291.1,292.51,725395.0
2013-07-23,293.76,307.36,293.76,303.29,806293.0
2013-07-24,301.67,305.88,275.66,282.68,1031663.0
2013-07-25,281.02,289.03,280.76,285.49,1088823.0
2013-07-26,285.93,290.36,276.07,278.99,534744.0
2013-07-27,285.93,290.36,276.07,278.99,534744.0
2013-07-28,285.93,290.36,276.07,278.99,534744.0
2013-07-29,278.88,283.27,277.07,278.99,267503.0
2013-07-30,280.83,284.42,273.37,276.03,883024.0
2013-07-31,277.8,305.14,269.68,299.12,1983771.0
2013-08-01,304.25,313.93,288.15,302.92,1554928.0
2013-08-02,302.19,321.25,291.62,314.12,2776721.0
2013-08-03,302.19,321.25,291.62,314.12,2776721.0
2013-08-04,302.19,321.25,291.62,314.12,2776721.0
2013-08-05,316.22,321.4,313.34,317.07,829178.0
2013-08-06,315.85,316.96,302.59,305.81,649626.0
2013-08-07,308.89,317.65,299.53,309.97,1080133.0
2013-08-08,309.78,311.97,303.54,305.99,278315.0
2013-08-09,309.78,311.97,303.54,305.99,278315.0
2013-08-10,309.78,311.97,303.54,305.99,278315.0
2013-08-11,309.78,311.97,303.54,305.99,278315.0
2013-08-12,304.95,309.78,297.89,300.98,830692.0
2013-08-13,300.12,317.91,299.27,315.5,861545.0
2013-08-14,315.91,318.69,308.33,315.5,583886.0
2013-08-15,315.91,318.69,308.33,315.5,583886.0
2013-08-16,315.72,317.47,284.0,286.12,1119708.0
2013-08-17,315.72,317.47,284.0,286.12,1119708.0
2013-08-18,315.72,317.47,284.0,286.12,1119708.0
2013-08-19,282.29,295.7,274.87,283.19,871610.0
2013-08-20,280.07,288.24,271.6,282.15,1019822.0
2013-08-21,283.78,292.69,275.57,283.48,920434.0
2013-08-22,288.16,288.24,271.22,277.32,1235996.0
2013-08-23,282.07,285.27,273.38,275.98,572268.0
2013-08-24,282.07,285.27,273.38,275.98,572268.0
2013-08-25,282.07,285.27,273.38,275.98,572268.0
2013-08-26,277.84,281.55,275.61,279.47,435180.0
2013-08-27,277.47,282.29,274.23,279.25,574108.0
2013-08-28,275.35,279.32,269.55,270.07,841533.0
2013-08-29,271.0,291.95,270.89,289.09,1631754.0
2013-08-30,288.91,295.81,282.52,289.65,732298.0
2013-08-31,288.91,295.81,282.52,289.65,732298.0
2013-09-01,288.91,295.81,282.52,289.65,732298.0
2013-09-02,288.98,313.12,288.98,311.3,903807.0
2013-09-03,313.16,315.72,289.76,293.03,843357.0
2013-09-04,294.18,301.09,283.93,289.76,751492.0
2013-09-05,293.44,302.69,292.73,298.15,660243.0
2013-09-06,300.87,302.69,286.97,288.72,949412.0
2013-09-07,300.87,302.69,286.97,288.72,949412.0
2013-09-08,300.87,302.69,286.97,288.72,949412.0
2013-09-09,300.87,302.69,286.97,288.72,949412.0
2013-09-10,293.44,301.61,290.06,299.12,726035.0
2013-09-11,298.64,309.04,290.17,293.29,1013389.0
2013-09-12,297.13,300.98,287.46,291.24,863026.0
2013-09-13,291.2,296.98,289.74,291.83,499192.0
2013-09-14,291.2,296.98,289.74,291.83,499192.0
2013-09-15,291.2,296.98,289.74,291.83,499192.0
2013-09-16,295.68,300.16,290.53,295.98,1281972.0
2013-09-17,298.66,307.62,297.77,303.97,1680403.0
2013-09-18,304.6,306.5,299.45,302.77,465721.0
2013-09-19,304.79,309.83,298.66,300.68,1971277.0
2013-09-20,300.16,305.65,294.67,299.15,618739.0
2013-09-21,300.16,305.65,294.67,299.15,618739.0
2013-09-22,300.16,305.65,294.67,299.15,618739.0
2013-09-23,297.84,304.56,295.42,298.7,1444670.0
2013-09-24,298.52,300.9,294.18,297.99,1222227.0
2013-09-25,298.37,300.83,294.93,297.25,408787.0
2013-09-26,294.93,300.98,294.93,297.92,742960.0
2013-09-27,298.29,305.42,296.61,298.55,482875.0
2013-09-28,298.29,305.42,296.61,298.55,482875.0
2013-09-29,298.29,305.42,296.61,298.55,482875.0
2013-09-30,293.36,298.96,291.2,293.59,231103.0
2013-10-01,296.2,303.14,286.64,301.17,1322502.0
2013-10-02,296.2,303.14,286.64,301.17,1322502.0
2013-10-03,299.52,312.81,295.01,306.06,1877033.0
2013-10-04,304.3,308.37,302.77,305.12,444212.0
2013-10-05,304.3,308.37,302.77,305.12,444212.0
2013-10-06,304.3,308.37,302.77,305.12,444212.0
2013-10-07,303.89,324.42,303.89,322.45,1483979.0
2013-10-08,324.76,325.02,316.58,318.64,1123035.0
2013-10-09,317.33,327.41,312.59,317.74,1182936.0
2013-10-10,317.33,321.74,312.1,316.32,473665.0
2013-10-11,317.37,323.64,314.75,319.72,481102.0
2013-10-12,317.37,323.64,314.75,319.72,481102.0
2013-10-13,317.37,323.64,314.75,319.72,481102.0
2013-10-14,320.13,323.04,314.08,315.09,206807.0
2013-10-15,317.33,318.45,283.73,312.59,345254.0
2013-10-16,317.33,318.45,283.73,312.59,345254.0
2013-10-17,315.28,317.33,311.47,314.05,351391.0
2013-10-18,314.94,316.58,310.87,315.2,308408.0
2013-10-19,314.94,316.58,310.87,315.2,308408.0
2013-10-20,314.94,316.58,310.87,315.2,308408.0
2013-10-21,312.1,316.1,311.02,312.55,261171.0
2013-10-22,312.48,322.71,311.36,317.37,763177.0
2013-10-23,319.87,320.32,312.48,318.53,486896.0
2013-10-24,314.87,321.06,314.87,316.7,378813.0
2013-10-25,314.08,319.94,312.85,317.37,250703.0
2013-10-26,314.08,319.94,312.85,317.37,250703.0
2013-10-27,314.08,319.94,312.85,317.37,250703.0
2013-10-28,317.37,318.97,313.63,314.46,137545.0
2013-10-29,314.87,318.67,307.77,316.21,232386.0
2013-10-30,316.62,318.11,312.48,316.02,188345.0
2013-10-31,312.85,316.58,311.47,313.71,369414.0
2013-11-01,313.6,326.44,312.93,321.51,1401878.0
2013-11-02,313.6,326.44,312.93,321.51,1401878.0
2013-11-03,321.92,330.62,321.06,328.68,173218.0
2013-11-04,321.92,330.62,321.06,328.68,173218.0
2013-11-05,328.83,337.75,324.05,335.7,860496.0
2013-11-06,335.77,339.73,333.01,335.77,427542.0
2013-11-07,336.0,341.41,305.38,328.72,733503.0
2013-11-08,327.04,330.51,302.29,308.71,1644509.0
2013-11-09,327.04,330.51,302.29,308.71,1644509.0
2013-11-10,327.04,330.51,302.29,308.71,1644509.0
2013-11-11,307.18,313.6,293.85,296.24,1458377.0
2013-11-12,298.74,300.16,285.22,288.14,2024932.0
2013-11-13,284.07,294.18,284.07,286.38,475566.0
2013-11-14,286.01,296.35,286.01,293.21,564292.0
2013-11-15,286.01,296.35,286.01,293.21,564292.0
2013-11-16,286.01,296.35,286.01,293.21,564292.0
2013-11-17,286.01,296.35,286.01,293.21,564292.0
2013-11-18,291.98,297.84,283.81,285.52,1177768.0
2013-11-19,285.03,292.17,285.03,288.38,972829.0
2013-11-20,286.43,290.11,284.25,287.29,747395.0
2013-11-21,284.1,288.91,278.08,281.01,742715.0
2013-11-22,282.78,286.73,281.54,283.87,511805.0
2013-11-23,282.78,286.73,281.54,283.87,511805.0
2013-11-24,282.78,286.73,281.54,283.87,511805.0
2013-11-25,283.01,291.57,282.59,288.0,1069892.0
2013-11-26,287.18,288.91,279.81,282.25,803514.0
2013-11-27,281.88,285.11,273.57,275.34,969723.0
2013-11-28,274.59,281.84,273.31,278.12,2407106.0
2013-11-29,280.07,285.11,277.18,278.08,903569.0
2013-11-30,280.07,285.11,277.18,278.08,903569.0
2013-12-01,280.07,285.11,277.18,278.08,903569.0
2013-12-02,278.08,280.64,274.96,276.13,1226615.0
2013-12-03,275.49,291.61,275.49,289.69,4833242.0
2013-12-04,291.61,293.49,282.03,284.58,1502950.0
2013-12-05,288.68,290.22,279.59,280.79,606319.0
2013-12-06,280.79,285.97,278.27,279.32,807096.0
2013-12-07,280.79,285.97,278.27,279.32,807096.0
2013-12-08,280.79,285.97,278.27,279.32,807096.0
2013-12-09,287.85,287.85,279.59,284.47,456718.0
2013-12-10,282.78,287.44,279.74,282.74,668860.0
2013-12-11,280.41,285.94,276.88,279.13,457079.0
2013-12-12,279.62,285.94,273.27,274.63,769460.0
2013-12-13,272.82,278.38,272.82,273.76,790500.0
2013-12-14,272.82,278.38,272.82,273.76,790500.0
2013-12-15,272.82,278.38,272.82,273.76,790500.0
2013-12-16,271.32,276.58,271.24,273.12,376743.0
2013-12-17,273.46,276.02,270.12,270.94,404564.0
2013-12-18,272.07,274.63,270.12,271.66,396662.0
2013-12-19,273.57,277.33,271.02,275.9,619934.0
2013-12-20,273.61,282.44,273.61,280.37,571274.0
2013-12-21,273.61,282.44,273.61,280.37,571274.0
2013-12-22,273.61,282.44,273.61,280.37,571274.0
2013-12-23,279.66,283.01,277.33,278.05,458232.0
2013-12-24,279.59,286.69,279.21,282.4,925084.0
2013-12-25,279.59,286.69,279.21,282.4,925084.0
2013-12-26,281.84,287.85,278.27,281.28,977273.0
2013-12-27,282.14,284.25,279.59,282.86,529438.0
2013-12-28,282.14,284.25,279.59,282.86,529438.0
2013-12-29,282.14,284.25,279.59,282.86,529438.0
2013-12-30,284.85,285.6,280.19,280.98,201411.0
2013-12-31,280.04,288.98,280.04,285.82,470354.0
2014-01-01,287.33,291.99,284.25,289.06,806472.0
2014-01-02,289.06,292.29,273.69,276.02,1147162.0
2014-01-03,276.58,279.59,274.36,278.27,530430.0
2014-01-04,276.58,279.59,274.36,278.27,530430.0
2014-01-05,276.58,279.59,274.36,278.27,530430.0
2014-01-06,280.34,284.85,276.28,283.42,664829.0
2014-01-07,284.32,285.6,278.8,281.2,827718.0
2014-01-08,281.84,284.02,278.16,279.77,488185.0
2014-01-09,277.37,287.85,277.37,279.25,1079683.0
2014-01-10,279.55,281.88,272.45,274.36,449578.0
2014-01-11,279.55,281.88,272.45,274.36,449578.0
2014-01-12,279.55,281.88,272.45,274.36,449578.0
2014-01-13,271.88,278.08,271.88,274.44,218074.0
2014-01-14,272.93,276.09,270.08,272.37,394554.0
2014-01-15,273.2,275.15,269.97,271.17,452155.0
2014-01-16,270.0,276.2,270.0,273.72,357707.0
2014-01-17,272.9,274.02,268.31,268.91,462328.0
2014-01-18,272.9,274.02,268.31,268.91,462328.0
2014-01-19,272.9,274.02,268.31,268.91,462328.0
2014-01-20,269.89,273.5,268.65,272.41,272497.0
2014-01-21,272.9,276.58,271.47,274.85,369144.0
2014-01-22,272.07,277.93,272.07,275.41,336564.0
2014-01-23,272.82,275.41,272.07,272.41,131604.0
2014-01-24,269.82,273.76,266.88,268.09,372508.0
2014-01-25,269.82,273.76,266.88,268.09,372508.0
2014-01-26,269.82,273.76,266.88,268.09,372508.0
2014-01-27,267.18,268.31,263.24,264.25,788080.0
2014-01-28,264.1,266.81,259.22,263.16,1305432.0
2014-01-29,262.0,271.32,261.81,267.45,379238.0
2014-01-30,262.53,271.99,260.57,266.58,1385823.0
2014-01-31,266.81,274.81,266.51,270.94,265819.0
2014-02-01,266.81,274.81,266.51,270.94,265819.0
2014-02-02,266.81,274.81,266.51,270.94,265819.0
2014-02-03,268.31,276.88,267.9,271.13,674688.0
2014-02-04,268.39,270.57,265.34,267.37,257223.0
2014-02-05,266.21,274.32,266.21,273.46,587264.0
2014-02-06,273.57,275.83,269.55,273.16,277971.0
2014-02-07,273.57,277.03,270.27,272.67,456793.0
2014-02-08,273.57,277.03,270.27,272.67,456793.0
2014-02-09,273.57,277.03,270.27,272.67,456793.0
2014-02-10,274.32,275.08,267.56,269.51,324175.0
2014-02-11,269.44,270.79,263.8,265.04,309423.0
2014-02-12,265.31,267.34,262.64,263.73,298879.0
2014-02-13,266.38,266.38,251.84,254.38,604312.0
2014-02-14,254.34,256.46,245.37,249.19,1085191.0
2014-02-15,254.34,256.46,245.37,249.19,1085191.0
2014-02-16,254.34,256.46,245.37,249.19,1085191.0
2014-02-17,250.56,253.39,246.85,250.56,561349.0
2014-02-18,250.56,253.28,245.3,246.81,654384.0
2014-02-19,246.77,256.69,246.77,255.14,1179390.0
2014-02-20,253.02,259.34,251.81,257.44,1410445.0
2014-02-21,260.7,268.19,259.64,267.36,2546631.0
2014-02-22,260.7,268.19,259.64,267.36,2546631.0
2014-02-23,260.7,268.19,259.64,267.36,2546631.0
2014-02-24,267.97,279.21,267.97,276.22,1218657.0
2014-02-25,276.63,280.08,271.3,279.4,475388.0
2014-02-26,279.55,280.04,269.9,271.15,1083834.0
2014-02-27,279.55,280.04,269.9,271.15,1083834.0
2014-02-28,268.95,281.59,268.95,280.53,1011600.0
2014-03-01,268.95,281.59,268.95,280.53,1011600.0
2014-03-02,268.95,281.59,268.95,280.53,1011600.0
2014-03-03,280.08,283.86,273.76,276.37,375931.0
2014-03-04,274.1,281.93,274.1,280.12,326827.0
2014-03-05,280.83,287.57,277.5,284.17,625169.0
2014-03-06,285.38,292.95,284.47,292.23,1068936.0
2014-03-07,293.7,298.25,292.95,295.82,592208.0
2014-03-08,293.7,298.25,292.95,295.82,592208.0
2014-03-09,293.7,298.25,292.95,295.82,592208.0
2014-03-10,293.06,300.74,292.08,293.55,420443.0
2014-03-11,293.32,299.0,291.43,296.47,493341.0
