,GDPL IN Equity,GDPL IN Equity,GDPL IN Equity,GDPL IN Equity,GDPL IN Equity
2013-07-17,75.78,78.77,74.14,76.99,280344.0
2013-07-18,78.42,83.94,75.88,81.23,444971.0
2013-07-19,82.69,83.41,79.13,80.06,29760.0
2013-07-20,82.69,83.41,79.13,80.06,29760.0
2013-07-21,82.69,83.41,79.13,80.06,29760.0
2013-07-22,77.77,82.48,76.1,77.63,24505.0
2013-07-23,78.88,78.88,73.5,74.53,30681.0
2013-07-24,72.71,78.67,72.53,76.6,35314.0
2013-07-25,77.2,77.2,73.53,75.17,19231.0
2013-07-26,76.28,76.99,73.89,74.89,176725.0
2013-07-27,76.28,76.99,73.89,74.89,176725.0
2013-07-28,76.28,76.99,73.89,74.89,176725.0
2013-07-29,75.88,75.88,73.89,74.74,10368.0
2013-07-30,74.14,74.6,71.86,72.61,43291.0
2013-07-31,74.57,77.63,70.08,72.0,151012.0
2013-08-01,73.78,75.92,72.07,73.14,18164.0
2013-08-02,72.71,74.74,70.68,71.68,36368.0
2013-08-03,72.71,74.74,70.68,71.68,36368.0
2013-08-04,72.71,74.74,70.68,71.68,36368.0
2013-08-05,72.68,72.68,69.93,71.43,15558.0
2013-08-06,72.57,76.99,70.22,74.6,277011.0
2013-08-07,74.92,76.6,74.21,75.64,46117.0
2013-08-08,76.21,78.31,74.89,76.13,31713.0
2013-08-09,76.21,78.31,74.89,76.13,31713.0
2013-08-10,76.21,78.31,74.89,76.13,31713.0
2013-08-11,76.21,78.31,74.89,76.13,31713.0
2013-08-12,74.17,76.95,73.71,74.17,44754.0
2013-08-13,74.14,76.21,72.78,74.82,36711.0
2013-08-14,75.17,75.88,74.17,74.49,110009.0
2013-08-15,75.17,75.88,74.17,74.49,110009.0
2013-08-16,74.14,74.71,72.04,72.89,946939.0
2013-08-17,74.14,74.71,72.04,72.89,946939.0
2013-08-18,74.14,74.71,72.04,72.89,946939.0
2013-08-19,72.36,87.47,69.97,73.21,754315.0
2013-08-20,72.0,75.53,70.22,74.78,28131.0
2013-08-21,74.78,77.7,72.53,74.28,34142.0
2013-08-22,74.14,77.7,72.57,77.06,21269.0
2013-08-23,76.28,78.99,74.89,78.45,68001.0
2013-08-24,76.28,78.99,74.89,78.45,68001.0
2013-08-25,76.28,78.99,74.89,78.45,68001.0
2013-08-26,77.7,78.42,75.6,77.85,16970.0
2013-08-27,77.35,78.42,74.21,75.42,7441.0
2013-08-28,74.85,77.31,71.64,75.17,293675.0
2013-08-29,76.06,76.28,74.21,75.6,60128.0
2013-08-30,74.14,78.42,74.14,75.96,29692.0
2013-08-31,74.14,78.42,74.14,75.96,29692.0
2013-09-01,74.14,78.42,74.14,75.96,29692.0
2013-09-02,79.81,79.81,75.6,76.6,20288.0
2013-09-03,77.42,78.06,74.85,75.07,11088.0
2013-09-04,74.85,76.28,71.68,74.96,124038.0
2013-09-05,75.85,80.2,75.74,78.77,42633.0
2013-09-06,78.2,78.91,76.99,77.63,4049.0
2013-09-07,78.2,78.91,76.99,77.63,4049.0
2013-09-08,78.2,78.91,76.99,77.63,4049.0
2013-09-09,78.2,78.91,76.99,77.63,4049.0
2013-09-10,77.63,79.7,76.28,77.24,19969.0
2013-09-11,76.99,80.55,75.78,77.49,1321916.0
2013-09-12,78.84,80.48,76.1,76.67,60764.0
2013-09-13,76.99,78.06,76.28,77.56,15593.0
2013-09-14,76.99,78.06,76.28,77.56,15593.0
2013-09-15,76.99,78.06,76.28,77.56,15593.0
2013-09-16,78.42,78.42,76.6,76.88,13705.0
2013-09-17,76.88,77.67,75.71,76.06,7726.0
2013-09-18,76.74,77.35,74.85,75.07,10647.0
2013-09-19,77.2,77.7,72.71,76.42,593416.0
2013-09-20,75.56,76.99,74.85,75.53,283300.0
2013-09-21,75.56,76.99,74.85,75.53,283300.0
2013-09-22,75.56,76.99,74.85,75.53,283300.0
2013-09-23,74.85,76.95,73.5,74.03,14255.0
2013-09-24,74.14,75.6,74.14,75.24,162849.0
2013-09-25,75.56,75.56,74.57,74.78,12556.0
2013-09-26,74.85,76.28,73.46,74.42,15758.0
2013-09-27,73.43,75.56,73.43,73.92,12275.0
2013-09-28,73.43,75.56,73.43,73.92,12275.0
2013-09-29,73.43,75.56,73.43,73.92,12275.0
2013-09-30,74.07,75.49,73.43,74.25,1140711.0
2013-10-01,74.96,75.56,72.71,73.57,25558.0
2013-10-02,74.96,75.56,72.71,73.57,25558.0
2013-10-03,74.49,76.99,74.14,75.53,36079.0
2013-10-04,75.56,76.99,74.25,75.81,83958.0
2013-10-05,75.56,76.99,74.25,75.81,83958.0
2013-10-06,75.56,76.99,74.25,75.81,83958.0
2013-10-07,75.56,76.28,74.85,75.39,18243.0
2013-10-08,76.03,76.28,74.67,75.42,28285.0
2013-10-09,75.42,77.63,74.85,75.6,189567.0
2013-10-10,74.85,76.28,74.85,75.24,108609.0
2013-10-11,75.71,75.88,74.64,74.96,25930.0
2013-10-12,75.71,75.88,74.64,74.96,25930.0
2013-10-13,75.71,75.88,74.64,74.96,25930.0
2013-10-14,75.56,76.1,74.96,75.49,43537.0
2013-10-15,75.88,76.67,74.53,74.71,73605.0
2013-10-16,75.88,76.67,74.53,74.71,73605.0
2013-10-17,74.57,76.17,74.57,75.1,20312.0
2013-10-18,75.1,75.92,75.1,75.39,22811.0
2013-10-19,75.1,75.92,75.1,75.39,22811.0
2013-10-20,75.1,75.92,75.1,75.39,22811.0
2013-10-21,75.21,80.91,75.21,79.38,81250.0
2013-10-22,79.13,80.02,77.7,78.99,20224.0
2013-10-23,79.84,80.55,76.42,77.56,27448.0
2013-10-24,76.28,79.13,76.28,78.34,15707.0
2013-10-25,77.38,80.45,76.7,79.59,44300.0
2013-10-26,77.38,80.45,76.7,79.59,44300.0
2013-10-27,77.38,80.45,76.7,79.59,44300.0
2013-10-28,80.13,82.55,79.84,80.95,90024.0
2013-10-29,81.87,88.41,81.28,85.71,1186168.0
2013-10-30,87.19,87.19,84.23,85.12,29685.0
2013-10-31,85.34,85.86,82.76,84.01,29955.0
2013-11-01,83.5,89.33,80.65,88.85,190156.0
2013-11-02,83.5,89.33,80.65,88.85,190156.0
2013-11-03,88.67,88.96,85.9,88.26,13213.0
2013-11-04,88.67,88.96,85.9,88.26,13213.0
2013-11-05,86.16,91.33,86.16,89.26,43334.0
2013-11-06,89.41,93.1,89.41,92.51,65511.0
2013-11-07,92.36,92.84,89.44,91.85,35736.0
2013-11-08,91.48,92.36,88.78,89.78,26228.0
2013-11-09,91.48,92.36,88.78,89.78,26228.0
2013-11-10,91.48,92.36,88.78,89.78,26228.0
2013-11-11,87.74,90.33,87.74,89.0,12570.0
2013-11-12,88.67,91.62,87.26,89.19,50212.0
2013-11-13,88.67,90.88,87.23,89.15,21970.0
2013-11-14,87.74,89.44,87.74,89.04,32379.0
2013-11-15,87.74,89.44,87.74,89.04,32379.0
2013-11-16,87.74,89.44,87.74,89.04,32379.0
2013-11-17,87.74,89.44,87.74,89.04,32379.0
2013-11-18,90.0,90.15,86.6,87.34,105055.0
2013-11-19,87.19,90.18,86.75,88.59,15600.0
2013-11-20,89.37,96.02,86.82,92.25,76414.0
2013-11-21,92.29,108.62,89.55,102.56,315449.0
2013-11-22,103.52,105.66,96.06,102.97,228887.0
2013-11-23,103.52,105.66,96.06,102.97,228887.0
2013-11-24,103.52,105.66,96.06,102.97,228887.0
2013-11-25,102.74,104.11,98.35,99.57,48196.0
2013-11-26,100.56,100.56,97.53,98.46,263617.0
2013-11-27,97.53,101.67,94.58,95.32,21402.0
2013-11-28,95.13,97.02,94.58,95.47,32765.0
2013-11-29,96.17,96.8,94.58,95.69,21626.0
2013-11-30,96.17,96.8,94.58,95.69,21626.0
2013-12-01,96.17,96.8,94.58,95.69,21626.0
2013-12-02,96.06,98.27,92.58,96.13,18039.0
2013-12-03,97.46,100.19,95.91,98.2,41936.0
2013-12-04,97.53,99.68,94.69,95.43,33105.0
2013-12-05,94.76,98.27,93.88,95.32,26589.0
2013-12-06,95.98,96.43,93.95,94.28,291917.0
2013-12-07,95.98,96.43,93.95,94.28,291917.0
2013-12-08,95.98,96.43,93.95,94.28,291917.0
2013-12-09,94.65,97.46,94.06,96.17,403967.0
2013-12-10,96.09,96.8,94.8,96.06,79684.0
2013-12-11,95.1,97.53,94.99,96.13,118025.0
2013-12-12,95.39,96.43,93.21,94.58,26736.0
2013-12-13,94.58,95.69,93.91,95.69,2264205.0
2013-12-14,94.58,95.69,93.91,95.69,2264205.0
2013-12-15,94.58,95.69,93.91,95.69,2264205.0
2013-12-16,93.99,99.75,93.1,94.14,129914.0
2013-12-17,95.84,97.53,92.36,93.77,131246.0
2013-12-18,94.58,98.2,93.88,97.79,54363.0
2013-12-19,97.76,100.49,97.39,98.68,124458.0
2013-12-20,99.01,108.51,95.32,106.4,306968.0
2013-12-21,99.01,108.51,95.32,106.4,306968.0
2013-12-22,99.01,108.51,95.32,106.4,306968.0
2013-12-23,103.45,106.33,101.3,102.97,101307.0
2013-12-24,101.01,107.03,100.49,103.08,112335.0
2013-12-25,101.01,107.03,100.49,103.08,112335.0
2013-12-26,103.08,105.59,99.75,101.64,34990.0
2013-12-27,102.71,102.71,99.05,99.97,23345.0
2013-12-28,102.71,102.71,99.05,99.97,23345.0
2013-12-29,102.71,102.71,99.05,99.97,23345.0
2013-12-30,98.46,105.29,96.46,103.37,101174.0
2013-12-31,104.89,105.88,100.38,103.56,37707.0
2014-01-01,102.71,104.78,102.52,103.19,68563.0
2014-01-02,103.74,108.17,100.05,102.12,517627.0
2014-01-03,101.23,109.36,99.79,107.81,215477.0
2014-01-04,101.23,109.36,99.79,107.81,215477.0
2014-01-05,101.23,109.36,99.79,107.81,215477.0
2014-01-06,109.36,113.79,107.88,109.25,660657.0
2014-01-07,109.36,111.43,107.14,109.99,321415.0
2014-01-08,108.62,110.47,104.26,105.37,174550.0
2014-01-09,105.37,106.81,102.15,105.55,164704.0
2014-01-10,105.66,109.21,103.19,104.07,241644.0
2014-01-11,105.66,109.21,103.19,104.07,241644.0
2014-01-12,105.66,109.21,103.19,104.07,241644.0
2014-01-13,104.07,107.33,103.45,105.55,183477.0
2014-01-14,106.36,106.51,100.93,101.97,42670.0
2014-01-15,103.37,104.78,101.56,102.34,37259.0
2014-01-16,104.18,104.89,101.6,102.26,58333.0
2014-01-17,101.6,103.45,98.46,100.12,73808.0
2014-01-18,101.6,103.45,98.46,100.12,73808.0
2014-01-19,101.6,103.45,98.46,100.12,73808.0
2014-01-20,99.94,101.23,98.79,100.53,38036.0
2014-01-21,101.16,101.89,97.2,98.64,87692.0
2014-01-22,98.64,99.01,96.65,97.79,55902.0
2014-01-23,97.87,97.9,96.06,96.28,54745.0
2014-01-24,95.39,96.43,94.73,95.61,38286.0
2014-01-25,95.39,96.43,94.73,95.61,38286.0
2014-01-26,95.39,96.43,94.73,95.61,38286.0
2014-01-27,94.58,95.65,92.62,93.84,97168.0
2014-01-28,93.88,94.95,92.07,93.88,63786.0
2014-01-29,93.18,95.13,92.84,93.14,128448.0
2014-01-30,91.62,93.8,91.62,92.47,64942.0
2014-01-31,89.96,93.47,89.96,92.77,25404.0
2014-02-01,89.96,93.47,89.96,92.77,25404.0
2014-02-02,89.96,93.47,89.96,92.77,25404.0
2014-02-03,91.62,95.21,91.62,94.1,89110.0
2014-02-04,93.03,96.06,92.36,95.98,29988.0
2014-02-05,95.32,97.42,94.8,95.65,259876.0
2014-02-06,95.98,96.39,94.02,95.84,31085.0
2014-02-07,96.06,96.06,95.43,96.02,64234.0
2014-02-08,96.06,96.06,95.43,96.02,64234.0
2014-02-09,96.06,96.06,95.43,96.02,64234.0
2014-02-10,95.5,96.06,94.58,95.65,25594.0
2014-02-11,95.5,96.8,92.73,94.25,350377.0
2014-02-12,94.58,97.39,93.29,95.84,85445.0
2014-02-13,96.8,97.53,94.32,95.54,184718.0
2014-02-14,96.72,99.53,94.58,97.83,1001607.0
2014-02-15,96.72,99.53,94.58,97.83,1001607.0
2014-02-16,96.72,99.53,94.58,97.83,1001607.0
2014-02-17,96.06,98.27,93.84,94.58,265545.0
2014-02-18,95.5,99.64,94.32,97.98,58408.0
2014-02-19,97.53,99.71,95.32,98.27,35389.0
2014-02-20,99.68,99.86,96.57,98.09,10668.0
2014-02-21,97.35,99.16,96.83,98.42,25208.0
2014-02-22,97.35,99.16,96.83,98.42,25208.0
2014-02-23,97.35,99.16,96.83,98.42,25208.0
2014-02-24,95.32,99.9,95.32,98.68,15272.0
2014-02-25,97.94,99.01,97.61,98.5,16450.0
2014-02-26,97.61,103.19,97.61,102.37,117930.0
2014-02-27,97.61,103.19,97.61,102.37,117930.0
2014-02-28,103.45,104.18,100.64,102.52,61265.0
2014-03-01,103.45,104.18,100.64,102.52,61265.0
2014-03-02,103.45,104.18,100.64,102.52,61265.0
2014-03-03,101.04,105.26,101.04,104.66,56205.0
2014-03-04,105.66,105.66,103.45,104.59,52711.0
2014-03-05,104.92,106.88,104.55,105.77,56838.0
2014-03-06,106.36,109.14,105.74,107.18,133848.0
2014-03-07,104.78,107.88,102.23,105.63,57297.0
2014-03-08,104.78,107.88,102.23,105.63,57297.0
2014-03-09,104.78,107.88,102.23,105.63,57297.0
2014-03-10,104.18,108.54,103.45,107.1,279542.0
2014-03-11,107.14,113.27,103.45,108.32,189719.0
2014-03-12,109.32,112.31,107.73,111.13,358289.0
2014-03-13,113.05,113.05,106.48,109.32,457708.0
2014-03-14,109.36,109.69,105.92,108.84,98908.0
2014-03-15,109.36,109.69,105.92,108.84,98908.0
2014-03-16,109.36,109.69,105.92,108.84,98908.0
2014-03-17,109.36,109.69,105.92,108.84,98908.0
2014-03-18,110.1,112.68,107.88,110.47,644845.0
2014-03-19,110.1,111.32,109.28,110.8,143753.0
2014-03-20,110.8,110.87,105.99,106.96,33045.0
2014-03-21,107.14,111.91,107.14,110.83,220822.0
2014-03-22,110.91,113.79,109.84,111.61,67686.0
2014-03-23,110.91,113.79,109.84,111.61,67686.0
2014-03-24,112.02,123.4,110.98,116.6,4354905.0
2014-03-25,116.01,118.59,113.38,115.6,488596.0
2014-03-26,115.82,122.1,115.82,119.74,477466.0
2014-03-27,119.66,124.36,118.26,121.81,372200.0
2014-03-28,122.66,126.35,118.59,120.81,464965.0
2014-03-29,122.66,126.35,118.59,120.81,464965.0
2014-03-30,122.66,126.35,118.59,120.81,464965.0
2014-03-31,121.03,128.57,121.03,122.47,554728.0
2014-04-01,123.03,123.77,118.26,119.66,184921.0
2014-04-02,119.92,121.81,119.18,120.85,166085.0
2014-04-03,120.11,123.03,115.67,119.37,102504.0
2014-04-04,119.0,120.44,116.93,117.93,141813.0
2014-04-05,119.0,120.44,116.93,117.93,141813.0
2014-04-06,119.0,120.44,116.93,117.93,141813.0
2014-04-07,116.38,124.13,116.38,122.95,157151.0
2014-04-08,116.38,124.13,116.38,122.95,157151.0
2014-04-09,120.07,130.38,120.07,129.09,638615.0
2014-04-10,129.31,131.27,125.72,128.64,219061.0
2014-04-11,130.01,130.42,125.21,126.2,167295.0
2014-04-12,130.01,130.42,125.21,126.2,167295.0
2014-04-13,130.01,130.42,125.21,126.2,167295.0
2014-04-14,130.01,130.42,125.21,126.2,167295.0
2014-04-15,126.35,127.05,123.43,124.43,179722.0
2014-04-16,123.54,126.2,117.3,124.69,129122.0
2014-04-17,122.66,128.57,122.66,127.09,119311.0
2014-04-18,122.66,128.57,122.66,127.09,119311.0
2014-04-19,122.66,128.57,122.66,127.09,119311.0
2014-04-20,122.66,128.57,122.66,127.09,119311.0
2014-04-21,127.09,130.05,125.61,127.39,247404.0
2014-04-22,126.13,131.89,124.5,129.9,251558.0
2014-04-23,129.9,135.22,129.9,132.48,371889.0
2014-04-24,129.9,135.22,129.9,132.48,371889.0
2014-04-25,132.96,135.74,128.24,134.92,166776.0
2014-04-26,132.96,135.74,128.24,134.92,166776.0
2014-04-27,132.96,135.74,128.24,134.92,166776.0
2014-04-28,133.0,133.74,129.16,132.52,152614.0
2014-04-29,133.33,135.51,130.56,133.04,205343.0
2014-04-30,131.56,133.45,123.69,131.01,369943.0
2014-05-01,131.56,133.45,123.69,131.01,369943.0
2014-05-02,130.23,133.74,129.31,129.57,205642.0
2014-05-03,130.23,133.74,129.31,129.57,205642.0
2014-05-04,130.23,133.74,129.31,129.57,205642.0
2014-05-05,129.49,130.05,126.72,129.31,106231.0
2014-05-06,131.49,132.16,129.31,130.59,221260.0
2014-05-07,131.68,136.79,129.68,134.16,522756.0
2014-05-08,134.16,141.71,134.16,138.03,677642.0
2014-05-09,140.06,140.06,133.82,137.16,192253.0
2014-05-10,140.06,140.06,133.82,137.16,192253.0
2014-05-11,140.06,140.06,133.82,137.16,192253.0
2014-05-12,136.83,140.58,135.81,139.61,266889.0
2014-05-13,139.83,146.6,139.04,142.69,548123.0
2014-05-14,144.31,144.31,138.33,139.64,156684.0
2014-05-15,138.52,141.52,130.7,135.81,192763.0
2014-05-16,138.55,143.59,133.97,142.13,486291.0
2014-05-17,138.55,143.59,133.97,142.13,486291.0
2014-05-18,138.55,143.59,133.97,142.13,486291.0
2014-05-19,140.58,170.54,140.58,168.93,750792.0
2014-05-20,170.09,172.16,157.88,162.39,302333.0
2014-05-21,163.14,175.92,162.01,170.28,284987.0
2014-05-22,170.66,175.17,169.3,172.23,167617.0
2014-05-23,174.19,180.43,171.11,175.24,585300.0
2014-05-24,174.19,180.43,171.11,175.24,585300.0
2014-05-25,174.19,180.43,171.11,175.24,585300.0
2014-05-26,175.92,180.43,167.35,175.43,238216.0
2014-05-27,175.13,180.8,163.51,176.63,181379.0
2014-05-28,174.56,190.2,164.04,166.56,592517.0
2014-05-29,166.9,173.66,162.09,164.42,169739.0
2014-05-30,164.42,169.0,163.21,166.78,226535.0
2014-05-31,164.42,169.0,163.21,166.78,226535.0
2014-06-01,164.42,169.0,163.21,166.78,226535.0
2014-06-02,168.4,174.41,168.06,170.73,78347.0
2014-06-03,172.91,177.68,162.31,166.6,264607.0
2014-06-04,169.0,174.79,165.39,172.2,131378.0
2014-06-05,174.38,175.88,168.4,170.09,64566.0
2014-06-06,172.91,177.38,169.64,171.03,1927697.0
2014-06-07,172.91,177.38,169.64,171.03,1927697.0
2014-06-08,172.91,177.38,169.64,171.03,1927697.0
2014-06-09,174.41,177.42,172.16,175.13,332955.0
2014-06-10,178.62,180.58,175.17,177.5,470642.0
2014-06-11,178.17,181.18,170.66,174.53,153186.0
2014-06-12,174.53,178.17,170.51,175.02,731048.0
2014-06-13,175.17,176.44,164.64,169.72,198474.0
2014-06-14,175.17,176.44,164.64,169.72,198474.0
2014-06-15,175.17,176.44,164.64,169.72,198474.0
2014-06-16,167.65,170.66,160.88,168.74,177813.0
2014-06-17,169.15,173.63,167.08,170.96,142674.0
2014-06-18,170.96,189.3,169.23,183.62,592996.0
2014-06-19,184.9,185.95,174.53,175.88,334463.0
2014-06-20,175.92,177.42,171.78,174.6,783403.0
2014-06-21,175.92,177.42,171.78,174.6,783403.0
2014-06-22,175.92,177.42,171.78,174.6,783403.0
2014-06-23,172.91,178.93,170.39,175.77,251331.0
2014-06-24,175.77,179.98,175.2,176.41,145405.0
2014-06-25,173.4,179.68,172.16,174.15,103304.0
2014-06-26,173.66,178.93,172.23,173.51,175503.0
2014-06-27,174.04,177.05,172.91,173.7,139887.0
2014-06-28,174.04,177.05,172.91,173.7,139887.0
2014-06-29,174.04,177.05,172.91,173.7,139887.0
2014-06-30,174.41,175.92,171.41,172.99,721009.0
2014-07-01,172.95,182.95,172.95,176.37,424530.0
2014-07-02,178.89,190.73,176.41,182.61,1501951.0
2014-07-03,184.0,184.0,178.1,179.34,1075408.0
2014-07-04,180.28,187.19,178.96,184.41,846965.0
2014-07-05,180.28,187.19,178.96,184.41,846965.0
2014-07-06,180.28,187.19,178.96,184.41,846965.0
2014-07-07,185.32,186.78,183.62,184.41,201686.0
2014-07-08,186.1,187.5,179.68,180.88,282050.0
2014-07-09,181.18,181.93,172.95,180.39,235575.0
2014-07-10,181.56,182.68,176.82,180.5,118386.0
2014-07-11,180.43,180.65,169.9,175.13,145061.0
2014-07-12,180.43,180.65,169.9,175.13,145061.0
2014-07-13,180.43,180.65,169.9,175.13,145061.0
2014-07-14,175.47,179.68,166.33,175.09,160815.0
2014-07-15,173.7,179.64,171.18,174.04,471660.0
2014-07-16,172.35,179.34,172.35,178.14,1429072.0
2014-07-17,175.32,184.68,175.32,183.32,587496.0
2014-07-18,180.43,186.44,176.29,181.41,329616.0
2014-07-19,180.43,186.44,176.29,181.41,329616.0
2014-07-20,180.43,186.44,176.29,181.41,329616.0
2014-07-21,180.54,183.7,177.08,180.09,66709.0
2014-07-22,180.09,182.76,178.47,179.38,80546.0
2014-07-23,179.38,184.94,177.87,181.93,326801.0
2014-07-24,183.81,183.81,177.46,178.17,44473.0
2014-07-25,176.67,180.24,172.91,177.5,104380.0
2014-07-26,176.67,180.24,172.91,177.5,104380.0
2014-07-27,176.67,180.24,172.91,177.5,104380.0
2014-07-28,177.42,177.42,172.16,173.36,47887.0
2014-07-29,177.42,177.42,172.16,173.36,47887.0
2014-07-30,173.36,183.06,172.91,179.9,200284.0
2014-07-31,182.46,182.98,175.32,176.03,152259.0
2014-08-01,174.41,179.34,172.91,175.77,342513.0
2014-08-02,174.41,179.34,172.91,175.77,342513.0
2014-08-03,174.41,179.34,172.91,175.77,342513.0
2014-08-04,179.6,179.6,174.41,174.83,79703.0
2014-08-05,175.32,178.93,175.32,176.59,185465.0
2014-08-06,177.23,184.94,177.23,179.45,344859.0
2014-08-07,179.9,184.56,177.84,179.19,113397.0
2014-08-08,179.19,179.19,175.92,176.67,2181593.0
2014-08-09,179.19,179.19,175.92,176.67,2181593.0
2014-08-10,179.19,179.19,175.92,176.67,2181593.0
2014-08-11,183.55,185.2,177.89,179.88,621741.0
2014-08-12,181.79,183.55,176.25,180.3,226954.0
2014-08-13,179.73,181.99,172.92,175.83,140348.0
2014-08-14,176.29,179.54,174.91,176.75,186956.0
2014-08-15,176.29,179.54,174.91,176.75,186956.0
2014-08-16,176.29,179.54,174.91,176.75,186956.0
2014-08-17,176.29,179.54,174.91,176.75,186956.0
2014-08-18,181.26,191.2,180.99,186.0,361319.0
2014-08-19,187.38,202.63,187.38,196.4,1647791.0
2014-08-20,198.31,207.26,197.4,198.85,529104.0
2014-08-21,198.93,202.67,197.32,198.81,769432.0
2014-08-22,199.54,202.67,194.3,196.21,225532.0
2014-08-23,199.54,202.67,194.3,196.21,225532.0
2014-08-24,199.54,202.67,194.3,196.21,225532.0
2014-08-25,197.28,201.83,196.29,199.38,244526.0
2014-08-26,197.32,200.68,194.91,197.74,257812.0
2014-08-27,199.92,200.38,195.56,197.66,201710.0
2014-08-28,198.81,207.3,198.39,201.76,454075.0
2014-08-29,198.81,207.3,198.39,201.76,454075.0
2014-08-30,198.81,207.3,198.39,201.76,454075.0
2014-08-31,198.81,207.3,198.39,201.76,454075.0
2014-09-01,202.67,206.5,197.32,198.43,361654.0
2014-09-02,199.61,210.32,194.07,196.25,446023.0
2014-09-03,195.79,201.14,194.72,197.2,269184.0
2014-09-04,196.55,198.85,187.26,187.72,529654.0
2014-09-05,188.91,202.67,188.91,200.65,536989.0
2014-09-06,188.91,202.67,188.91,200.65,536989.0
2014-09-07,188.91,202.67,188.91,200.65,536989.0
2014-09-08,201.14,204.2,200.03,200.91,145035.0
2014-09-09,200.38,205.96,197.43,199.69,209619.0
2014-09-10,199.61,201.07,197.7,198.43,146792.0
2014-09-11,199.38,209.44,199.04,206.04,736892.0
2014-09-12,209.56,213.3,200.0,202.6,1680908.0
2014-09-13,209.56,213.3,200.0,202.6,1680908.0
2014-09-14,209.56,213.3,200.0,202.6,1680908.0
2014-09-15,202.67,205.62,198.93,202.9,413929.0
2014-09-16,201.14,207.26,195.45,197.24,432597.0
2014-09-17,197.47,198.77,166.73,190.44,540423.0
2014-09-18,189.02,196.02,185.85,191.85,393854.0
2014-09-19,192.0,194.57,185.08,188.03,328381.0
2014-09-20,192.0,194.57,185.08,188.03,328381.0
2014-09-21,192.0,194.57,185.08,188.03,328381.0
2014-09-22,186.15,195.41,182.9,190.74,322503.0
2014-09-23,188.91,196.13,188.91,194.49,1142954.0
2014-09-24,193.3,195.83,187.11,194.3,430806.0
2014-09-25,192.35,195.03,184.47,187.11,139669.0
2014-09-26,185.24,192.58,181.64,189.06,177954.0
2014-09-27,185.24,192.58,181.64,189.06,177954.0
2014-09-28,185.24,192.58,181.64,189.06,177954.0
2014-09-29,187.38,202.63,187.15,199.23,304912.0
2014-09-30,197.24,201.14,195.03,196.13,147825.0
2014-10-01,196.1,213.99,194.07,203.32,782501.0
2014-10-02,196.1,213.99,194.07,203.32,782501.0
2014-10-03,196.1,213.99,194.07,203.32,782501.0
2014-10-04,196.1,213.99,194.07,203.32,782501.0
2014-10-05,196.1,213.99,194.07,203.32,782501.0
2014-10-06,196.1,213.99,194.07,203.32,782501.0
2014-10-07,201.14,207.99,196.1,198.16,252332.0
2014-10-08,199.88,200.72,191.97,193.0,362437.0
2014-10-09,192.73,200.34,192.73,196.63,92511.0
2014-10-10,195.79,198.73,191.2,193.72,114586.0
2014-10-11,195.79,198.73,191.2,193.72,114586.0
2014-10-12,195.79,198.73,191.2,193.72,114586.0
2014-10-13,193.72,197.32,191.28,194.57,78391.0
2014-10-14,192.73,206.5,192.73,198.85,3374967.0
2014-10-15,192.73,206.5,192.73,198.85,3374967.0
2014-10-16,197.32,200.49,194.34,197.55,328817.0
2014-10-17,195.9,201.14,193.5,197.7,147766.0
2014-10-18,195.9,201.14,193.5,197.7,147766.0
2014-10-19,195.9,201.14,193.5,197.7,147766.0
2014-10-20,196.1,199.73,190.82,193.34,203333.0
2014-10-21,193.0,198.66,191.32,195.33,172431.0
2014-10-22,195.33,198.39,194.37,195.29,95764.0
2014-10-23,198.01,201.91,195.6,200.07,35043.0
2014-10-24,198.01,201.91,195.6,200.07,35043.0
2014-10-25,198.01,201.91,195.6,200.07,35043.0
2014-10-26,198.01,201.91,195.6,200.07,35043.0
2014-10-27,197.43,200.65,195.41,196.44,61364.0
2014-10-28,195.03,205.96,195.03,202.9,143742.0
2014-10-29,205.73,214.07,204.2,208.94,419651.0
2014-10-30,207.49,214.15,204.66,206.99,214068.0
2014-10-31,210.32,233.27,204.36,219.12,2375599.0
2014-11-01,210.32,233.27,204.36,219.12,2375599.0
2014-11-02,210.32,233.27,204.36,219.12,2375599.0
2014-11-03,221.41,230.21,214.11,221.75,1010463.0
2014-11-04,221.41,230.21,214.11,221.75,1010463.0
2014-11-05,224.09,227.15,217.97,222.06,265566.0
2014-11-06,224.09,227.15,217.97,222.06,265566.0
2014-11-07,224.78,228.26,210.32,221.83,241509.0
2014-11-08,224.78,228.26,210.32,221.83,241509.0
2014-11-09,224.78,228.26,210.32,221.83,241509.0
2014-11-10,222.52,243.51,222.18,232.31,943301.0
2014-11-11,233.65,239.38,230.24,237.28,499816.0
2014-11-12,237.28,241.68,235.41,239.19,198231.0
2014-11-13,239.38,244.74,232.58,234.07,257893.0
2014-11-14,236.02,246.11,231.81,244.01,466917.0
2014-11-15,236.02,246.11,231.81,244.01,466917.0
2014-11-16,236.02,246.11,231.81,244.01,466917.0
2014-11-17,244.66,267.38,241.68,262.71,658069.0
2014-11-18,266.04,267.68,258.5,263.02,474192.0
2014-11-19,263.09,265.23,248.56,249.98,326178.0
2014-11-20,253.04,261.52,249.36,252.23,259067.0
2014-11-21,249.56,256.48,246.46,252.73,218228.0
2014-11-22,249.56,256.48,246.46,252.73,218228.0
2014-11-23,249.56,256.48,246.46,252.73,218228.0
2014-11-24,256.06,258.5,249.71,251.47,231366.0
2014-11-25,251.47,254.64,237.09,240.95,579873.0
