,URI US Equity
,BEST_EPS
2021-06-10,33.138
2021-06-11,33.138
2021-06-12,33.138
2021-06-13,33.138
2021-06-14,33.138
2021-06-15,33.138
2021-06-16,33.138
2021-06-17,33.138
2021-06-18,33.138
2021-06-19,33.138
2021-06-20,33.138
2021-06-21,33.138
2021-06-22,33.138
2021-06-23,33.138
2021-06-24,33.138
2021-06-25,33.138
2021-06-26,33.138
2021-06-27,33.138
2021-06-28,33.138
2021-06-29,33.138
2021-06-30,33.138
2021-07-01,33.138
2021-07-02,33.138
2021-07-03,33.138
2021-07-04,33.138
2021-07-05,33.138
2021-07-06,33.138
2021-07-07,33.138
2021-07-08,33.138
2021-07-09,33.138
2021-07-10,33.138
2021-07-11,33.313
2021-07-12,33.313
2021-07-13,34.438
2021-07-14,34.438
2021-07-15,34.438
2021-07-16,34.438
2021-07-17,34.438
2021-07-18,34.438
2021-07-19,35.81
2021-07-20,35.81
2021-07-21,35.81
2021-07-22,35.81
2021-07-23,35.81
2021-07-24,35.81
2021-07-25,35.81
2021-07-26,35.81
2021-07-27,35.81
2021-07-28,35.81
2021-07-29,36.347
2021-07-30,36.347
2021-07-31,36.347
2021-08-01,36.347
2021-08-02,36.347
2021-08-03,36.347
2021-08-04,36.347
2021-08-05,36.347
2021-08-06,36.347
2021-08-07,36.347
2021-08-08,36.347
2021-08-09,36.347
2021-08-10,36.347
2021-08-11,36.347
2021-08-12,36.347
2021-08-13,36.347
2021-08-14,36.347
2021-08-15,36.347
2021-08-16,36.347
2021-08-17,36.347
2021-08-18,36.347
2021-08-19,36.347
2021-08-20,36.347
2021-08-21,36.347
2021-08-22,36.347
2021-08-23,36.347
2021-08-24,36.347
2021-08-25,36.347
2021-08-26,36.347
2021-08-27,36.347
2021-08-28,36.347
2021-08-29,36.347
2021-08-30,36.347
2021-08-31,36.347
2021-09-01,36.347
2021-09-02,36.347
2021-09-03,36.347
2021-09-04,36.347
2021-09-05,36.347
2021-09-06,36.347
2021-09-07,36.347
2021-09-08,36.347
2021-09-09,36.347
2021-09-10,36.347
2021-09-11,36.347
2021-09-12,36.347
2021-09-13,36.347
2021-09-14,36.347
2021-09-15,36.347
2021-09-16,36.347
2021-09-17,36.347
2021-09-18,36.347
2021-09-19,36.347
2021-09-20,36.347
2021-09-21,36.347
2021-09-22,36.347
2021-09-23,36.347
2021-09-24,36.347
2021-09-25,36.347
2021-09-26,36.347
2021-09-27,36.347
2021-09-28,36.347
2021-09-29,36.347
2021-09-30,36.347
2021-10-01,36.347
2021-10-02,36.347
2021-10-03,36.347
2021-10-04,36.347
2021-10-05,36.347
2021-10-06,36.347
2021-10-07,36.347
2021-10-08,36.28
2021-10-09,36.28
2021-10-10,36.28
2021-10-11,36.28
2021-10-12,36.587
2021-10-13,36.587
2021-10-14,36.587
2021-10-15,35.193
2021-10-16,35.193
2021-10-17,35.193
2021-10-18,35.193
2021-10-19,35.193
2021-10-20,35.193
2021-10-21,35.193
2021-10-22,35.193
2021-10-23,35.193
2021-10-24,35.193
2021-10-25,35.193
2021-10-26,35.193
2021-10-27,35.193
2021-10-28,35.193
2021-10-29,35.048
2021-10-30,33.436
2021-10-31,33.436
2021-11-01,33.436
2021-11-02,33.436
2021-11-03,33.436
2021-11-04,33.436
2021-11-05,33.436
2021-11-06,33.436
2021-11-07,33.436
2021-11-08,33.436
2021-11-09,33.436
2021-11-10,33.436
2021-11-11,33.436
2021-11-12,33.436
2021-11-13,33.436
2021-11-14,33.436
2021-11-15,33.436
2021-11-16,33.436
2021-11-17,33.436
2021-11-18,33.436
2021-11-19,33.436
2021-11-20,33.436
2021-11-21,33.436
2021-11-22,33.436
2021-11-23,33.436
2021-11-24,33.436
2021-11-25,33.436
2021-11-26,33.436
2021-11-27,33.436
2021-11-28,33.436
2021-11-29,33.436
2021-11-30,33.436
2021-12-01,33.436
2021-12-02,33.436
2021-12-03,33.436
2021-12-04,33.436
2021-12-05,33.436
2021-12-06,33.436
2021-12-07,33.436
2021-12-08,33.436
2021-12-09,31.04
2021-12-10,31.04
2021-12-11,31.04
2021-12-12,31.04
2021-12-13,31.04
2021-12-14,31.04
2021-12-15,31.04
2021-12-16,31.04
2021-12-17,31.04
2021-12-18,31.04
2021-12-19,31.04
2021-12-20,31.04
2021-12-21,31.04
2021-12-22,31.04
2021-12-23,31.04
2021-12-24,31.04
2021-12-25,31.04
2021-12-26,31.04
2021-12-27,31.04
2021-12-28,31.04
2021-12-29,31.04
2021-12-30,31.04
2021-12-31,31.04
2022-01-01,31.04
2022-01-02,31.04
2022-01-03,31.04
2022-01-04,31.04
2022-01-05,31.04
2022-01-06,31.04
2022-01-07,31.04
2022-01-08,31.04
2022-01-09,31.056
2022-01-10,31.056
2022-01-11,31.056
2022-01-12,31.056
2022-01-13,31.592
2022-01-14,31.592
2022-01-15,31.592
2022-01-16,31.592
2022-01-17,31.592
2022-01-18,31.592
2022-01-19,31.925
2022-01-20,31.925
2022-01-21,31.636
2022-01-22,31.636
2022-01-23,31.636
2022-01-24,31.636
2022-01-25,31.636
2022-01-26,33.615
2022-01-27,34.579
2022-01-28,34.661
2022-01-29,34.661
2022-01-30,34.661
2022-01-31,34.763
2022-02-01,34.763
2022-02-02,34.763
2022-02-03,34.763
2022-02-04,34.763
2022-02-05,34.763
2022-02-06,34.763
2022-02-07,34.763
2022-02-08,34.763
2022-02-09,34.763
2022-02-10,34.763
2022-02-11,34.763
2022-02-12,34.763
2022-02-13,34.763
2022-02-14,35.136
2022-02-15,35.136
2022-02-16,35.136
2022-02-17,35.136
2022-02-18,35.136
2022-02-19,35.136
2022-02-20,35.136
2022-02-21,35.136
2022-02-22,35.136
2022-02-23,35.136
