,VRTX US Equity
,BEST_EPS
2021-05-11,14.87
2021-05-12,14.87
2021-05-13,14.87
2021-05-14,14.87
2021-05-15,14.87
2021-05-16,14.87
2021-05-17,14.87
2021-05-18,14.87
2021-05-19,14.87
2021-05-20,14.87
2021-05-21,14.87
2021-05-22,14.87
2021-05-23,14.87
2021-05-24,14.87
2021-05-25,14.87
2021-05-26,14.87
2021-05-27,14.87
2021-05-28,14.87
2021-05-29,14.87
2021-05-30,14.87
2021-05-31,14.87
2021-06-01,14.87
2021-06-02,14.87
2021-06-03,14.87
2021-06-04,14.87
2021-06-05,14.87
2021-06-06,14.87
2021-06-07,14.87
2021-06-08,14.87
2021-06-09,14.87
2021-06-10,14.758
2021-06-11,14.575
2021-06-12,14.575
2021-06-13,14.575
2021-06-14,14.555
2021-06-15,14.555
2021-06-16,14.555
2021-06-17,14.555
2021-06-18,14.555
2021-06-19,14.555
2021-06-20,14.555
2021-06-21,14.555
2021-06-22,14.555
2021-06-23,14.555
2021-06-24,14.555
2021-06-25,14.555
2021-06-26,14.555
2021-06-27,14.555
2021-06-28,14.555
2021-06-29,14.555
2021-06-30,14.531
2021-07-01,14.531
2021-07-02,14.531
2021-07-03,14.531
2021-07-04,14.531
2021-07-05,14.531
2021-07-06,14.531
2021-07-07,14.531
2021-07-08,14.542
2021-07-09,14.553
2021-07-10,14.553
2021-07-11,14.553
2021-07-12,14.553
2021-07-13,14.553
2021-07-14,14.553
2021-07-15,14.553
2021-07-16,14.553
2021-07-17,14.553
2021-07-18,14.553
2021-07-19,14.553
2021-07-20,14.553
2021-07-21,14.553
2021-07-22,14.553
2021-07-23,14.553
2021-07-24,14.553
2021-07-25,14.642
2021-07-26,14.642
2021-07-27,14.642
2021-07-28,14.642
2021-07-29,14.968
2021-07-30,14.981
2021-07-31,14.981
2021-08-01,14.981
2021-08-02,15.035
2021-08-03,15.035
2021-08-04,15.035
2021-08-05,15.035
2021-08-06,15.035
2021-08-07,15.035
2021-08-08,15.035
2021-08-09,15.036
2021-08-10,15.036
2021-08-11,15.073
2021-08-12,15.073
2021-08-13,15.073
2021-08-14,15.073
2021-08-15,15.073
2021-08-16,15.073
2021-08-17,15.073
2021-08-18,15.073
2021-08-19,15.073
2021-08-20,15.073
2021-08-21,15.073
2021-08-22,15.073
2021-08-23,15.073
2021-08-24,15.073
2021-08-25,15.073
2021-08-26,15.073
2021-08-27,15.073
2021-08-28,15.073
2021-08-29,15.073
2021-08-30,15.073
2021-08-31,15.073
2021-09-01,15.073
2021-09-02,15.073
2021-09-03,15.073
2021-09-04,15.073
2021-09-05,15.073
2021-09-06,15.073
2021-09-07,15.073
2021-09-08,15.079
2021-09-09,15.079
2021-09-10,15.079
2021-09-11,15.079
2021-09-12,15.079
2021-09-13,15.079
2021-09-14,15.079
2021-09-15,15.079
2021-09-16,15.079
2021-09-17,15.079
2021-09-18,15.079
2021-09-19,15.079
2021-09-20,15.079
2021-09-21,15.079
2021-09-22,15.079
2021-09-23,15.079
2021-09-24,15.079
2021-09-25,15.079
2021-09-26,15.079
2021-09-27,15.079
2021-09-28,15.079
2021-09-29,15.079
2021-09-30,15.079
2021-10-01,15.079
2021-10-02,15.079
2021-10-03,15.079
2021-10-04,15.079
2021-10-05,15.079
2021-10-06,15.144
2021-10-07,15.144
2021-10-08,15.144
2021-10-09,15.144
2021-10-10,15.144
2021-10-11,15.144
2021-10-12,15.236
2021-10-13,15.236
2021-10-14,15.254
2021-10-15,15.256
2021-10-16,15.256
2021-10-17,15.256
2021-10-18,15.256
2021-10-19,15.256
2021-10-20,15.256
2021-10-21,15.256
2021-10-22,15.256
2021-10-23,15.256
2021-10-24,15.256
2021-10-25,15.256
2021-10-26,15.256
2021-10-27,15.256
2021-10-28,15.256
2021-10-29,15.256
2021-10-30,15.256
2021-10-31,15.256
2021-11-01,15.256
2021-11-02,15.39
2021-11-03,15.286
2021-11-04,15.286
2021-11-05,15.286
2021-11-06,15.286
2021-11-07,15.286
2021-11-08,15.286
2021-11-09,15.651
2021-11-10,15.636
2021-11-11,15.636
2021-11-12,15.636
2021-11-13,15.636
2021-11-14,15.636
2021-11-15,15.624
2021-11-16,15.624
2021-11-17,15.586
2021-11-18,15.586
2021-11-19,15.586
2021-11-20,15.586
2021-11-21,15.586
2021-11-22,15.586
2021-11-23,15.586
2021-11-24,15.586
2021-11-25,15.586
2021-11-26,15.586
2021-11-27,15.586
2021-11-28,15.586
2021-11-29,15.586
2021-11-30,15.586
2021-12-01,15.579
2021-12-02,15.585
2021-12-03,15.585
2021-12-04,15.585
2021-12-05,15.585
2021-12-06,15.585
2021-12-07,15.585
2021-12-08,15.676
2021-12-09,15.676
2021-12-10,15.676
2021-12-11,15.676
2021-12-12,15.676
2021-12-13,15.676
2021-12-14,15.676
2021-12-15,15.676
2021-12-16,15.676
2021-12-17,15.676
2021-12-18,15.676
2021-12-19,15.676
2021-12-20,15.676
2021-12-21,15.676
2021-12-22,15.676
2021-12-23,15.676
2021-12-24,15.676
2021-12-25,15.676
2021-12-26,15.676
2021-12-27,15.676
2021-12-28,15.676
2021-12-29,15.676
2021-12-30,15.676
2021-12-31,15.676
2022-01-01,15.676
2022-01-02,15.71
2022-01-03,15.71
2022-01-04,15.71
2022-01-05,15.71
2022-01-06,15.701
2022-01-07,15.706
2022-01-08,15.706
2022-01-09,15.706
2022-01-10,15.671
2022-01-11,15.671
2022-01-12,15.671
2022-01-13,15.671
2022-01-14,15.671
2022-01-15,15.671
2022-01-16,15.671
2022-01-17,15.671
2022-01-18,15.671
2022-01-19,15.695
2022-01-20,15.695
2022-01-21,15.695
2022-01-22,15.695
2022-01-23,15.695
2022-01-24,15.695
2022-01-25,15.695
2022-01-26,16.238
2022-01-27,16.319
2022-01-28,16.316
2022-01-29,16.316
2022-01-30,16.316
2022-01-31,16.316
2022-02-01,16.316
2022-02-02,16.316
2022-02-03,16.316
2022-02-04,16.316
2022-02-05,16.316
2022-02-06,16.316
2022-02-07,16.316
2022-02-08,16.316
2022-02-09,16.316
2022-02-10,16.316
2022-02-11,16.316
2022-02-12,16.316
2022-02-13,16.316
2022-02-14,16.316
2022-02-15,16.316
2022-02-16,16.316
2022-02-17,16.316
2022-02-18,16.316
2022-02-19,16.316
2022-02-20,16.316
2022-02-21,16.316
2022-02-22,16.316
2022-02-23,16.316
2022-02-24,16.316
2022-02-25,16.488
2022-02-26,16.488
2022-02-27,16.279
2022-02-28,16.279
2022-03-01,16.279
2022-03-02,16.279
2022-03-03,16.279
2022-03-04,16.279
2022-03-05,16.279
2022-03-06,16.279
2022-03-07,16.279
2022-03-08,16.279
2022-03-09,16.279
2022-03-10,16.279
2022-03-11,16.279
2022-03-12,16.279
2022-03-13,16.279
2022-03-14,16.279
2022-03-15,16.279
2022-03-16,16.279
2022-03-17,16.279
2022-03-18,16.279
2022-03-19,16.279
2022-03-20,16.279
2022-03-21,16.279
2022-03-22,16.279
2022-03-23,16.279
2022-03-24,16.279
