,ULTA US Equity
,BEST_EPS
2020-02-27,23.93
2020-02-28,23.93
2020-02-29,23.93
2020-03-01,23.93
2020-03-02,23.93
2020-03-03,23.93
2020-03-04,23.93
2020-03-05,23.93
2020-03-06,23.93
2020-03-07,23.93
2020-03-08,23.93
2020-03-09,23.93
2020-03-10,23.93
2020-03-11,23.93
2020-03-12,23.93
2020-03-13,23.93
2020-03-14,23.93
2020-03-15,23.93
2020-03-16,23.93
2020-03-17,23.93
2020-03-18,23.93
2020-03-19,23.93
2020-03-20,23.93
2020-03-21,23.93
2020-03-22,23.93
2020-03-23,23.93
2020-03-24,23.93
2020-03-25,23.93
2020-03-26,23.93
2020-03-27,23.93
2020-03-28,23.93
2020-03-29,23.93
2020-03-30,23.93
2020-03-31,23.93
2020-04-01,23.93
2020-04-02,23.93
2020-04-03,23.93
2020-04-04,23.93
2020-04-05,23.93
2020-04-06,23.93
2020-04-07,23.93
2020-04-08,23.93
2020-04-09,23.93
2020-04-10,23.93
2020-04-11,23.93
2020-04-12,23.93
2020-04-13,23.93
2020-04-14,23.93
2020-04-15,23.93
2020-04-16,23.93
2020-04-17,23.93
2020-04-18,23.93
2020-04-19,23.93
2020-04-20,23.93
2020-04-21,23.93
2020-04-22,23.93
2020-04-23,23.93
2020-04-24,23.93
2020-04-25,23.93
2020-04-26,23.93
2020-04-27,23.93
2020-04-28,23.93
2020-04-29,23.93
2020-04-30,23.93
2020-05-01,23.93
2020-05-02,23.93
2020-05-03,23.93
2020-05-04,23.93
2020-05-05,23.93
2020-05-06,23.93
2020-05-07,23.93
2020-05-08,23.93
2020-05-09,23.93
2020-05-10,23.93
2020-05-11,23.93
2020-05-12,23.93
2020-05-13,23.93
2020-05-14,23.93
2020-05-15,23.93
2020-05-16,23.93
2020-05-17,23.93
2020-05-18,23.93
2020-05-19,23.93
2020-05-20,23.93
2020-05-21,23.93
2020-05-22,23.93
2020-05-23,23.93
2020-05-24,23.93
2020-05-25,23.93
2020-05-26,23.93
2020-05-27,23.93
2020-05-28,23.93
2020-05-29,23.93
