,ROP US Equity
,BEST_EPS
2021-12-12,19.395
2021-12-13,19.395
2021-12-14,19.395
2021-12-15,18.996
2021-12-16,18.996
2021-12-17,18.65
2021-12-18,18.65
2021-12-19,18.65
2021-12-20,18.65
2021-12-21,18.65
2021-12-22,18.65
2021-12-23,18.65
2021-12-24,18.65
2021-12-25,18.65
2021-12-26,18.65
2021-12-27,18.65
2021-12-28,18.65
2021-12-29,18.65
2021-12-30,18.65
2021-12-31,18.65
2022-01-01,18.65
2022-01-02,18.65
2022-01-03,18.65
2022-01-04,18.65
2022-01-05,18.65
2022-01-06,18.65
2022-01-07,18.65
2022-01-08,18.65
2022-01-09,18.65
2022-01-10,18.396
2022-01-11,18.396
2022-01-12,18.396
2022-01-13,18.396
2022-01-14,18.396
2022-01-15,18.396
2022-01-16,18.396
2022-01-17,18.396
2022-01-18,18.389
2022-01-19,18.389
2022-01-20,18.389
2022-01-21,18.389
2022-01-22,18.389
2022-01-23,18.389
2022-01-24,18.389
2022-01-25,18.389
2022-01-26,18.389
2022-01-27,18.389
2022-01-28,18.389
2022-01-29,18.389
2022-01-30,18.389
2022-01-31,18.389
2022-02-01,18.389
2022-02-02,18.401
2022-02-03,18.451
2022-02-04,18.413
2022-02-05,18.413
2022-02-06,18.413
2022-02-07,18.413
2022-02-08,18.413
2022-02-09,18.41
2022-02-10,18.41
2022-02-11,18.41
2022-02-12,18.41
2022-02-13,18.41
2022-02-14,18.449
2022-02-15,18.449
2022-02-16,18.449
2022-02-17,18.449
2022-02-18,18.449
2022-02-19,18.449
2022-02-20,18.449
2022-02-21,18.449
2022-02-22,18.449
2022-02-23,18.449
2022-02-24,18.449
2022-02-25,18.449
2022-02-26,18.449
2022-02-27,18.449
2022-02-28,18.449
2022-03-01,18.449
2022-03-02,18.404
2022-03-03,18.404
2022-03-04,18.404
2022-03-05,18.404
2022-03-06,18.404
2022-03-07,18.404
2022-03-08,18.404
2022-03-09,18.759
2022-03-10,18.759
2022-03-11,18.759
2022-03-12,18.759
2022-03-13,18.759
2022-03-14,18.759
2022-03-15,18.759
2022-03-16,18.759
2022-03-17,18.759
2022-03-18,18.614
2022-03-19,18.614
2022-03-20,18.614
2022-03-21,18.614
2022-03-22,18.614
2022-03-23,18.614
2022-03-24,18.614
2022-03-25,18.614
2022-03-26,18.614
2022-03-27,18.614
2022-03-28,18.614
2022-03-29,18.614
2022-03-30,18.614
2022-03-31,18.614
2022-04-01,18.614
2022-04-02,18.614
2022-04-03,18.614
2022-04-04,18.614
2022-04-05,18.591
2022-04-06,18.591
2022-04-07,18.591
2022-04-08,18.591
2022-04-09,18.591
2022-04-10,18.591
2022-04-11,18.591
2022-04-12,18.591
2022-04-13,18.591
2022-04-14,17.95
2022-04-15,17.95
2022-04-16,17.95
2022-04-17,17.95
2022-04-18,17.95
2022-04-19,17.95
2022-04-20,17.95
2022-04-21,17.95
2022-04-22,17.95
2022-04-23,17.95
2022-04-24,17.95
2022-04-25,17.95
2022-04-26,17.911
2022-04-27,17.946
2022-04-28,17.964
2022-04-29,17.964
2022-04-30,17.964
2022-05-01,17.964
2022-05-02,17.964
2022-05-03,17.964
2022-05-04,17.968
2022-05-05,17.987
2022-05-06,18.012
2022-05-07,18.012
2022-05-08,18.012
2022-05-09,18.012
2022-05-10,18.023
2022-05-11,18.023
2022-05-12,18.023
2022-05-13,18.073
2022-05-14,18.073
2022-05-15,18.073
2022-05-16,18.073
2022-05-17,18.073
2022-05-18,18.073
2022-05-19,18.073
2022-05-20,18.073
2022-05-21,18.073
2022-05-22,18.073
2022-05-23,18.073
2022-05-24,18.073
2022-05-25,18.073
2022-05-26,18.073
2022-05-27,18.073
2022-05-28,18.073
2022-05-29,18.073
2022-05-30,18.073
2022-05-31,18.073
2022-06-01,18.124
2022-06-02,17.956
2022-06-03,17.956
2022-06-04,17.956
2022-06-05,17.956
2022-06-06,17.94
2022-06-07,17.67
2022-06-08,17.67
2022-06-09,17.67
2022-06-10,17.76
2022-06-11,17.76
2022-06-12,17.76
2022-06-13,17.76
2022-06-14,17.817
2022-06-15,17.817
2022-06-16,17.69
2022-06-17,17.69
2022-06-18,17.69
2022-06-19,17.69
2022-06-20,17.69
2022-06-21,17.69
2022-06-22,17.69
2022-06-23,17.69
2022-06-24,17.69
2022-06-25,17.69
2022-06-26,17.69
2022-06-27,17.69
2022-06-28,17.69
2022-06-29,17.69
2022-06-30,17.69
2022-07-01,17.69
2022-07-02,17.69
2022-07-03,17.69
2022-07-04,17.69
2022-07-05,17.69
2022-07-06,17.673
2022-07-07,17.673
2022-07-08,17.673
2022-07-09,17.673
2022-07-10,17.673
2022-07-11,17.673
2022-07-12,17.673
2022-07-13,17.673
2022-07-14,17.673
2022-07-15,17.673
2022-07-16,17.673
2022-07-17,17.673
2022-07-18,17.673
2022-07-19,15.11
2022-07-20,17.055
2022-07-21,17.055
2022-07-22,19.0
2022-07-23,19.0
2022-07-24,17.075
2022-07-25,17.075
2022-07-26,16.63
2022-07-27,16.63
2022-07-28,16.63
2022-07-29,16.63
2022-07-30,16.63
2022-07-31,16.63
2022-08-01,16.63
2022-08-02,16.63
2022-08-03,16.768
2022-08-04,16.768
2022-08-05,16.768
2022-08-06,16.768
2022-08-07,16.768
2022-08-08,16.768
2022-08-09,16.768
2022-08-10,16.768
2022-08-11,16.768
2022-08-12,16.43
2022-08-13,16.43
2022-08-14,16.43
2022-08-15,16.43
2022-08-16,16.43
2022-08-17,16.43
2022-08-18,16.43
2022-08-19,16.013
2022-08-20,16.013
2022-08-21,16.013
2022-08-22,16.013
2022-08-23,16.013
2022-08-24,16.013
2022-08-25,16.013
2022-08-26,15.515
2022-08-27,15.515
2022-08-28,15.515
2022-08-29,15.515
2022-08-30,15.515
2022-08-31,15.672
2022-09-01,15.943
2022-09-02,15.943
2022-09-03,15.943
2022-09-04,15.943
2022-09-05,15.943
2022-09-06,15.943
2022-09-07,15.943
2022-09-08,15.943
2022-09-09,15.943
2022-09-10,15.943
2022-09-11,15.943
2022-09-12,15.943
