,AMGN US Equity
,BEST_EPS
2021-01-17,20.448
2021-01-18,20.448
2021-01-19,20.448
2021-01-20,20.448
2021-01-21,20.448
2021-01-22,20.413
2021-01-23,20.413
2021-01-24,20.413
2021-01-25,20.394
2021-01-26,20.394
2021-01-27,20.44
2021-01-28,20.44
2021-01-29,20.438
2021-01-30,20.438
2021-01-31,20.465
2021-02-01,20.581
2021-02-02,20.773
2021-02-03,20.889
2021-02-04,20.868
2021-02-05,20.868
2021-02-06,20.868
2021-02-07,20.868
2021-02-08,20.923
2021-02-09,20.923
2021-02-10,20.923
2021-02-11,20.923
2021-02-12,20.923
2021-02-13,20.923
2021-02-14,20.923
2021-02-15,20.923
2021-02-16,20.923
2021-02-17,20.923
2021-02-18,20.923
2021-02-19,20.886
2021-02-20,20.886
2021-02-21,20.886
2021-02-22,20.886
2021-02-23,20.886
2021-02-24,20.961
2021-02-25,20.961
2021-02-26,20.975
2021-02-27,20.975
2021-02-28,20.975
2021-03-01,21.015
2021-03-02,21.015
2021-03-03,21.015
2021-03-04,21.009
2021-03-05,21.146
2021-03-06,21.146
2021-03-07,21.146
2021-03-08,21.146
2021-03-09,21.146
2021-03-10,21.146
2021-03-11,21.146
2021-03-12,21.146
2021-03-13,21.146
2021-03-14,21.146
2021-03-15,21.152
2021-03-16,21.152
2021-03-17,21.152
2021-03-18,21.152
2021-03-19,21.152
2021-03-20,21.152
2021-03-21,21.152
2021-03-22,21.152
2021-03-23,21.152
2021-03-24,21.152
2021-03-25,21.152
2021-03-26,21.152
2021-03-27,21.152
2021-03-28,21.152
2021-03-29,21.152
2021-03-30,21.152
2021-03-31,21.152
2021-04-01,21.138
2021-04-02,21.138
2021-04-03,21.138
2021-04-04,21.156
2021-04-05,21.156
2021-04-06,21.156
2021-04-07,21.156
2021-04-08,21.156
2021-04-09,21.114
2021-04-10,21.114
2021-04-11,21.114
2021-04-12,21.114
2021-04-13,21.114
2021-04-14,21.114
2021-04-15,21.114
2021-04-16,21.108
2021-04-17,21.108
2021-04-18,21.108
2021-04-19,21.111
2021-04-20,21.088
2021-04-21,21.088
2021-04-22,21.088
2021-04-23,21.088
2021-04-24,21.088
2021-04-25,21.088
2021-04-26,21.031
2021-04-27,20.824
