,ATO US Equity
,BEST_EPS
2021-08-29,6.127
2021-08-30,6.127
2021-08-31,6.127
2021-09-01,6.127
2021-09-02,6.127
2021-09-03,6.127
2021-09-04,6.127
2021-09-05,6.127
2021-09-06,6.127
2021-09-07,6.127
2021-09-08,6.127
2021-09-09,6.127
2021-09-10,6.127
2021-09-11,6.127
2021-09-12,6.127
2021-09-13,6.127
2021-09-14,6.127
2021-09-15,6.175
2021-09-16,6.175
2021-09-17,6.175
2021-09-18,6.175
2021-09-19,6.175
2021-09-20,6.175
2021-09-21,6.175
2021-09-22,6.175
2021-09-23,6.175
2021-09-24,6.175
2021-09-25,6.175
2021-09-26,6.175
2021-09-27,6.175
2021-09-28,6.175
2021-09-29,6.175
2021-09-30,6.175
2021-10-01,6.175
2021-10-02,6.175
2021-10-03,6.175
2021-10-04,6.175
2021-10-05,6.175
2021-10-06,6.175
2021-10-07,6.175
2021-10-08,6.175
2021-10-09,6.175
2021-10-10,6.175
2021-10-11,6.175
2021-10-12,6.175
2021-10-13,6.16
2021-10-14,6.16
2021-10-15,6.16
2021-10-16,6.16
2021-10-17,6.16
2021-10-18,6.16
2021-10-19,6.16
2021-10-20,6.132
2021-10-21,6.132
2021-10-22,6.16
2021-10-23,6.16
2021-10-24,6.16
2021-10-25,6.16
2021-10-26,6.16
2021-10-27,6.16
2021-10-28,6.16
2021-10-29,6.16
2021-10-30,6.16
2021-10-31,6.16
2021-11-01,6.16
2021-11-02,6.16
2021-11-03,6.16
2021-11-04,6.16
2021-11-05,6.16
2021-11-06,6.16
2021-11-07,6.16
2021-11-08,6.16
2021-11-09,6.16
2021-11-10,6.16
2021-11-11,6.218
2021-11-12,6.218
2021-11-13,6.218
2021-11-14,6.218
2021-11-15,6.218
2021-11-16,6.218
2021-11-17,6.218
2021-11-18,6.218
2021-11-19,6.218
2021-11-20,6.218
2021-11-21,6.218
2021-11-22,6.218
2021-11-23,6.218
2021-11-24,6.264
2021-11-25,6.264
2021-11-26,6.264
2021-11-27,6.264
2021-11-28,6.264
2021-11-29,6.264
2021-11-30,6.264
2021-12-01,6.264
2021-12-02,6.294
2021-12-03,6.294
2021-12-04,6.29
2021-12-05,6.29
2021-12-06,6.29
2021-12-07,6.29
2021-12-08,6.298
2021-12-09,6.298
2021-12-10,6.298
2021-12-11,6.298
2021-12-12,6.298
2021-12-13,6.294
2021-12-14,6.294
2021-12-15,6.294
2021-12-16,6.294
2021-12-17,6.294
2021-12-18,6.294
2021-12-19,6.294
2021-12-20,6.294
2021-12-21,6.294
2021-12-22,6.294
2021-12-23,6.294
2021-12-24,6.294
2021-12-25,6.294
