,6758 JP Equity,6758 JP Equity,6758 JP Equity,6758 JP Equity,6758 JP Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-08-06,2390.7,2463.2,2387.2,2440.8,7338700.0
2010-08-07,2390.7,2463.2,2387.2,2440.8,7338700.0
2010-08-08,2390.7,2463.2,2387.2,2440.8,7338700.0
2010-08-09,2397.9,2426.5,2396.1,2415.8,3743200.0
2010-08-10,2432.8,2437.3,2393.4,2398.8,4180900.0
2010-08-11,2357.6,2368.4,2327.2,2331.7,6213800.0
2010-08-12,2262.8,2294.1,2247.6,2294.1,8039600.0
2010-08-13,2290.5,2338.8,2266.4,2337.9,7070600.0
2010-08-14,2290.5,2338.8,2266.4,2337.9,7070600.0
2010-08-15,2290.5,2338.8,2266.4,2337.9,7070600.0
2010-08-16,2283.4,2286.1,2251.2,2268.2,6193500.0
2010-08-17,2252.9,2276.2,2250.3,2274.4,5705800.0
2010-08-18,2303.9,2308.4,2276.2,2289.6,5420900.0
2010-08-19,2286.9,2331.7,2286.1,2328.1,6933200.0
2010-08-20,2283.4,2302.2,2268.2,2270.8,4780800.0
2010-08-21,2283.4,2302.2,2268.2,2270.8,4780800.0
2010-08-22,2283.4,2302.2,2268.2,2270.8,4780800.0
2010-08-23,2266.4,2266.4,2218.9,2235.9,5155400.0
2010-08-24,2191.2,2193.9,2149.2,2152.7,9572000.0
2010-08-25,2122.3,2165.3,2108.9,2134.8,9426900.0
2010-08-26,2159.9,2167.9,2106.2,2125.9,7733900.0
2010-08-27,2111.6,2195.7,2108.9,2182.3,9552300.0
2010-08-28,2111.6,2195.7,2108.9,2182.3,9552300.0
2010-08-29,2111.6,2195.7,2108.9,2182.3,9552300.0
2010-08-30,2235.9,2245.8,2184.1,2199.3,6970100.0
2010-08-31,2154.5,2161.7,2105.3,2118.7,7710100.0
2010-09-01,2105.3,2159.9,2091.9,2125.0,6288300.0
2010-09-02,2173.3,2186.7,2133.9,2171.5,7990900.0
2010-09-03,2197.5,2226.1,2187.6,2223.4,7606700.0
2010-09-04,2197.5,2226.1,2187.6,2223.4,7606700.0
2010-09-05,2197.5,2226.1,2187.6,2223.4,7606700.0
2010-09-06,2253.8,2264.6,2229.7,2263.7,5097000.0
2010-09-07,2247.6,2281.6,2236.8,2249.4,5698500.0
2010-09-08,2204.6,2218.9,2190.3,2199.3,5615300.0
2010-09-09,2218.9,2227.9,2201.1,2220.7,4803500.0
2010-09-10,2236.8,2273.5,2226.1,2259.2,7800800.0
2010-09-11,2236.8,2273.5,2226.1,2259.2,7800800.0
