,NUE US Equity
,RETURN_COM_EQY
2021-02-24,6.7782
2021-02-25,6.7782
2021-02-26,6.7782
2021-02-27,6.7782
2021-02-28,6.7782
2021-03-01,6.7782
2021-03-02,6.7782
2021-03-03,6.7782
2021-03-04,6.7782
2021-03-05,6.7782
2021-03-06,6.7782
2021-03-07,6.7782
2021-03-08,6.7782
2021-03-09,6.7782
2021-03-10,6.7782
2021-03-11,6.7782
2021-03-12,6.7782
2021-03-13,6.7782
2021-03-14,6.7782
2021-03-15,6.7782
2021-03-16,6.7782
2021-03-17,6.7782
2021-03-18,6.7782
2021-03-19,6.7782
2021-03-20,6.7782
2021-03-21,6.7782
2021-03-22,6.7782
2021-03-23,6.7782
2021-03-24,6.7782
2021-03-25,6.7782
2021-03-26,6.7782
2021-03-27,6.7782
2021-03-28,6.7782
2021-03-29,6.7782
2021-03-30,6.7782
2021-03-31,6.7782
2021-04-01,6.7782
2021-04-02,6.7782
2021-04-03,15.1191
2021-04-04,15.1191
2021-04-05,15.1191
2021-04-06,15.1191
2021-04-07,15.1191
2021-04-08,15.1191
2021-04-09,15.1191
2021-04-10,15.1191
2021-04-11,15.1191
2021-04-12,15.1191
2021-04-13,15.1191
2021-04-14,15.1191
2021-04-15,15.1191
2021-04-16,15.1191
2021-04-17,15.1191
2021-04-18,15.1191
2021-04-19,15.1191
2021-04-20,15.1191
2021-04-21,15.1191
2021-04-22,15.1191
2021-04-23,15.1191
2021-04-24,15.1191
2021-04-25,15.1191
2021-04-26,15.1191
2021-04-27,15.1191
2021-04-28,15.1191
2021-04-29,15.1191
2021-04-30,15.1191
2021-05-01,15.1191
2021-05-02,15.1191
2021-05-03,15.1191
2021-05-04,15.1191
2021-05-05,15.1191
2021-05-06,15.1191
2021-05-07,15.1191
2021-05-08,15.1191
2021-05-09,15.1191
2021-05-10,15.1191
2021-05-11,15.1191
2021-05-12,15.1191
2021-05-13,15.1191
2021-05-14,15.1191
2021-05-15,15.1191
2021-05-16,15.1191
2021-05-17,15.1191
2021-05-18,15.1191
2021-05-19,15.1191
2021-05-20,15.1191
2021-05-21,15.1191
2021-05-22,15.1191
2021-05-23,15.1191
2021-05-24,15.1191
2021-05-25,15.1191
2021-05-26,15.1191
2021-05-27,15.1191
