,ITW US Equity
,RETURN_COM_EQY
2021-12-04,88.1383
2021-12-05,88.1383
2021-12-06,88.1383
2021-12-07,88.1383
2021-12-08,88.1383
2021-12-09,88.1383
2021-12-10,88.1383
2021-12-11,88.1383
2021-12-12,88.1383
2021-12-13,88.1383
2021-12-14,88.1383
2021-12-15,88.1383
2021-12-16,88.1383
2021-12-17,88.1383
2021-12-18,88.1383
2021-12-19,88.1383
2021-12-20,88.1383
2021-12-21,88.1383
2021-12-22,88.1383
2021-12-23,88.1383
2021-12-24,88.1383
2021-12-25,88.1383
2021-12-26,88.1383
2021-12-27,88.1383
2021-12-28,88.1383
2021-12-29,88.1383
2021-12-30,88.1383
2021-12-31,79.1654
2022-01-01,79.1654
2022-01-02,79.1654
2022-01-03,79.1654
2022-01-04,79.1654
2022-01-05,79.1654
2022-01-06,79.1654
2022-01-07,79.1654
2022-01-08,79.1654
2022-01-09,79.1654
2022-01-10,79.1654
2022-01-11,79.1654
2022-01-12,79.1654
2022-01-13,79.1654
2022-01-14,79.1654
2022-01-15,79.1654
2022-01-16,79.1654
2022-01-17,79.1654
2022-01-18,79.1654
2022-01-19,79.1654
2022-01-20,79.1654
2022-01-21,79.1654
2022-01-22,79.1654
2022-01-23,79.1654
2022-01-24,79.1654
2022-01-25,79.1654
2022-01-26,79.1654
2022-01-27,79.1654
2022-01-28,79.1654
2022-01-29,79.1654
2022-01-30,79.1654
2022-01-31,79.1654
2022-02-01,79.1654
2022-02-02,79.1654
2022-02-03,79.1654
2022-02-04,79.1654
2022-02-05,79.1654
2022-02-06,79.1654
2022-02-07,79.1654
2022-02-08,79.1654
2022-02-09,79.1654
2022-02-10,79.1654
2022-02-11,79.1654
2022-02-12,79.1654
2022-02-13,79.1654
2022-02-14,79.1654
2022-02-15,79.1654
2022-02-16,79.1654
2022-02-17,79.1654
2022-02-18,79.1654
2022-02-19,79.1654
2022-02-20,79.1654
2022-02-21,79.1654
2022-02-22,79.1654
2022-02-23,79.1654
2022-02-24,79.1654
2022-02-25,79.1654
2022-02-26,79.1654
2022-02-27,79.1654
2022-02-28,79.1654
2022-03-01,79.1654
2022-03-02,79.1654
2022-03-03,79.1654
2022-03-04,79.1654
2022-03-05,79.1654
2022-03-06,79.1654
2022-03-07,79.1654
2022-03-08,79.1654
2022-03-09,79.1654
2022-03-10,79.1654
2022-03-11,79.1654
2022-03-12,79.1654
2022-03-13,79.1654
2022-03-14,79.1654
2022-03-15,79.1654
2022-03-16,79.1654
2022-03-17,79.1654
2022-03-18,79.1654
2022-03-19,79.1654
2022-03-20,79.1654
2022-03-21,79.1654
2022-03-22,79.1654
2022-03-23,79.1654
2022-03-24,79.1654
2022-03-25,79.1654
2022-03-26,79.1654
2022-03-27,79.1654
2022-03-28,79.1654
2022-03-29,79.1654
2022-03-30,79.1654
2022-03-31,78.337
2022-04-01,78.337
