,CLB US Equity
,RETURN_COM_EQY
2021-06-28,18.1975
2021-06-29,18.1975
2021-06-30,30.7974
2021-07-01,30.7974
2021-07-02,30.7974
2021-07-03,30.7974
2021-07-04,30.7974
2021-07-05,30.7974
2021-07-06,30.7974
2021-07-07,30.7974
2021-07-08,30.7974
2021-07-09,30.7974
2021-07-10,30.7974
2021-07-11,30.7974
2021-07-12,30.7974
2021-07-13,30.7974
2021-07-14,30.7974
2021-07-15,30.7974
2021-07-16,30.7974
2021-07-17,30.7974
2021-07-18,30.7974
2021-07-19,30.7974
2021-07-20,30.7974
2021-07-21,30.7974
2021-07-22,30.7974
2021-07-23,30.7974
2021-07-24,30.7974
2021-07-25,30.7974
2021-07-26,30.7974
2021-07-27,30.7974
2021-07-28,30.7974
2021-07-29,30.7974
2021-07-30,30.7974
2021-07-31,30.7974
2021-08-01,30.7974
2021-08-02,30.7974
2021-08-03,30.7974
2021-08-04,30.7974
2021-08-05,30.7974
2021-08-06,30.7974
2021-08-07,30.7974
2021-08-08,30.7974
2021-08-09,30.7974
2021-08-10,30.7974
2021-08-11,30.7974
2021-08-12,30.7974
2021-08-13,30.7974
2021-08-14,30.7974
2021-08-15,30.7974
2021-08-16,30.7974
2021-08-17,30.7974
2021-08-18,30.7974
2021-08-19,30.7974
2021-08-20,30.7974
2021-08-21,30.7974
2021-08-22,30.7974
2021-08-23,30.7974
2021-08-24,30.7974
2021-08-25,30.7974
2021-08-26,30.7974
2021-08-27,30.7974
2021-08-28,30.7974
2021-08-29,30.7974
2021-08-30,30.7974
2021-08-31,30.7974
2021-09-01,30.7974
2021-09-02,30.7974
2021-09-03,30.7974
2021-09-04,30.7974
2021-09-05,30.7974
2021-09-06,30.7974
2021-09-07,30.7974
2021-09-08,30.7974
2021-09-09,30.7974
2021-09-10,30.7974
2021-09-11,30.7974
2021-09-12,30.7974
2021-09-13,30.7974
2021-09-14,30.7974
2021-09-15,30.7974
2021-09-16,30.7974
2021-09-17,30.7974
2021-09-18,30.7974
2021-09-19,30.7974
2021-09-20,30.7974
2021-09-21,30.7974
2021-09-22,30.7974
2021-09-23,30.7974
2021-09-24,30.7974
2021-09-25,30.7974
2021-09-26,30.7974
2021-09-27,30.7974
2021-09-28,30.7974
