,PDCO US Equity
,RETURN_COM_EQY
2022-02-05,17.0116
2022-02-06,17.0116
2022-02-07,17.0116
2022-02-08,17.0116
2022-02-09,17.0116
2022-02-10,17.0116
2022-02-11,17.0116
2022-02-12,17.0116
2022-02-13,17.0116
2022-02-14,17.0116
2022-02-15,17.0116
2022-02-16,17.0116
2022-02-17,17.0116
2022-02-18,17.0116
2022-02-19,17.0116
2022-02-20,17.0116
2022-02-21,17.0116
2022-02-22,17.0116
2022-02-23,17.0116
2022-02-24,17.0116
2022-02-25,17.0116
2022-02-26,17.0116
2022-02-27,17.0116
2022-02-28,17.0116
2022-03-01,17.0116
2022-03-02,17.0116
2022-03-03,17.0116
2022-03-04,17.0116
2022-03-05,17.0116
2022-03-06,17.0116
2022-03-07,17.0116
2022-03-08,17.0116
2022-03-09,17.0116
2022-03-10,17.0116
2022-03-11,17.0116
2022-03-12,17.0116
2022-03-13,17.0116
2022-03-14,17.0116
2022-03-15,17.0116
2022-03-16,17.0116
2022-03-17,17.0116
2022-03-18,17.0116
2022-03-19,17.0116
2022-03-20,17.0116
2022-03-21,17.0116
2022-03-22,17.0116
2022-03-23,17.0116
2022-03-24,17.0116
2022-03-25,17.0116
2022-03-26,17.0116
2022-03-27,17.0116
2022-03-28,17.0116
2022-03-29,17.0116
2022-03-30,17.0116
2022-03-31,17.0116
2022-04-01,17.0116
2022-04-02,17.0116
2022-04-03,17.0116
2022-04-04,17.0116
2022-04-05,17.0116
2022-04-06,17.0116
2022-04-07,17.0116
2022-04-08,17.0116
2022-04-09,17.0116
2022-04-10,17.0116
2022-04-11,17.0116
2022-04-12,17.0116
2022-04-13,17.0116
2022-04-14,17.0116
2022-04-15,17.0116
2022-04-16,17.0116
2022-04-17,17.0116
2022-04-18,17.0116
2022-04-19,17.0116
2022-04-20,17.0116
2022-04-21,17.0116
2022-04-22,17.0116
2022-04-23,17.0116
2022-04-24,17.0116
2022-04-25,17.0116
2022-04-26,17.0116
2022-04-27,17.0116
2022-04-28,17.0116
2022-04-29,17.0116
2022-04-30,20.2714
2022-05-01,20.2714
2022-05-02,20.2714
2022-05-03,20.2714
2022-05-04,20.2714
2022-05-05,20.2714
2022-05-06,20.2714
2022-05-07,20.2714
2022-05-08,20.2714
2022-05-09,20.2714
2022-05-10,20.2714
2022-05-11,20.2714
2022-05-12,20.2714
2022-05-13,20.2714
2022-05-14,20.2714
2022-05-15,20.2714
2022-05-16,20.2714
2022-05-17,20.2714
2022-05-18,20.2714
2022-05-19,20.2714
2022-05-20,20.2714
2022-05-21,20.2714
2022-05-22,20.2714
2022-05-23,20.2714
2022-05-24,20.2714
2022-05-25,20.2714
2022-05-26,20.2714
2022-05-27,20.2714
2022-05-28,20.2714
2022-05-29,20.2714
2022-05-30,20.2714
2022-05-31,20.2714
2022-06-01,20.2714
2022-06-02,20.2714
2022-06-03,20.2714
2022-06-04,20.2714
2022-06-05,20.2714
2022-06-06,20.2714
2022-06-07,20.2714
2022-06-08,20.2714
2022-06-09,20.2714
2022-06-10,20.2714
2022-06-11,20.2714
2022-06-12,20.2714
2022-06-13,20.2714
2022-06-14,20.2714
2022-06-15,20.2714
2022-06-16,20.2714
2022-06-17,20.2714
2022-06-18,20.2714
2022-06-19,20.2714
2022-06-20,20.2714
2022-06-21,20.2714
2022-06-22,20.2714
2022-06-23,20.2714
2022-06-24,20.2714
2022-06-25,20.2714
2022-06-26,20.2714
2022-06-27,20.2714
2022-06-28,20.2714
2022-06-29,20.2714
2022-06-30,20.2714
2022-07-01,20.2714
2022-07-02,20.2714
2022-07-03,20.2714
2022-07-04,20.2714
2022-07-05,20.2714
2022-07-06,20.2714
2022-07-07,20.2714
2022-07-08,20.2714
2022-07-09,20.2714
2022-07-10,20.2714
2022-07-11,20.2714
2022-07-12,20.2714
2022-07-13,20.2714
2022-07-14,20.2714
2022-07-15,20.2714
2022-07-16,20.2714
2022-07-17,20.2714
2022-07-18,20.2714
2022-07-19,20.2714
2022-07-20,20.2714
2022-07-21,20.2714
2022-07-22,20.2714
2022-07-23,20.2714
2022-07-24,20.2714
2022-07-25,20.2714
2022-07-26,20.2714
2022-07-27,20.2714
2022-07-28,20.2714
2022-07-29,20.2714
2022-07-30,19.3299
2022-07-31,19.3299
2022-08-01,19.3299
2022-08-02,19.3299
2022-08-03,19.3299
2022-08-04,19.3299
2022-08-05,19.3299
2022-08-06,19.3299
2022-08-07,19.3299
2022-08-08,19.3299
2022-08-09,19.3299
2022-08-10,19.3299
2022-08-11,19.3299
2022-08-12,19.3299
2022-08-13,19.3299
2022-08-14,19.3299
2022-08-15,19.3299
2022-08-16,19.3299
2022-08-17,19.3299
2022-08-18,19.3299
2022-08-19,19.3299
2022-08-20,19.3299
2022-08-21,19.3299
2022-08-22,19.3299
2022-08-23,19.3299
2022-08-24,19.3299
2022-08-25,19.3299
2022-08-26,19.3299
2022-08-27,19.3299
2022-08-28,19.3299
2022-08-29,19.3299
2022-08-30,19.3299
2022-08-31,19.3299
2022-09-01,19.3299
2022-09-02,19.3299
2022-09-03,19.3299
2022-09-04,19.3299
2022-09-05,19.3299
2022-09-06,19.3299
2022-09-07,19.3299
2022-09-08,19.3299
2022-09-09,19.3299
2022-09-10,19.3299
2022-09-11,19.3299
2022-09-12,19.3299
2022-09-13,19.3299
2022-09-14,19.3299
2022-09-15,19.3299
2022-09-16,19.3299
2022-09-17,19.3299
2022-09-18,19.3299
2022-09-19,19.3299
2022-09-20,19.3299
2022-09-21,19.3299
2022-09-22,19.3299
2022-09-23,19.3299
2022-09-24,19.3299
2022-09-25,19.3299
2022-09-26,19.3299
2022-09-27,19.3299
2022-09-28,19.3299
2022-09-29,19.3299
2022-09-30,19.3299
2022-10-01,19.3299
2022-10-02,19.3299
2022-10-03,19.3299
2022-10-04,19.3299
2022-10-05,19.3299
2022-10-06,19.3299
2022-10-07,19.3299
2022-10-08,19.3299
2022-10-09,19.3299
2022-10-10,19.3299
2022-10-11,19.3299
2022-10-12,19.3299
2022-10-13,19.3299
2022-10-14,19.3299
2022-10-15,19.3299
2022-10-16,19.3299
2022-10-17,19.3299
2022-10-18,19.3299
2022-10-19,19.3299
2022-10-20,19.3299
2022-10-21,19.3299
2022-10-22,19.3299
2022-10-23,19.3299
2022-10-24,19.3299
2022-10-25,19.3299
2022-10-26,19.3299
2022-10-27,19.3299
2022-10-28,19.3299
2022-10-29,19.4489
2022-10-30,19.4489
2022-10-31,19.4489
2022-11-01,19.4489
2022-11-02,19.4489
2022-11-03,19.4489
2022-11-04,19.4489
2022-11-05,19.4489
2022-11-06,19.4489
2022-11-07,19.4489
2022-11-08,19.4489
2022-11-09,19.4489
2022-11-10,19.4489
2022-11-11,19.4489
2022-11-12,19.4489
2022-11-13,19.4489
2022-11-14,19.4489
2022-11-15,19.4489
2022-11-16,19.4489
2022-11-17,19.4489
2022-11-18,19.4489
2022-11-19,19.4489
2022-11-20,19.4489
2022-11-21,19.4489
2022-11-22,19.4489
2022-11-23,19.4489
2022-11-24,19.4489
2022-11-25,19.4489
2022-11-26,19.4489
2022-11-27,19.4489
2022-11-28,19.4489
2022-11-29,19.4489
2022-11-30,19.4489
2022-12-01,19.4489
2022-12-02,19.4489
2022-12-03,19.4489
2022-12-04,19.4489
2022-12-05,19.4489
2022-12-06,19.4489
2022-12-07,19.4489
2022-12-08,19.4489
2022-12-09,19.4489
2022-12-10,19.4489
2022-12-11,19.4489
2022-12-12,19.4489
2022-12-13,19.4489
2022-12-14,19.4489
2022-12-15,19.4489
2022-12-16,19.4489
2022-12-17,19.4489
2022-12-18,19.4489
2022-12-19,19.4489
2022-12-20,19.4489
2022-12-21,19.4489
2022-12-22,19.4489
2022-12-23,19.4489
2022-12-24,19.4489
2022-12-25,19.4489
2022-12-26,19.4489
2022-12-27,19.4489
2022-12-28,19.4489
2022-12-29,19.4489
2022-12-30,19.4489
2022-12-31,19.4489
2023-01-01,19.4489
2023-01-02,19.4489
2023-01-03,19.4489
2023-01-04,19.4489
2023-01-05,19.4489
2023-01-06,19.4489
2023-01-07,19.4489
2023-01-08,19.4489
2023-01-09,19.4489
2023-01-10,19.4489
2023-01-11,19.4489
2023-01-12,19.4489
2023-01-13,19.4489
2023-01-14,19.4489
2023-01-15,19.4489
2023-01-16,19.4489
2023-01-17,19.4489
2023-01-18,19.4489
2023-01-19,19.4489
2023-01-20,19.4489
2023-01-21,19.4489
2023-01-22,19.4489
2023-01-23,19.4489
2023-01-24,19.4489
2023-01-25,19.4489
2023-01-26,19.4489
2023-01-27,19.4489
2023-01-28,18.3228
2023-01-29,18.3228
2023-01-30,18.3228
2023-01-31,18.3228
2023-02-01,18.3228
2023-02-02,18.3228
2023-02-03,18.3228
2023-02-04,18.3228
2023-02-05,18.3228
2023-02-06,18.3228
2023-02-07,18.3228
2023-02-08,18.3228
2023-02-09,18.3228
2023-02-10,18.3228
2023-02-11,18.3228
2023-02-12,18.3228
2023-02-13,18.3228
2023-02-14,18.3228
2023-02-15,18.3228
2023-02-16,18.3228
