,DGX US Equity
,RETURN_COM_EQY
2022-06-02,28.6084
2022-06-03,28.6084
2022-06-04,28.6084
2022-06-05,28.6084
2022-06-06,28.6084
2022-06-07,28.6084
2022-06-08,28.6084
2022-06-09,28.6084
2022-06-10,28.6084
2022-06-11,28.6084
2022-06-12,28.6084
2022-06-13,28.6084
2022-06-14,28.6084
2022-06-15,28.6084
2022-06-16,28.6084
2022-06-17,28.6084
2022-06-18,28.6084
2022-06-19,28.6084
2022-06-20,28.6084
2022-06-21,28.6084
2022-06-22,28.6084
2022-06-23,28.6084
2022-06-24,28.6084
2022-06-25,28.6084
2022-06-26,28.6084
2022-06-27,28.6084
2022-06-28,28.6084
2022-06-29,28.6084
2022-06-30,24.0455
2022-07-01,24.0455
2022-07-02,24.0455
2022-07-03,24.0455
2022-07-04,24.0455
2022-07-05,24.0455
2022-07-06,24.0455
2022-07-07,24.0455
2022-07-08,24.0455
2022-07-09,24.0455
2022-07-10,24.0455
2022-07-11,24.0455
2022-07-12,24.0455
2022-07-13,24.0455
2022-07-14,24.0455
2022-07-15,24.0455
2022-07-16,24.0455
2022-07-17,24.0455
2022-07-18,24.0455
2022-07-19,24.0455
2022-07-20,24.0455
2022-07-21,24.0455
2022-07-22,24.0455
2022-07-23,24.0455
2022-07-24,24.0455
2022-07-25,24.0455
2022-07-26,24.0455
2022-07-27,24.0455
2022-07-28,24.0455
2022-07-29,24.0455
2022-07-30,24.0455
2022-07-31,24.0455
2022-08-01,24.0455
2022-08-02,24.0455
2022-08-03,24.0455
2022-08-04,24.0455
2022-08-05,24.0455
2022-08-06,24.0455
2022-08-07,24.0455
2022-08-08,24.0455
2022-08-09,24.0455
2022-08-10,24.0455
2022-08-11,24.0455
2022-08-12,24.0455
2022-08-13,24.0455
2022-08-14,24.0455
2022-08-15,24.0455
2022-08-16,24.0455
2022-08-17,24.0455
2022-08-18,24.0455
2022-08-19,24.0455
2022-08-20,24.0455
2022-08-21,24.0455
2022-08-22,24.0455
2022-08-23,24.0455
2022-08-24,24.0455
2022-08-25,24.0455
2022-08-26,24.0455
2022-08-27,24.0455
2022-08-28,24.0455
2022-08-29,24.0455
2022-08-30,24.0455
2022-08-31,24.0455
2022-09-01,24.0455
