,CORT US Equity
,RETURN_COM_EQY
2022-06-21,24.3506
2022-06-22,24.3506
2022-06-23,24.3506
2022-06-24,24.3506
2022-06-25,24.3506
2022-06-26,24.3506
2022-06-27,24.3506
2022-06-28,24.3506
2022-06-29,24.3506
2022-06-30,23.3643
2022-07-01,23.3643
2022-07-02,23.3643
2022-07-03,23.3643
2022-07-04,23.3643
2022-07-05,23.3643
2022-07-06,23.3643
2022-07-07,23.3643
2022-07-08,23.3643
2022-07-09,23.3643
2022-07-10,23.3643
2022-07-11,23.3643
2022-07-12,23.3643
2022-07-13,23.3643
2022-07-14,23.3643
2022-07-15,23.3643
2022-07-16,23.3643
2022-07-17,23.3643
2022-07-18,23.3643
2022-07-19,23.3643
2022-07-20,23.3643
2022-07-21,23.3643
2022-07-22,23.3643
2022-07-23,23.3643
2022-07-24,23.3643
2022-07-25,23.3643
2022-07-26,23.3643
2022-07-27,23.3643
2022-07-28,23.3643
2022-07-29,23.3643
2022-07-30,23.3643
2022-07-31,23.3643
2022-08-01,23.3643
2022-08-02,23.3643
2022-08-03,23.3643
2022-08-04,23.3643
2022-08-05,23.3643
2022-08-06,23.3643
2022-08-07,23.3643
2022-08-08,23.3643
2022-08-09,23.3643
2022-08-10,23.3643
2022-08-11,23.3643
2022-08-12,23.3643
2022-08-13,23.3643
2022-08-14,23.3643
2022-08-15,23.3643
2022-08-16,23.3643
2022-08-17,23.3643
2022-08-18,23.3643
2022-08-19,23.3643
2022-08-20,23.3643
2022-08-21,23.3643
2022-08-22,23.3643
2022-08-23,23.3643
2022-08-24,23.3643
2022-08-25,23.3643
2022-08-26,23.3643
2022-08-27,23.3643
2022-08-28,23.3643
2022-08-29,23.3643
2022-08-30,23.3643
2022-08-31,23.3643
2022-09-01,23.3643
2022-09-02,23.3643
2022-09-03,23.3643
2022-09-04,23.3643
2022-09-05,23.3643
2022-09-06,23.3643
2022-09-07,23.3643
2022-09-08,23.3643
2022-09-09,23.3643
2022-09-10,23.3643
2022-09-11,23.3643
2022-09-12,23.3643
2022-09-13,23.3643
2022-09-14,23.3643
2022-09-15,23.3643
2022-09-16,23.3643
2022-09-17,23.3643
2022-09-18,23.3643
2022-09-19,23.3643
2022-09-20,23.3643
2022-09-21,23.3643
2022-09-22,23.3643
2022-09-23,23.3643
2022-09-24,23.3643
2022-09-25,23.3643
2022-09-26,23.3643
2022-09-27,23.3643
2022-09-28,23.3643
2022-09-29,23.3643
2022-09-30,23.0605
2022-10-01,23.0605
2022-10-02,23.0605
2022-10-03,23.0605
2022-10-04,23.0605
2022-10-05,23.0605
2022-10-06,23.0605
2022-10-07,23.0605
2022-10-08,23.0605
2022-10-09,23.0605
2022-10-10,23.0605
2022-10-11,23.0605
2022-10-12,23.0605
2022-10-13,23.0605
2022-10-14,23.0605
2022-10-15,23.0605
2022-10-16,23.0605
2022-10-17,23.0605
2022-10-18,23.0605
2022-10-19,23.0605
2022-10-20,23.0605
2022-10-21,23.0605
2022-10-22,23.0605
2022-10-23,23.0605
2022-10-24,23.0605
2022-10-25,23.0605
2022-10-26,23.0605
2022-10-27,23.0605
2022-10-28,23.0605
2022-10-29,23.0605
2022-10-30,23.0605
2022-10-31,23.0605
2022-11-01,23.0605
2022-11-02,23.0605
2022-11-03,23.0605
2022-11-04,23.0605
2022-11-05,23.0605
2022-11-06,23.0605
2022-11-07,23.0605
2022-11-08,23.0605
2022-11-09,23.0605
2022-11-10,23.0605
2022-11-11,23.0605
2022-11-12,23.0605
2022-11-13,23.0605
2022-11-14,23.0605
2022-11-15,23.0605
2022-11-16,23.0605
2022-11-17,23.0605
2022-11-18,23.0605
2022-11-19,23.0605
2022-11-20,23.0605
2022-11-21,23.0605
2022-11-22,23.0605
2022-11-23,23.0605
2022-11-24,23.0605
2022-11-25,23.0605
2022-11-26,23.0605
2022-11-27,23.0605
2022-11-28,23.0605
2022-11-29,23.0605
2022-11-30,23.0605
2022-12-01,23.0605
2022-12-02,23.0605
2022-12-03,23.0605
2022-12-04,23.0605
2022-12-05,23.0605
2022-12-06,23.0605
2022-12-07,23.0605
2022-12-08,23.0605
2022-12-09,23.0605
2022-12-10,23.0605
2022-12-11,23.0605
2022-12-12,23.0605
2022-12-13,23.0605
2022-12-14,23.0605
2022-12-15,23.0605
2022-12-16,23.0605
2022-12-17,23.0605
2022-12-18,23.0605
2022-12-19,23.0605
2022-12-20,23.0605
2022-12-21,23.0605
2022-12-22,23.0605
2022-12-23,23.0605
2022-12-24,23.0605
2022-12-25,23.0605
2022-12-26,23.0605
2022-12-27,23.0605
2022-12-28,23.0605
2022-12-29,23.0605
2022-12-30,23.0605
2022-12-31,23.1223
2023-01-01,23.1223
2023-01-02,23.1223
2023-01-03,23.1223
2023-01-04,23.1223
2023-01-05,23.1223
2023-01-06,23.1223
2023-01-07,23.1223
2023-01-08,23.1223
2023-01-09,23.1223
2023-01-10,23.1223
2023-01-11,23.1223
2023-01-12,23.1223
2023-01-13,23.1223
2023-01-14,23.1223
2023-01-15,23.1223
2023-01-16,23.1223
2023-01-17,23.1223
2023-01-18,23.1223
2023-01-19,23.1223
2023-01-20,23.1223
2023-01-21,23.1223
2023-01-22,23.1223
2023-01-23,23.1223
2023-01-24,23.1223
2023-01-25,23.1223
2023-01-26,23.1223
2023-01-27,23.1223
2023-01-28,23.1223
2023-01-29,23.1223
2023-01-30,23.1223
2023-01-31,23.1223
2023-02-01,23.1223
2023-02-02,23.1223
2023-02-03,23.1223
2023-02-04,23.1223
2023-02-05,23.1223
2023-02-06,23.1223
2023-02-07,23.1223
2023-02-08,23.1223
2023-02-09,23.1223
2023-02-10,23.1223
2023-02-11,23.1223
2023-02-12,23.1223
2023-02-13,23.1223
2023-02-14,23.1223
2023-02-15,23.1223
2023-02-16,23.1223
2023-02-17,23.1223
2023-02-18,23.1223
2023-02-19,23.1223
2023-02-20,23.1223
2023-02-21,23.1223
2023-02-22,23.1223
2023-02-23,23.1223
2023-02-24,23.1223
