,QCOM US Equity
,RETURN_COM_EQY
2021-08-26,160.3065
2021-08-27,160.3065
2021-08-28,160.3065
2021-08-29,160.3065
2021-08-30,160.3065
2021-08-31,160.3065
2021-09-01,160.3065
2021-09-02,160.3065
2021-09-03,160.3065
2021-09-04,160.3065
2021-09-05,160.3065
2021-09-06,160.3065
2021-09-07,160.3065
2021-09-08,160.3065
2021-09-09,160.3065
2021-09-10,160.3065
2021-09-11,160.3065
2021-09-12,160.3065
2021-09-13,160.3065
2021-09-14,160.3065
2021-09-15,160.3065
2021-09-16,160.3065
2021-09-17,160.3065
2021-09-18,160.3065
2021-09-19,160.3065
2021-09-20,160.3065
2021-09-21,160.3065
2021-09-22,160.3065
2021-09-23,160.3065
2021-09-24,160.3065
2021-09-25,160.3065
2021-09-26,112.8346
2021-09-27,112.8346
2021-09-28,112.8346
2021-09-29,112.8346
2021-09-30,112.8346
2021-10-01,112.8346
2021-10-02,112.8346
2021-10-03,112.8346
2021-10-04,112.8346
2021-10-05,112.8346
2021-10-06,112.8346
2021-10-07,112.8346
2021-10-08,112.8346
2021-10-09,112.8346
2021-10-10,112.8346
2021-10-11,112.8346
2021-10-12,112.8346
2021-10-13,112.8346
2021-10-14,112.8346
2021-10-15,112.8346
2021-10-16,112.8346
2021-10-17,112.8346
2021-10-18,112.8346
2021-10-19,112.8346
2021-10-20,112.8346
2021-10-21,112.8346
2021-10-22,112.8346
2021-10-23,112.8346
2021-10-24,112.8346
2021-10-25,112.8346
2021-10-26,112.8346
2021-10-27,112.8346
2021-10-28,112.8346
2021-10-29,112.8346
2021-10-30,112.8346
2021-10-31,112.8346
2021-11-01,112.8346
2021-11-02,112.8346
2021-11-03,112.8346
2021-11-04,112.8346
2021-11-05,112.8346
2021-11-06,112.8346
2021-11-07,112.8346
2021-11-08,112.8346
2021-11-09,112.8346
2021-11-10,112.8346
2021-11-11,112.8346
2021-11-12,112.8346
2021-11-13,112.8346
2021-11-14,112.8346
2021-11-15,112.8346
2021-11-16,112.8346
2021-11-17,112.8346
2021-11-18,112.8346
2021-11-19,112.8346
2021-11-20,112.8346
2021-11-21,112.8346
2021-11-22,112.8346
2021-11-23,112.8346
2021-11-24,112.8346
2021-11-25,112.8346
2021-11-26,112.8346
2021-11-27,112.8346
2021-11-28,112.8346
2021-11-29,112.8346
2021-11-30,112.8346
2021-12-01,112.8346
2021-12-02,112.8346
2021-12-03,112.8346
2021-12-04,112.8346
2021-12-05,112.8346
2021-12-06,112.8346
2021-12-07,112.8346
2021-12-08,112.8346
2021-12-09,112.8346
2021-12-10,112.8346
2021-12-11,112.8346
2021-12-12,112.8346
2021-12-13,112.8346
2021-12-14,112.8346
2021-12-15,112.8346
2021-12-16,112.8346
2021-12-17,112.8346
2021-12-18,112.8346
2021-12-19,112.8346
2021-12-20,112.8346
2021-12-21,112.8346
2021-12-22,112.8346
2021-12-23,112.8346
2021-12-24,112.8346
2021-12-25,112.8346
2021-12-26,106.7279
2021-12-27,106.7279
2021-12-28,106.7279
2021-12-29,106.7279
2021-12-30,106.7279
2021-12-31,106.7279
2022-01-01,106.7279
2022-01-02,106.7279
2022-01-03,106.7279
2022-01-04,106.7279
2022-01-05,106.7279
2022-01-06,106.7279
2022-01-07,106.7279
2022-01-08,106.7279
2022-01-09,106.7279
2022-01-10,106.7279
2022-01-11,106.7279
2022-01-12,106.7279
2022-01-13,106.7279
2022-01-14,106.7279
2022-01-15,106.7279
2022-01-16,106.7279
2022-01-17,106.7279
2022-01-18,106.7279
2022-01-19,106.7279
2022-01-20,106.7279
2022-01-21,106.7279
2022-01-22,106.7279
2022-01-23,106.7279
2022-01-24,106.7279
2022-01-25,106.7279
2022-01-26,106.7279
2022-01-27,106.7279
2022-01-28,106.7279
2022-01-29,106.7279
2022-01-30,106.7279
2022-01-31,106.7279
2022-02-01,106.7279
2022-02-02,106.7279
2022-02-03,106.7279
2022-02-04,106.7279
2022-02-05,106.7279
2022-02-06,106.7279
2022-02-07,106.7279
2022-02-08,106.7279
2022-02-09,106.7279
2022-02-10,106.7279
2022-02-11,106.7279
2022-02-12,106.7279
2022-02-13,106.7279
2022-02-14,106.7279
2022-02-15,106.7279
2022-02-16,106.7279
2022-02-17,106.7279
2022-02-18,106.7279
2022-02-19,106.7279
2022-02-20,106.7279
2022-02-21,106.7279
2022-02-22,106.7279
2022-02-23,106.7279
2022-02-24,106.7279
2022-02-25,106.7279
2022-02-26,106.7279
2022-02-27,106.7279
2022-02-28,106.7279
2022-03-01,106.7279
2022-03-02,106.7279
2022-03-03,106.7279
2022-03-04,106.7279
2022-03-05,106.7279
2022-03-06,106.7279
2022-03-07,106.7279
2022-03-08,106.7279
2022-03-09,106.7279
2022-03-10,106.7279
2022-03-11,106.7279
2022-03-12,106.7279
2022-03-13,106.7279
2022-03-14,106.7279
2022-03-15,106.7279
2022-03-16,106.7279
2022-03-17,106.7279
2022-03-18,106.7279
2022-03-19,106.7279
2022-03-20,106.7279
2022-03-21,106.7279
2022-03-22,106.7279
2022-03-23,106.7279
2022-03-24,106.7279
2022-03-25,106.7279
2022-03-26,106.7279
2022-03-27,107.5366
2022-03-28,107.5366
2022-03-29,107.5366
2022-03-30,107.5366
2022-03-31,107.5366
2022-04-01,107.5366
2022-04-02,107.5366
2022-04-03,107.5366
2022-04-04,107.5366
2022-04-05,107.5366
2022-04-06,107.5366
2022-04-07,107.5366
2022-04-08,107.5366
2022-04-09,107.5366
2022-04-10,107.5366
2022-04-11,107.5366
2022-04-12,107.5366
2022-04-13,107.5366
2022-04-14,107.5366
2022-04-15,107.5366
2022-04-16,107.5366
2022-04-17,107.5366
2022-04-18,107.5366
2022-04-19,107.5366
2022-04-20,107.5366
2022-04-21,107.5366
2022-04-22,107.5366
2022-04-23,107.5366
2022-04-24,107.5366
2022-04-25,107.5366
2022-04-26,107.5366
2022-04-27,107.5366
2022-04-28,107.5366
2022-04-29,107.5366
2022-04-30,107.5366
2022-05-01,107.5366
2022-05-02,107.5366
2022-05-03,107.5366
2022-05-04,107.5366
2022-05-05,107.5366
2022-05-06,107.5366
2022-05-07,107.5366
2022-05-08,107.5366
2022-05-09,107.5366
2022-05-10,107.5366
2022-05-11,107.5366
2022-05-12,107.5366
2022-05-13,107.5366
2022-05-14,107.5366
2022-05-15,107.5366
2022-05-16,107.5366
2022-05-17,107.5366
2022-05-18,107.5366
2022-05-19,107.5366
2022-05-20,107.5366
2022-05-21,107.5366
2022-05-22,107.5366
2022-05-23,107.5366
2022-05-24,107.5366
2022-05-25,107.5366
2022-05-26,107.5366
2022-05-27,107.5366
2022-05-28,107.5366
2022-05-29,107.5366
2022-05-30,107.5366
2022-05-31,107.5366
2022-06-01,107.5366
2022-06-02,107.5366
2022-06-03,107.5366
2022-06-04,107.5366
2022-06-05,107.5366
2022-06-06,107.5366
2022-06-07,107.5366
2022-06-08,107.5366
2022-06-09,107.5366
2022-06-10,107.5366
2022-06-11,107.5366
2022-06-12,107.5366
2022-06-13,107.5366
2022-06-14,107.5366
2022-06-15,107.5366
2022-06-16,107.5366
2022-06-17,107.5366
2022-06-18,107.5366
2022-06-19,107.5366
2022-06-20,107.5366
2022-06-21,107.5366
2022-06-22,107.5366
2022-06-23,107.5366
2022-06-24,107.5366
2022-06-25,107.5366
2022-06-26,106.1796
2022-06-27,106.1796
2022-06-28,106.1796
2022-06-29,106.1796
2022-06-30,106.1796
2022-07-01,106.1796
2022-07-02,106.1796
2022-07-03,106.1796
2022-07-04,106.1796
2022-07-05,106.1796
2022-07-06,106.1796
2022-07-07,106.1796
2022-07-08,106.1796
2022-07-09,106.1796
2022-07-10,106.1796
2022-07-11,106.1796
2022-07-12,106.1796
2022-07-13,106.1796
2022-07-14,106.1796
2022-07-15,106.1796
2022-07-16,106.1796
2022-07-17,106.1796
2022-07-18,106.1796
2022-07-19,106.1796
2022-07-20,106.1796
2022-07-21,106.1796
2022-07-22,106.1796
2022-07-23,106.1796
2022-07-24,106.1796
2022-07-25,106.1796
2022-07-26,106.1796
2022-07-27,106.1796
2022-07-28,106.1796
2022-07-29,106.1796
2022-07-30,106.1796
2022-07-31,106.1796
2022-08-01,106.1796
2022-08-02,106.1796
2022-08-03,106.1796
2022-08-04,106.1796
2022-08-05,106.1796
2022-08-06,106.1796
2022-08-07,106.1796
2022-08-08,106.1796
2022-08-09,106.1796
2022-08-10,106.1796
2022-08-11,106.1796
2022-08-12,106.1796
2022-08-13,106.1796
2022-08-14,106.1796
2022-08-15,106.1796
2022-08-16,106.1796
2022-08-17,106.1796
2022-08-18,106.1796
2022-08-19,106.1796
2022-08-20,106.1796
2022-08-21,106.1796
2022-08-22,106.1796
2022-08-23,106.1796
2022-08-24,106.1796
2022-08-25,106.1796
2022-08-26,106.1796
2022-08-27,106.1796
2022-08-28,106.1796
2022-08-29,106.1796
2022-08-30,106.1796
2022-08-31,106.1796
2022-09-01,106.1796
2022-09-02,106.1796
2022-09-03,106.1796
2022-09-04,106.1796
2022-09-05,106.1796
2022-09-06,106.1796
2022-09-07,106.1796
2022-09-08,106.1796
2022-09-09,106.1796
2022-09-10,106.1796
2022-09-11,106.1796
2022-09-12,106.1796
2022-09-13,106.1796
2022-09-14,106.1796
2022-09-15,106.1796
2022-09-16,106.1796
2022-09-17,106.1796
2022-09-18,106.1796
2022-09-19,106.1796
2022-09-20,106.1796
2022-09-21,106.1796
2022-09-22,106.1796
2022-09-23,106.1796
2022-09-24,106.1796
2022-09-25,92.5223
2022-09-26,92.5223
2022-09-27,92.5223
2022-09-28,92.5223
2022-09-29,92.5223
2022-09-30,92.5223
2022-10-01,92.5223
2022-10-02,92.5223
2022-10-03,92.5223
2022-10-04,92.5223
2022-10-05,92.5223
2022-10-06,92.5223
2022-10-07,92.5223
2022-10-08,92.5223
2022-10-09,92.5223
2022-10-10,92.5223
2022-10-11,92.5223
2022-10-12,92.5223
2022-10-13,92.5223
2022-10-14,92.5223
2022-10-15,92.5223
2022-10-16,92.5223
2022-10-17,92.5223
2022-10-18,92.5223
2022-10-19,92.5223
2022-10-20,92.5223
2022-10-21,92.5223
2022-10-22,92.5223
2022-10-23,92.5223
2022-10-24,92.5223
2022-10-25,92.5223
2022-10-26,92.5223
2022-10-27,92.5223
2022-10-28,92.5223
2022-10-29,92.5223
2022-10-30,92.5223
2022-10-31,92.5223
2022-11-01,92.5223
2022-11-02,92.5223
2022-11-03,92.5223
2022-11-04,92.5223
2022-11-05,92.5223
2022-11-06,92.5223
2022-11-07,92.5223
2022-11-08,92.5223
2022-11-09,92.5223
2022-11-10,92.5223
2022-11-11,92.5223
2022-11-12,92.5223
2022-11-13,92.5223
2022-11-14,92.5223
2022-11-15,92.5223
2022-11-16,92.5223
2022-11-17,92.5223
2022-11-18,92.5223
2022-11-19,92.5223
2022-11-20,92.5223
2022-11-21,92.5223
2022-11-22,92.5223
2022-11-23,92.5223
2022-11-24,92.5223
2022-11-25,92.5223
2022-11-26,92.5223
2022-11-27,92.5223
2022-11-28,92.5223
2022-11-29,92.5223
2022-11-30,92.5223
2022-12-01,92.5223
2022-12-02,92.5223
2022-12-03,92.5223
2022-12-04,92.5223
2022-12-05,92.5223
2022-12-06,92.5223
2022-12-07,92.5223
2022-12-08,92.5223
2022-12-09,92.5223
2022-12-10,92.5223
2022-12-11,92.5223
2022-12-12,92.5223
2022-12-13,92.5223
2022-12-14,92.5223
2022-12-15,92.5223
2022-12-16,92.5223
2022-12-17,92.5223
2022-12-18,92.5223
2022-12-19,92.5223
2022-12-20,92.5223
2022-12-21,92.5223
2022-12-22,92.5223
2022-12-23,92.5223
2022-12-24,92.5223
2022-12-25,78.1077
2022-12-26,78.1077
2022-12-27,78.1077
2022-12-28,78.1077
2022-12-29,78.1077
2022-12-30,78.1077
2022-12-31,78.1077
2023-01-01,78.1077
2023-01-02,78.1077
2023-01-03,78.1077
2023-01-04,78.1077
2023-01-05,78.1077
2023-01-06,78.1077
2023-01-07,78.1077
2023-01-08,78.1077
2023-01-09,78.1077
2023-01-10,78.1077
2023-01-11,78.1077
2023-01-12,78.1077
2023-01-13,78.1077
2023-01-14,78.1077
2023-01-15,78.1077
2023-01-16,78.1077
2023-01-17,78.1077
2023-01-18,78.1077
2023-01-19,78.1077
2023-01-20,78.1077
2023-01-21,78.1077
2023-01-22,78.1077
2023-01-23,78.1077
2023-01-24,78.1077
2023-01-25,78.1077
2023-01-26,78.1077
2023-01-27,78.1077
2023-01-28,78.1077
2023-01-29,78.1077
2023-01-30,78.1077
2023-01-31,78.1077
2023-02-01,78.1077
2023-02-02,78.1077
2023-02-03,78.1077
2023-02-04,78.1077
2023-02-05,78.1077
2023-02-06,78.1077
2023-02-07,78.1077
2023-02-08,78.1077
2023-02-09,78.1077
2023-02-10,78.1077
2023-02-11,78.1077
2023-02-12,78.1077
2023-02-13,78.1077
2023-02-14,78.1077
2023-02-15,78.1077
2023-02-16,78.1077
