,COP US Equity
,RETURN_COM_EQY
2020-12-31,-8.3326
2021-01-01,-8.3326
2021-01-02,-8.3326
2021-01-03,-8.3326
2021-01-04,-8.3326
2021-01-05,-8.3326
2021-01-06,-8.3326
2021-01-07,-8.3326
2021-01-08,-8.3326
2021-01-09,-8.3326
2021-01-10,-8.3326
2021-01-11,-8.3326
2021-01-12,-8.3326
2021-01-13,-8.3326
2021-01-14,-8.3326
2021-01-15,-8.3326
2021-01-16,-8.3326
2021-01-17,-8.3326
2021-01-18,-8.3326
2021-01-19,-8.3326
2021-01-20,-8.3326
2021-01-21,-8.3326
2021-01-22,-8.3326
2021-01-23,-8.3326
2021-01-24,-8.3326
2021-01-25,-8.3326
2021-01-26,-8.3326
2021-01-27,-8.3326
2021-01-28,-8.3326
2021-01-29,-8.3326
2021-01-30,-8.3326
2021-01-31,-8.3326
2021-02-01,-8.3326
2021-02-02,-8.3326
2021-02-03,-8.3326
2021-02-04,-8.3326
2021-02-05,-8.3326
2021-02-06,-8.3326
2021-02-07,-8.3326
2021-02-08,-8.3326
2021-02-09,-8.3326
2021-02-10,-8.3326
2021-02-11,-8.3326
2021-02-12,-8.3326
2021-02-13,-8.3326
2021-02-14,-8.3326
2021-02-15,-8.3326
2021-02-16,-8.3326
2021-02-17,-8.3326
2021-02-18,-8.3326
2021-02-19,-8.3326
2021-02-20,-8.3326
2021-02-21,-8.3326
2021-02-22,-8.3326
2021-02-23,-8.3326
2021-02-24,-8.3326
2021-02-25,-8.3326
2021-02-26,-8.3326
2021-02-27,-8.3326
2021-02-28,-8.3326
2021-03-01,-8.3326
2021-03-02,-8.3326
2021-03-03,-8.3326
2021-03-04,-8.3326
2021-03-05,-8.3326
2021-03-06,-8.3326
2021-03-07,-8.3326
2021-03-08,-8.3326
2021-03-09,-8.3326
2021-03-10,-8.3326
2021-03-11,-8.3326
2021-03-12,-8.3326
2021-03-13,-8.3326
2021-03-14,-8.3326
2021-03-15,-8.3326
2021-03-16,-8.3326
2021-03-17,-8.3326
2021-03-18,-8.3326
2021-03-19,-8.3326
2021-03-20,-8.3326
2021-03-21,-8.3326
2021-03-22,-8.3326
2021-03-23,-8.3326
2021-03-24,-8.3326
2021-03-25,-8.3326
2021-03-26,-8.3326
2021-03-27,-8.3326
2021-03-28,-8.3326
2021-03-29,-8.3326
2021-03-30,-8.3326
2021-03-31,0.0537
2021-04-01,0.0537
2021-04-02,0.0537
2021-04-03,0.0537
2021-04-04,0.0537
2021-04-05,0.0537
2021-04-06,0.0537
2021-04-07,0.0537
2021-04-08,0.0537
2021-04-09,0.0537
2021-04-10,0.0537
2021-04-11,0.0537
2021-04-12,0.0537
2021-04-13,0.0537
2021-04-14,0.0537
2021-04-15,0.0537
2021-04-16,0.0537
2021-04-17,0.0537
2021-04-18,0.0537
2021-04-19,0.0537
2021-04-20,0.0537
2021-04-21,0.0537
2021-04-22,0.0537
2021-04-23,0.0537
2021-04-24,0.0537
2021-04-25,0.0537
2021-04-26,0.0537
2021-04-27,0.0537
2021-04-28,0.0537
2021-04-29,0.0537
2021-04-30,0.0537
2021-05-01,0.0537
2021-05-02,0.0537
2021-05-03,0.0537
2021-05-04,0.0537
2021-05-05,0.0537
2021-05-06,0.0537
2021-05-07,0.0537
2021-05-08,0.0537
2021-05-09,0.0537
2021-05-10,0.0537
2021-05-11,0.0537
2021-05-12,0.0537
2021-05-13,0.0537
2021-05-14,0.0537
2021-05-15,0.0537
2021-05-16,0.0537
2021-05-17,0.0537
2021-05-18,0.0537
2021-05-19,0.0537
2021-05-20,0.0537
2021-05-21,0.0537
2021-05-22,0.0537
2021-05-23,0.0537
2021-05-24,0.0537
2021-05-25,0.0537
2021-05-26,0.0537
2021-05-27,0.0537
2021-05-28,0.0537
2021-05-29,0.0537
2021-05-30,0.0537
2021-05-31,0.0537
2021-06-01,0.0537
2021-06-02,0.0537
2021-06-03,0.0537
2021-06-04,0.0537
2021-06-05,0.0537
2021-06-06,0.0537
2021-06-07,0.0537
2021-06-08,0.0537
2021-06-09,0.0537
2021-06-10,0.0537
2021-06-11,0.0537
2021-06-12,0.0537
2021-06-13,0.0537
2021-06-14,0.0537
2021-06-15,0.0537
2021-06-16,0.0537
2021-06-17,0.0537
2021-06-18,0.0537
2021-06-19,0.0537
2021-06-20,0.0537
2021-06-21,0.0537
2021-06-22,0.0537
2021-06-23,0.0537
2021-06-24,0.0537
2021-06-25,0.0537
2021-06-26,0.0537
2021-06-27,0.0537
2021-06-28,0.0537
2021-06-29,0.0537
2021-06-30,4.8859
