,FHI US Equity
,RETURN_COM_EQY
2022-07-18,22.7009
2022-07-19,22.7009
2022-07-20,22.7009
2022-07-21,22.7009
2022-07-22,22.7009
2022-07-23,22.7009
2022-07-24,22.7009
2022-07-25,22.7009
2022-07-26,22.7009
2022-07-27,22.7009
2022-07-28,22.7009
2022-07-29,22.7009
2022-07-30,22.7009
2022-07-31,22.7009
2022-08-01,22.7009
2022-08-02,22.7009
2022-08-03,22.7009
2022-08-04,22.7009
2022-08-05,22.7009
2022-08-06,22.7009
2022-08-07,22.7009
2022-08-08,22.7009
2022-08-09,22.7009
2022-08-10,22.7009
2022-08-11,22.7009
2022-08-12,22.7009
2022-08-13,22.7009
2022-08-14,22.7009
2022-08-15,22.7009
2022-08-16,22.7009
2022-08-17,22.7009
2022-08-18,22.7009
2022-08-19,22.7009
2022-08-20,22.7009
2022-08-21,22.7009
2022-08-22,22.7009
2022-08-23,22.7009
2022-08-24,22.7009
2022-08-25,22.7009
2022-08-26,22.7009
2022-08-27,22.7009
2022-08-28,22.7009
2022-08-29,22.7009
2022-08-30,22.7009
2022-08-31,22.7009
2022-09-01,22.7009
2022-09-02,22.7009
2022-09-03,22.7009
2022-09-04,22.7009
2022-09-05,22.7009
2022-09-06,22.7009
2022-09-07,22.7009
2022-09-08,22.7009
2022-09-09,22.7009
2022-09-10,22.7009
2022-09-11,22.7009
2022-09-12,22.7009
2022-09-13,22.7009
2022-09-14,22.7009
2022-09-15,22.7009
2022-09-16,22.7009
2022-09-17,22.7009
2022-09-18,22.7009
2022-09-19,22.7009
2022-09-20,22.7009
2022-09-21,22.7009
2022-09-22,22.7009
2022-09-23,22.7009
2022-09-24,22.7009
2022-09-25,22.7009
2022-09-26,22.7009
2022-09-27,22.7009
2022-09-28,22.7009
2022-09-29,22.7009
2022-09-30,21.979
2022-10-01,21.979
2022-10-02,21.979
2022-10-03,21.979
2022-10-04,21.979
2022-10-05,21.979
2022-10-06,21.979
2022-10-07,21.979
2022-10-08,21.979
2022-10-09,21.979
2022-10-10,21.979
2022-10-11,21.979
2022-10-12,21.979
2022-10-13,21.979
2022-10-14,21.979
2022-10-15,21.979
2022-10-16,21.979
2022-10-17,21.979
2022-10-18,21.979
2022-10-19,21.979
2022-10-20,21.979
2022-10-21,21.979
2022-10-22,21.979
2022-10-23,21.979
2022-10-24,21.979
2022-10-25,21.979
2022-10-26,21.979
2022-10-27,21.979
2022-10-28,21.979
2022-10-29,21.979
2022-10-30,21.979
2022-10-31,21.979
2022-11-01,21.979
2022-11-02,21.979
2022-11-03,21.979
2022-11-04,21.979
2022-11-05,21.979
2022-11-06,21.979
2022-11-07,21.979
2022-11-08,21.979
2022-11-09,21.979
2022-11-10,21.979
2022-11-11,21.979
2022-11-12,21.979
2022-11-13,21.979
2022-11-14,21.979
2022-11-15,21.979
2022-11-16,21.979
2022-11-17,21.979
2022-11-18,21.979
2022-11-19,21.979
2022-11-20,21.979
2022-11-21,21.979
2022-11-22,21.979
2022-11-23,21.979
2022-11-24,21.979
2022-11-25,21.979
2022-11-26,21.979
2022-11-27,21.979
2022-11-28,21.979
2022-11-29,21.979
2022-11-30,21.979
2022-12-01,21.979
2022-12-02,21.979
2022-12-03,21.979
2022-12-04,21.979
2022-12-05,21.979
2022-12-06,21.979
2022-12-07,21.979
2022-12-08,21.979
2022-12-09,21.979
2022-12-10,21.979
2022-12-11,21.979
2022-12-12,21.979
2022-12-13,21.979
2022-12-14,21.979
2022-12-15,21.979
2022-12-16,21.979
2022-12-17,21.979
2022-12-18,21.979
2022-12-19,21.979
2022-12-20,21.979
2022-12-21,21.979
2022-12-22,21.979
2022-12-23,21.979
2022-12-24,21.979
2022-12-25,21.979
2022-12-26,21.979
2022-12-27,21.979
2022-12-28,21.979
2022-12-29,21.979
2022-12-30,21.979
2022-12-31,21.0395
