,AMGN US Equity
,RETURN_COM_EQY
2021-02-09,76.1346
2021-02-10,76.1346
2021-02-11,76.1346
2021-02-12,76.1346
2021-02-13,76.1346
2021-02-14,76.1346
2021-02-15,76.1346
2021-02-16,76.1346
2021-02-17,76.1346
2021-02-18,76.1346
2021-02-19,76.1346
2021-02-20,76.1346
2021-02-21,76.1346
2021-02-22,76.1346
2021-02-23,76.1346
2021-02-24,76.1346
2021-02-25,76.1346
2021-02-26,76.1346
2021-02-27,76.1346
2021-02-28,76.1346
2021-03-01,76.1346
2021-03-02,76.1346
2021-03-03,76.1346
2021-03-04,76.1346
2021-03-05,76.1346
2021-03-06,76.1346
2021-03-07,76.1346
2021-03-08,76.1346
2021-03-09,76.1346
2021-03-10,76.1346
2021-03-11,76.1346
2021-03-12,76.1346
2021-03-13,76.1346
2021-03-14,76.1346
2021-03-15,76.1346
2021-03-16,76.1346
2021-03-17,76.1346
2021-03-18,76.1346
2021-03-19,76.1346
2021-03-20,76.1346
2021-03-21,76.1346
2021-03-22,76.1346
2021-03-23,76.1346
2021-03-24,76.1346
2021-03-25,76.1346
2021-03-26,76.1346
2021-03-27,76.1346
2021-03-28,76.1346
2021-03-29,76.1346
2021-03-30,76.1346
2021-03-31,75.2962
2021-04-01,75.2962
2021-04-02,75.2962
2021-04-03,75.2962
2021-04-04,75.2962
2021-04-05,75.2962
2021-04-06,75.2962
2021-04-07,75.2962
2021-04-08,75.2962
2021-04-09,75.2962
2021-04-10,75.2962
2021-04-11,75.2962
2021-04-12,75.2962
2021-04-13,75.2962
2021-04-14,75.2962
2021-04-15,75.2962
2021-04-16,75.2962
2021-04-17,75.2962
2021-04-18,75.2962
2021-04-19,75.2962
2021-04-20,75.2962
2021-04-21,75.2962
2021-04-22,75.2962
2021-04-23,75.2962
2021-04-24,75.2962
2021-04-25,75.2962
2021-04-26,75.2962
2021-04-27,75.2962
2021-04-28,75.2962
2021-04-29,75.2962
2021-04-30,75.2962
2021-05-01,75.2962
2021-05-02,75.2962
2021-05-03,75.2962
2021-05-04,75.2962
2021-05-05,75.2962
2021-05-06,75.2962
2021-05-07,75.2962
