,BGS US Equity
,RETURN_COM_EQY
2022-03-23,7.6893
2022-03-24,7.6893
2022-03-25,7.6893
2022-03-26,7.6893
2022-03-27,7.6893
2022-03-28,7.6893
2022-03-29,7.6893
2022-03-30,7.6893
2022-03-31,7.6893
2022-04-01,7.6893
2022-04-02,7.3113
2022-04-03,7.3113
2022-04-04,7.3113
2022-04-05,7.3113
2022-04-06,7.3113
2022-04-07,7.3113
2022-04-08,7.3113
2022-04-09,7.3113
2022-04-10,7.3113
2022-04-11,7.3113
2022-04-12,7.3113
2022-04-13,7.3113
2022-04-14,7.3113
2022-04-15,7.3113
2022-04-16,7.3113
2022-04-17,7.3113
2022-04-18,7.3113
2022-04-19,7.3113
2022-04-20,7.3113
2022-04-21,7.3113
2022-04-22,7.3113
2022-04-23,7.3113
2022-04-24,7.3113
2022-04-25,7.3113
2022-04-26,7.3113
2022-04-27,7.3113
2022-04-28,7.3113
2022-04-29,7.3113
2022-04-30,7.3113
2022-05-01,7.3113
2022-05-02,7.3113
2022-05-03,7.3113
2022-05-04,7.3113
2022-05-05,7.3113
2022-05-06,7.3113
2022-05-07,7.3113
2022-05-08,7.3113
2022-05-09,7.3113
2022-05-10,7.3113
2022-05-11,7.3113
2022-05-12,7.3113
2022-05-13,7.3113
2022-05-14,7.3113
2022-05-15,7.3113
2022-05-16,7.3113
2022-05-17,7.3113
2022-05-18,7.3113
2022-05-19,7.3113
2022-05-20,7.3113
2022-05-21,7.3113
2022-05-22,7.3113
2022-05-23,7.3113
2022-05-24,7.3113
2022-05-25,7.3113
2022-05-26,7.3113
2022-05-27,7.3113
2022-05-28,7.3113
2022-05-29,7.3113
2022-05-30,7.3113
2022-05-31,7.3113
2022-06-01,7.3113
2022-06-02,7.3113
2022-06-03,7.3113
2022-06-04,7.3113
2022-06-05,7.3113
2022-06-06,7.3113
2022-06-07,7.3113
2022-06-08,7.3113
2022-06-09,7.3113
2022-06-10,7.3113
2022-06-11,7.3113
2022-06-12,7.3113
2022-06-13,7.3113
2022-06-14,7.3113
2022-06-15,7.3113
2022-06-16,7.3113
2022-06-17,7.3113
2022-06-18,7.3113
2022-06-19,7.3113
2022-06-20,7.3113
2022-06-21,7.3113
2022-06-22,7.3113
2022-06-23,7.3113
2022-06-24,7.3113
2022-06-25,7.3113
2022-06-26,7.3113
2022-06-27,7.3113
2022-06-28,7.3113
2022-06-29,7.3113
2022-06-30,7.3113
2022-07-01,7.3113
2022-07-02,4.4726
2022-07-03,4.4726
2022-07-04,4.4726
2022-07-05,4.4726
2022-07-06,4.4726
2022-07-07,4.4726
2022-07-08,4.4726
2022-07-09,4.4726
2022-07-10,4.4726
2022-07-11,4.4726
2022-07-12,4.4726
2022-07-13,4.4726
2022-07-14,4.4726
2022-07-15,4.4726
2022-07-16,4.4726
2022-07-17,4.4726
2022-07-18,4.4726
2022-07-19,4.4726
2022-07-20,4.4726
2022-07-21,4.4726
2022-07-22,4.4726
2022-07-23,4.4726
2022-07-24,4.4726
2022-07-25,4.4726
2022-07-26,4.4726
2022-07-27,4.4726
2022-07-28,4.4726
2022-07-29,4.4726
2022-07-30,4.4726
2022-07-31,4.4726
2022-08-01,4.4726
2022-08-02,4.4726
2022-08-03,4.4726
2022-08-04,4.4726
2022-08-05,4.4726
2022-08-06,4.4726
2022-08-07,4.4726
2022-08-08,4.4726
2022-08-09,4.4726
2022-08-10,4.4726
2022-08-11,4.4726
2022-08-12,4.4726
2022-08-13,4.4726
2022-08-14,4.4726
2022-08-15,4.4726
2022-08-16,4.4726
2022-08-17,4.4726
2022-08-18,4.4726
2022-08-19,4.4726
2022-08-20,4.4726
2022-08-21,4.4726
2022-08-22,4.4726
2022-08-23,4.4726
2022-08-24,4.4726
2022-08-25,4.4726
2022-08-26,4.4726
2022-08-27,4.4726
2022-08-28,4.4726
2022-08-29,4.4726
2022-08-30,4.4726
2022-08-31,4.4726
2022-09-01,4.4726
2022-09-02,4.4726
2022-09-03,4.4726
2022-09-04,4.4726
2022-09-05,4.4726
2022-09-06,4.4726
2022-09-07,4.4726
2022-09-08,4.4726
2022-09-09,4.4726
2022-09-10,4.4726
2022-09-11,4.4726
2022-09-12,4.4726
2022-09-13,4.4726
2022-09-14,4.4726
2022-09-15,4.4726
2022-09-16,4.4726
2022-09-17,4.4726
2022-09-18,4.4726
2022-09-19,4.4726
2022-09-20,4.4726
2022-09-21,4.4726
2022-09-22,4.4726
2022-09-23,4.4726
2022-09-24,4.4726
2022-09-25,4.4726
2022-09-26,4.4726
2022-09-27,4.4726
2022-09-28,4.4726
2022-09-29,4.4726
2022-09-30,4.4726
2022-10-01,-4.842
2022-10-02,-4.842
2022-10-03,-4.842
2022-10-04,-4.842
2022-10-05,-4.842
2022-10-06,-4.842
2022-10-07,-4.842
2022-10-08,-4.842
2022-10-09,-4.842
2022-10-10,-4.842
2022-10-11,-4.842
2022-10-12,-4.842
2022-10-13,-4.842
2022-10-14,-4.842
2022-10-15,-4.842
2022-10-16,-4.842
2022-10-17,-4.842
2022-10-18,-4.842
2022-10-19,-4.842
2022-10-20,-4.842
2022-10-21,-4.842
2022-10-22,-4.842
2022-10-23,-4.842
2022-10-24,-4.842
2022-10-25,-4.842
2022-10-26,-4.842
2022-10-27,-4.842
2022-10-28,-4.842
2022-10-29,-4.842
2022-10-30,-4.842
2022-10-31,-4.842
2022-11-01,-4.842
2022-11-02,-4.842
2022-11-03,-4.842
2022-11-04,-4.842
2022-11-05,-4.842
2022-11-06,-4.842
2022-11-07,-4.842
2022-11-08,-4.842
2022-11-09,-4.842
2022-11-10,-4.842
2022-11-11,-4.842
2022-11-12,-4.842
2022-11-13,-4.842
2022-11-14,-4.842
2022-11-15,-4.842
2022-11-16,-4.842
2022-11-17,-4.842
2022-11-18,-4.842
2022-11-19,-4.842
2022-11-20,-4.842
2022-11-21,-4.842
2022-11-22,-4.842
2022-11-23,-4.842
2022-11-24,-4.842
2022-11-25,-4.842
2022-11-26,-4.842
2022-11-27,-4.842
2022-11-28,-4.842
2022-11-29,-4.842
2022-11-30,-4.842
2022-12-01,-4.842
2022-12-02,-4.842
2022-12-03,-4.842
2022-12-04,-4.842
2022-12-05,-4.842
2022-12-06,-4.842
2022-12-07,-4.842
2022-12-08,-4.842
2022-12-09,-4.842
2022-12-10,-4.842
2022-12-11,-4.842
2022-12-12,-4.842
2022-12-13,-4.842
2022-12-14,-4.842
2022-12-15,-4.842
2022-12-16,-4.842
2022-12-17,-4.842
2022-12-18,-4.842
2022-12-19,-4.842
2022-12-20,-4.842
2022-12-21,-4.842
2022-12-22,-4.842
2022-12-23,-4.842
2022-12-24,-4.842
2022-12-25,-4.842
2022-12-26,-4.842
2022-12-27,-4.842
2022-12-28,-4.842
2022-12-29,-4.842
2022-12-30,-4.842
2022-12-31,-1.2715
2023-01-01,-1.2715
2023-01-02,-1.2715
2023-01-03,-1.2715
2023-01-04,-1.2715
2023-01-05,-1.2715
2023-01-06,-1.2715
2023-01-07,-1.2715
2023-01-08,-1.2715
2023-01-09,-1.2715
2023-01-10,-1.2715
2023-01-11,-1.2715
2023-01-12,-1.2715
