,UNP US Equity
,RETURN_COM_EQY
2021-12-28,39.7995
2021-12-29,39.7995
2021-12-30,39.7995
2021-12-31,41.9229
2022-01-01,41.9229
2022-01-02,41.9229
2022-01-03,41.9229
2022-01-04,41.9229
2022-01-05,41.9229
2022-01-06,41.9229
2022-01-07,41.9229
2022-01-08,41.9229
2022-01-09,41.9229
2022-01-10,41.9229
2022-01-11,41.9229
2022-01-12,41.9229
2022-01-13,41.9229
2022-01-14,41.9229
2022-01-15,41.9229
2022-01-16,41.9229
2022-01-17,41.9229
2022-01-18,41.9229
2022-01-19,41.9229
2022-01-20,41.9229
2022-01-21,41.9229
2022-01-22,41.9229
2022-01-23,41.9229
2022-01-24,41.9229
2022-01-25,41.9229
2022-01-26,41.9229
2022-01-27,41.9229
2022-01-28,41.9229
2022-01-29,41.9229
2022-01-30,41.9229
2022-01-31,41.9229
2022-02-01,41.9229
2022-02-02,41.9229
2022-02-03,41.9229
2022-02-04,41.9229
2022-02-05,41.9229
2022-02-06,41.9229
2022-02-07,41.9229
2022-02-08,41.9229
2022-02-09,41.9229
2022-02-10,41.9229
2022-02-11,41.9229
2022-02-12,41.9229
2022-02-13,41.9229
2022-02-14,41.9229
2022-02-15,41.9229
2022-02-16,41.9229
2022-02-17,41.9229
2022-02-18,41.9229
2022-02-19,41.9229
2022-02-20,41.9229
2022-02-21,41.9229
2022-02-22,41.9229
2022-02-23,41.9229
2022-02-24,41.9229
2022-02-25,41.9229
2022-02-26,41.9229
2022-02-27,41.9229
2022-02-28,41.9229
2022-03-01,41.9229
2022-03-02,41.9229
2022-03-03,41.9229
2022-03-04,41.9229
2022-03-05,41.9229
2022-03-06,41.9229
2022-03-07,41.9229
2022-03-08,41.9229
2022-03-09,41.9229
2022-03-10,41.9229
2022-03-11,41.9229
2022-03-12,41.9229
2022-03-13,41.9229
2022-03-14,41.9229
2022-03-15,41.9229
2022-03-16,41.9229
2022-03-17,41.9229
2022-03-18,41.9229
2022-03-19,41.9229
2022-03-20,41.9229
2022-03-21,41.9229
2022-03-22,41.9229
2022-03-23,41.9229
2022-03-24,41.9229
2022-03-25,41.9229
2022-03-26,41.9229
2022-03-27,41.9229
2022-03-28,41.9229
2022-03-29,41.9229
2022-03-30,41.9229
2022-03-31,48.3961
2022-04-01,48.3961
2022-04-02,48.3961
2022-04-03,48.3961
2022-04-04,48.3961
2022-04-05,48.3961
2022-04-06,48.3961
2022-04-07,48.3961
2022-04-08,48.3961
2022-04-09,48.3961
2022-04-10,48.3961
2022-04-11,48.3961
2022-04-12,48.3961
2022-04-13,48.3961
2022-04-14,48.3961
2022-04-15,48.3961
2022-04-16,48.3961
2022-04-17,48.3961
2022-04-18,48.3961
2022-04-19,48.3961
2022-04-20,48.3961
2022-04-21,48.3961
2022-04-22,48.3961
2022-04-23,48.3961
2022-04-24,48.3961
2022-04-25,48.3961
2022-04-26,48.3961
2022-04-27,48.3961
2022-04-28,48.3961
2022-04-29,48.3961
2022-04-30,48.3961
2022-05-01,48.3961
2022-05-02,48.3961
2022-05-03,48.3961
2022-05-04,48.3961
2022-05-05,48.3961
2022-05-06,48.3961
2022-05-07,48.3961
2022-05-08,48.3961
2022-05-09,48.3961
2022-05-10,48.3961
2022-05-11,48.3961
2022-05-12,48.3961
2022-05-13,48.3961
2022-05-14,48.3961
2022-05-15,48.3961
2022-05-16,48.3961
2022-05-17,48.3961
2022-05-18,48.3961
2022-05-19,48.3961
2022-05-20,48.3961
2022-05-21,48.3961
2022-05-22,48.3961
2022-05-23,48.3961
2022-05-24,48.3961
2022-05-25,48.3961
2022-05-26,48.3961
2022-05-27,48.3961
2022-05-28,48.3961
2022-05-29,48.3961
2022-05-30,48.3961
2022-05-31,48.3961
2022-06-01,48.3961
2022-06-02,48.3961
2022-06-03,48.3961
2022-06-04,48.3961
2022-06-05,48.3961
2022-06-06,48.3961
2022-06-07,48.3961
2022-06-08,48.3961
2022-06-09,48.3961
2022-06-10,48.3961
2022-06-11,48.3961
2022-06-12,48.3961
2022-06-13,48.3961
2022-06-14,48.3961
