,KO US Equity
,RETURN_COM_EQY
2022-06-29,45.6062
2022-06-30,45.6062
2022-07-01,42.299
2022-07-02,42.299
2022-07-03,42.299
2022-07-04,42.299
2022-07-05,42.299
2022-07-06,42.299
2022-07-07,42.299
2022-07-08,42.299
2022-07-09,42.299
2022-07-10,42.299
2022-07-11,42.299
2022-07-12,42.299
2022-07-13,42.299
2022-07-14,42.299
2022-07-15,42.299
2022-07-16,42.299
2022-07-17,42.299
2022-07-18,42.299
2022-07-19,42.299
2022-07-20,42.299
2022-07-21,42.299
2022-07-22,42.299
2022-07-23,42.299
2022-07-24,42.299
2022-07-25,42.299
2022-07-26,42.299
2022-07-27,42.299
2022-07-28,42.299
2022-07-29,42.299
2022-07-30,42.299
2022-07-31,42.299
2022-08-01,42.299
2022-08-02,42.299
2022-08-03,42.299
2022-08-04,42.299
2022-08-05,42.299
2022-08-06,42.299
2022-08-07,42.299
2022-08-08,42.299
2022-08-09,42.299
2022-08-10,42.299
2022-08-11,42.299
2022-08-12,42.299
2022-08-13,42.299
2022-08-14,42.299
2022-08-15,42.299
2022-08-16,42.299
2022-08-17,42.299
2022-08-18,42.299
2022-08-19,42.299
2022-08-20,42.299
2022-08-21,42.299
2022-08-22,42.299
2022-08-23,42.299
2022-08-24,42.299
2022-08-25,42.299
2022-08-26,42.299
2022-08-27,42.299
2022-08-28,42.299
2022-08-29,42.299
2022-08-30,42.299
2022-08-31,42.299
2022-09-01,42.299
2022-09-02,42.299
2022-09-03,42.299
2022-09-04,42.299
2022-09-05,42.299
2022-09-06,42.299
2022-09-07,42.299
2022-09-08,42.299
2022-09-09,42.299
2022-09-10,42.299
2022-09-11,42.299
2022-09-12,42.299
2022-09-13,42.299
2022-09-14,42.299
2022-09-15,42.299
2022-09-16,42.299
2022-09-17,42.299
2022-09-18,42.299
2022-09-19,42.299
2022-09-20,42.299
2022-09-21,42.299
2022-09-22,42.299
2022-09-23,42.299
2022-09-24,42.299
2022-09-25,42.299
2022-09-26,42.299
2022-09-27,42.299
2022-09-28,42.299
2022-09-29,42.299
2022-09-30,44.1268
2022-10-01,44.1268
2022-10-02,44.1268
2022-10-03,44.1268
2022-10-04,44.1268
2022-10-05,44.1268
2022-10-06,44.1268
2022-10-07,44.1268
2022-10-08,44.1268
2022-10-09,44.1268
2022-10-10,44.1268
2022-10-11,44.1268
2022-10-12,44.1268
2022-10-13,44.1268
2022-10-14,44.1268
2022-10-15,44.1268
2022-10-16,44.1268
2022-10-17,44.1268
2022-10-18,44.1268
2022-10-19,44.1268
2022-10-20,44.1268
2022-10-21,44.1268
2022-10-22,44.1268
2022-10-23,44.1268
2022-10-24,44.1268
2022-10-25,44.1268
2022-10-26,44.1268
2022-10-27,44.1268
2022-10-28,44.1268
2022-10-29,44.1268
2022-10-30,44.1268
2022-10-31,44.1268
2022-11-01,44.1268
2022-11-02,44.1268
2022-11-03,44.1268
2022-11-04,44.1268
2022-11-05,44.1268
2022-11-06,44.1268
2022-11-07,44.1268
2022-11-08,44.1268
2022-11-09,44.1268
2022-11-10,44.1268
2022-11-11,44.1268
2022-11-12,44.1268
2022-11-13,44.1268
2022-11-14,44.1268
2022-11-15,44.1268
2022-11-16,44.1268
2022-11-17,44.1268
2022-11-18,44.1268
2022-11-19,44.1268
2022-11-20,44.1268
2022-11-21,44.1268
2022-11-22,44.1268
2022-11-23,44.1268
2022-11-24,44.1268
2022-11-25,44.1268
2022-11-26,44.1268
2022-11-27,44.1268
2022-11-28,44.1268
2022-11-29,44.1268
2022-11-30,44.1268
2022-12-01,44.1268
2022-12-02,44.1268
2022-12-03,44.1268
2022-12-04,44.1268
2022-12-05,44.1268
