,IFF US Equity
,RSI_30D
2021-04-13,58.9622
2021-04-14,59.1044
2021-04-15,59.9478
2021-04-16,60.8106
2021-04-17,60.8106
2021-04-18,60.8106
2021-04-19,60.8645
2021-04-20,59.316
2021-04-21,61.2094
2021-04-22,59.2924
2021-04-23,61.1746
2021-04-24,61.1746
2021-04-25,61.1746
2021-04-26,61.1176
2021-04-27,58.4265
2021-04-28,59.5738
2021-04-29,59.9104
2021-04-30,57.1535
2021-05-01,57.1535
2021-05-02,57.1535
2021-05-03,59.091
2021-05-04,60.4018
2021-05-05,59.2211
2021-05-06,60.9707
2021-05-07,60.8826
2021-05-08,60.8826
2021-05-09,60.8826
2021-05-10,55.6925
2021-05-11,50.8596
2021-05-12,47.2886
2021-05-13,50.8285
2021-05-14,53.3004
2021-05-15,53.3004
2021-05-16,53.3004
2021-05-17,54.717
2021-05-18,53.915
2021-05-19,53.8032
2021-05-20,51.0243
2021-05-21,52.1909
2021-05-22,52.1909
2021-05-23,52.1909
2021-05-24,53.4949
2021-05-25,53.2219
2021-05-26,53.3041
2021-05-27,54.483
2021-05-28,53.0607
2021-05-29,53.0607
2021-05-30,53.0607
2021-05-31,53.0607
2021-06-01,53.744
2021-06-02,55.1783
2021-06-03,53.9566
2021-06-04,54.273
2021-06-05,54.273
2021-06-06,54.273
2021-06-07,54.4738
2021-06-08,56.2732
2021-06-09,58.6387
2021-06-10,59.2981
2021-06-11,59.3285
2021-06-12,59.3285
2021-06-13,59.3285
2021-06-14,59.3132
2021-06-15,58.4698
2021-06-16,58.515
2021-06-17,56.2051
2021-06-18,54.7503
2021-06-19,54.7503
2021-06-20,54.7503
2021-06-21,58.8661
2021-06-22,59.6049
2021-06-23,58.5796
2021-06-24,59.4063
2021-06-25,60.0088
2021-06-26,60.0088
2021-06-27,60.0088
2021-06-28,59.7201
2021-06-29,59.6677
2021-06-30,60.4339
2021-07-01,60.4153
2021-07-02,61.1554
2021-07-03,61.1554
2021-07-04,61.1554
2021-07-05,61.1554
2021-07-06,57.3127
2021-07-07,58.4679
2021-07-08,56.6849
2021-07-09,56.5067
2021-07-10,56.5067
2021-07-11,56.5067
2021-07-12,57.7171
2021-07-13,52.3558
2021-07-14,51.1928
2021-07-15,50.0884
2021-07-16,49.1917
2021-07-17,49.1917
2021-07-18,49.1917
2021-07-19,44.4892
2021-07-20,49.9878
2021-07-21,51.5918
2021-07-22,52.9942
2021-07-23,55.8157
2021-07-24,55.8157
2021-07-25,55.8157
2021-07-26,56.3741
2021-07-27,56.8066
2021-07-28,55.7114
2021-07-29,56.5405
2021-07-30,58.3843
2021-07-31,58.3843
2021-08-01,58.3843
2021-08-02,56.6553
2021-08-03,57.3031
2021-08-04,53.6054
2021-08-05,53.9893
2021-08-06,57.7095
2021-08-07,57.7095
2021-08-08,57.7095
2021-08-09,60.6578
2021-08-10,63.2581
2021-08-11,63.6658
2021-08-12,62.5143
2021-08-13,63.1734
2021-08-14,63.1734
2021-08-15,63.1734
2021-08-16,61.1673
2021-08-17,59.9591
2021-08-18,54.8607
2021-08-19,51.9561
2021-08-20,52.4009
2021-08-21,52.4009
2021-08-22,52.4009
2021-08-23,53.001
2021-08-24,54.3049
2021-08-25,54.7746
2021-08-26,53.8109
2021-08-27,54.8383
2021-08-28,54.8383
2021-08-29,54.8383
2021-08-30,53.8622
2021-08-31,54.2633
2021-09-01,52.6229
2021-09-02,53.9656
2021-09-03,53.1306
2021-09-04,53.1306
2021-09-05,53.1306
2021-09-06,53.1306
2021-09-07,51.7914
2021-09-08,53.1723
2021-09-09,52.8754
2021-09-10,47.8821
2021-09-11,47.8821
2021-09-12,47.8821
2021-09-13,47.8821
2021-09-14,42.7745
2021-09-15,43.6808
2021-09-16,42.2112
2021-09-17,34.2805
2021-09-18,34.2805
2021-09-19,34.2805
2021-09-20,34.0796
2021-09-21,32.1386
2021-09-22,32.1887
2021-09-23,33.9991
2021-09-24,33.7811
2021-09-25,33.7811
2021-09-26,33.7811
2021-09-27,32.8656
2021-09-28,35.1847
2021-09-29,37.1133
2021-09-30,36.7591
2021-10-01,47.4046
2021-10-02,47.4046
2021-10-03,47.4046
2021-10-04,44.1734
2021-10-05,41.7697
2021-10-06,44.298
2021-10-07,45.191
2021-10-08,44.9793
2021-10-09,44.9793
2021-10-10,44.9793
2021-10-11,47.3601
2021-10-12,51.1945
2021-10-13,52.1484
2021-10-14,56.027
2021-10-15,55.1648
2021-10-16,55.1648
2021-10-17,55.1648
2021-10-18,52.8238
2021-10-19,54.2757
2021-10-20,52.8748
2021-10-21,52.9558
2021-10-22,52.339
2021-10-23,52.339
2021-10-24,52.339
2021-10-25,53.4192
2021-10-26,55.2205
2021-10-27,55.3939
2021-10-28,55.6239
2021-10-29,54.2687
2021-10-30,54.2687
2021-10-31,54.2687
2021-11-01,50.1347
2021-11-02,50.5051
2021-11-03,51.5406
2021-11-04,47.5831
2021-11-05,49.6079
2021-11-06,49.6079
2021-11-07,49.6079
2021-11-08,53.8016
2021-11-09,58.8418
2021-11-10,56.569
2021-11-11,55.5868
2021-11-12,57.6031
2021-11-13,57.6031
2021-11-14,57.6031
2021-11-15,57.3488
2021-11-16,57.8648
2021-11-17,57.7179
2021-11-18,54.4069
2021-11-19,54.3837
2021-11-20,54.3837
2021-11-21,54.3837
2021-11-22,53.498
2021-11-23,51.5303
2021-11-24,51.4037
2021-11-25,51.4037
2021-11-26,48.1767
