,ETR US Equity
,RSI_30D
2021-05-19,55.0192
2021-05-20,56.1653
2021-05-21,57.5448
2021-05-22,57.5448
2021-05-23,57.5448
2021-05-24,57.7891
2021-05-25,55.957
2021-05-26,54.7531
2021-05-27,53.6798
2021-05-28,54.4809
2021-05-29,54.4809
2021-05-30,54.4809
2021-05-31,54.4809
2021-06-01,53.1779
2021-06-02,53.2696
2021-06-03,55.317
2021-06-04,55.5133
2021-06-05,55.5133
2021-06-06,55.5133
2021-06-07,56.7114
2021-06-08,55.6469
2021-06-09,58.2714
2021-06-10,59.9812
2021-06-11,60.4327
2021-06-12,60.4327
2021-06-13,60.4327
2021-06-14,60.3321
2021-06-15,60.8878
2021-06-16,56.3588
2021-06-17,56.8127
2021-06-18,48.0091
2021-06-19,48.0091
2021-06-20,48.0091
2021-06-21,50.0756
2021-06-22,47.8061
2021-06-23,44.7654
2021-06-24,44.103
2021-06-25,45.3382
2021-06-26,45.3382
2021-06-27,45.3382
2021-06-28,46.809
2021-06-29,43.7711
2021-06-30,42.6085
2021-07-01,46.2247
2021-07-02,46.6918
2021-07-03,46.6918
2021-07-04,46.6918
2021-07-05,46.6918
2021-07-06,47.6327
2021-07-07,48.5349
2021-07-08,47.6156
2021-07-09,48.868
2021-07-10,48.868
2021-07-11,48.868
2021-07-12,49.1004
2021-07-13,46.5816
2021-07-14,48.3109
2021-07-15,50.3923
2021-07-16,52.3936
2021-07-17,52.3936
2021-07-18,52.3936
2021-07-19,46.864
2021-07-20,48.2094
2021-07-21,46.2451
2021-07-22,45.8266
2021-07-23,49.2099
2021-07-24,49.2099
2021-07-25,49.2099
2021-07-26,50.99
2021-07-27,53.5178
2021-07-28,51.6966
2021-07-29,51.8119
2021-07-30,49.2744
2021-07-31,49.2744
2021-08-01,49.2744
2021-08-02,50.4101
2021-08-03,51.0797
2021-08-04,50.6084
2021-08-05,55.1372
2021-08-06,54.4424
2021-08-07,54.4424
2021-08-08,54.4424
