,WERN US Equity
,RSI_30D
2022-03-11,42.3175
2022-03-12,42.3175
2022-03-13,42.3175
2022-03-14,43.8818
2022-03-15,44.0388
2022-03-16,49.8776
2022-03-17,47.3388
2022-03-18,47.9554
2022-03-19,47.9554
2022-03-20,47.9554
2022-03-21,46.1839
2022-03-22,45.5427
2022-03-23,43.6043
2022-03-24,43.2818
2022-03-25,43.4391
2022-03-26,43.4391
2022-03-27,43.4391
2022-03-28,43.8821
2022-03-29,45.6047
2022-03-30,44.2645
2022-03-31,40.6476
2022-04-01,33.4398
2022-04-02,33.4398
2022-04-03,33.4398
2022-04-04,33.3998
2022-04-05,32.9105
2022-04-06,33.5815
2022-04-07,34.2195
2022-04-08,34.0391
2022-04-09,34.0391
2022-04-10,34.0391
2022-04-11,32.723
2022-04-12,32.0707
2022-04-13,35.3586
2022-04-14,34.4012
2022-04-15,34.4012
2022-04-16,34.4012
2022-04-17,34.4012
2022-04-18,33.5531
2022-04-19,39.8924
2022-04-20,41.8794
2022-04-21,41.5843
2022-04-22,41.3922
2022-04-23,41.3922
2022-04-24,41.3922
2022-04-25,44.6771
2022-04-26,42.9043
2022-04-27,42.8192
2022-04-28,47.1873
2022-04-29,45.5798
2022-04-30,45.5798
2022-05-01,45.5798
2022-05-02,45.4908
2022-05-03,47.0256
2022-05-04,54.513
2022-05-05,54.3821
2022-05-06,54.5514
2022-05-07,54.5514
2022-05-08,54.5514
2022-05-09,55.5472
2022-05-10,54.4195
2022-05-11,51.9641
2022-05-12,52.7302
2022-05-13,51.74
2022-05-14,51.74
2022-05-15,51.74
2022-05-16,47.7718
2022-05-17,49.2966
2022-05-18,40.2877
2022-05-19,41.1194
2022-05-20,44.2987
2022-05-21,44.2987
2022-05-22,44.2987
2022-05-23,47.3536
2022-05-24,47.5205
2022-05-25,49.9298
2022-05-26,49.7419
2022-05-27,49.8534
2022-05-28,49.8534
2022-05-29,49.8534
2022-05-30,49.8534
2022-05-31,49.2875
2022-06-01,49.8179
2022-06-02,51.0821
2022-06-03,50.5308
2022-06-04,50.5308
2022-06-05,50.5308
2022-06-06,52.9528
2022-06-07,49.2839
2022-06-08,46.8088
2022-06-09,46.6205
2022-06-10,45.7498
2022-06-11,45.7498
2022-06-12,45.7498
2022-06-13,44.5135
2022-06-14,43.5346
2022-06-15,45.7686
2022-06-16,42.4014
2022-06-17,40.801
2022-06-18,40.801
2022-06-19,40.801
2022-06-20,40.801
2022-06-21,41.918
2022-06-22,41.044
2022-06-23,43.0569
2022-06-24,44.7438
2022-06-25,44.7438
2022-06-26,44.7438
2022-06-27,46.9131
2022-06-28,44.7994
2022-06-29,45.091
2022-06-30,46.0732
2022-07-01,47.5975
2022-07-02,47.5975
2022-07-03,47.5975
2022-07-04,47.5975
2022-07-05,47.6626
2022-07-06,47.2074
2022-07-07,50.439
2022-07-08,49.8019
2022-07-09,49.8019
2022-07-10,49.8019
2022-07-11,50.0304
2022-07-12,49.9968
2022-07-13,49.4465
2022-07-14,48.6163
2022-07-15,50.3414
2022-07-16,50.3414
2022-07-17,50.3414
2022-07-18,50.5204
2022-07-19,56.175
2022-07-20,56.4725
2022-07-21,56.9261
2022-07-22,55.6071
2022-07-23,55.6071
2022-07-24,55.6071
2022-07-25,54.6154
2022-07-26,54.6489
2022-07-27,55.162
2022-07-28,62.2835
2022-07-29,62.913
2022-07-30,62.913
2022-07-31,62.913
2022-08-01,58.8487
2022-08-02,55.0932
2022-08-03,56.8257
2022-08-04,53.486
2022-08-05,55.1989
2022-08-06,55.1989
2022-08-07,55.1989
2022-08-08,54.6528
2022-08-09,51.429
2022-08-10,54.4097
2022-08-11,56.7128
2022-08-12,58.0096
2022-08-13,58.0096
2022-08-14,58.0096
2022-08-15,56.924
2022-08-16,60.8335
2022-08-17,57.5274
2022-08-18,57.1773
2022-08-19,55.9289
2022-08-20,55.9289
2022-08-21,55.9289
2022-08-22,53.246
2022-08-23,53.4848
2022-08-24,52.8641
2022-08-25,53.9693
2022-08-26,50.1669
2022-08-27,50.1669
2022-08-28,50.1669
2022-08-29,48.6906
2022-08-30,49.1077
2022-08-31,45.4746
2022-09-01,46.551
2022-09-02,44.8247
2022-09-03,44.8247
2022-09-04,44.8247
2022-09-05,44.8247
2022-09-06,43.3141
2022-09-07,46.0417
2022-09-08,44.5876
2022-09-09,47.5632
2022-09-10,47.5632
2022-09-11,47.5632
2022-09-12,48.7705
2022-09-13,46.1532
2022-09-14,47.2083
2022-09-15,45.8403
2022-09-16,43.9272
2022-09-17,43.9272
2022-09-18,43.9272
2022-09-19,45.7227
2022-09-20,43.828
2022-09-21,44.046
2022-09-22,43.3742
2022-09-23,43.3488
2022-09-24,43.3488
2022-09-25,43.3488
2022-09-26,44.1253
2022-09-27,44.5357
2022-09-28,47.431
2022-09-29,45.6188
2022-09-30,42.6829
2022-10-01,42.6829
2022-10-02,42.6829
2022-10-03,46.4113
2022-10-04,48.5884
2022-10-05,47.1761
2022-10-06,47.4193
2022-10-07,44.4051
2022-10-08,44.4051
2022-10-09,44.4051
2022-10-10,46.681
2022-10-11,47.4923
2022-10-12,49.664
2022-10-13,50.2962
2022-10-14,47.6508
2022-10-15,47.6508
2022-10-16,47.6508
2022-10-17,48.3386
2022-10-18,49.0016
2022-10-19,47.1247
2022-10-20,43.327
2022-10-21,43.7127
2022-10-22,43.7127
2022-10-23,43.7127
2022-10-24,45.8415
2022-10-25,46.3739
2022-10-26,48.2617
2022-10-27,46.7544
2022-10-28,48.1201
2022-10-29,48.1201
2022-10-30,48.1201
2022-10-31,49.5204
2022-11-01,51.5779
2022-11-02,46.9152
2022-11-03,44.4226
2022-11-04,48.2709
2022-11-05,48.2709
2022-11-06,48.2709
2022-11-07,51.4135
2022-11-08,50.3159
2022-11-09,47.5883
2022-11-10,53.0259
2022-11-11,54.2693
2022-11-12,54.2693
2022-11-13,54.2693
2022-11-14,54.4225
2022-11-15,58.1342
2022-11-16,55.1247
2022-11-17,55.9384
2022-11-18,57.912
2022-11-19,57.912
2022-11-20,57.912
2022-11-21,57.2226
2022-11-22,56.6856
2022-11-23,56.8323
2022-11-24,56.8323
2022-11-25,57.5962
2022-11-26,57.5962
2022-11-27,57.5962
2022-11-28,56.3637
2022-11-29,57.7134
2022-11-30,58.9834
2022-12-01,59.047
2022-12-02,59.7784
2022-12-03,59.7784
2022-12-04,59.7784
2022-12-05,57.4375
2022-12-06,57.3755
2022-12-07,56.6483
2022-12-08,55.4781
2022-12-09,55.2547
2022-12-10,55.2547
2022-12-11,55.2547
2022-12-12,57.6966
2022-12-13,57.8193
2022-12-14,58.1459
2022-12-15,52.3986
2022-12-16,49.7684
2022-12-17,49.7684
2022-12-18,49.7684
2022-12-19,49.5446
2022-12-20,46.289
2022-12-21,49.3077
2022-12-22,49.2537
2022-12-23,50.5158
2022-12-24,50.5158
2022-12-25,50.5158
2022-12-26,50.5158
2022-12-27,49.3864
2022-12-28,47.1767
2022-12-29,48.1834
2022-12-30,47.357
2022-12-31,47.357
2023-01-01,47.357
2023-01-02,47.357
2023-01-03,48.6626
2023-01-04,52.2524
2023-01-05,50.965
2023-01-06,55.3136
2023-01-07,55.3136
2023-01-08,55.3136
2023-01-09,55.4353
2023-01-10,54.4235
2023-01-11,55.7404
2023-01-12,55.8672
2023-01-13,54.8269
2023-01-14,54.8269
