,DAN US Equity
,RSI_30D
2021-11-14,52.4214
2021-11-15,51.9152
2021-11-16,51.7536
2021-11-17,50.077
2021-11-18,51.484
2021-11-19,50.6634
2021-11-20,50.6634
2021-11-21,50.6634
2021-11-22,52.7812
2021-11-23,53.2393
2021-11-24,51.6163
2021-11-25,51.6163
2021-11-26,47.6222
2021-11-27,47.6222
2021-11-28,47.6222
2021-11-29,46.0304
2021-11-30,44.1098
2021-12-01,44.1806
2021-12-02,48.2216
2021-12-03,47.3866
2021-12-04,47.3866
2021-12-05,47.3866
2021-12-06,48.7314
2021-12-07,50.2707
2021-12-08,50.1086
2021-12-09,48.0872
2021-12-10,47.1502
2021-12-11,47.1502
2021-12-12,47.1502
2021-12-13,45.4993
2021-12-14,45.9345
2021-12-15,46.9209
2021-12-16,45.2446
2021-12-17,46.1828
2021-12-18,46.1828
2021-12-19,46.1828
2021-12-20,43.5286
2021-12-21,46.5931
2021-12-22,47.5509
2021-12-23,48.7826
2021-12-24,48.7826
2021-12-25,48.7826
2021-12-26,48.7826
2021-12-27,49.6563
2021-12-28,49.5863
2021-12-29,49.8423
2021-12-30,49.1052
2021-12-31,49.9475
2022-01-01,49.9475
2022-01-02,49.9475
2022-01-03,50.6388
2022-01-04,53.8961
2022-01-05,52.3697
2022-01-06,54.4084
2022-01-07,53.7519
2022-01-08,53.7519
2022-01-09,53.7519
2022-01-10,54.6714
2022-01-11,55.238
2022-01-12,54.3594
2022-01-13,56.7437
2022-01-14,58.5172
2022-01-15,58.5172
2022-01-16,58.5172
2022-01-17,58.5172
2022-01-18,57.6408
2022-01-19,52.5033
2022-01-20,47.2402
2022-01-21,45.9264
2022-01-22,45.9264
2022-01-23,45.9264
2022-01-24,48.1992
2022-01-25,46.863
2022-01-26,46.5295
2022-01-27,44.0942
2022-01-28,41.6868
2022-01-29,41.6868
2022-01-30,41.6868
2022-01-31,45.4963
2022-02-01,46.839
2022-02-02,46.7746
2022-02-03,46.086
2022-02-04,43.92
2022-02-05,43.92
2022-02-06,43.92
2022-02-07,43.6391
2022-02-08,48.2767
2022-02-09,50.3217
2022-02-10,48.12
2022-02-11,44.1813
2022-02-12,44.1813
2022-02-13,44.1813
2022-02-14,44.9345
2022-02-15,49.4072
2022-02-16,50.5934
2022-02-17,49.3646
2022-02-18,48.4287
2022-02-19,48.4287
2022-02-20,48.4287
2022-02-21,48.4287
2022-02-22,46.6593
2022-02-23,41.0901
2022-02-24,40.2537
2022-02-25,42.2346
2022-02-26,42.2346
2022-02-27,42.2346
2022-02-28,39.7247
2022-03-01,36.3611
2022-03-02,39.9876
2022-03-03,38.663
2022-03-04,36.3497
2022-03-05,36.3497
2022-03-06,36.3497
2022-03-07,33.4803
2022-03-08,37.0651
2022-03-09,39.911
2022-03-10,40.347
2022-03-11,40.6144
2022-03-12,40.6144
2022-03-13,40.6144
2022-03-14,40.1591
2022-03-15,40.6906
2022-03-16,44.0189
2022-03-17,44.5167
2022-03-18,45.6057
2022-03-19,45.6057
2022-03-20,45.6057
2022-03-21,43.9884
