,UBSI US Equity
2023-03-19,39.3415
2023-03-20,38.6903
2023-03-21,45.0965
2023-03-22,40.9362
2023-03-23,40.5337
2023-03-24,44.2509
2023-03-25,44.2509
2023-03-26,44.2509
2023-03-27,44.5849
2023-03-28,44.5849
2023-03-29,44.1219
2023-03-30,40.4304
2023-03-31,40.9978
2023-04-01,40.9978
2023-04-02,40.9978
2023-04-03,40.2971
2023-04-04,37.8856
2023-04-05,37.7557
2023-04-06,39.9557
2023-04-07,39.9557
2023-04-08,39.9557
2023-04-09,39.9557
2023-04-10,40.5863
2023-04-11,40.6937
2023-04-12,40.1927
2023-04-13,40.9077
2023-04-14,39.1493
2023-04-15,39.1493
2023-04-16,39.1493
2023-04-17,43.1433
2023-04-18,40.9012
2023-04-19,43.2916
2023-04-20,41.4323
2023-04-21,40.8196
2023-04-22,40.8196
2023-04-23,40.8196
2023-04-24,40.6455
2023-04-25,38.1902
2023-04-26,34.9368
2023-04-27,39.7569
2023-04-28,41.5739
2023-04-29,41.5739
2023-04-30,41.5739
2023-05-01,38.9685
2023-05-02,35.9574
2023-05-03,35.5721
2023-05-04,34.5864
2023-05-05,37.1872
2023-05-06,37.1872
2023-05-07,37.1872
2023-05-08,35.6639
2023-05-09,35.0767
2023-05-10,34.4712
2023-05-11,32.9043
2023-05-12,32.66
2023-05-13,32.66
2023-05-14,32.66
2023-05-15,34.8062
2023-05-16,34.2232
2023-05-17,40.2662
2023-05-18,40.5472
2023-05-19,39.3557
2023-05-20,39.3557
2023-05-21,39.3557
2023-05-22,41.4839
2023-05-23,42.018
2023-05-24,40.7945
2023-05-25,39.9259
2023-05-26,41.6718
2023-05-27,41.6718
2023-05-28,41.6718
2023-05-29,41.6718
2023-05-30,42.0335
2023-05-31,40.4075
2023-06-01,42.5403
2023-06-02,48.8702
2023-06-03,48.8702
2023-06-04,48.8702
2023-06-05,46.3993
2023-06-06,50.3227
2023-06-07,53.363
2023-06-08,52.4085
2023-06-09,51.507
2023-06-10,51.507
2023-06-11,51.507
2023-06-12,48.4291
2023-06-13,50.0831
2023-06-14,47.8555
2023-06-15,48.9549
2023-06-16,48.7375
2023-06-17,48.7375
2023-06-18,48.7375
2023-06-19,48.7375
2023-06-20,47.0792
2023-06-21,45.7943
2023-06-22,44.184
2023-06-23,43.5812
2023-06-24,43.5812
2023-06-25,43.5812
2023-06-26,44.0492
2023-06-27,44.9351
2023-06-28,43.9277
2023-06-29,45.4636
2023-06-30,44.4269
2023-07-01,44.4269
2023-07-02,44.4269
2023-07-03,46.2678
2023-07-04,46.2678
2023-07-05,44.0176
2023-07-06,42.1309
2023-07-07,41.7198
2023-07-08,41.7198
2023-07-09,41.7198
2023-07-10,42.0124
2023-07-11,43.289
2023-07-12,43.976
2023-07-13,46.5288
2023-07-14,44.4844
2023-07-15,44.4844
2023-07-16,44.4844
2023-07-17,46.8092
2023-07-18,52.416
2023-07-19,53.4365
2023-07-20,52.4154
2023-07-21,51.0831
2023-07-22,51.0831
2023-07-23,51.0831
2023-07-24,52.5157
2023-07-25,52.1965
2023-07-26,55.5028
2023-07-27,55.5273
2023-07-28,55.1195
2023-07-29,55.1195
2023-07-30,55.1195
2023-07-31,56.0693
2023-08-01,54.8999
2023-08-02,54.7359
2023-08-03,55.0967
2023-08-04,55.7701
2023-08-05,55.7701
2023-08-06,55.7701
2023-08-07,56.912
2023-08-08,56.325
2023-08-09,55.5836
2023-08-10,54.326
2023-08-11,54.9157
2023-08-12,54.9157
2023-08-13,54.9157
2023-08-14,53.7076
2023-08-15,48.8128
2023-08-16,47.051
2023-08-17,46.3708
2023-08-18,46.12
2023-08-19,46.12
2023-08-20,46.12
2023-08-21,43.9089
2023-08-22,40.9737
2023-08-23,41.1302
2023-08-24,41.6109
2023-08-25,41.693
2023-08-26,41.693
2023-08-27,41.693
2023-08-28,43.1401
2023-08-29,44.7216
2023-08-30,44.1999
2023-08-31,45.7149
2023-09-01,48.3049
2023-09-02,48.3049
2023-09-03,48.3049
2023-09-04,48.3049
2023-09-05,45.2271
2023-09-06,42.7792
2023-09-07,42.0549
2023-09-08,42.433
2023-09-09,42.433
2023-09-10,42.433
2023-09-11,41.3476
2023-09-12,41.5685
2023-09-13,39.9498
2023-09-14,42.6594
2023-09-15,42.1753
2023-09-16,42.1753
2023-09-17,42.1753
2023-09-18,40.344
2023-09-19,39.5477
2023-09-20,38.7265
2023-09-21,38.0901
2023-09-22,37.754
2023-09-23,37.754
2023-09-24,37.754
2023-09-25,40.1866
2023-09-26,39.09
2023-09-27,39.3919
2023-09-28,41.0543
2023-09-29,42.5846
2023-09-30,42.5846
2023-10-01,42.5846
2023-10-02,41.262
2023-10-03,40.5576
2023-10-04,41.6903
2023-10-05,44.0948
2023-10-06,44.2929
2023-10-07,44.2929
2023-10-08,44.2929
2023-10-09,44.0507
2023-10-10,44.6765
2023-10-11,44.1655
2023-10-12,42.2493
2023-10-13,39.1194
2023-10-14,39.1194
2023-10-15,39.1194
2023-10-16,43.7459
2023-10-17,46.0127
2023-10-18,43.3593
2023-10-19,42.6223
2023-10-20,40.2847
2023-10-21,40.2847
2023-10-22,40.2847
2023-10-23,40.078
2023-10-24,39.4841
2023-10-25,44.7179
2023-10-26,49.4356
2023-10-27,47.4281
2023-10-28,47.4281
2023-10-29,47.4281
2023-10-30,49.6056
2023-10-31,50.7391
2023-11-01,50.5768
2023-11-02,55.5756
2023-11-03,58.9836
2023-11-04,58.9836
2023-11-05,58.9836
2023-11-06,57.2995
2023-11-07,56.22
2023-11-08,53.9554
2023-11-09,52.9699
2023-11-10,53.7047
2023-11-11,53.7047
2023-11-12,53.7047
2023-11-13,55.3539
2023-11-14,62.8544
2023-11-15,64.2255
2023-11-16,63.9309
2023-11-17,65.2274
2023-11-18,65.2274
2023-11-19,65.2274
2023-11-20,65.4841
2023-11-21,62.8236
2023-11-22,63.3787
2023-11-23,63.3787
2023-11-24,62.8929
2023-11-25,62.8929
2023-11-26,62.8929
2023-11-27,62.8476
2023-11-28,61.6984
2023-11-29,62.5762
2023-11-30,61.1726
2023-12-01,65.0151
2023-12-02,65.0151
2023-12-03,65.0151
2023-12-04,66.5351
2023-12-05,64.8239
2023-12-06,64.5455
2023-12-07,66.2148
2023-12-08,67.0417
2023-12-09,67.0417
2023-12-10,67.0417
2023-12-11,66.7435
2023-12-12,65.8346
2023-12-13,70.3582
2023-12-14,71.8416
2023-12-15,70.3841
2023-12-16,70.3841
2023-12-17,70.3841
2023-12-18,68.7959
2023-12-19,70.1474
2023-12-20,68.6574
2023-12-21,68.9871
2023-12-22,69.4526
2023-12-23,69.4526
2023-12-24,69.4526
2023-12-25,69.4526
2023-12-26,70.3725
2023-12-27,69.7004
2023-12-28,69.8379
2023-12-29,66.3089
2023-12-30,66.3089
2023-12-31,66.3089
2024-01-01,66.3089
2024-01-02,66.8442
2024-01-03,61.5459
2024-01-04,62.7939
2024-01-05,62.8216
2024-01-06,62.8216
2024-01-07,62.8216
2024-01-08,63.6624
2024-01-09,61.971
2024-01-10,62.472
2024-01-11,59.2877
2024-01-12,58.1886
2024-01-13,58.1886
2024-01-14,58.1886
2024-01-15,58.1886
2024-01-16,55.3156
2024-01-17,55.3506
2024-01-18,56.3435
2024-01-19,58.3945
2024-01-20,58.3945
2024-01-21,58.3945
2024-01-22,60.7172
2024-01-23,58.0095
2024-01-24,59.0969
2024-01-25,58.6808
2024-01-26,57.8382
2024-01-27,57.8382
2024-01-28,57.8382
2024-01-29,60.4187
2024-01-30,60.6708
2024-01-31,52.836
2024-02-01,52.3311
2024-02-02,52.0147
2024-02-03,52.0147
2024-02-04,52.0147
2024-02-05,49.4255
2024-02-06,47.9155
2024-02-07,47.6219
2024-02-08,48.2777
2024-02-09,50.7497
2024-02-10,50.7497
2024-02-11,50.7497
2024-02-12,51.9004
2024-02-13,45.391
2024-02-14,47.3112
2024-02-15,52.6197
2024-02-16,50.7313
2024-02-17,50.7313
2024-02-18,50.7313
2024-02-19,50.7313
2024-02-20,49.1392
2024-02-21,48.1619
2024-02-22,47.7364
2024-02-23,47.9559
2024-02-24,47.9559
2024-02-25,47.9559
2024-02-26,47.6797
2024-02-27,47.9511
2024-02-28,46.7329
2024-02-29,49.169
2024-03-01,47.3271
2024-03-02,47.3271
2024-03-03,47.3271
2024-03-04,46.238
2024-03-05,50.9123
2024-03-06,50.8754
2024-03-07,52.0384
2024-03-08,51.8005
2024-03-09,51.8005
2024-03-10,51.8005
2024-03-11,53.0944
2024-03-12,49.3729
2024-03-13,49.1478
2024-03-14,45.1062
2024-03-15,46.3474
2024-03-16,46.3474
2024-03-17,46.3474
2024-03-18,44.9896
2024-03-19,45.9318
2024-03-20,50.4021
2024-03-21,51.0815
2024-03-22,48.7889
2024-03-23,48.7889
2024-03-24,48.7889
2024-03-25,49.0891
2024-03-26,48.069
2024-03-27,53.4639
2024-03-28,54.8146
2024-03-29,54.8146
2024-03-30,54.8146
2024-03-31,54.8146
2024-04-01,52.4164
2024-04-02,49.5766
2024-04-03,49.1683
2024-04-04,48.548
2024-04-05,48.6225
2024-04-06,48.6225
2024-04-07,48.6225
2024-04-08,50.7969
