,SOI US Equity
,RSI_30D
2021-07-03,46.8709
2021-07-04,46.8709
2021-07-05,46.8709
2021-07-06,44.0233
2021-07-07,42.9759
2021-07-08,43.777
2021-07-09,46.3296
2021-07-10,46.3296
2021-07-11,46.3296
2021-07-12,46.149
2021-07-13,45.8409
2021-07-14,43.8422
2021-07-15,42.9614
2021-07-16,41.5232
2021-07-17,41.5232
2021-07-18,41.5232
2021-07-19,39.6554
2021-07-20,40.7899
2021-07-21,43.31
2021-07-22,42.2066
2021-07-23,42.1481
2021-07-24,42.1481
2021-07-25,42.1481
2021-07-26,42.9654
2021-07-27,44.742
2021-07-28,45.0639
2021-07-29,42.0843
2021-07-30,42.2524
2021-07-31,42.2524
2021-08-01,42.2524
2021-08-02,39.6345
2021-08-03,40.841
2021-08-04,37.9805
2021-08-05,39.0201
2021-08-06,40.0595
2021-08-07,40.0595
2021-08-08,40.0595
2021-08-09,38.5854
2021-08-10,41.6604
2021-08-11,41.6604
2021-08-12,40.3395
2021-08-13,38.723
2021-08-14,38.723
2021-08-15,38.723
2021-08-16,37.6093
2021-08-17,36.4176
2021-08-18,35.9886
2021-08-19,34.5669
2021-08-20,35.0583
2021-08-21,35.0583
2021-08-22,35.0583
2021-08-23,37.7662
2021-08-24,39.0801
2021-08-25,38.4208
2021-08-26,37.9393
2021-08-27,40.7252
2021-08-28,40.7252
2021-08-29,40.7252
2021-08-30,39.7699
2021-08-31,40.2532
2021-09-01,41.3247
2021-09-02,42.2019
2021-09-03,41.5591
2021-09-04,41.5591
2021-09-05,41.5591
2021-09-06,41.5591
2021-09-07,41.1271
2021-09-08,39.6353
2021-09-09,39.2149
2021-09-10,40.1992
2021-09-11,40.1992
2021-09-12,40.1992
2021-09-13,44.0554
2021-09-14,43.3425
2021-09-15,44.3771
2021-09-16,43.6352
2021-09-17,42.8935
2021-09-18,42.8935
2021-09-19,42.8935
2021-09-20,40.0745
2021-09-21,40.1875
2021-09-22,41.9971
2021-09-23,44.5981
2021-09-24,44.1712
2021-09-25,44.1712
2021-09-26,44.1712
2021-09-27,50.4512
2021-09-28,50.6307
2021-09-29,52.5856
2021-09-30,53.1956
2021-10-01,52.9941
2021-10-02,52.9941
2021-10-03,52.9941
2021-10-04,53.8975
2021-10-05,52.95
2021-10-06,49.5464
2021-10-07,52.2544
2021-10-08,53.6736
2021-10-09,53.6736
2021-10-10,53.6736
2021-10-11,52.5624
2021-10-12,51.4604
2021-10-13,50.0779
2021-10-14,51.0496
2021-10-15,51.3435
2021-10-16,51.3435
2021-10-17,51.3435
2021-10-18,47.6902
2021-10-19,51.1862
2021-10-20,52.0156
2021-10-21,52.6627
2021-10-22,51.2332
2021-10-23,51.2332
2021-10-24,51.2332
2021-10-25,52.0033
2021-10-26,51.1674
2021-10-27,48.1639
2021-10-28,47.491
2021-10-29,45.0715
2021-10-30,45.0715
2021-10-31,45.0715
2021-11-01,48.6131
2021-11-02,49.7949
2021-11-03,54.0746
2021-11-04,52.8839
2021-11-05,52.5845
2021-11-06,52.5845
2021-11-07,52.5845
2021-11-08,53.2238
2021-11-09,52.3887
2021-11-10,48.3652
2021-11-11,47.5362
2021-11-12,45.4755
2021-11-13,45.4755
2021-11-14,45.4755
2021-11-15,44.9496
2021-11-16,44.594
2021-11-17,41.4555
2021-11-18,39.3642
2021-11-19,37.4117
2021-11-20,37.4117
2021-11-21,37.4117
2021-11-22,39.5928
2021-11-23,40.8278
2021-11-24,43.019
2021-11-25,43.019
2021-11-26,40.2441
2021-11-27,40.2441
2021-11-28,40.2441
2021-11-29,41.0095
2021-11-30,41.1209
2021-12-01,38.4178
2021-12-02,41.1948
2021-12-03,39.011
2021-12-04,39.011
2021-12-05,39.011
2021-12-06,40.3956
2021-12-07,42.0293
2021-12-08,42.5721
2021-12-09,43.6634
2021-12-10,45.0673
2021-12-11,45.0673
2021-12-12,45.0673
2021-12-13,42.6166
2021-12-14,40.8723
2021-12-15,40.7938
2021-12-16,42.7285
2021-12-17,42.1419
2021-12-18,42.1419
2021-12-19,42.1419
2021-12-20,42.1419
2021-12-21,45.2447
2021-12-22,45.0595
2021-12-23,44.2171
2021-12-24,44.2171
2021-12-25,44.2171
2021-12-26,44.2171
2021-12-27,43.196
2021-12-28,43.4417
2021-12-29,42.3061
2021-12-30,42.3061
2021-12-31,44.1295
2022-01-01,44.1295
2022-01-02,44.1295
2022-01-03,49.5493
2022-01-04,53.9678
2022-01-05,53.4179
2022-01-06,55.2121
2022-01-07,56.0417
2022-01-08,56.0417
2022-01-09,56.0417
2022-01-10,55.3348
2022-01-11,56.7459
2022-01-12,55.7737
2022-01-13,58.2697
2022-01-14,58.2697
2022-01-15,58.2697
2022-01-16,58.2697
2022-01-17,58.2697
2022-01-18,56.2563
2022-01-19,54.907
2022-01-20,52.8792
2022-01-21,51.2662
2022-01-22,51.2662
2022-01-23,51.2662
2022-01-24,54.0618
2022-01-25,56.4545
2022-01-26,54.3462
2022-01-27,52.1094
2022-01-28,53.2052
2022-01-29,53.2052
2022-01-30,53.2052
2022-01-31,53.9971
2022-02-01,56.8313
2022-02-02,54.7381
2022-02-03,52.7291
2022-02-04,54.9163
2022-02-05,54.9163
2022-02-06,54.9163
2022-02-07,56.3692
2022-02-08,51.9328
2022-02-09,51.021
2022-02-10,53.4629
2022-02-11,56.0767
2022-02-12,56.0767
2022-02-13,56.0767
2022-02-14,54.907
2022-02-15,55.0832
2022-02-16,58.5983
2022-02-17,59.9866
2022-02-18,57.8677
2022-02-19,57.8677
2022-02-20,57.8677
2022-02-21,57.8677
2022-02-22,55.9315
2022-02-23,57.5636
2022-02-24,57.8863
2022-02-25,63.1731
2022-02-26,63.1731
2022-02-27,63.1731
2022-02-28,69.6072
2022-03-01,63.0045
2022-03-02,64.3726
2022-03-03,64.7224
2022-03-04,66.6541
2022-03-05,66.6541
2022-03-06,66.6541
2022-03-07,67.8528
2022-03-08,70.3543
2022-03-09,67.3231
2022-03-10,68.3491
2022-03-11,64.9225
2022-03-12,64.9225
2022-03-13,64.9225
2022-03-14,63.6528
2022-03-15,63.3963
2022-03-16,66.4287
2022-03-17,67.0371
2022-03-18,65.717
2022-03-19,65.717
2022-03-20,65.717
2022-03-21,67.7328
2022-03-22,66.4155
2022-03-23,68.2871
2022-03-24,66.7992
2022-03-25,67.7817
2022-03-26,67.7817
2022-03-27,67.7817
2022-03-28,59.6794
2022-03-29,59.874
2022-03-30,59.3554
2022-03-31,61.1457
2022-04-01,61.7271
2022-04-02,61.7271
2022-04-03,61.7271
2022-04-04,61.4102
2022-04-05,58.3875
2022-04-06,56.9017
2022-04-07,56.3088
2022-04-08,58.1688
2022-04-09,58.1688
2022-04-10,58.1688
2022-04-11,56.0014
2022-04-12,57.9038
2022-04-13,59.3993
2022-04-14,59.5586
2022-04-15,59.5586
2022-04-16,59.5586
2022-04-17,59.5586
2022-04-18,59.3979
2022-04-19,60.1213
2022-04-20,61.3275
2022-04-21,57.1799
2022-04-22,54.6318
2022-04-23,54.6318
2022-04-24,54.6318
2022-04-25,50.0821
2022-04-26,50.5904
2022-04-27,51.8581
2022-04-28,53.0421
2022-04-29,56.4263
2022-04-30,56.4263
2022-05-01,56.4263
2022-05-02,58.8089
2022-05-03,61.1529
2022-05-04,62.9261
2022-05-05,60.8627
2022-05-06,60.6424
2022-05-07,60.6424
2022-05-08,60.6424
2022-05-09,51.5092
2022-05-10,56.0427
2022-05-11,54.9127
2022-05-12,55.1
2022-05-13,57.3891
2022-05-14,57.3891
2022-05-15,57.3891
2022-05-16,59.7657
2022-05-17,59.7657
2022-05-18,58.6407
2022-05-19,59.0833
2022-05-20,59.3086
2022-05-21,59.3086
2022-05-22,59.3086
2022-05-23,60.1261
2022-05-24,60.2637
2022-05-25,61.7656
2022-05-26,64.4605
2022-05-27,65.4447
2022-05-28,65.4447
2022-05-29,65.4447
2022-05-30,65.4447
2022-05-31,61.2345
2022-06-01,63.5776
2022-06-02,62.6989
2022-06-03,62.9434
2022-06-04,62.9434
2022-06-05,62.9434
2022-06-06,63.7485
2022-06-07,64.4451
2022-06-08,63.9219
