,JBLU US Equity
,RSI_30D
2021-07-17,33.0708
2021-07-18,33.0708
2021-07-19,31.5127
2021-07-20,38.0335
2021-07-21,41.2034
2021-07-22,40.3412
2021-07-23,39.8078
2021-07-24,39.8078
2021-07-25,39.8078
2021-07-26,43.0439
2021-07-27,38.6279
2021-07-28,40.6152
2021-07-29,40.0026
2021-07-30,38.6459
2021-07-31,38.6459
2021-08-01,38.6459
2021-08-02,38.2729
2021-08-03,38.8227
2021-08-04,37.6286
2021-08-05,41.8095
2021-08-06,42.267
2021-08-07,42.267
2021-08-08,42.267
2021-08-09,41.7995
2021-08-10,43.9002
2021-08-11,45.7568
2021-08-12,44.6904
2021-08-13,43.5492
2021-08-14,43.5492
2021-08-15,43.5492
2021-08-16,42.6038
2021-08-17,40.9402
2021-08-18,39.9631
2021-08-19,38.2391
2021-08-20,38.5655
2021-08-21,38.5655
2021-08-22,38.5655
2021-08-23,42.1101
2021-08-24,45.3157
2021-08-25,45.8794
2021-08-26,44.9214
2021-08-27,46.3695
2021-08-28,46.3695
2021-08-29,46.3695
2021-08-30,44.0227
2021-08-31,45.1939
2021-09-01,44.9991
2021-09-02,45.6653
2021-09-03,44.3517
2021-09-04,44.3517
2021-09-05,44.3517
2021-09-06,44.3517
2021-09-07,44.7312
2021-09-08,43.2561
2021-09-09,46.9389
2021-09-10,43.8454
2021-09-11,43.8454
2021-09-12,43.8454
2021-09-13,45.9837
2021-09-14,45.0955
2021-09-15,45.6983
2021-09-16,47.314
2021-09-17,47.2601
2021-09-18,47.2601
2021-09-19,47.2601
2021-09-20,49.0022
2021-09-21,45.0234
2021-09-22,47.4932
2021-09-23,50.5054
2021-09-24,52.1573
2021-09-25,52.1573
2021-09-26,52.1573
2021-09-27,52.5668
2021-09-28,51.5961
2021-09-29,49.9679
2021-09-30,47.9181
2021-10-01,53.244
2021-10-02,53.244
2021-10-03,53.244
2021-10-04,52.482
2021-10-05,52.2059
2021-10-06,49.8722
2021-10-07,48.8735
2021-10-08,49.0955
2021-10-09,49.0955
2021-10-10,49.0955
2021-10-11,48.6043
2021-10-12,50.702
2021-10-13,47.9652
2021-10-14,48.7099
2021-10-15,47.7848
2021-10-16,47.7848
2021-10-17,47.7848
2021-10-18,46.0807
2021-10-19,45.7642
2021-10-20,45.7642
2021-10-21,45.541
2021-10-22,44.3113
2021-10-23,44.3113
2021-10-24,44.3113
2021-10-25,45.0095
2021-10-26,44.2068
2021-10-27,41.4231
2021-10-28,41.8686
2021-10-29,41.22
2021-10-30,41.22
2021-10-31,41.22
2021-11-01,45.5133
2021-11-02,45.9974
2021-11-03,49.0733
2021-11-04,48.0275
2021-11-05,54.7216
2021-11-06,54.7216
2021-11-07,54.7216
2021-11-08,53.5328
2021-11-09,53.4065
2021-11-10,50.9794
2021-11-11,50.1929
2021-11-12,48.8144
2021-11-13,48.8144
2021-11-14,48.8144
2021-11-15,50.0484
2021-11-16,47.2775
2021-11-17,47.1053
2021-11-18,44.9056
2021-11-19,44.5196
2021-11-20,44.5196
2021-11-21,44.5196
2021-11-22,45.2156
2021-11-23,44.2959
2021-11-24,45.1613
2021-11-25,45.1613
2021-11-26,40.5943
2021-11-27,40.5943
2021-11-28,40.5943
2021-11-29,40.1443
2021-11-30,39.5895
2021-12-01,36.9034
2021-12-02,43.8684
2021-12-03,42.6388
2021-12-04,42.6388
2021-12-05,42.6388
2021-12-06,46.7748
2021-12-07,45.756
2021-12-08,48.2623
2021-12-09,47.8369
2021-12-10,47.4583
2021-12-11,47.4583
2021-12-12,47.4583
2021-12-13,45.4385
2021-12-14,45.4385
2021-12-15,45.3841
2021-12-16,43.4987
2021-12-17,45.5061
2021-12-18,45.5061
2021-12-19,45.5061
2021-12-20,44.1014
2021-12-21,49.4977
2021-12-22,50.1839
2021-12-23,50.3583
2021-12-24,50.3583
2021-12-25,50.3583
2021-12-26,50.3583
2021-12-27,49.6982
2021-12-28,50.4315
2021-12-29,48.5993
2021-12-30,47.7616
2021-12-31,47.7616
2022-01-01,47.7616
2022-01-02,47.7616
2022-01-03,50.7467
2022-01-04,50.873
2022-01-05,50.6046
2022-01-06,50.739
2022-01-07,53.427
2022-01-08,53.427
2022-01-09,53.427
2022-01-10,50.1151
2022-01-11,52.0374
2022-01-12,50.2997
2022-01-13,53.1037
2022-01-14,51.307
2022-01-15,51.307
2022-01-16,51.307
2022-01-17,51.307
2022-01-18,50.4567
2022-01-19,48.4136
2022-01-20,47.8499
2022-01-21,44.6248
2022-01-22,44.6248
2022-01-23,44.6248
2022-01-24,44.6248
2022-01-25,44.3876
2022-01-26,43.0848
2022-01-27,45.8499
2022-01-28,45.9966
2022-01-29,45.9966
2022-01-30,45.9966
2022-01-31,51.0085
2022-02-01,52.5075
2022-02-02,51.5556
2022-02-03,49.4999
2022-02-04,49.8999
2022-02-05,49.8999
2022-02-06,49.8999
2022-02-07,53.2215
2022-02-08,56.8629
2022-02-09,58.0248
2022-02-10,58.1309
2022-02-11,53.2585
2022-02-12,53.2585
2022-02-13,53.2585
2022-02-14,52.8007
2022-02-15,57.7399
2022-02-16,58.5208
2022-02-17,55.788
2022-02-18,54.0063
2022-02-19,54.0063
2022-02-20,54.0063
2022-02-21,54.0063
2022-02-22,52.7613
2022-02-23,50.3592
2022-02-24,51.7234
2022-02-25,53.8029
2022-02-26,53.8029
2022-02-27,53.8029
2022-02-28,52.2705
2022-03-01,47.359
2022-03-02,47.7629
2022-03-03,44.2971
2022-03-04,41.7534
2022-03-05,41.7534
2022-03-06,41.7534
2022-03-07,35.2633
2022-03-08,37.993
2022-03-09,42.088
2022-03-10,42.1906
2022-03-11,41.6186
2022-03-12,41.6186
2022-03-13,41.6186
2022-03-14,42.4791
2022-03-15,47.1156
2022-03-16,51.1041
2022-03-17,50.1904
2022-03-18,51.1793
2022-03-19,51.1793
