,MKL US Equity
,RSI_30D
2021-08-01,50.7684
2021-08-02,50.7804
2021-08-03,50.8089
2021-08-04,51.2708
2021-08-05,55.0986
2021-08-06,56.7618
2021-08-07,56.7618
2021-08-08,56.7618
2021-08-09,56.5883
2021-08-10,56.9048
2021-08-11,59.5324
2021-08-12,59.1039
2021-08-13,58.3971
2021-08-14,58.3971
2021-08-15,58.3971
2021-08-16,58.1171
2021-08-17,56.6065
2021-08-18,55.6366
2021-08-19,55.1636
2021-08-20,56.8907
2021-08-21,56.8907
2021-08-22,56.8907
2021-08-23,55.2552
2021-08-24,55.7048
2021-08-25,57.0152
2021-08-26,55.6705
2021-08-27,56.7885
2021-08-28,56.7885
2021-08-29,56.7885
2021-08-30,55.0239
2021-08-31,56.0877
2021-09-01,55.8896
2021-09-02,55.2429
2021-09-03,53.5021
2021-09-04,53.5021
2021-09-05,53.5021
2021-09-06,53.5021
2021-09-07,50.6195
2021-09-08,54.1902
2021-09-09,51.9917
2021-09-10,49.6898
2021-09-11,49.6898
2021-09-12,49.6898
2021-09-13,51.6532
2021-09-14,48.8002
2021-09-15,47.6758
2021-09-16,47.5049
2021-09-17,46.1805
2021-09-18,46.1805
2021-09-19,46.1805
2021-09-20,44.6619
2021-09-21,45.0955
2021-09-22,47.8926
2021-09-23,47.1394
2021-09-24,49.4226
2021-09-25,49.4226
2021-09-26,49.4226
2021-09-27,48.3537
2021-09-28,44.71
2021-09-29,46.8764
2021-09-30,45.1333
2021-10-01,46.2333
2021-10-02,46.2333
2021-10-03,46.2333
2021-10-04,45.9486
2021-10-05,50.2427
2021-10-06,52.6885
2021-10-07,54.1266
2021-10-08,55.5379
2021-10-09,55.5379
2021-10-10,55.5379
2021-10-11,51.5462
2021-10-12,54.029
2021-10-13,55.4656
2021-10-14,58.5471
2021-10-15,60.9538
2021-10-16,60.9538
2021-10-17,60.9538
2021-10-18,57.5375
2021-10-19,58.9783
2021-10-20,60.3191
2021-10-21,59.3816
2021-10-22,59.7578
2021-10-23,59.7578
2021-10-24,59.7578
2021-10-25,60.747
2021-10-26,59.945
2021-10-27,56.2751
2021-10-28,58.8232
2021-10-29,57.0448
2021-10-30,57.0448
2021-10-31,57.0448
2021-11-01,57.3758
2021-11-02,58.8692
2021-11-03,56.0453
2021-11-04,54.5897
2021-11-05,55.9928
2021-11-06,55.9928
2021-11-07,55.9928
2021-11-08,55.7378
2021-11-09,54.7412
2021-11-10,54.308
2021-11-11,53.818
2021-11-12,52.4829
2021-11-13,52.4829
2021-11-14,52.4829
2021-11-15,50.6868
2021-11-16,50.4234
2021-11-17,48.6867
2021-11-18,47.0658
2021-11-19,45.4612
2021-11-20,45.4612
2021-11-21,45.4612
2021-11-22,48.6497
2021-11-23,52.2927
2021-11-24,51.0274
2021-11-25,51.0274
2021-11-26,46.5295
2021-11-27,46.5295
2021-11-28,46.5295
2021-11-29,46.3281
2021-11-30,40.7492
2021-12-01,40.0596
2021-12-02,44.9862
2021-12-03,43.514
2021-12-04,43.514
2021-12-05,43.514
2021-12-06,47.891
2021-12-07,48.672
2021-12-08,48.0659
2021-12-09,46.1961
2021-12-10,47.9798
2021-12-11,47.9798
2021-12-12,47.9798
2021-12-13,46.6244
2021-12-14,47.4614
2021-12-15,46.352
2021-12-16,46.8384
2021-12-17,45.6492
2021-12-18,45.6492
2021-12-19,45.6492
2021-12-20,42.5538
2021-12-21,42.1055
2021-12-22,44.4652
2021-12-23,45.0414
2021-12-24,45.0414
2021-12-25,45.0414
2021-12-26,45.0414
2021-12-27,46.3728
2021-12-28,47.819
2021-12-29,49.2797
2021-12-30,48.1044
2021-12-31,48.5935
2022-01-01,48.5935
2022-01-02,48.5935
2022-01-03,47.2264
2022-01-04,49.1199
2022-01-05,48.6018
2022-01-06,49.6828
2022-01-07,51.6324
2022-01-08,51.6324
2022-01-09,51.6324
2022-01-10,51.808
2022-01-11,51.6519
2022-01-12,52.8477
2022-01-13,53.7375
2022-01-14,54.7101
2022-01-15,54.7101
2022-01-16,54.7101
2022-01-17,54.7101
2022-01-18,51.9577
2022-01-19,48.6587
2022-01-20,48.2565
2022-01-21,45.9032
2022-01-22,45.9032
2022-01-23,45.9032
2022-01-24,47.669
2022-01-25,42.3535
2022-01-26,42.7346
2022-01-27,42.2899
2022-01-28,46.3549
2022-01-29,46.3549
2022-01-30,46.3549
2022-01-31,49.2378
2022-02-01,53.139
2022-02-02,56.3803
2022-02-03,52.2619
2022-02-04,52.3116
2022-02-05,52.3116
2022-02-06,52.3116
2022-02-07,52.6646
2022-02-08,53.8252
2022-02-09,52.1482
2022-02-10,51.1367
2022-02-11,49.6495
2022-02-12,49.6495
2022-02-13,49.6495
2022-02-14,48.8093
2022-02-15,52.0858
2022-02-16,53.7933
2022-02-17,50.5489
2022-02-18,50.8732
2022-02-19,50.8732
2022-02-20,50.8732
2022-02-21,50.8732
2022-02-22,49.2278
2022-02-23,46.9777
2022-02-24,45.9047
2022-02-25,51.3216
2022-02-26,51.3216
2022-02-27,51.3216
2022-02-28,49.8072
2022-03-01,47.9156
2022-03-02,51.605
2022-03-03,51.8286
2022-03-04,51.7088
2022-03-05,51.7088
2022-03-06,51.7088
2022-03-07,47.0374
2022-03-08,46.9643
2022-03-09,52.3263
2022-03-10,54.0337
2022-03-11,55.9704
2022-03-12,55.9704
2022-03-13,55.9704
2022-03-14,60.6408
2022-03-15,61.9796
2022-03-16,62.8074
2022-03-17,64.8931
2022-03-18,66.0179
2022-03-19,66.0179
2022-03-20,66.0179
2022-03-21,67.0573
2022-03-22,68.2944
2022-03-23,68.6433
2022-03-24,70.7341
2022-03-25,70.5057
2022-03-26,70.5057
2022-03-27,70.5057
2022-03-28,68.3638
2022-03-29,68.6658
2022-03-30,68.7258
2022-03-31,66.1856
2022-04-01,67.4533
2022-04-02,67.4533
2022-04-03,67.4533
2022-04-04,65.0661
2022-04-05,64.715
2022-04-06,66.3429
2022-04-07,64.9658
2022-04-08,64.4876
2022-04-09,64.4876
2022-04-10,64.4876
2022-04-11,63.7228
2022-04-12,64.0063
2022-04-13,63.7994
2022-04-14,63.1425
2022-04-15,63.1425
2022-04-16,63.1425
2022-04-17,63.1425
2022-04-18,63.4982
2022-04-19,62.3514
2022-04-20,64.7225
2022-04-21,62.4724
2022-04-22,59.6625
2022-04-23,59.6625
2022-04-24,59.6625
2022-04-25,57.7426
2022-04-26,54.1241
2022-04-27,51.0565
2022-04-28,50.7925
2022-04-29,45.8072
2022-04-30,45.8072
2022-05-01,45.8072
2022-05-02,45.337
2022-05-03,44.7832
2022-05-04,47.9318
2022-05-05,44.5861
2022-05-06,43.849
2022-05-07,43.849
2022-05-08,43.849
2022-05-09,40.0254
2022-05-10,40.0667
2022-05-11,39.6952
2022-05-12,40.7587
2022-05-13,45.1277
2022-05-14,45.1277
2022-05-15,45.1277
2022-05-16,45.0937
2022-05-17,49.5969
2022-05-18,48.0098
2022-05-19,48.6791
2022-05-20,46.4263
2022-05-21,46.4263
2022-05-22,46.4263
2022-05-23,48.4927
2022-05-24,47.4882
2022-05-25,47.3143
2022-05-26,51.423
2022-05-27,54.1038
2022-05-28,54.1038
2022-05-29,54.1038
2022-05-30,54.1038
2022-05-31,50.407
2022-06-01,50.2329
2022-06-02,52.3189
2022-06-03,51.4269
2022-06-04,51.4269
2022-06-05,51.4269
2022-06-06,52.6463
2022-06-07,54.2597
2022-06-08,51.1514
2022-06-09,47.778
2022-06-10,46.3039
2022-06-11,46.3039
2022-06-12,46.3039
2022-06-13,42.866
2022-06-14,43.4492
2022-06-15,43.74
2022-06-16,40.5809
2022-06-17,42.9336
2022-06-18,42.9336
2022-06-19,42.9336
2022-06-20,42.9336
2022-06-21,43.225
2022-06-22,41.9764
2022-06-23,42.0431
2022-06-24,44.6145
2022-06-25,44.6145
2022-06-26,44.6145
2022-06-27,45.8434
2022-06-28,45.2743
2022-06-29,44.1542
2022-06-30,45.019
2022-07-01,48.2597
2022-07-02,48.2597
2022-07-03,48.2597
2022-07-04,48.2597
2022-07-05,45.7176
2022-07-06,46.205
2022-07-07,46.4138
2022-07-08,45.8655
2022-07-09,45.8655
2022-07-10,45.8655
2022-07-11,46.8823
2022-07-12,46.9988
2022-07-13,46.3473
2022-07-14,40.7883
2022-07-15,44.3432
2022-07-16,44.3432
2022-07-17,44.3432
2022-07-18,42.634
2022-07-19,45.2182
2022-07-20,44.8385
2022-07-21,45.1029
2022-07-22,43.9803
2022-07-23,43.9803
2022-07-24,43.9803
2022-07-25,46.0988
2022-07-26,46.4298
2022-07-27,48.1297
2022-07-28,45.7055
2022-07-29,48.3657
2022-07-30,48.3657
2022-07-31,48.3657
2022-08-01,46.3066
2022-08-02,44.0627
2022-08-03,40.6664
2022-08-04,38.0625
2022-08-05,37.0346
2022-08-06,37.0346
2022-08-07,37.0346
2022-08-08,39.3263
2022-08-09,38.6171
2022-08-10,41.2532
2022-08-11,43.3263
2022-08-12,44.4222
2022-08-13,44.4222
2022-08-14,44.4222
2022-08-15,44.7386
2022-08-16,48.3277
2022-08-17,48.271
2022-08-18,49.2123
2022-08-19,46.9513
2022-08-20,46.9513
2022-08-21,46.9513
2022-08-22,43.6771
2022-08-23,43.7305
2022-08-24,44.2
2022-08-25,45.8549
2022-08-26,44.6427
2022-08-27,44.6427
2022-08-28,44.6427
2022-08-29,44.1305
2022-08-30,42.0734
2022-08-31,42.309
2022-09-01,42.8287
2022-09-02,41.2337
2022-09-03,41.2337
2022-09-04,41.2337
2022-09-05,41.2337
2022-09-06,41.938
2022-09-07,42.9072
2022-09-08,44.5932
2022-09-09,43.9119
2022-09-10,43.9119
2022-09-11,43.9119
2022-09-12,43.8765
2022-09-13,42.4604
2022-09-14,42.9963
2022-09-15,43.1554
2022-09-16,42.2024
2022-09-17,42.2024
2022-09-18,42.2024
2022-09-19,44.6905
2022-09-20,42.0557
2022-09-21,38.3072
2022-09-22,36.5127
2022-09-23,35.0655
2022-09-24,35.0655
2022-09-25,35.0655
2022-09-26,32.5832
2022-09-27,34.3571
2022-09-28,37.3504
2022-09-29,37.2981
2022-09-30,35.8287
2022-10-01,35.8287
2022-10-02,35.8287
2022-10-03,41.9842
2022-10-04,46.893
2022-10-05,44.8084
2022-10-06,44.3693
