,TOWN US Equity
2023-03-19,38.9981
2023-03-20,37.7877
2023-03-21,42.2945
2023-03-22,38.6572
2023-03-23,37.8525
2023-03-24,42.3576
2023-03-25,42.3576
2023-03-26,42.3576
2023-03-27,42.4016
2023-03-28,42.4016
2023-03-29,42.7794
2023-03-30,39.9031
2023-03-31,41.0132
2023-04-01,41.0132
2023-04-02,41.0132
2023-04-03,39.6621
2023-04-04,38.1099
2023-04-05,39.3624
2023-04-06,38.4921
2023-04-07,38.4921
2023-04-08,38.4921
2023-04-09,38.4921
2023-04-10,39.1621
2023-04-11,38.7922
2023-04-12,38.2822
2023-04-13,38.1439
2023-04-14,35.5211
2023-04-15,35.5211
2023-04-16,35.5211
2023-04-17,38.8781
2023-04-18,36.4937
2023-04-19,39.5021
2023-04-20,38.2107
2023-04-21,37.3579
2023-04-22,37.3579
2023-04-23,37.3579
2023-04-24,37.0098
2023-04-25,34.5568
2023-04-26,33.8126
2023-04-27,36.9975
2023-04-28,36.1735
2023-04-29,36.1735
2023-04-30,36.1735
2023-05-01,35.0663
2023-05-02,31.4588
2023-05-03,32.7408
2023-05-04,32.6356
2023-05-05,37.4701
2023-05-06,37.4701
2023-05-07,37.4701
2023-05-08,36.1151
2023-05-09,34.893
2023-05-10,34.1062
2023-05-11,32.9403
2023-05-12,33.7391
2023-05-13,33.7391
2023-05-14,33.7391
2023-05-15,35.0726
2023-05-16,34.4698
2023-05-17,40.7412
2023-05-18,40.8349
2023-05-19,39.7299
2023-05-20,39.7299
2023-05-21,39.7299
2023-05-22,44.1874
2023-05-23,45.5195
2023-05-24,44.3193
2023-05-25,43.7577
2023-05-26,46.1829
2023-05-27,46.1829
2023-05-28,46.1829
2023-05-29,46.1829
2023-05-30,46.1829
2023-05-31,43.6902
2023-06-01,45.044
2023-06-02,50.0917
2023-06-03,50.0917
2023-06-04,50.0917
2023-06-05,46.8788
2023-06-06,50.913
2023-06-07,54.0587
2023-06-08,53.5357
2023-06-09,52.4483
2023-06-10,52.4483
2023-06-11,52.4483
2023-06-12,51.5519
2023-06-13,53.4715
2023-06-14,51.4747
2023-06-15,52.2405
2023-06-16,51.3638
2023-06-17,51.3638
2023-06-18,51.3638
2023-06-19,51.3638
2023-06-20,49.1383
2023-06-21,47.8167
2023-06-22,46.4543
2023-06-23,44.9263
2023-06-24,44.9263
2023-06-25,44.9263
2023-06-26,45.0095
2023-06-27,45.9799
2023-06-28,44.9105
2023-06-29,46.8909
2023-06-30,45.4933
2023-07-01,45.4933
2023-07-02,45.4933
2023-07-03,47.1652
2023-07-04,47.1652
2023-07-05,46.6715
2023-07-06,44.6985
2023-07-07,45.3301
2023-07-08,45.3301
2023-07-09,45.3301
2023-07-10,44.9132
2023-07-11,45.6187
2023-07-12,49.0396
2023-07-13,51.2918
2023-07-14,50.7759
2023-07-15,50.7759
2023-07-16,50.7759
2023-07-17,52.8604
2023-07-18,55.4979
2023-07-19,56.5903
2023-07-20,56.0213
2023-07-21,54.3716
2023-07-22,54.3716
2023-07-23,54.3716
2023-07-24,56.3109
2023-07-25,55.2161
2023-07-26,57.834
2023-07-27,53.2947
2023-07-28,52.8654
2023-07-29,52.8654
2023-07-30,52.8654
2023-07-31,52.983
2023-08-01,52.0433
2023-08-02,52.2519
2023-08-03,52.158
2023-08-04,50.7894
2023-08-05,50.7894
2023-08-06,50.7894
2023-08-07,52.9053
2023-08-08,53.1225
2023-08-09,52.6204
2023-08-10,52.0605
2023-08-11,52.6761
2023-08-12,52.6761
2023-08-13,52.6761
2023-08-14,52.1433
2023-08-15,48.8223
2023-08-16,46.9657
2023-08-17,47.8598
2023-08-18,48.3368
2023-08-19,48.3368
2023-08-20,48.3368
2023-08-21,46.1066
2023-08-22,42.8188
2023-08-23,43.1588
2023-08-24,44.5236
2023-08-25,44.3401
2023-08-26,44.3401
2023-08-27,44.3401
2023-08-28,45.5591
2023-08-29,46.5396
2023-08-30,45.2984
2023-08-31,45.4789
2023-09-01,49.2335
2023-09-02,49.2335
2023-09-03,49.2335
2023-09-04,49.2335
2023-09-05,45.9124
2023-09-06,43.8715
2023-09-07,42.1956
2023-09-08,41.8044
2023-09-09,41.8044
2023-09-10,41.8044
2023-09-11,43.3735
2023-09-12,46.2015
2023-09-13,44.9688
2023-09-14,48.1088
2023-09-15,46.2874
2023-09-16,46.2874
2023-09-17,46.2874
2023-09-18,44.3667
2023-09-19,45.9145
2023-09-20,45.4011
2023-09-21,44.9756
2023-09-22,44.3543
2023-09-23,44.3543
2023-09-24,44.3543
2023-09-25,47.6893
2023-09-26,45.408
2023-09-27,44.7948
2023-09-28,45.738
2023-09-29,46.6224
2023-09-30,46.6224
2023-10-01,46.6224
2023-10-02,44.1884
2023-10-03,42.6376
2023-10-04,44.1731
2023-10-05,46.5416
2023-10-06,46.2372
2023-10-07,46.2372
2023-10-08,46.2372
2023-10-09,46.8367
2023-10-10,46.9591
2023-10-11,47.5214
2023-10-12,47.0059
2023-10-13,45.2023
2023-10-14,45.2023
2023-10-15,45.2023
2023-10-16,47.977
2023-10-17,50.7375
2023-10-18,46.7745
2023-10-19,46.835
2023-10-20,43.4618
2023-10-21,43.4618
2023-10-22,43.4618
2023-10-23,43.1211
2023-10-24,42.8727
2023-10-25,43.6781
2023-10-26,49.2871
2023-10-27,52.1577
2023-10-28,52.1577
2023-10-29,52.1577
2023-10-30,55.3634
2023-10-31,54.3207
2023-11-01,54.7128
2023-11-02,59.9579
2023-11-03,63.1736
2023-11-04,63.1736
2023-11-05,63.1736
2023-11-06,60.8234
2023-11-07,59.675
2023-11-08,57.5398
2023-11-09,55.9591
2023-11-10,56.1738
2023-11-11,56.1738
2023-11-12,56.1738
2023-11-13,56.8272
2023-11-14,63.6318
2023-11-15,64.2405
2023-11-16,63.8912
2023-11-17,65.0066
2023-11-18,65.0066
2023-11-19,65.0066
2023-11-20,62.4814
2023-11-21,59.6921
2023-11-22,60.061
2023-11-23,60.061
2023-11-24,60.1741
2023-11-25,60.1741
2023-11-26,60.1741
2023-11-27,58.4613
2023-11-28,57.7247
2023-11-29,58.7584
2023-11-30,58.5216
2023-12-01,63.8041
2023-12-02,63.8041
2023-12-03,63.8041
2023-12-04,65.4928
2023-12-05,64.5935
2023-12-06,63.9876
2023-12-07,65.2683
2023-12-08,66.2168
2023-12-09,66.2168
2023-12-10,66.2168
2023-12-11,65.8959
2023-12-12,64.9835
2023-12-13,70.378
2023-12-14,71.203
2023-12-15,67.9599
2023-12-16,67.9599
2023-12-17,67.9599
2023-12-18,66.1372
2023-12-19,67.9989
2023-12-20,65.9503
2023-12-21,66.173
2023-12-22,66.595
2023-12-23,66.595
2023-12-24,66.595
2023-12-25,66.595
2023-12-26,68.3455
2023-12-27,68.5444
2023-12-28,67.2844
2023-12-29,63.4248
2023-12-30,63.4248
2023-12-31,63.4248
2024-01-01,63.4248
2024-01-02,63.4586
2024-01-03,57.8081
2024-01-04,60.1814
2024-01-05,59.7599
2024-01-06,59.7599
2024-01-07,59.7599
2024-01-08,59.5442
2024-01-09,57.3492
2024-01-10,57.5073
2024-01-11,56.7994
2024-01-12,56.5226
2024-01-13,56.5226
2024-01-14,56.5226
2024-01-15,56.5226
2024-01-16,53.4506
2024-01-17,52.3153
2024-01-18,53.2492
2024-01-19,55.2005
2024-01-20,55.2005
2024-01-21,55.2005
2024-01-22,58.4544
2024-01-23,56.1814
2024-01-24,57.166
2024-01-25,53.6824
2024-01-26,54.4538
2024-01-27,54.4538
2024-01-28,54.4538
2024-01-29,57.16
2024-01-30,58.3243
2024-01-31,50.968
2024-02-01,49.9523
2024-02-02,49.8239
2024-02-03,49.8239
2024-02-04,49.8239
2024-02-05,48.0768
2024-02-06,47.2409
2024-02-07,46.7365
2024-02-08,46.2681
2024-02-09,49.5047
2024-02-10,49.5047
2024-02-11,49.5047
2024-02-12,51.5897
2024-02-13,45.5097
2024-02-14,48.0106
2024-02-15,51.2808
2024-02-16,49.9722
2024-02-17,49.9722
2024-02-18,49.9722
2024-02-19,49.9722
2024-02-20,48.9924
2024-02-21,48.1716
2024-02-22,48.1716
2024-02-23,47.244
2024-02-24,47.244
2024-02-25,47.244
2024-02-26,46.6381
2024-02-27,46.873
2024-02-28,45.7072
2024-02-29,47.771
2024-03-01,46.9129
2024-03-02,46.9129
2024-03-03,46.9129
2024-03-04,45.3947
2024-03-05,49.3513
2024-03-06,49.2195
2024-03-07,49.8657
2024-03-08,50.0535
2024-03-09,50.0535
2024-03-10,50.0535
2024-03-11,48.8234
2024-03-12,47.2972
2024-03-13,46.1662
2024-03-14,42.9769
2024-03-15,46.1578
2024-03-16,46.1578
2024-03-17,46.1578
2024-03-18,44.1839
2024-03-19,44.945
2024-03-20,49.1531
2024-03-21,51.6717
2024-03-22,50.2079
2024-03-23,50.2079
2024-03-24,50.2079
2024-03-25,48.7364
2024-03-26,49.0544
2024-03-27,53.051
2024-03-28,54.2221
2024-03-29,54.2221
2024-03-30,54.2221
2024-03-31,54.2221
2024-04-01,51.8243
2024-04-02,49.4324
2024-04-03,49.9538
2024-04-04,50.1752
2024-04-05,50.4473
2024-04-06,50.4473
2024-04-07,50.4473
2024-04-08,52.4189
