,TRMK US Equity
,RSI_30D
2022-05-12,38.0107
2022-05-13,37.5164
2022-05-14,37.5164
2022-05-15,37.5164
2022-05-16,37.124
2022-05-17,41.4975
2022-05-18,41.2243
2022-05-19,39.7918
2022-05-20,42.0441
2022-05-21,42.0441
2022-05-22,42.0441
2022-05-23,45.3736
2022-05-24,45.3309
2022-05-25,45.3309
2022-05-26,47.3488
2022-05-27,49.8195
2022-05-28,49.8195
2022-05-29,49.8195
2022-05-30,49.8195
2022-05-31,49.9195
2022-06-01,51.0302
2022-06-02,53.5031
2022-06-03,52.9606
2022-06-04,52.9606
2022-06-05,52.9606
2022-06-06,53.0099
2022-06-07,54.2496
2022-06-08,51.2295
2022-06-09,48.1486
2022-06-10,45.6853
2022-06-11,45.6853
2022-06-12,45.6853
2022-06-13,44.8634
2022-06-14,46.4685
2022-06-15,48.3459
2022-06-16,44.5584
2022-06-17,47.2188
2022-06-18,47.2188
2022-06-19,47.2188
2022-06-20,47.2188
2022-06-21,51.1201
2022-06-22,50.3224
2022-06-23,49.8022
2022-06-24,53.0006
2022-06-25,53.0006
2022-06-26,53.0006
2022-06-27,52.8513
2022-06-28,51.9927
2022-06-29,50.4953
2022-06-30,50.3952
2022-07-01,52.9977
2022-07-02,52.9977
2022-07-03,52.9977
2022-07-04,52.9977
2022-07-05,52.7855
2022-07-06,53.8838
2022-07-07,55.1965
2022-07-08,55.7088
2022-07-09,55.7088
2022-07-10,55.7088
2022-07-11,55.0575
2022-07-12,54.997
2022-07-13,51.4871
2022-07-14,48.7006
2022-07-15,52.2002
2022-07-16,52.2002
2022-07-17,52.2002
2022-07-18,51.8772
2022-07-19,54.4528
2022-07-20,55.6121
2022-07-21,55.7519
2022-07-22,54.6247
2022-07-23,54.6247
2022-07-24,54.6247
2022-07-25,56.3081
2022-07-26,56.5937
2022-07-27,61.4197
2022-07-28,62.0875
2022-07-29,63.8759
2022-07-30,63.8759
2022-07-31,63.8759
2022-08-01,64.861
2022-08-02,63.0175
2022-08-03,64.1104
2022-08-04,61.6411
2022-08-05,62.5827
2022-08-06,62.5827
2022-08-07,62.5827
2022-08-08,61.9924
2022-08-09,62.9563
2022-08-10,63.7489
2022-08-11,65.6136
2022-08-12,66.8032
2022-08-13,66.8032
2022-08-14,66.8032
2022-08-15,67.9838
2022-08-16,69.312
2022-08-17,67.7137
2022-08-18,66.9873
2022-08-19,65.0387
2022-08-20,65.0387
2022-08-21,65.0387
2022-08-22,60.5195
2022-08-23,57.8507
2022-08-24,56.5899
2022-08-25,58.2914
2022-08-26,55.0046
2022-08-27,55.0046
2022-08-28,55.0046
2022-08-29,52.1269
2022-08-30,52.3701
2022-08-31,51.3374
2022-09-01,50.2056
2022-09-02,49.4536
2022-09-03,49.4536
2022-09-04,49.4536
2022-09-05,49.4536
2022-09-06,47.0085
2022-09-07,48.5211
2022-09-08,50.9357
2022-09-09,52.2738
2022-09-10,52.2738
2022-09-11,52.2738
2022-09-12,53.8269
2022-09-13,50.329
2022-09-14,51.2004
2022-09-15,52.7636
2022-09-16,54.4672
2022-09-17,54.4672
2022-09-18,54.4672
2022-09-19,56.0597
2022-09-20,56.1064
2022-09-21,54.7811
2022-09-22,52.6187
2022-09-23,50.7696
