,MTG US Equity
,RSI_30D
2021-11-25,47.7376
2021-11-26,41.9659
2021-11-27,41.9659
2021-11-28,41.9659
2021-11-29,41.2994
2021-11-30,38.6038
2021-12-01,37.5596
2021-12-02,40.5312
2021-12-03,39.7484
2021-12-04,39.7484
2021-12-05,39.7484
2021-12-06,41.0441
2021-12-07,43.7731
2021-12-08,43.8851
2021-12-09,44.0004
2021-12-10,42.3783
2021-12-11,42.3783
2021-12-12,42.3783
2021-12-13,41.1574
2021-12-14,40.5531
2021-12-15,41.0646
2021-12-16,40.6128
2021-12-17,39.014
2021-12-18,39.014
2021-12-19,39.014
2021-12-20,34.5574
2021-12-21,39.6842
2021-12-22,41.0817
2021-12-23,43.6695
2021-12-24,43.6695
2021-12-25,43.6695
2021-12-26,43.6695
2021-12-27,47.0188
2021-12-28,45.7011
2021-12-29,47.6244
2021-12-30,46.8119
2021-12-31,47.4304
2022-01-01,47.4304
2022-01-02,47.4304
2022-01-03,48.7659
2022-01-04,51.7871
2022-01-05,50.0155
2022-01-06,53.9118
2022-01-07,57.935
2022-01-08,57.935
2022-01-09,57.935
2022-01-10,62.5147
2022-01-11,63.6423
2022-01-12,63.761
2022-01-13,63.0161
2022-01-14,63.0798
2022-01-15,63.0798
2022-01-16,63.0798
2022-01-17,63.0798
2022-01-18,59.7758
2022-01-19,55.5973
2022-01-20,52.8424
2022-01-21,49.7184
2022-01-22,49.7184
2022-01-23,49.7184
2022-01-24,51.3622
2022-01-25,51.9809
2022-01-26,51.3892
2022-01-27,47.4759
2022-01-28,49.9694
2022-01-29,49.9694
2022-01-30,49.9694
2022-01-31,50.8262
2022-02-01,52.0617
2022-02-02,50.6626
2022-02-03,51.142
2022-02-04,52.9547
2022-02-05,52.9547
2022-02-06,52.9547
2022-02-07,53.5744
2022-02-08,58.0739
2022-02-09,55.8518
2022-02-10,54.8957
2022-02-11,54.1117
2022-02-12,54.1117
2022-02-13,54.1117
2022-02-14,52.1429
2022-02-15,55.028
2022-02-16,55.9438
2022-02-17,51.8284
2022-02-18,52.4196
2022-02-19,52.4196
2022-02-20,52.4196
2022-02-21,52.4196
2022-02-22,50.4964
2022-02-23,49.0988
2022-02-24,47.2933
2022-02-25,51.0918
2022-02-26,51.0918
2022-02-27,51.0918
2022-02-28,49.8036
2022-03-01,45.0359
2022-03-02,50.1189
2022-03-03,48.6123
2022-03-04,46.416
2022-03-05,46.416
2022-03-06,46.416
2022-03-07,41.7846
2022-03-08,41.424
2022-03-09,43.927
2022-03-10,43.5421
2022-03-11,42.7667
2022-03-12,42.7667
2022-03-13,42.7667
2022-03-14,42.7667
2022-03-15,43.7619
2022-03-16,45.5695
2022-03-17,43.693
2022-03-18,45.1257
2022-03-19,45.1257
2022-03-20,45.1257
2022-03-21,44.3274
