,TXN US Equity
,RSI_30D
2021-02-22,54.3037
2021-02-23,54.1171
2021-02-24,58.1701
2021-02-25,51.7622
2021-02-26,52.8181
2021-02-27,52.8181
2021-02-28,52.8181
2021-03-01,55.9161
2021-03-02,54.0268
2021-03-03,51.2558
2021-03-04,46.999
2021-03-05,49.7571
2021-03-06,49.7571
2021-03-07,49.7571
2021-03-08,46.6363
2021-03-09,51.1239
2021-03-10,50.6221
2021-03-11,53.4054
2021-03-12,52.6394
2021-03-13,52.6394
2021-03-14,52.6394
2021-03-15,53.312
2021-03-16,54.4263
2021-03-17,55.5148
2021-03-18,52.5814
2021-03-19,53.4082
2021-03-20,53.4082
2021-03-21,53.4082
2021-03-22,55.4518
2021-03-23,54.6572
2021-03-24,54.7182
2021-03-25,54.4592
2021-03-26,59.1921
2021-03-27,59.1921
2021-03-28,59.1921
2021-03-29,57.8972
2021-03-30,57.7419
2021-03-31,59.1809
2021-04-01,60.5787
2021-04-02,60.5787
2021-04-03,60.5787
2021-04-04,60.5787
2021-04-05,62.6762
2021-04-06,61.0613
2021-04-07,60.0356
2021-04-08,60.9892
2021-04-09,61.0939
2021-04-10,61.0939
2021-04-11,61.0939
2021-04-12,58.959
2021-04-13,58.1256
2021-04-14,57.4828
2021-04-15,58.9485
2021-04-16,58.0447
2021-04-17,58.0447
2021-04-18,58.0447
2021-04-19,54.641
2021-04-20,53.4493
2021-04-21,55.486
2021-04-22,53.4211
2021-04-23,55.1049
2021-04-24,55.1049
2021-04-25,55.1049
2021-04-26,56.4738
2021-04-27,55.6786
2021-04-28,50.3301
2021-04-29,52.5769
2021-04-30,50.0511
2021-05-01,50.0511
2021-05-02,50.0511
2021-05-03,49.0761
2021-05-04,49.2163
2021-05-05,50.7795
2021-05-06,52.2985
2021-05-07,54.2443
2021-05-08,54.2443
2021-05-09,54.2443
2021-05-10,50.7411
2021-05-11,51.3951
2021-05-12,47.64
2021-05-13,49.0349
2021-05-14,51.432
2021-05-15,51.432
2021-05-16,51.432
2021-05-17,50.0439
2021-05-18,48.9461
2021-05-19,50.5769
2021-05-20,52.5465
2021-05-21,52.3716
2021-05-22,52.3716
2021-05-23,52.3716
2021-05-24,54.3656
2021-05-25,54.3709
2021-05-26,54.1468
2021-05-27,54.5854
2021-05-28,54.9845
2021-05-29,54.9845
2021-05-30,54.9845
2021-05-31,54.9845
2021-06-01,54.3968
2021-06-02,55.4481
2021-06-03,52.0771
2021-06-04,54.5275
2021-06-05,54.5275
2021-06-06,54.5275
2021-06-07,53.4712
2021-06-08,52.353
2021-06-09,52.0196
2021-06-10,53.0191
2021-06-11,53.4528
2021-06-12,53.4528
2021-06-13,53.4528
2021-06-14,54.4841
2021-06-15,53.2183
2021-06-16,52.5448
2021-06-17,52.4823
2021-06-18,49.0304
2021-06-19,49.0304
2021-06-20,49.0304
2021-06-21,51.2328
2021-06-22,51.8907
2021-06-23,51.1689
2021-06-24,52.9757
2021-06-25,52.6226
2021-06-26,52.6226
2021-06-27,52.6226
2021-06-28,54.9924
2021-06-29,55.909
2021-06-30,55.4075
2021-07-01,54.1427
2021-07-02,55.1368
2021-07-03,55.1368
2021-07-04,55.1368
2021-07-05,55.1368
2021-07-06,54.2401
2021-07-07,52.9868
2021-07-08,51.6478
2021-07-09,53.2584
2021-07-10,53.2584
2021-07-11,53.2584
2021-07-12,54.5319
2021-07-13,53.8694
2021-07-14,53.9337
2021-07-15,51.1483
2021-07-16,49.2825
2021-07-17,49.2825
2021-07-18,49.2825
2021-07-19,49.3896
2021-07-20,50.7609
2021-07-21,55.9789
2021-07-22,47.6404
2021-07-23,50.5762
2021-07-24,50.5762
2021-07-25,50.5762
2021-07-26,51.5763
2021-07-27,49.2861
2021-07-28,50.5347
2021-07-29,52.6253
2021-07-30,53.1681
2021-07-31,53.1681
2021-08-01,53.1681
2021-08-02,53.2383
2021-08-03,52.1235
2021-08-04,54.304
2021-08-05,54.8498
2021-08-06,54.6765
2021-08-07,54.6765
2021-08-08,54.6765
2021-08-09,52.523
2021-08-10,51.8497
2021-08-11,51.721
2021-08-12,50.318
2021-08-13,51.0179
2021-08-14,51.0179
2021-08-15,51.0179
2021-08-16,51.9874
2021-08-17,48.9131
2021-08-18,46.8664
2021-08-19,47.9745
2021-08-20,47.9162
2021-08-21,47.9162
2021-08-22,47.9162
2021-08-23,50.4801
2021-08-24,50.4533
2021-08-25,50.6967
2021-08-26,50.5824
2021-08-27,52.9146
2021-08-28,52.9146
2021-08-29,52.9146
2021-08-30,53.7209
2021-08-31,53.1826
2021-09-01,50.6001
2021-09-02,51.6067
2021-09-03,52.0548
2021-09-04,52.0548
2021-09-05,52.0548
2021-09-06,52.0548
2021-09-07,51.613
2021-09-08,50.9106
2021-09-09,50.5547
2021-09-10,52.809
2021-09-11,52.809
2021-09-12,52.809
2021-09-13,55.9802
2021-09-14,56.9948
2021-09-15,59.0592
2021-09-16,58.2364
2021-09-17,57.5412
2021-09-18,57.5412
2021-09-19,57.5412
2021-09-20,53.3138
2021-09-21,53.6698
2021-09-22,56.4197
2021-09-23,58.7715
2021-09-24,60.3647
2021-09-25,60.3647
2021-09-26,60.3647
2021-09-27,59.9772
2021-09-28,53.8933
2021-09-29,52.0655
2021-09-30,51.2164
2021-10-01,52.683
2021-10-02,52.683
2021-10-03,52.683
2021-10-04,49.3875
2021-10-05,52.5402
2021-10-06,52.9842
2021-10-07,53.7909
2021-10-08,53.7183
2021-10-09,53.7183
2021-10-10,53.7183
2021-10-11,51.7881
2021-10-12,47.2
2021-10-13,46.01
2021-10-14,51.0014
2021-10-15,52.6482
2021-10-16,52.6482
2021-10-17,52.6482
2021-10-18,53.0314
2021-10-19,55.708
2021-10-20,56.5943
2021-10-21,58.0371
2021-10-22,55.8067
2021-10-23,55.8067
2021-10-24,55.8067
2021-10-25,56.6832
2021-10-26,53.5521
2021-10-27,45.5633
2021-10-28,46.2102
2021-10-29,46.859
2021-10-30,46.859
2021-10-31,46.859
2021-11-01,46.8513
2021-11-02,48.4871
2021-11-03,48.3636
2021-11-04,50.0485
2021-11-05,51.9818
2021-11-06,51.9818
2021-11-07,51.9818
2021-11-08,51.0535
2021-11-09,49.6683
2021-11-10,46.5321
2021-11-11,47.9568
2021-11-12,49.2668
2021-11-13,49.2668
2021-11-14,49.2668
2021-11-15,48.5409
2021-11-16,47.9306
2021-11-17,48.9132
2021-11-18,52.3669
2021-11-19,53.7679
2021-11-20,53.7679
2021-11-21,53.7679
2021-11-22,51.3105
2021-11-23,51.4314
2021-11-24,52.2718
2021-11-25,52.2718
2021-11-26,47.5384
2021-11-27,47.5384
2021-11-28,47.5384
2021-11-29,52.6246
2021-11-30,50.9464
2021-12-01,50.4414
2021-12-02,51.9126
2021-12-03,51.738
2021-12-04,51.738
2021-12-05,51.738
2021-12-06,52.7491
2021-12-07,56.163
2021-12-08,53.7629
2021-12-09,51.1994
2021-12-10,53.2065
2021-12-11,53.2065
2021-12-12,53.2065
2021-12-13,50.9073
2021-12-14,48.5708
2021-12-15,51.0513
2021-12-16,47.1891
2021-12-17,45.8503
2021-12-18,45.8503
2021-12-19,45.8503
2021-12-20,44.4646
2021-12-21,46.2037
2021-12-22,46.658
2021-12-23,47.0462
2021-12-24,47.0462
2021-12-25,47.0462
2021-12-26,47.0462
2021-12-27,50.5627
2021-12-28,49.9904
2021-12-29,49.762
2021-12-30,48.6521
2021-12-31,47.9098
2022-01-01,47.9098
2022-01-02,47.9098
2022-01-03,49.7083
2022-01-04,49.8764
2022-01-05,46.6654
2022-01-06,46.6186
2022-01-07,41.3803
2022-01-08,41.3803
2022-01-09,41.3803
2022-01-10,44.4835
2022-01-11,45.8975
2022-01-12,47.0518
2022-01-13,45.688
2022-01-14,48.0575
2022-01-15,48.0575
2022-01-16,48.0575
2022-01-17,48.0575
2022-01-18,44.7195
2022-01-19,42.17
2022-01-20,39.3424
2022-01-21,41.1846
2022-01-22,41.1846
2022-01-23,41.1846
2022-01-24,43.3777
2022-01-25,40.8232
2022-01-26,44.214
2022-01-27,42.1992
2022-01-28,44.8958
2022-01-29,44.8958
2022-01-30,44.8958
2022-01-31,46.4618
2022-02-01,47.7194
2022-02-02,51.9665
2022-02-03,44.9082
2022-02-04,42.8583
2022-02-05,42.8583
2022-02-06,42.8583
2022-02-07,42.1566
2022-02-08,43.8893
2022-02-09,46.4171
2022-02-10,43.4168
2022-02-11,40.6072
2022-02-12,40.6072
2022-02-13,40.6072
2022-02-14,39.786
2022-02-15,42.1077
2022-02-16,43.3714
2022-02-17,41.7369
2022-02-18,43.0299
2022-02-19,43.0299
2022-02-20,43.0299
2022-02-21,43.0299
2022-02-22,43.0063
2022-02-23,42.4995
2022-02-24,45.0209
2022-02-25,45.7867
2022-02-26,45.7867
2022-02-27,45.7867
2022-02-28,45.3458
2022-03-01,43.9225
2022-03-02,45.7556
2022-03-03,46.3368
2022-03-04,45.7619
2022-03-05,45.7619
2022-03-06,45.7619
2022-03-07,43.0075
2022-03-08,44.6659
2022-03-09,47.9407
2022-03-10,48.1206
2022-03-11,46.7435
2022-03-12,46.7435
2022-03-13,46.7435
2022-03-14,44.7267
2022-03-15,48.2782
2022-03-16,50.6282
2022-03-17,51.8363
2022-03-18,52.7473
2022-03-19,52.7473
2022-03-20,52.7473
2022-03-21,52.9506
2022-03-22,54.0251
2022-03-23,51.9036
2022-03-24,54.7851
2022-03-25,55.1589
2022-03-26,55.1589
2022-03-27,55.1589
2022-03-28,55.5883
2022-03-29,58.4038
2022-03-30,55.9529
2022-03-31,53.3692
2022-04-01,52.485
2022-04-02,52.485
2022-04-03,52.485
2022-04-04,52.8487
2022-04-05,49.4148
2022-04-06,49.4578
2022-04-07,49.679
2022-04-08,47.5325
2022-04-09,47.5325
2022-04-10,47.5325
2022-04-11,46.2472
2022-04-12,46.9718
2022-04-13,48.404
2022-04-14,47.4921
2022-04-15,47.4921
2022-04-16,47.4921
2022-04-17,47.4921
2022-04-18,49.4619
2022-04-19,51.098
2022-04-20,51.3327
2022-04-21,49.8278
2022-04-22,47.2621
2022-04-23,47.2621
2022-04-24,47.2621
2022-04-25,47.6886
2022-04-26,44.3093
2022-04-27,45.0094
2022-04-28,49.4773
2022-04-29,46.1171
2022-04-30,46.1171
2022-05-01,46.1171
2022-05-02,48.5382
2022-05-03,47.6754
2022-05-04,49.9991
2022-05-05,46.5507
2022-05-06,45.6254
2022-05-07,45.6254
2022-05-08,45.6254
2022-05-09,44.2654
2022-05-10,46.4369
2022-05-11,44.5071
2022-05-12,45.3085
2022-05-13,47.7841
2022-05-14,47.7841
2022-05-15,47.7841
2022-05-16,47.0724
2022-05-17,51.0168
2022-05-18,48.326
2022-05-19,46.8618
2022-05-20,48.1888
2022-05-21,48.1888
2022-05-22,48.1888
2022-05-23,48.2621
2022-05-24,47.0746
2022-05-25,48.4377
2022-05-26,50.9424
2022-05-27,53.1372
2022-05-28,53.1372
2022-05-29,53.1372
2022-05-30,53.1372
2022-05-31,52.3734
2022-06-01,50.9094
2022-06-02,52.2661
2022-06-03,49.5616
2022-06-04,49.5616
2022-06-05,49.5616
2022-06-06,46.9456
2022-06-07,48.2381
2022-06-08,45.7657
2022-06-09,43.8009
2022-06-10,41.9336
2022-06-11,41.9336
2022-06-12,41.9336
2022-06-13,39.9626
2022-06-14,40.338
2022-06-15,41.6018
2022-06-16,39.4634
2022-06-17,38.931
2022-06-18,38.931
2022-06-19,38.931
2022-06-20,38.931
2022-06-21,41.2166
2022-06-22,40.7999
2022-06-23,40.0881
2022-06-24,43.4505
2022-06-25,43.4505
2022-06-26,43.4505
2022-06-27,43.2781
2022-06-28,42.5063
2022-06-29,41.7778
2022-06-30,42.4214
2022-07-01,39.7514
2022-07-02,39.7514
2022-07-03,39.7514
2022-07-04,39.7514
2022-07-05,40.1783
2022-07-06,41.4877
2022-07-07,44.3472
2022-07-08,44.9497
2022-07-09,44.9497
2022-07-10,44.9497
2022-07-11,43.7993
2022-07-12,44.471
2022-07-13,44.3673
2022-07-14,47.0403
2022-07-15,48.9573
2022-07-16,48.9573
2022-07-17,48.9573
2022-07-18,48.3715
2022-07-19,51.7812
2022-07-20,52.2343
2022-07-21,53.0348
2022-07-22,51.1018
2022-07-23,51.1018
2022-07-24,51.1018
2022-07-25,50.596
2022-07-26,48.9075
2022-07-27,55.8222
