,SNA US Equity
,RSI_30D
2021-02-05,56.646
2021-02-06,56.646
2021-02-07,56.646
2021-02-08,57.2051
2021-02-09,59.1448
2021-02-10,59.2029
2021-02-11,59.3723
2021-02-12,59.4031
2021-02-13,59.4031
2021-02-14,59.4031
2021-02-15,59.4031
2021-02-16,58.3516
2021-02-17,58.5167
2021-02-18,59.9936
2021-02-19,61.7617
2021-02-20,61.7617
2021-02-21,61.7617
2021-02-22,61.9836
2021-02-23,63.614
2021-02-24,67.8174
2021-02-25,65.5382
2021-02-26,64.7523
2021-02-27,64.7523
2021-02-28,64.7523
2021-03-01,67.1189
2021-03-02,67.6156
2021-03-03,69.3559
2021-03-04,66.4629
2021-03-05,68.9192
2021-03-06,68.9192
2021-03-07,68.9192
2021-03-08,69.2607
2021-03-09,68.6793
2021-03-10,69.199
2021-03-11,65.8025
2021-03-12,66.8519
2021-03-13,66.8519
2021-03-14,66.8519
2021-03-15,69.0625
2021-03-16,67.0557
2021-03-17,67.908
2021-03-18,68.9359
2021-03-19,68.8353
2021-03-20,68.8353
2021-03-21,68.8353
2021-03-22,64.4935
2021-03-23,60.976
2021-03-24,61.055
2021-03-25,64.8511
2021-03-26,66.8951
2021-03-27,66.8951
2021-03-28,66.8951
2021-03-29,65.6233
2021-03-30,67.1685
2021-03-31,66.2019
2021-04-01,66.5846
2021-04-02,66.5846
2021-04-03,66.5846
2021-04-04,66.5846
2021-04-05,67.55
2021-04-06,67.1156
2021-04-07,67.69
2021-04-08,66.9982
2021-04-09,67.5013
2021-04-10,67.5013
2021-04-11,67.5013
2021-04-12,67.8027
2021-04-13,64.8947
2021-04-14,65.0493
2021-04-15,64.0959
2021-04-16,65.6804
2021-04-17,65.6804
2021-04-18,65.6804
2021-04-19,65.9061
2021-04-20,64.6145
2021-04-21,65.7803
2021-04-22,67.2737
2021-04-23,65.8605
2021-04-24,65.8605
2021-04-25,65.8605
2021-04-26,63.4433
2021-04-27,65.2559
2021-04-28,63.1263
2021-04-29,64.4873
2021-04-30,62.3973
2021-05-01,62.3973
2021-05-02,62.3973
2021-05-03,62.7926
2021-05-04,65.0855
2021-05-05,66.2291
2021-05-06,68.246
2021-05-07,68.8446
2021-05-08,68.8446
2021-05-09,68.8446
2021-05-10,70.3734
2021-05-11,66.5183
2021-05-12,62.0407
2021-05-13,65.3109
2021-05-14,66.1985
2021-05-15,66.1985
2021-05-16,66.1985
2021-05-17,64.5743
2021-05-18,62.4312
2021-05-19,61.5898
2021-05-20,61.7085
2021-05-21,62.5886
2021-05-22,62.5886
2021-05-23,62.5886
2021-05-24,64.1633
2021-05-25,62.8198
2021-05-26,63.0308
2021-05-27,63.775
2021-05-28,64.225
2021-05-29,64.225
2021-05-30,64.225
2021-05-31,64.225
2021-06-01,64.7221
2021-06-02,63.5137
2021-06-03,62.866
2021-06-04,63.2803
2021-06-05,63.2803
2021-06-06,63.2803
2021-06-07,60.3413
2021-06-08,57.6646
2021-06-09,54.8357
2021-06-10,51.9668
2021-06-11,50.7508
2021-06-12,50.7508
2021-06-13,50.7508
2021-06-14,48.2565
2021-06-15,45.5996
2021-06-16,41.3892
2021-06-17,37.299
2021-06-18,36.1929
2021-06-19,36.1929
2021-06-20,36.1929
2021-06-21,41.7628
2021-06-22,41.41
2021-06-23,41.1416
2021-06-24,42.5586
2021-06-25,42.9311
2021-06-26,42.9311
2021-06-27,42.9311
2021-06-28,41.5126
2021-06-29,41.636
2021-06-30,44.6136
2021-07-01,44.6079
2021-07-02,44.9593
2021-07-03,44.9593
2021-07-04,44.9593
2021-07-05,44.9593
2021-07-06,44.1145
2021-07-07,46.7425
2021-07-08,45.3095
2021-07-09,48.0331
2021-07-10,48.0331
2021-07-11,48.0331
2021-07-12,47.6679
2021-07-13,45.4726
2021-07-14,46.5035
2021-07-15,45.6783
2021-07-16,43.3907
2021-07-17,43.3907
2021-07-18,43.3907
2021-07-19,41.462
2021-07-20,46.4119
2021-07-21,46.9307
2021-07-22,45.4814
2021-07-23,47.5404
2021-07-24,47.5404
2021-07-25,47.5404
2021-07-26,44.9389
2021-07-27,45.1547
2021-07-28,45.0663
2021-07-29,45.6097
2021-07-30,43.7636
2021-07-31,43.7636
2021-08-01,43.7636
2021-08-02,44.7049
2021-08-03,47.6648
2021-08-04,46.5261
2021-08-05,47.5897
2021-08-06,48.6605
2021-08-07,48.6605
2021-08-08,48.6605
2021-08-09,47.9934
2021-08-10,49.3781
2021-08-11,52.487
2021-08-12,51.0355
2021-08-13,52.5941
2021-08-14,52.5941
2021-08-15,52.5941
2021-08-16,53.5801
2021-08-17,49.5054
2021-08-18,45.9654
2021-08-19,44.3456
2021-08-20,46.5843
2021-08-21,46.5843
2021-08-22,46.5843
2021-08-23,48.3777
2021-08-24,50.4584
2021-08-25,51.0552
2021-08-26,50.0887
2021-08-27,51.6726
2021-08-28,51.6726
2021-08-29,51.6726
2021-08-30,50.9234
2021-08-31,50.0818
2021-09-01,50.0677
2021-09-02,52.3581
2021-09-03,51.3799
2021-09-04,51.3799
2021-09-05,51.3799
2021-09-06,51.3799
2021-09-07,47.8294
2021-09-08,48.8958
2021-09-09,46.8861
2021-09-10,45.8021
2021-09-11,45.8021
2021-09-12,45.8021
2021-09-13,46.2486
2021-09-14,44.2026
2021-09-15,47.5408
2021-09-16,46.8849
2021-09-17,43.2327
2021-09-18,43.2327
2021-09-19,43.2327
2021-09-20,42.2281
2021-09-21,41.1587
2021-09-22,42.7781
2021-09-23,45.3581
2021-09-24,44.8708
2021-09-25,44.8708
2021-09-26,44.8708
2021-09-27,46.6201
2021-09-28,45.5031
2021-09-29,45.4376
2021-09-30,41.6438
2021-10-01,42.0284
2021-10-02,42.0284
2021-10-03,42.0284
2021-10-04,45.2672
2021-10-05,46.9068
2021-10-06,47.2294
2021-10-07,47.2679
2021-10-08,46.8222
2021-10-09,46.8222
2021-10-10,46.8222
2021-10-11,45.5116
2021-10-12,46.2892
2021-10-13,45.2336
2021-10-14,49.9119
2021-10-15,50.0786
2021-10-16,50.0786
2021-10-17,50.0786
2021-10-18,52.6226
2021-10-19,54.5035
2021-10-20,56.324
2021-10-21,45.6002
2021-10-22,44.4268
2021-10-23,44.4268
2021-10-24,44.4268
2021-10-25,44.2738
2021-10-26,41.7715
2021-10-27,39.9257
2021-10-28,42.6844
2021-10-29,41.3439
2021-10-30,41.3439
2021-10-31,41.3439
2021-11-01,42.4668
2021-11-02,42.6865
2021-11-03,46.8506
2021-11-04,46.0193
2021-11-05,47.6391
2021-11-06,47.6391
2021-11-07,47.6391
2021-11-08,49.018
2021-11-09,49.5028
2021-11-10,51.5879
2021-11-11,52.8376
2021-11-12,53.5473
2021-11-13,53.5473
