,CVBF US Equity
,RSI_30D
2021-06-14,48.9711
2021-06-15,51.3522
2021-06-16,53.4183
2021-06-17,47.7423
2021-06-18,42.7382
2021-06-19,42.7382
2021-06-20,42.7382
2021-06-21,47.0175
2021-06-22,47.0175
2021-06-23,45.4732
2021-06-24,47.6535
2021-06-25,48.4945
2021-06-26,48.4945
2021-06-27,48.4945
2021-06-28,45.2365
2021-06-29,44.5164
2021-06-30,44.4676
2021-07-01,45.0289
2021-07-02,43.125
2021-07-03,43.125
2021-07-04,43.125
2021-07-05,43.125
2021-07-06,41.4091
2021-07-07,40.8026
2021-07-08,38.8554
2021-07-09,42.5491
2021-07-10,42.5491
2021-07-11,42.5491
2021-07-12,43.8647
2021-07-13,41.7009
2021-07-14,42.0225
2021-07-15,44.493
2021-07-16,42.4308
2021-07-17,42.4308
2021-07-18,42.4308
2021-07-19,39.9369
2021-07-20,41.1509
2021-07-21,43.2132
2021-07-22,41.1346
2021-07-23,41.7645
2021-07-24,41.7645
2021-07-25,41.7645
2021-07-26,42.1488
2021-07-27,41.5345
2021-07-28,41.6698
2021-07-29,41.7395
2021-07-30,40.732
2021-07-31,40.732
2021-08-01,40.732
2021-08-02,40.3791
2021-08-03,42.3
2021-08-04,41.4498
2021-08-05,44.1357
2021-08-06,47.0556
2021-08-07,47.0556
2021-08-08,47.0556
2021-08-09,45.5659
2021-08-10,47.4843
2021-08-11,49.1464
2021-08-12,49.2742
2021-08-13,49.6017
2021-08-14,49.6017
2021-08-15,49.6017
2021-08-16,49.4037
2021-08-17,49.0661
2021-08-18,48.7217
2021-08-19,47.0806
2021-08-20,50.3935
2021-08-21,50.3935
2021-08-22,50.3935
2021-08-23,50.252
2021-08-24,50.1065
2021-08-25,49.1493
2021-08-26,47.489
2021-08-27,51.2654
2021-08-28,51.2654
2021-08-29,51.2654
2021-08-30,49.8121
2021-08-31,50.6088
2021-09-01,49.0705
2021-09-02,48.4897
2021-09-03,47.5436
2021-09-04,47.5436
2021-09-05,47.5436
