,ULTA US Equity
,RSI_30D
2020-12-26,53.3696
2020-12-27,53.3696
2020-12-28,57.6526
2020-12-29,57.3185
2020-12-30,58.9891
2020-12-31,60.184
2021-01-01,60.184
2021-01-02,60.184
2021-01-03,60.184
2021-01-04,58.2153
2021-01-05,57.3423
2021-01-06,60.4883
2021-01-07,60.8277
2021-01-08,61.3417
2021-01-09,61.3417
2021-01-10,61.3417
2021-01-11,59.5496
2021-01-12,60.7249
2021-01-13,60.6302
2021-01-14,62.8512
2021-01-15,62.8679
2021-01-16,62.8679
2021-01-17,62.8679
2021-01-18,62.8679
2021-01-19,58.9023
2021-01-20,59.5799
2021-01-21,61.0228
2021-01-22,60.8742
2021-01-23,60.8742
2021-01-24,60.8742
2021-01-25,58.9345
2021-01-26,58.9252
2021-01-27,55.1974
2021-01-28,56.3631
2021-01-29,51.8006
2021-01-30,51.8006
2021-01-31,51.8006
2021-02-01,52.6784
2021-02-02,54.4103
2021-02-03,55.0408
2021-02-04,57.2502
2021-02-05,59.2676
2021-02-06,59.2676
2021-02-07,59.2676
2021-02-08,63.1555
2021-02-09,63.9557
2021-02-10,62.4407
2021-02-11,63.7926
2021-02-12,63.3483
2021-02-13,63.3483
2021-02-14,63.3483
2021-02-15,63.3483
2021-02-16,65.3773
2021-02-17,63.8843
2021-02-18,61.3716
2021-02-19,62.1499
2021-02-20,62.1499
2021-02-21,62.1499
2021-02-22,63.7879
2021-02-23,63.8276
2021-02-24,65.402
2021-02-25,62.4144
2021-02-26,60.0425
2021-02-27,60.0425
2021-02-28,60.0425
2021-03-01,64.0309
2021-03-02,63.769
2021-03-03,62.695
2021-03-04,58.5045
2021-03-05,60.9301
2021-03-06,60.9301
2021-03-07,60.9301
2021-03-08,63.9442
2021-03-09,61.2933
2021-03-10,62.2779
2021-03-11,63.3072
2021-03-12,53.1984
2021-03-13,53.1984
2021-03-14,53.1984
2021-03-15,54.3143
2021-03-16,51.33
2021-03-17,53.0869
2021-03-18,53.1466
2021-03-19,53.8362
2021-03-20,53.8362
2021-03-21,53.8362
2021-03-22,51.7964
2021-03-23,50.1764
2021-03-24,47.8035
2021-03-25,49.425
2021-03-26,48.4256
2021-03-27,48.4256
2021-03-28,48.4256
2021-03-29,49.3638
2021-03-30,49.9034
2021-03-31,50.2559
2021-04-01,51.596
2021-04-02,51.596
2021-04-03,51.596
2021-04-04,51.596
2021-04-05,53.3911
2021-04-06,51.9963
2021-04-07,52.1886
2021-04-08,53.3722
2021-04-09,54.0299
2021-04-10,54.0299
2021-04-11,54.0299
2021-04-12,55.675
2021-04-13,56.9009
2021-04-14,55.7749
2021-04-15,54.7615
2021-04-16,56.0887
2021-04-17,56.0887
2021-04-18,56.0887
2021-04-19,55.1545
2021-04-20,51.0874
2021-04-21,52.8936
