,AEP US Equity
,RSI_30D
2021-08-06,58.5529
2021-08-07,58.5529
2021-08-08,58.5529
2021-08-09,58.9121
2021-08-10,58.8791
2021-08-11,59.856
2021-08-12,59.0953
2021-08-13,60.8275
2021-08-14,60.8275
2021-08-15,60.8275
2021-08-16,62.1929
2021-08-17,62.7217
2021-08-18,59.8701
2021-08-19,61.3652
2021-08-20,62.8625
2021-08-21,62.8625
2021-08-22,62.8625
2021-08-23,59.495
2021-08-24,56.5877
2021-08-25,56.8329
2021-08-26,56.5684
2021-08-27,56.6727
2021-08-28,56.6727
2021-08-29,56.6727
2021-08-30,57.5426
2021-08-31,57.3621
2021-09-01,59.7891
2021-09-02,60.8549
2021-09-03,58.9019
2021-09-04,58.9019
2021-09-05,58.9019
2021-09-06,58.9019
2021-09-07,53.7538
2021-09-08,58.2121
2021-09-09,57.308
2021-09-10,52.5719
2021-09-11,52.5719
2021-09-12,52.5719
2021-09-13,51.1514
2021-09-14,49.8135
2021-09-15,48.4752
2021-09-16,45.0915
2021-09-17,40.9714
2021-09-18,40.9714
2021-09-19,40.9714
2021-09-20,39.3872
2021-09-21,38.786
2021-09-22,38.2599
2021-09-23,37.4615
2021-09-24,36.9557
2021-09-25,36.9557
2021-09-26,36.9557
2021-09-27,35.6347
2021-09-28,35.4825
2021-09-29,38.5039
2021-09-30,36.5351
2021-10-01,37.2061
2021-10-02,37.2061
2021-10-03,37.2061
2021-10-04,42.4323
2021-10-05,42.3883
2021-10-06,46.7812
2021-10-07,45.796
2021-10-08,44.5033
2021-10-09,44.5033
2021-10-10,44.5033
2021-10-11,42.1515
2021-10-12,42.2695
2021-10-13,44.9135
2021-10-14,46.5553
2021-10-15,45.2317
2021-10-16,45.2317
2021-10-17,45.2317
2021-10-18,44.0743
2021-10-19,46.3739
2021-10-20,49.3025
2021-10-21,50.0717
2021-10-22,51.0451
2021-10-23,51.0451
2021-10-24,51.0451
2021-10-25,48.6934
2021-10-26,48.0641
2021-10-27,47.7576
2021-10-28,48.9091
2021-10-29,48.9091
2021-10-30,48.9091
2021-10-31,48.9091
2021-11-01,50.1145
2021-11-02,50.6024
2021-11-03,49.512
