,EQH US Equity
,RSI_30D
2021-07-15,44.5864
2021-07-16,42.6553
2021-07-17,42.6553
2021-07-18,42.6553
2021-07-19,40.4345
2021-07-20,45.3172
2021-07-21,47.978
2021-07-22,45.7364
2021-07-23,45.9482
2021-07-24,45.9482
2021-07-25,45.9482
2021-07-26,47.6056
2021-07-27,46.507
2021-07-28,48.1
2021-07-29,50.9856
2021-07-30,51.0837
2021-07-31,51.0837
2021-08-01,51.0837
2021-08-02,50.5947
2021-08-03,52.3151
2021-08-04,49.2863
2021-08-05,53.5401
2021-08-06,55.0362
2021-08-07,55.0362
2021-08-08,55.0362
2021-08-09,53.9785
2021-08-10,55.9909
2021-08-11,57.0056
2021-08-12,55.2392
2021-08-13,54.3678
2021-08-14,54.3678
2021-08-15,54.3678
2021-08-16,53.5307
2021-08-17,51.4635
2021-08-18,49.9831
2021-08-19,46.2985
2021-08-20,48.2213
2021-08-21,48.2213
2021-08-22,48.2213
2021-08-23,47.4987
2021-08-24,50.3434
2021-08-25,51.8362
2021-08-26,50.1762
2021-08-27,52.294
2021-08-28,52.294
2021-08-29,52.294
2021-08-30,50.7615
2021-08-31,50.6947
2021-09-01,50.6258
2021-09-02,51.546
2021-09-03,51.3626
2021-09-04,51.3626
2021-09-05,51.3626
2021-09-06,51.3626
2021-09-07,49.8936
2021-09-08,48.9878
2021-09-09,48.8044
2021-09-10,45.6251
2021-09-11,45.6251
2021-09-12,45.6251
2021-09-13,47.1679
2021-09-14,45.0327
2021-09-15,45.6388
2021-09-16,45.5004
2021-09-17,44.3864
2021-09-18,44.3864
2021-09-19,44.3864
2021-09-20,41.1007
2021-09-21,40.6995
2021-09-22,41.9617
2021-09-23,46.0355
2021-09-24,46.7603
2021-09-25,46.7603
2021-09-26,46.7603
2021-09-27,50.8574
2021-09-28,49.9733
2021-09-29,49.6386
2021-09-30,47.622
2021-10-01,49.8448
2021-10-02,49.8448
2021-10-03,49.8448
2021-10-04,48.8465
2021-10-05,51.2767
2021-10-06,51.7509
2021-10-07,52.9534
2021-10-08,55.0936
2021-10-09,55.0936
2021-10-10,55.0936
2021-10-11,54.7137
2021-10-12,55.4204
2021-10-13,56.1285
2021-10-14,57.4907
2021-10-15,55.9247
2021-10-16,55.9247
2021-10-17,55.9247
2021-10-18,56.5015
2021-10-19,59.1622
2021-10-20,61.9746
2021-10-21,61.779
2021-10-22,61.9653
2021-10-23,61.9653
2021-10-24,61.9653
2021-10-25,61.4489
2021-10-26,61.6473
2021-10-27,59.8938
2021-10-28,60.5965
2021-10-29,59.4648
2021-10-30,59.4648
2021-10-31,59.4648
2021-11-01,61.0762
2021-11-02,61.7406
2021-11-03,63.5364
2021-11-04,65.9101
2021-11-05,64.5377
2021-11-06,64.5377
2021-11-07,64.5377
2021-11-08,63.1213
2021-11-09,60.7491
2021-11-10,60.7491
2021-11-11,61.0767
2021-11-12,61.7376
2021-11-13,61.7376
2021-11-14,61.7376
2021-11-15,62.434
2021-11-16,59.3743
2021-11-17,53.2951
2021-11-18,52.4874
2021-11-19,50.846
2021-11-20,50.846
