,NRC US Equity
,RSI_30D
2021-02-12,51.3753
2021-02-13,51.3753
2021-02-14,51.3753
2021-02-15,51.3753
2021-02-16,47.2424
2021-02-17,47.7881
2021-02-18,50.1282
2021-02-19,51.3933
2021-02-20,51.3933
2021-02-21,51.3933
2021-02-22,52.0617
2021-02-23,55.6775
2021-02-24,58.5935
2021-02-25,58.7053
2021-02-26,54.8332
2021-02-27,54.8332
2021-02-28,54.8332
2021-03-01,58.4086
2021-03-02,58.757
2021-03-03,56.0743
2021-03-04,52.9623
2021-03-05,55.3782
2021-03-06,55.3782
2021-03-07,55.3782
2021-03-08,53.4714
2021-03-09,50.7251
2021-03-10,52.0819
2021-03-11,52.812
2021-03-12,54.5382
2021-03-13,54.5382
2021-03-14,54.5382
2021-03-15,52.244
2021-03-16,49.0509
2021-03-17,50.5133
2021-03-18,47.3422
2021-03-19,46.4863
2021-03-20,46.4863
2021-03-21,46.4863
2021-03-22,43.9036
2021-03-23,43.0736
2021-03-24,42.8138
2021-03-25,44.2254
2021-03-26,45.7068
2021-03-27,45.7068
2021-03-28,45.7068
2021-03-29,44.1365
2021-03-30,45.3104
2021-03-31,45.9841
2021-04-01,48.0643
2021-04-02,48.0643
2021-04-03,48.0643
2021-04-04,48.0643
2021-04-05,47.6501
2021-04-06,48.8099
2021-04-07,46.4371
2021-04-08,47.1407
2021-04-09,46.6825
2021-04-10,46.6825
2021-04-11,46.6825
2021-04-12,46.4312
2021-04-13,44.8431
2021-04-14,45.4932
2021-04-15,47.2095
2021-04-16,47.8692
2021-04-17,47.8692
2021-04-18,47.8692
2021-04-19,47.5519
2021-04-20,48.501
2021-04-21,49.5335
2021-04-22,50.0841
2021-04-23,50.5751
2021-04-24,50.5751
2021-04-25,50.5751
2021-04-26,51.5828
2021-04-27,52.7563
2021-04-28,54.4792
2021-04-29,54.7989
2021-04-30,56.6066
2021-05-01,56.6066
2021-05-02,56.6066
2021-05-03,57.1223
2021-05-04,55.4323
2021-05-05,45.0836
2021-05-06,48.6655
2021-05-07,50.5713
2021-05-08,50.5713
2021-05-09,50.5713
2021-05-10,48.5326
2021-05-11,48.6956
2021-05-12,49.8259
2021-05-13,51.4162
2021-05-14,50.93
2021-05-15,50.93
2021-05-16,50.93
2021-05-17,50.7358
2021-05-18,50.8865
2021-05-19,51.0193
2021-05-20,51.9382
2021-05-21,54.542
2021-05-22,54.542
2021-05-23,54.542
2021-05-24,52.3129
2021-05-25,52.169
2021-05-26,52.8618
2021-05-27,50.7993
2021-05-28,47.6404
2021-05-29,47.6404
2021-05-30,47.6404
2021-05-31,47.6404
2021-06-01,49.6585
2021-06-02,47.2906
2021-06-03,48.0966
2021-06-04,50.0265
2021-06-05,50.0265
2021-06-06,50.0265
2021-06-07,45.8219
2021-06-08,43.6923
2021-06-09,42.176
2021-06-10,40.9538
2021-06-11,41.5128
2021-06-12,41.5128
2021-06-13,41.5128
2021-06-14,41.2557
2021-06-15,43.0288
