,MXL US Equity
,RSI_30D
2021-09-22,55.9068
2021-09-23,57.0552
2021-09-24,57.6583
2021-09-25,57.6583
2021-09-26,57.6583
2021-09-27,57.8403
2021-09-28,52.3183
2021-09-29,51.3468
2021-09-30,50.8583
2021-10-01,52.4856
2021-10-02,52.4856
2021-10-03,52.4856
2021-10-04,48.1446
2021-10-05,48.6625
2021-10-06,50.2612
2021-10-07,51.0127
2021-10-08,49.6923
2021-10-09,49.6923
2021-10-10,49.6923
2021-10-11,47.0961
2021-10-12,46.1169
2021-10-13,46.1169
2021-10-14,49.6604
2021-10-15,49.4863
2021-10-16,49.4863
2021-10-17,49.4863
2021-10-18,52.6181
2021-10-19,54.7928
2021-10-20,55.4124
2021-10-21,57.183
2021-10-22,57.5649
2021-10-23,57.5649
2021-10-24,57.5649
2021-10-25,58.74
2021-10-26,56.2004
2021-10-27,54.5873
2021-10-28,66.8799
2021-10-29,68.7974
2021-10-30,68.7974
2021-10-31,68.7974
2021-11-01,71.7028
2021-11-02,70.8013
2021-11-03,72.2377
2021-11-04,72.4522
2021-11-05,71.3925
2021-11-06,71.3925
2021-11-07,71.3925
2021-11-08,71.9715
2021-11-09,70.5565
2021-11-10,66.7247
2021-11-11,68.9591
2021-11-12,69.3827
2021-11-13,69.3827
2021-11-14,69.3827
2021-11-15,69.6104
2021-11-16,72.0877
2021-11-17,70.6187
2021-11-18,71.0639
2021-11-19,68.9624
2021-11-20,68.9624
2021-11-21,68.9624
2021-11-22,65.8724
2021-11-23,64.4984
2021-11-24,65.0888
2021-11-25,65.0888
2021-11-26,61.0672
2021-11-27,61.0672
2021-11-28,61.0672
2021-11-29,63.4062
2021-11-30,60.7204
2021-12-01,62.1076
2021-12-02,61.8508
2021-12-03,59.673
2021-12-04,59.673
2021-12-05,59.673
2021-12-06,57.7502
2021-12-07,65.2375
2021-12-08,65.7278
2021-12-09,61.3292
2021-12-10,64.3739
2021-12-11,64.3739
2021-12-12,64.3739
2021-12-13,60.8571
2021-12-14,60.7354
2021-12-15,62.4023
2021-12-16,55.3271
2021-12-17,56.3563
2021-12-18,56.3563
2021-12-19,56.3563
2021-12-20,56.3563
2021-12-21,58.4247
2021-12-22,59.6817
2021-12-23,60.2562
2021-12-24,60.2562
2021-12-25,60.2562
2021-12-26,60.2562
2021-12-27,62.7012
2021-12-28,59.6563
2021-12-29,60.9372
2021-12-30,59.1078
2021-12-31,59.6365
2022-01-01,59.6365
2022-01-02,59.6365
2022-01-03,60.975
2022-01-04,58.1879
2022-01-05,52.2355
2022-01-06,52.0913
2022-01-07,48.1876
2022-01-08,48.1876
2022-01-09,48.1876
2022-01-10,48.0749
2022-01-11,48.838
2022-01-12,49.6855
2022-01-13,47.511
2022-01-14,48.9772
2022-01-15,48.9772
2022-01-16,48.9772
2022-01-17,48.9772
2022-01-18,45.5318
2022-01-19,44.6656
2022-01-20,43.4834
2022-01-21,41.7927
2022-01-22,41.7927
2022-01-23,41.7927
2022-01-24,43.791
2022-01-25,41.6042
2022-01-26,43.1464
2022-01-27,38.623
2022-01-28,41.0151
2022-01-29,41.0151
2022-01-30,41.0151
2022-01-31,46.1354
2022-02-01,46.2481
2022-02-02,47.0691
2022-02-03,46.4377
2022-02-04,48.271
2022-02-05,48.271
2022-02-06,48.271
2022-02-07,46.7218
2022-02-08,48.1609
2022-02-09,51.1753
2022-02-10,48.4903
2022-02-11,45.0011
2022-02-12,45.0011
2022-02-13,45.0011
2022-02-14,45.8817
2022-02-15,50.0454
2022-02-16,51.2272
2022-02-17,48.4756
2022-02-18,47.8703
2022-02-19,47.8703
2022-02-20,47.8703
2022-02-21,47.8703
2022-02-22,47.4669
2022-02-23,45.706
2022-02-24,49.5274
2022-02-25,49.7957
2022-02-26,49.7957
2022-02-27,49.7957
2022-02-28,48.5851
2022-03-01,46.2813
2022-03-02,48.2366
2022-03-03,46.5627
2022-03-04,44.5903
2022-03-05,44.5903
2022-03-06,44.5903
2022-03-07,41.4988
2022-03-08,43.8145
2022-03-09,46.1582
2022-03-10,45.6403
2022-03-11,44.4486
2022-03-12,44.4486
2022-03-13,44.4486
2022-03-14,42.131
2022-03-15,45.1599
2022-03-16,47.6464
2022-03-17,48.854
