,RUTH US Equity
,RSI_30D
2021-02-17,63.3132
2021-02-18,65.747
2021-02-19,66.281
2021-02-20,66.281
2021-02-21,66.281
2021-02-22,70.3603
2021-02-23,71.6625
2021-02-24,74.7837
2021-02-25,68.9526
2021-02-26,69.0969
2021-02-27,69.0969
2021-02-28,69.0969
2021-03-01,69.378
2021-03-02,69.192
2021-03-03,70.6312
2021-03-04,65.9414
2021-03-05,69.6319
2021-03-06,69.6319
2021-03-07,69.6319
2021-03-08,72.9104
2021-03-09,68.207
2021-03-10,69.5964
2021-03-11,70.8112
2021-03-12,72.0845
2021-03-13,72.0845
2021-03-14,72.0845
2021-03-15,72.1826
2021-03-16,66.9287
2021-03-17,66.8821
2021-03-18,62.6808
2021-03-19,63.5965
2021-03-20,63.5965
2021-03-21,63.5965
2021-03-22,59.4468
2021-03-23,56.0098
2021-03-24,54.1042
2021-03-25,59.2463
2021-03-26,62.0691
2021-03-27,62.0691
2021-03-28,62.0691
2021-03-29,58.3024
2021-03-30,60.1666
2021-03-31,58.8067
2021-04-01,59.0403
2021-04-02,59.0403
2021-04-03,59.0403
2021-04-04,59.0403
2021-04-05,56.8077
2021-04-06,57.0833
2021-04-07,58.0894
2021-04-08,58.1908
2021-04-09,57.6141
2021-04-10,57.6141
2021-04-11,57.6141
2021-04-12,57.9375
2021-04-13,57.037
2021-04-14,57.9938
2021-04-15,58.776
2021-04-16,57.9783
2021-04-17,57.9783
2021-04-18,57.9783
2021-04-19,56.4332
2021-04-20,53.7725
2021-04-21,55.2987
2021-04-22,56.1544
2021-04-23,55.5261
2021-04-24,55.5261
2021-04-25,55.5261
2021-04-26,56.0664
2021-04-27,55.9423
2021-04-28,56.0764
2021-04-29,60.3794
2021-04-30,60.6108
2021-05-01,60.6108
2021-05-02,60.6108
2021-05-03,61.0811
2021-05-04,63.2915
2021-05-05,60.9059
2021-05-06,61.398
2021-05-07,62.4618
2021-05-08,62.4618
2021-05-09,62.4618
2021-05-10,61.3741
2021-05-11,55.9812
2021-05-12,47.3103
2021-05-13,50.2665
2021-05-14,53.2733
2021-05-15,53.2733
2021-05-16,53.2733
2021-05-17,51.5965
2021-05-18,50.9085
2021-05-19,51.0619
2021-05-20,49.7744
2021-05-21,49.0705
2021-05-22,49.0705
2021-05-23,49.0705
2021-05-24,50.1317
2021-05-25,48.6886
2021-05-26,51.6037
2021-05-27,50.6669
2021-05-28,50.3294
2021-05-29,50.3294
2021-05-30,50.3294
2021-05-31,50.3294
2021-06-01,49.4768
2021-06-02,47.1313
2021-06-03,45.9259
2021-06-04,46.0386
2021-06-05,46.0386
2021-06-06,46.0386
2021-06-07,48.9727
2021-06-08,55.0977
2021-06-09,52.4458
2021-06-10,51.987
2021-06-11,51.3236
2021-06-12,51.3236
2021-06-13,51.3236
2021-06-14,50.1971
2021-06-15,50.1302
2021-06-16,48.7839
2021-06-17,45.7643
2021-06-18,43.9001
2021-06-19,43.9001
2021-06-20,43.9001
2021-06-21,46.8507
2021-06-22,47.9428
2021-06-23,48.7931
2021-06-24,50.5962
2021-06-25,49.2345
2021-06-26,49.2345
2021-06-27,49.2345
2021-06-28,47.0614
2021-06-29,46.4994
2021-06-30,47.4373
2021-07-01,48.5147
2021-07-02,47.7055
2021-07-03,47.7055
2021-07-04,47.7055
2021-07-05,47.7055
2021-07-06,47.096
2021-07-07,44.6378
2021-07-08,42.8782
2021-07-09,46.7985
2021-07-10,46.7985
2021-07-11,46.7985
2021-07-12,47.8763
2021-07-13,46.1669
2021-07-14,44.6425
2021-07-15,42.3402
2021-07-16,40.353
2021-07-17,40.353
2021-07-18,40.353
2021-07-19,37.2391
2021-07-20,40.7844
2021-07-21,45.0326
2021-07-22,43.0581
2021-07-23,42.4002
2021-07-24,42.4002
2021-07-25,42.4002
2021-07-26,44.7514
2021-07-27,44.0081
2021-07-28,42.2203
2021-07-29,43.291
2021-07-30,42.3226
2021-07-31,42.3226
2021-08-01,42.3226
2021-08-02,42.0596
2021-08-03,41.2117
2021-08-04,41.25
2021-08-05,41.9925
2021-08-06,43.7349
2021-08-07,43.7349
2021-08-08,43.7349
2021-08-09,41.5815
2021-08-10,44.0513
2021-08-11,45.8371
2021-08-12,45.3482
2021-08-13,45.1923
2021-08-14,45.1923
2021-08-15,45.1923
2021-08-16,44.3411
2021-08-17,41.4124
2021-08-18,40.1255
2021-08-19,38.7969
2021-08-20,41.3785
2021-08-21,41.3785
2021-08-22,41.3785
2021-08-23,42.6107
2021-08-24,45.1132
2021-08-25,46.0124
2021-08-26,44.687
2021-08-27,49.2258
2021-08-28,49.2258
2021-08-29,49.2258
2021-08-30,46.9787
2021-08-31,48.1849
2021-09-01,49.176
2021-09-02,48.8097
2021-09-03,47.6415
2021-09-04,47.6415
2021-09-05,47.6415
2021-09-06,47.6415
2021-09-07,46.7487
2021-09-08,46.6816
2021-09-09,46.6125
2021-09-10,46.0132
2021-09-11,46.0132
2021-09-12,46.0132
2021-09-13,47.13
2021-09-14,46.7594
2021-09-15,48.1102
2021-09-16,48.0315
2021-09-17,47.7081
2021-09-18,47.7081
2021-09-19,47.7081
2021-09-20,47.3373
2021-09-21,46.1418
2021-09-22,48.0151
2021-09-23,50.9702
2021-09-24,52.6732
2021-09-25,52.6732
2021-09-26,52.6732
2021-09-27,55.1868
2021-09-28,52.3126
2021-09-29,51.8327
2021-09-30,49.6478
2021-10-01,54.2978
2021-10-02,54.2978
2021-10-03,54.2978
2021-10-04,51.882
2021-10-05,48.9311
2021-10-06,47.1779
2021-10-07,46.4603
2021-10-08,44.0682
2021-10-09,44.0682
2021-10-10,44.0682
2021-10-11,43.5971
2021-10-12,44.5175
2021-10-13,46.2042
2021-10-14,48.5283
2021-10-15,46.135
2021-10-16,46.135
2021-10-17,46.135
2021-10-18,45.9547
2021-10-19,44.7248
2021-10-20,44.1141
2021-10-21,44.2068
2021-10-22,45.1482
2021-10-23,45.1482
2021-10-24,45.1482
2021-10-25,44.4499
2021-10-26,44.2141
2021-10-27,43.6158
2021-10-28,44.0336
2021-10-29,46.2487
2021-10-30,46.2487
2021-10-31,46.2487
2021-11-01,44.7571
2021-11-02,42.489
2021-11-03,44.4143
2021-11-04,46.1288
2021-11-05,51.4173
2021-11-06,51.4173
2021-11-07,51.4173
2021-11-08,48.6892
2021-11-09,49.3838
2021-11-10,46.4564
2021-11-11,46.103
2021-11-12,46.0628
2021-11-13,46.0628
2021-11-14,46.0628
2021-11-15,46.257
2021-11-16,46.0853
2021-11-17,46.3429
2021-11-18,44.4957
2021-11-19,42.6934
2021-11-20,42.6934
2021-11-21,42.6934
2021-11-22,44.1625
2021-11-23,43.27
2021-11-24,42.5499
2021-11-25,42.5499
2021-11-26,40.6559
2021-11-27,40.6559
2021-11-28,40.6559
2021-11-29,38.1363
2021-11-30,38.3161
2021-12-01,37.7487
2021-12-02,46.3499
2021-12-03,45.6845
2021-12-04,45.6845
2021-12-05,45.6845
2021-12-06,49.4392
2021-12-07,49.7982
2021-12-08,52.5433
2021-12-09,51.2099
2021-12-10,50.4337
2021-12-11,50.4337
2021-12-12,50.4337
2021-12-13,48.5529
2021-12-14,48.5084
2021-12-15,48.1428
2021-12-16,45.3577
2021-12-17,46.9207
2021-12-18,46.9207
2021-12-19,46.9207
2021-12-20,45.9986
2021-12-21,52.2404
2021-12-22,53.6366
2021-12-23,54.8416
2021-12-24,54.8416
2021-12-25,54.8416
2021-12-26,54.8416
2021-12-27,55.003
2021-12-28,55.4556
2021-12-29,52.7602
2021-12-30,53.0661
2021-12-31,52.8638
2022-01-01,52.8638
2022-01-02,52.8638
2022-01-03,55.0366
2022-01-04,58.0191
2022-01-05,55.3649
2022-01-06,54.3562
2022-01-07,51.2642
2022-01-08,51.2642
2022-01-09,51.2642
2022-01-10,51.4428
2022-01-11,52.7416
2022-01-12,51.8025
2022-01-13,54.5768
2022-01-14,53.0232
2022-01-15,53.0232
2022-01-16,53.0232
2022-01-17,53.0232
2022-01-18,49.6289
2022-01-19,48.4263
2022-01-20,46.3191
2022-01-21,44.4803
2022-01-22,44.4803
2022-01-23,44.4803
2022-01-24,49.1233
2022-01-25,50.2004
2022-01-26,48.9567
2022-01-27,47.6922
2022-01-28,52.1265
2022-01-29,52.1265
2022-01-30,52.1265
2022-01-31,52.2473
2022-02-01,53.3434
2022-02-02,54.0747
2022-02-03,52.977
2022-02-04,53.6123
2022-02-05,53.6123
2022-02-06,53.6123
2022-02-07,55.0366
2022-02-08,58.4882
2022-02-09,60.7307
2022-02-10,60.765
2022-02-11,62.4914
2022-02-12,62.4914
2022-02-13,62.4914
2022-02-14,64.063
2022-02-15,63.2241
2022-02-16,64.5681
2022-02-17,61.681
2022-02-18,64.4921
2022-02-19,64.4921
2022-02-20,64.4921
2022-02-21,64.4921
2022-02-22,58.9157
2022-02-23,58.2585
2022-02-24,59.7834
2022-02-25,63.2552
2022-02-26,63.2552
2022-02-27,63.2552
2022-02-28,65.0208
2022-03-01,59.849
2022-03-02,60.819
2022-03-03,60.4635
2022-03-04,58.517
2022-03-05,58.517
2022-03-06,58.517
2022-03-07,47.542
2022-03-08,49.3775
2022-03-09,53.3201
2022-03-10,53.7682
2022-03-11,52.8176
2022-03-12,52.8176
2022-03-13,52.8176
2022-03-14,52.6846
2022-03-15,52.8075
2022-03-16,55.0703
2022-03-17,54.5293
2022-03-18,53.1257
2022-03-19,53.1257
2022-03-20,53.1257
2022-03-21,53.1257
2022-03-22,55.0314
2022-03-23,52.3875
2022-03-24,52.9398
2022-03-25,50.9269
2022-03-26,50.9269
2022-03-27,50.9269
2022-03-28,51.1328
2022-03-29,53.8067
2022-03-30,51.9682
2022-03-31,53.9226
2022-04-01,51.7097
2022-04-02,51.7097
2022-04-03,51.7097
2022-04-04,51.5661
2022-04-05,51.1621
2022-04-06,47.3259
2022-04-07,46.8306
2022-04-08,46.3621
2022-04-09,46.3621
2022-04-10,46.3621
2022-04-11,45.4878
