,MAIN US Equity
,RSI_30D
2021-11-15,66.8608
2021-11-16,68.1539
2021-11-17,68.5644
2021-11-18,70.2249
2021-11-19,70.2954
2021-11-20,70.2954
2021-11-21,70.2954
2021-11-22,70.0378
2021-11-23,70.8517
2021-11-24,69.1729
2021-11-25,69.1729
2021-11-26,60.7135
2021-11-27,60.7135
2021-11-28,60.7135
2021-11-29,58.7188
2021-11-30,54.9212
2021-12-01,52.6524
2021-12-02,54.6906
2021-12-03,51.8615
2021-12-04,51.8615
2021-12-05,51.8615
2021-12-06,52.1748
2021-12-07,53.1735
2021-12-08,52.8729
2021-12-09,51.6056
2021-12-10,51.3027
2021-12-11,51.3027
2021-12-12,51.3027
2021-12-13,49.4415
2021-12-14,43.1244
2021-12-15,46.237
2021-12-16,45.9426
2021-12-17,43.4612
2021-12-18,43.4612
2021-12-19,43.4612
2021-12-20,42.1478
2021-12-21,46.9618
2021-12-22,49.6451
2021-12-23,52.915
2021-12-24,52.915
2021-12-25,52.915
2021-12-26,52.915
2021-12-27,54.7646
2021-12-28,54.852
2021-12-29,56.2506
2021-12-30,55.4181
2021-12-31,56.5274
2022-01-01,56.5274
2022-01-02,56.5274
2022-01-03,55.1301
2022-01-04,57.2708
2022-01-05,55.0628
2022-01-06,55.1087
2022-01-07,54.5324
2022-01-08,54.5324
2022-01-09,54.5324
2022-01-10,52.8735
2022-01-11,55.2528
2022-01-12,56.3689
2022-01-13,54.1564
2022-01-14,52.0967
2022-01-15,52.0967
2022-01-16,52.0967
2022-01-17,52.0967
2022-01-18,54.2378
2022-01-19,54.5719
2022-01-20,49.3045
2022-01-21,43.9813
2022-01-22,43.9813
2022-01-23,43.9813
2022-01-24,39.1367
2022-01-25,47.1118
2022-01-26,47.1931
2022-01-27,47.0434
2022-01-28,47.7295
2022-01-29,47.7295
2022-01-30,47.7295
2022-01-31,52.7195
2022-02-01,52.8865
2022-02-02,52.6301
2022-02-03,49.3702
2022-02-04,51.2675
2022-02-05,51.2675
2022-02-06,51.2675
2022-02-07,50.9793
2022-02-08,50.9793
2022-02-09,50.6744
2022-02-10,48.5712
2022-02-11,45.8398
2022-02-12,45.8398
2022-02-13,45.8398
2022-02-14,45.451
2022-02-15,47.7876
2022-02-16,48.7669
2022-02-17,47.4283
2022-02-18,48.2548
2022-02-19,48.2548
2022-02-20,48.2548
2022-02-21,48.2548
2022-02-22,45.5392
2022-02-23,44.4034
2022-02-24,43.3995
2022-02-25,49.7305
2022-02-26,49.7305
2022-02-27,49.7305
2022-02-28,51.9922
2022-03-01,49.2636
2022-03-02,51.5622
2022-03-03,51.7539
2022-03-04,48.9872
2022-03-05,48.9872
2022-03-06,48.9872
2022-03-07,41.4466
2022-03-08,41.015
2022-03-09,43.4905
2022-03-10,42.0538
2022-03-11,41.5509
2022-03-12,41.5509
2022-03-13,41.5509
2022-03-14,40.6633
2022-03-15,44.5443
2022-03-16,44.7803
2022-03-17,48.0217
2022-03-18,48.6454
2022-03-19,48.6454
2022-03-20,48.6454
2022-03-21,49.7302
2022-03-22,51.3168
2022-03-23,47.9706
2022-03-24,48.9596
2022-03-25,49.3652
2022-03-26,49.3652
2022-03-27,49.3652
2022-03-28,50.0373
2022-03-29,50.8988
2022-03-30,50.7414
2022-03-31,51.517
2022-04-01,52.2016
2022-04-02,52.2016
2022-04-03,52.2016
2022-04-04,49.7909
2022-04-05,49.6681
2022-04-06,46.3214
2022-04-07,47.1023
2022-04-08,48.3544
2022-04-09,48.3544
2022-04-10,48.3544
2022-04-11,46.8128
2022-04-12,46.8128
2022-04-13,49.6327
2022-04-14,48.9614
2022-04-15,48.9614
2022-04-16,48.9614
2022-04-17,48.9614
2022-04-18,50.3508
2022-04-19,54.0695
2022-04-20,56.6611
2022-04-21,53.9553
2022-04-22,50.4805
2022-04-23,50.4805
2022-04-24,50.4805
2022-04-25,52.095
2022-04-26,44.4877
2022-04-27,46.6326
2022-04-28,47.7841
2022-04-29,44.379
2022-04-30,44.379
2022-05-01,44.379
2022-05-02,42.0421
2022-05-03,46.2644
2022-05-04,48.7319
2022-05-05,44.7079
2022-05-06,47.3025
2022-05-07,47.3025
2022-05-08,47.3025
2022-05-09,42.5046
2022-05-10,43.3667
2022-05-11,41.3946
2022-05-12,39.1259
2022-05-13,41.7731
2022-05-14,41.7731
2022-05-15,41.7731
2022-05-16,43.7671
2022-05-17,45.6634
2022-05-18,42.8122
2022-05-19,41.5347
2022-05-20,38.8747
2022-05-21,38.8747
2022-05-22,38.8747
2022-05-23,40.3601
2022-05-24,39.6818
2022-05-25,42.1093
2022-05-26,43.8761
2022-05-27,46.2569
2022-05-28,46.2569
2022-05-29,46.2569
2022-05-30,46.2569
2022-05-31,45.5674
2022-06-01,45.5086
2022-06-02,46.5366
2022-06-03,44.9762
2022-06-04,44.9762
2022-06-05,44.9762
2022-06-06,47.1804
2022-06-07,47.7429
2022-06-08,46.3143
2022-06-09,45.1902
2022-06-10,43.3287
2022-06-11,43.3287
2022-06-12,43.3287
2022-06-13,39.7839
2022-06-14,39.6381
2022-06-15,41.8133
2022-06-16,39.2277
2022-06-17,42.3704
2022-06-18,42.3704
2022-06-19,42.3704
2022-06-20,42.3704
2022-06-21,45.2088
2022-06-22,47.0607
2022-06-23,47.3276
2022-06-24,50.1363
2022-06-25,50.1363
2022-06-26,50.1363
2022-06-27,51.5951
2022-06-28,50.5832
2022-06-29,50.3735
2022-06-30,50.3196
2022-07-01,53.3465
2022-07-02,53.3465
2022-07-03,53.3465
2022-07-04,53.3465
2022-07-05,55.1424
2022-07-06,52.5681
2022-07-07,53.9608
2022-07-08,55.4102
2022-07-09,55.4102
2022-07-10,55.4102
2022-07-11,55.2627
2022-07-12,56.1089
2022-07-13,56.0775
2022-07-14,54.5944
2022-07-15,56.2744
2022-07-16,56.2744
2022-07-17,56.2744
2022-07-18,57.5065
2022-07-19,59.7143
2022-07-20,59.2401
2022-07-21,60.8703
2022-07-22,58.847
2022-07-23,58.847
2022-07-24,58.847
2022-07-25,58.9188
2022-07-26,61.0742
2022-07-27,62.3406
2022-07-28,63.8557
2022-07-29,64.6839
2022-07-30,64.6839
2022-07-31,64.6839
2022-08-01,63.4931
2022-08-02,62.8472
2022-08-03,63.7887
2022-08-04,62.3869
2022-08-05,64.4097
2022-08-06,64.4097
2022-08-07,64.4097
2022-08-08,61.447
2022-08-09,60.7795
2022-08-10,62.1271
2022-08-11,55.7013
2022-08-12,57.3301
2022-08-13,57.3301
2022-08-14,57.3301
2022-08-15,57.5989
2022-08-16,57.6741
2022-08-17,54.318
2022-08-18,54.9887
2022-08-19,53.0858
2022-08-20,53.0858
2022-08-21,53.0858
2022-08-22,51.1613
2022-08-23,52.3713
2022-08-24,54.3226
2022-08-25,54.2569
2022-08-26,52.0431
2022-08-27,52.0431
2022-08-28,52.0431
2022-08-29,51.722
2022-08-30,49.2696
2022-08-31,50.301
2022-09-01,47.6889
2022-09-02,46.8934
2022-09-03,46.8934
2022-09-04,46.8934
2022-09-05,46.8934
2022-09-06,45.9536
2022-09-07,46.5424
2022-09-08,47.2764
2022-09-09,48.1186
2022-09-10,48.1186
2022-09-11,48.1186
2022-09-12,48.332
2022-09-13,45.2806
2022-09-14,45.3182
2022-09-15,45.1258
2022-09-16,44.9941
2022-09-17,44.9941
2022-09-18,44.9941
2022-09-19,45.0357
2022-09-20,42.196
2022-09-21,42.2398
2022-09-22,38.1158
2022-09-23,35.5649
2022-09-24,35.5649
2022-09-25,35.5649
2022-09-26,31.4344
2022-09-27,32.2657
2022-09-28,35.3389
2022-09-29,30.8361
2022-09-30,32.4655
2022-10-01,32.4655
2022-10-02,32.4655
2022-10-03,34.4147
2022-10-04,39.8722
2022-10-05,38.6253
2022-10-06,36.5781
2022-10-07,35.2755
2022-10-08,35.2755
2022-10-09,35.2755
2022-10-10,34.0221
2022-10-11,34.1322
2022-10-12,34.4339
2022-10-13,36.8284
2022-10-14,36.4411
2022-10-15,36.4411
2022-10-16,36.4411
2022-10-17,39.9259
2022-10-18,42.1476
2022-10-19,42.4861
2022-10-20,42.0282
2022-10-21,42.0021
2022-10-22,42.0021
2022-10-23,42.0021
