,IDA US Equity
,RSI_30D
2022-01-20,52.1015
2022-01-21,51.1046
2022-01-22,51.1046
2022-01-23,51.1046
2022-01-24,49.1403
2022-01-25,47.6325
2022-01-26,46.7636
2022-01-27,45.9684
2022-01-28,49.5956
2022-01-29,49.5956
2022-01-30,49.5956
2022-01-31,52.9026
2022-02-01,49.2137
2022-02-02,52.8119
2022-02-03,51.2973
2022-02-04,49.038
2022-02-05,49.038
2022-02-06,49.038
2022-02-07,49.7662
2022-02-08,49.9073
2022-02-09,50.0343
2022-02-10,44.9335
2022-02-11,46.3344
2022-02-12,46.3344
2022-02-13,46.3344
2022-02-14,44.8396
2022-02-15,43.186
2022-02-16,42.856
2022-02-17,44.336
2022-02-18,42.2554
2022-02-19,42.2554
2022-02-20,42.2554
2022-02-21,42.2554
2022-02-22,40.3126
2022-02-23,39.3424
2022-02-24,39.7921
2022-02-25,46.616
2022-02-26,46.616
2022-02-27,46.616
2022-02-28,45.8179
2022-03-01,43.5202
2022-03-02,47.4755
2022-03-03,52.2004
2022-03-04,56.2213
2022-03-05,56.2213
2022-03-06,56.2213
2022-03-07,56.5953
2022-03-08,55.8224
2022-03-09,53.2154
2022-03-10,54.9641
2022-03-11,54.5934
2022-03-12,54.5934
2022-03-13,54.5934
2022-03-14,53.8745
2022-03-15,56.2965
2022-03-16,55.5381
2022-03-17,54.4256
2022-03-18,54.3915
2022-03-19,54.3915
2022-03-20,54.3915
2022-03-21,55.4613
2022-03-22,55.2981
2022-03-23,55.7619
2022-03-24,55.1131
2022-03-25,59.4356
2022-03-26,59.4356
2022-03-27,59.4356
2022-03-28,59.1809
2022-03-29,60.6692
2022-03-30,62.5161
2022-03-31,60.5878
2022-04-01,63.2882
2022-04-02,63.2882
2022-04-03,63.2882
2022-04-04,57.9607
2022-04-05,59.2477
2022-04-06,62.4037
2022-04-07,60.9199
2022-04-08,60.5431
2022-04-09,60.5431
2022-04-10,60.5431
2022-04-11,58.339
2022-04-12,58.5906
2022-04-13,54.2219
2022-04-14,54.575
2022-04-15,54.575
2022-04-16,54.575
2022-04-17,54.575
2022-04-18,52.7459
2022-04-19,53.6838
2022-04-20,54.7949
2022-04-21,52.6133
2022-04-22,50.351
2022-04-23,50.351
2022-04-24,50.351
2022-04-25,49.6154
2022-04-26,48.9678
2022-04-27,45.9263
2022-04-28,46.2948
2022-04-29,41.3755
2022-04-30,41.3755
2022-05-01,41.3755
2022-05-02,39.0012
2022-05-03,42.7027
2022-05-04,45.6532
2022-05-05,45.2639
2022-05-06,46.9546
2022-05-07,46.9546
2022-05-08,46.9546
2022-05-09,46.9697
2022-05-10,46.4218
2022-05-11,47.0922
2022-05-12,46.2933
2022-05-13,47.43
2022-05-14,47.43
2022-05-15,47.43
2022-05-16,47.265
2022-05-17,48.2635
2022-05-18,46.7428
2022-05-19,46.1442
2022-05-20,45.9568
2022-05-21,45.9568
2022-05-22,45.9568
2022-05-23,45.4479
2022-05-24,48.3511
2022-05-25,47.6823
2022-05-26,48.8711
2022-05-27,52.3199
2022-05-28,52.3199
2022-05-29,52.3199
2022-05-30,52.3199
2022-05-31,50.6073
2022-06-01,49.8588
2022-06-02,48.1292
2022-06-03,47.874
2022-06-04,47.874
2022-06-05,47.874
2022-06-06,48.8098
2022-06-07,51.443
2022-06-08,48.0294
2022-06-09,45.7276
2022-06-10,45.8777
2022-06-11,45.8777
2022-06-12,45.8777
2022-06-13,38.279
2022-06-14,35.9588
2022-06-15,37.6608
2022-06-16,36.0802
2022-06-17,36.5174
2022-06-18,36.5174
2022-06-19,36.5174
2022-06-20,36.5174
2022-06-21,36.7509
2022-06-22,38.7322
2022-06-23,41.7665
2022-06-24,47.1338
2022-06-25,47.1338
2022-06-26,47.1338
2022-06-27,49.2766
2022-06-28,49.8462
2022-06-29,49.1869
2022-06-30,49.7522
2022-07-01,54.0668
2022-07-02,54.0668
2022-07-03,54.0668
2022-07-04,54.0668
2022-07-05,48.2611
2022-07-06,50.4802
2022-07-07,49.4562
2022-07-08,48.4655
2022-07-09,48.4655
2022-07-10,48.4655
2022-07-11,49.3334
2022-07-12,48.921
2022-07-13,47.9263
2022-07-14,49.1155
2022-07-15,49.0576
2022-07-16,49.0576
2022-07-17,49.0576
2022-07-18,48.003
2022-07-19,50.0399
2022-07-20,48.9577
2022-07-21,48.1204
2022-07-22,50.2125
2022-07-23,50.2125
2022-07-24,50.2125
2022-07-25,52.3783
2022-07-26,53.8535
2022-07-27,52.9637
2022-07-28,56.7427
2022-07-29,58.044
2022-07-30,58.044
2022-07-31,58.044
2022-08-01,57.5571
2022-08-02,56.5859
2022-08-03,57.2105
2022-08-04,57.192
2022-08-05,55.1616
2022-08-06,55.1616
2022-08-07,55.1616
2022-08-08,56.6383
2022-08-09,58.9292
2022-08-10,59.3022
2022-08-11,57.1731
2022-08-12,60.3934
2022-08-13,60.3934
2022-08-14,60.3934
2022-08-15,61.6457
2022-08-16,62.0834
2022-08-17,61.8804
2022-08-18,61.6719
2022-08-19,62.147
2022-08-20,62.147
2022-08-21,62.147
2022-08-22,58.1497
2022-08-23,55.5819
2022-08-24,55.0936
2022-08-25,56.5369
2022-08-26,54.0946
2022-08-27,54.0946
2022-08-28,54.0946
2022-08-29,54.7529
2022-08-30,51.3605
2022-08-31,50.0565
2022-09-01,52.377
2022-09-02,49.813
2022-09-03,49.813
2022-09-04,49.813
2022-09-05,49.813
2022-09-06,48.385
2022-09-07,52.2769
2022-09-08,51.7102
2022-09-09,52.8304
2022-09-10,52.8304
2022-09-11,52.8304
2022-09-12,54.2041
2022-09-13,48.724
2022-09-14,49.6794
2022-09-15,46.7541
