,PEG US Equity
,RSI_30D
2021-08-09,58.3307
2021-08-10,54.8779
2021-08-11,56.6751
2021-08-12,57.5632
2021-08-13,59.8765
2021-08-14,59.8765
2021-08-15,59.8765
2021-08-16,60.1349
2021-08-17,59.7765
2021-08-18,56.9294
2021-08-19,57.6722
2021-08-20,59.5857
2021-08-21,59.5857
2021-08-22,59.5857
2021-08-23,57.2201
2021-08-24,55.2486
2021-08-25,56.1336
2021-08-26,54.9348
2021-08-27,56.0869
2021-08-28,56.0869
2021-08-29,56.0869
2021-08-30,56.2997
2021-08-31,55.1151
2021-09-01,57.5192
2021-09-02,57.3563
2021-09-03,55.1731
2021-09-04,55.1731
2021-09-05,55.1731
2021-09-06,55.1731
2021-09-07,52.6572
2021-09-08,56.2159
2021-09-09,53.3279
2021-09-10,49.3595
2021-09-11,49.3595
2021-09-12,49.3595
2021-09-13,49.9473
2021-09-14,50.7683
2021-09-15,51.525
2021-09-16,50.857
2021-09-17,48.4623
2021-09-18,48.4623
2021-09-19,48.4623
2021-09-20,49.0298
2021-09-21,47.7714
2021-09-22,45.5488
2021-09-23,44.5092
2021-09-24,44.5489
2021-09-25,44.5489
2021-09-26,44.5489
2021-09-27,46.5645
2021-09-28,43.8183
2021-09-29,47.2274
2021-09-30,46.0706
2021-10-01,44.6867
2021-10-02,44.6867
2021-10-03,44.6867
2021-10-04,47.2569
2021-10-05,46.2895
2021-10-06,46.666
2021-10-07,45.0647
2021-10-08,43.2778
2021-10-09,43.2778
2021-10-10,43.2778
2021-10-11,41.4578
2021-10-12,42.0365
2021-10-13,45.0471
2021-10-14,49.5306
2021-10-15,51.8258
2021-10-16,51.8258
2021-10-17,51.8258
2021-10-18,50.5352
2021-10-19,52.8373
2021-10-20,55.6544
2021-10-21,54.5544
2021-10-22,56.6965
2021-10-23,56.6965
2021-10-24,56.6965
2021-10-25,56.9484
2021-10-26,58.8208
2021-10-27,56.4671
2021-10-28,57.4457
2021-10-29,55.4916
2021-10-30,55.4916
2021-10-31,55.4916
2021-11-01,57.0872
2021-11-02,55.6858
2021-11-03,53.5048
2021-11-04,54.4429
2021-11-05,55.9552
2021-11-06,55.9552
2021-11-07,55.9552
2021-11-08,49.2556
2021-11-09,49.2254
2021-11-10,50.9661
2021-11-11,49.311
2021-11-12,49.2485
2021-11-13,49.2485
2021-11-14,49.2485
2021-11-15,52.8605
2021-11-16,50.8756
2021-11-17,50.0601
2021-11-18,49.8693
2021-11-19,51.9836
2021-11-20,51.9836
2021-11-21,51.9836
2021-11-22,53.1133
2021-11-23,55.3457
2021-11-24,56.4466
2021-11-25,56.4466
2021-11-26,53.1451
2021-11-27,53.1451
2021-11-28,53.1451
2021-11-29,54.8974
2021-11-30,49.385
2021-12-01,49.2397
2021-12-02,51.3994
2021-12-03,52.2063
2021-12-04,52.2063
2021-12-05,52.2063
2021-12-06,52.9566
2021-12-07,55.4866
2021-12-08,54.811
2021-12-09,54.2304
2021-12-10,54.4068
2021-12-11,54.4068
2021-12-12,54.4068
2021-12-13,58.2603
2021-12-14,55.938
2021-12-15,58.5777
2021-12-16,58.7282
2021-12-17,53.6236
2021-12-18,53.6236
2021-12-19,53.6236
2021-12-20,53.6236
2021-12-21,54.2397
2021-12-22,55.0538
2021-12-23,54.9841
2021-12-24,54.9841
2021-12-25,54.9841
2021-12-26,54.9841
2021-12-27,56.3577
2021-12-28,57.8008
2021-12-29,58.8564
2021-12-30,59.7901
2021-12-31,60.8664
2022-01-01,60.8664
2022-01-02,60.8664
2022-01-03,58.6102
2022-01-04,57.9475
2022-01-05,57.3165
2022-01-06,57.496
2022-01-07,60.6628
2022-01-08,60.6628
2022-01-09,60.6628
2022-01-10,57.6981
2022-01-11,56.1259
2022-01-12,56.6917
2022-01-13,57.468
2022-01-14,53.4641
2022-01-15,53.4641
2022-01-16,53.4641
2022-01-17,53.4641
2022-01-18,53.3542
2022-01-19,54.4201
2022-01-20,54.5503
2022-01-21,53.9524
2022-01-22,53.9524
2022-01-23,53.9524
2022-01-24,49.8449
2022-01-25,51.1508
2022-01-26,51.0394
2022-01-27,53.5192
2022-01-28,55.5843
2022-01-29,55.5843
2022-01-30,55.5843
2022-01-31,57.1473
2022-02-01,56.0455
2022-02-02,59.1253
2022-02-03,58.3377
2022-02-04,56.4937
2022-02-05,56.4937
2022-02-06,56.4937
2022-02-07,56.9628
2022-02-08,58.3862
2022-02-09,58.9359
2022-02-10,52.6231
2022-02-11,52.953
2022-02-12,52.953
2022-02-13,52.953
2022-02-14,48.8041
2022-02-15,47.6903
2022-02-16,48.966
2022-02-17,48.761
2022-02-18,48.5856
2022-02-19,48.5856
2022-02-20,48.5856
2022-02-21,48.5856
2022-02-22,48.5856
2022-02-23,44.7609
2022-02-24,41.0009
2022-02-25,49.885
2022-02-26,49.885
2022-02-27,49.885
2022-02-28,49.7634
2022-03-01,48.6291
2022-03-02,51.4741
2022-03-03,54.0766
2022-03-04,57.473
2022-03-05,57.473
2022-03-06,57.473
2022-03-07,57.7444
2022-03-08,54.3819
2022-03-09,53.3747
2022-03-10,52.0656
2022-03-11,52.9746
2022-03-12,52.9746
2022-03-13,52.9746
2022-03-14,55.1995
2022-03-15,57.7522
2022-03-16,58.1958
2022-03-17,58.2964
2022-03-18,55.0405
2022-03-19,55.0405
2022-03-20,55.0405
2022-03-21,56.7503
2022-03-22,55.5731
2022-03-23,54.5694
2022-03-24,56.5709
2022-03-25,58.5372
2022-03-26,58.5372
2022-03-27,58.5372
2022-03-28,59.0601
2022-03-29,60.4841
2022-03-30,62.4414
2022-03-31,62.5783
2022-04-01,64.9164
2022-04-02,64.9164
2022-04-03,64.9164
2022-04-04,62.0052
2022-04-05,62.6134
2022-04-06,65.8014
2022-04-07,64.0543
2022-04-08,65.0351
2022-04-09,65.0351
2022-04-10,65.0351
2022-04-11,63.6868
2022-04-12,64.0932
2022-04-13,62.68
2022-04-14,65.3502
2022-04-15,65.3502
2022-04-16,65.3502
2022-04-17,65.3502
2022-04-18,63.9491
2022-04-19,65.3011
2022-04-20,68.4118
2022-04-21,68.1818
2022-04-22,65.1971
2022-04-23,65.1971
2022-04-24,65.1971
2022-04-25,60.8705
2022-04-26,56.5499
2022-04-27,54.2134
2022-04-28,55.8444
2022-04-29,51.7827
2022-04-30,51.7827
2022-05-01,51.7827
2022-05-02,49.7478
2022-05-03,48.8891
2022-05-04,50.8211
2022-05-05,49.8589
2022-05-06,51.2167
2022-05-07,51.2167
2022-05-08,51.2167
2022-05-09,50.2522
2022-05-10,48.3921
2022-05-11,50.0176
2022-05-12,48.3409
2022-05-13,49.1162
2022-05-14,49.1162
2022-05-15,49.1162
2022-05-16,47.7859
2022-05-17,49.3947
2022-05-18,47.3729
2022-05-19,46.8953
2022-05-20,46.5884
2022-05-21,46.5884
2022-05-22,46.5884
2022-05-23,48.7009
2022-05-24,49.8807
2022-05-25,48.3205
2022-05-26,47.9125
2022-05-27,50.9406
2022-05-28,50.9406
2022-05-29,50.9406
2022-05-30,50.9406
2022-05-31,49.5354
2022-06-01,48.3219
2022-06-02,49.5992
2022-06-03,49.4842
2022-06-04,49.4842
2022-06-05,49.4842
2022-06-06,49.1599
2022-06-07,50.856
2022-06-08,47.1103
2022-06-09,42.1656
2022-06-10,43.1372
2022-06-11,43.1372
2022-06-12,43.1372
2022-06-13,38.0782
2022-06-14,34.3345
2022-06-15,33.6122
2022-06-16,31.3108
2022-06-17,31.8191
2022-06-18,31.8191
2022-06-19,31.8191
2022-06-20,31.8191
2022-06-21,33.4122
2022-06-22,33.9233
2022-06-23,35.8648
2022-06-24,41.8878
2022-06-25,41.8878
2022-06-26,41.8878
2022-06-27,42.7435
2022-06-28,42.3404
2022-06-29,42.2991
2022-06-30,44.1845
2022-07-01,47.8421
2022-07-02,47.8421
2022-07-03,47.8421
2022-07-04,47.8421
2022-07-05,43.3783
2022-07-06,44.4456
2022-07-07,44.0773
2022-07-08,43.3748
2022-07-09,43.3748
2022-07-10,43.3748
2022-07-11,43.4297
2022-07-12,41.8767
2022-07-13,40.383
2022-07-14,39.0962
2022-07-15,39.7284
2022-07-16,39.7284
2022-07-17,39.7284
2022-07-18,38.7574
2022-07-19,39.8438
2022-07-20,38.2976
2022-07-21,38.2179
2022-07-22,39.8369
2022-07-23,39.8369
2022-07-24,39.8369
2022-07-25,41.7017
2022-07-26,44.0142
2022-07-27,45.3421
2022-07-28,54.1857
2022-07-29,54.6786
2022-07-30,54.6786
2022-07-31,54.6786
2022-08-01,54.7005
2022-08-02,53.2875
2022-08-03,53.823
2022-08-04,52.0777
2022-08-05,52.1024
2022-08-06,52.1024
2022-08-07,52.1024
2022-08-08,53.827
2022-08-09,55.2325
2022-08-10,56.5317
2022-08-11,56.7635
2022-08-12,58.8517
2022-08-13,58.8517
2022-08-14,58.8517
2022-08-15,61.4087
2022-08-16,61.2795
2022-08-17,61.3216
2022-08-18,62.5427
2022-08-19,62.5638
2022-08-20,62.5638
2022-08-21,62.5638
2022-08-22,57.3854
2022-08-23,55.9332
2022-08-24,55.5004
2022-08-25,56.881
2022-08-26,53.4789
2022-08-27,53.4789
2022-08-28,53.4789
2022-08-29,52.686
2022-08-30,49.3236
2022-08-31,47.0953
2022-09-01,48.4129
2022-09-02,46.3304
2022-09-03,46.3304
2022-09-04,46.3304
2022-09-05,46.3304
2022-09-06,45.1542
2022-09-07,54.3879
2022-09-08,56.8258
2022-09-09,57.0652
2022-09-10,57.0652
2022-09-11,57.0652
2022-09-12,59.3577
2022-09-13,53.4979
2022-09-14,54.3545
2022-09-15,52.4935
2022-09-16,52.2391
2022-09-17,52.2391
2022-09-18,52.2391
2022-09-19,52.7984
2022-09-20,49.9143
2022-09-21,47.9477
2022-09-22,46.8653
2022-09-23,44.7545
2022-09-24,44.7545
2022-09-25,44.7545
2022-09-26,40.8045
2022-09-27,38.7542
2022-09-28,39.5649
2022-09-29,35.117
2022-09-30,34.1901
2022-10-01,34.1901
2022-10-02,34.1901
2022-10-03,38.2924
2022-10-04,42.4869
2022-10-05,40.4794
2022-10-06,37.9724
2022-10-07,36.2529
2022-10-08,36.2529
2022-10-09,36.2529
2022-10-10,36.4528
2022-10-11,36.0885
2022-10-12,34.0162
2022-10-13,37.3756
2022-10-14,35.9034
2022-10-15,35.9034
2022-10-16,35.9034
2022-10-17,39.0302
2022-10-18,39.9026
2022-10-19,38.689
2022-10-20,37.3298
2022-10-21,38.4803
2022-10-22,38.4803
2022-10-23,38.4803
2022-10-24,40.4436
2022-10-25,42.2265
2022-10-26,41.465
2022-10-27,41.344
2022-10-28,45.3447
2022-10-29,45.3447
2022-10-30,45.3447
2022-10-31,43.2075
2022-11-01,43.732
2022-11-02,44.305
2022-11-03,45.2323
2022-11-04,46.9186
2022-11-05,46.9186
2022-11-06,46.9186
2022-11-07,45.897
2022-11-08,47.0083
2022-11-09,45.9594
2022-11-10,50.4006
2022-11-11,48.1622
2022-11-12,48.1622
2022-11-13,48.1622
2022-11-14,46.5454
2022-11-15,46.1148
2022-11-16,47.4817
2022-11-17,44.2064
2022-11-18,47.7413
2022-11-19,47.7413
2022-11-20,47.7413
2022-11-21,48.0407
2022-11-22,48.9854
2022-11-23,50.2214
2022-11-24,50.2214
2022-11-25,50.6152
2022-11-26,50.6152
2022-11-27,50.6152
2022-11-28,48.9553
2022-11-29,48.8411
2022-11-30,53.1063
2022-12-01,52.804
2022-12-02,53.7481
2022-12-03,53.7481
2022-12-04,53.7481
2022-12-05,52.3929
2022-12-06,53.0151
2022-12-07,51.6399
2022-12-08,52.7999
2022-12-09,52.294
2022-12-10,52.294
2022-12-11,52.294
2022-12-12,53.9798
2022-12-13,54.9485
2022-12-14,55.0659
2022-12-15,53.063
2022-12-16,50.5711
2022-12-17,50.5711
2022-12-18,50.5711
2022-12-19,50.8317
2022-12-20,50.4875
2022-12-21,53.3005
2022-12-22,52.4169
2022-12-23,54.4237
2022-12-24,54.4237
2022-12-25,54.4237
2022-12-26,54.4237
2022-12-27,55.9022
2022-12-28,54.5971
2022-12-29,55.7079
2022-12-30,54.2831
2022-12-31,54.2831
2023-01-01,54.2831
2023-01-02,54.2831
2023-01-03,55.908
2023-01-04,56.8438
2023-01-05,53.3073
2023-01-06,56.3774
2023-01-07,56.3774
2023-01-08,56.3774
2023-01-09,57.9759
2023-01-10,58.3105
2023-01-11,58.8752
2023-01-12,55.8
2023-01-13,55.4698
2023-01-14,55.4698
2023-01-15,55.4698
2023-01-16,55.4698
2023-01-17,55.9674
2023-01-18,50.893
2023-01-19,49.0912
2023-01-20,50.0178
2023-01-21,50.0178
2023-01-22,50.0178
2023-01-23,51.0518
2023-01-24,51.188
2023-01-25,50.9435
2023-01-26,51.376
2023-01-27,50.3555
2023-01-28,50.3555
2023-01-29,50.3555
2023-01-30,51.5258
2023-01-31,53.5273
2023-02-01,53.1988
2023-02-02,53.978
2023-02-03,50.499
2023-02-04,50.499
2023-02-05,50.499
2023-02-06,51.5834
2023-02-07,50.8597
2023-02-08,48.5873
2023-02-09,47.1348
2023-02-10,50.0384
2023-02-11,50.0384
2023-02-12,50.0384
2023-02-13,51.7
2023-02-14,51.2989
2023-02-15,52.8138
2023-02-16,52.8391
2023-02-17,54.0122
2023-02-18,54.0122
2023-02-19,54.0122
2023-02-20,54.0122
2023-02-21,50.9351
2023-02-22,49.9805
2023-02-23,49.2709
2023-02-24,50.9607
2023-02-25,50.9607
2023-02-26,50.9607
2023-02-27,51.9647
2023-02-28,48.9128
2023-03-01,44.2512
2023-03-02,47.8681
2023-03-03,49.1511
2023-03-04,49.1511
2023-03-05,49.1511
2023-03-06,48.4845
2023-03-07,44.8707
2023-03-08,46.1564
2023-03-09,44.5729
2023-03-10,41.6188
2023-03-11,41.6188
2023-03-12,41.6188
2023-03-13,43.5805
2023-03-14,47.3202
2023-03-15,47.5682
2023-03-16,48.9598
2023-03-17,47.4477
2023-03-18,47.4477
2023-03-19,47.4477
2023-03-20,49.4121
2023-03-21,47.5725
2023-03-22,44.533
2023-03-23,43.7278
2023-03-24,48.7424
2023-03-25,48.7424
2023-03-26,48.7424
2023-03-27,49.7417
2023-03-28,51.2174
2023-03-29,54.289
2023-03-30,55.3449
2023-03-31,56.4828
2023-04-01,56.4828
2023-04-02,56.4828
2023-04-03,53.7004
2023-04-04,53.9474
2023-04-05,57.3601
2023-04-06,57.6215
2023-04-07,57.6215
2023-04-08,57.6215
2023-04-09,57.6215
2023-04-10,57.4135
2023-04-11,58.2325
2023-04-12,58.0675
2023-04-13,57.757
2023-04-14,57.7994
2023-04-15,57.7994
2023-04-16,57.7994
2023-04-17,58.2335
2023-04-18,58.4765
2023-04-19,59.0147
2023-04-20,58.7195
2023-04-21,59.0258
2023-04-22,59.0258
2023-04-23,59.0258
2023-04-24,59.2902
2023-04-25,58.23
2023-04-26,53.5724
2023-04-27,56.0485
2023-04-28,55.2546
2023-04-29,55.2546
2023-04-30,55.2546
2023-05-01,55.061
2023-05-02,53.9847
2023-05-03,55.0856
2023-05-04,55.9041
2023-05-05,56.7468
2023-05-06,56.7468
2023-05-07,56.7468
2023-05-08,55.5772
2023-05-09,56.1998
2023-05-10,57.4067
2023-05-11,54.8609
2023-05-12,55.9296
2023-05-13,55.9296
2023-05-14,55.9296
2023-05-15,51.6241
2023-05-16,49.169
2023-05-17,48.4747
2023-05-18,48.1081
2023-05-19,48.677
2023-05-20,48.677
2023-05-21,48.677
2023-05-22,50.81
