,ZBH US Equity
,RSI_30D
2021-04-18,62.1236
2021-04-19,62.6446
2021-04-20,63.6627
2021-04-21,65.8021
2021-04-22,66.3292
2021-04-23,66.5048
2021-04-24,66.5048
2021-04-25,66.5048
2021-04-26,63.7808
2021-04-27,64.2826
2021-04-28,65.9482
2021-04-29,66.032
2021-04-30,63.8871
2021-05-01,63.8871
2021-05-02,63.8871
2021-05-03,64.5283
2021-05-04,57.7189
2021-05-05,58.2825
2021-05-06,57.8706
2021-05-07,56.9086
2021-05-08,56.9086
2021-05-09,56.9086
2021-05-10,56.2033
2021-05-11,50.8872
2021-05-12,46.9413
2021-05-13,48.9561
2021-05-14,50.6648
2021-05-15,50.6648
2021-05-16,50.6648
2021-05-17,49.1496
2021-05-18,49.9242
2021-05-19,49.0975
2021-05-20,50.3727
2021-05-21,50.7978
2021-05-22,50.7978
2021-05-23,50.7978
2021-05-24,51.3941
2021-05-25,51.275
2021-05-26,47.224
2021-05-27,51.0773
2021-05-28,51.8157
2021-05-29,51.8157
2021-05-30,51.8157
2021-05-31,51.8157
2021-06-01,49.4866
2021-06-02,44.4339
2021-06-03,43.438
2021-06-04,42.7216
2021-06-05,42.7216
2021-06-06,42.7216
2021-06-07,41.6428
2021-06-08,41.3269
2021-06-09,42.1841
2021-06-10,43.4903
2021-06-11,42.5531
2021-06-12,42.5531
2021-06-13,42.5531
2021-06-14,41.8581
2021-06-15,42.9022
2021-06-16,42.5917
2021-06-17,45.6871
2021-06-18,43.7434
2021-06-19,43.7434
2021-06-20,43.7434
2021-06-21,49.6066
2021-06-22,52.5893
2021-06-23,50.5507
2021-06-24,50.466
2021-06-25,52.2294
2021-06-26,52.2294
2021-06-27,52.2294
2021-06-28,49.905
2021-06-29,47.35
2021-06-30,46.9945
2021-07-01,49.5215
2021-07-02,49.926
2021-07-03,49.926
2021-07-04,49.926
2021-07-05,49.926
2021-07-06,49.1329
2021-07-07,47.3656
2021-07-08,45.5109
2021-07-09,45.5708
2021-07-10,45.5708
2021-07-11,45.5708
2021-07-12,46.1224
2021-07-13,43.3741
2021-07-14,41.985
2021-07-15,39.748
2021-07-16,40.1471
2021-07-17,40.1471
2021-07-18,40.1471
2021-07-19,37.3889
2021-07-20,44.1041
2021-07-21,48.2475
2021-07-22,47.4079
2021-07-23,48.7365
2021-07-24,48.7365
2021-07-25,48.7365
2021-07-26,48.4273
2021-07-27,51.5938
2021-07-28,51.3077
2021-07-29,51.4866
2021-07-30,52.1732
2021-07-31,52.1732
2021-08-01,52.1732
2021-08-02,51.7167
2021-08-03,42.9068
2021-08-04,38.8706
2021-08-05,40.9064
2021-08-06,40.0738
2021-08-07,40.0738
2021-08-08,40.0738
2021-08-09,38.9794
2021-08-10,37.8352
2021-08-11,37.7871
2021-08-12,38.606
2021-08-13,38.3705
2021-08-14,38.3705
2021-08-15,38.3705
2021-08-16,38.9484
2021-08-17,40.4994
2021-08-18,37.8181
2021-08-19,37.6256
2021-08-20,39.2739
2021-08-21,39.2739
2021-08-22,39.2739
2021-08-23,39.178
2021-08-24,43.2407
2021-08-25,45.0823
2021-08-26,44.3604
2021-08-27,44.908
2021-08-28,44.908
2021-08-29,44.908
2021-08-30,44.6334
2021-08-31,45.4307
2021-09-01,45.9356
2021-09-02,44.1449
2021-09-03,41.9135
2021-09-04,41.9135
2021-09-05,41.9135
2021-09-06,41.9135
2021-09-07,41.8019
2021-09-08,42.9287
2021-09-09,40.0033
2021-09-10,36.7827
2021-09-11,36.7827
2021-09-12,36.7827
2021-09-13,37.5297
2021-09-14,45.4802
2021-09-15,44.031
2021-09-16,44.273
2021-09-17,44.8227
2021-09-18,44.8227
2021-09-19,44.8227
2021-09-20,42.4617
2021-09-21,41.3725
2021-09-22,44.7159
2021-09-23,49.4805
2021-09-24,50.2635
2021-09-25,50.2635
2021-09-26,50.2635
2021-09-27,50.5596
2021-09-28,49.876
2021-09-29,48.6413
2021-09-30,45.825
2021-10-01,48.9922
2021-10-02,48.9922
2021-10-03,48.9922
2021-10-04,46.5138
2021-10-05,45.8829
2021-10-06,46.2287
2021-10-07,47.6956
2021-10-08,46.6702
2021-10-09,46.6702
2021-10-10,46.6702
2021-10-11,44.0967
2021-10-12,43.2513
2021-10-13,43.2163
2021-10-14,46.4217
2021-10-15,47.2086
2021-10-16,47.2086
2021-10-17,47.2086
2021-10-18,45.8813
2021-10-19,50.0127
2021-10-20,51.1934
2021-10-21,51.8546
2021-10-22,51.4411
2021-10-23,51.4411
2021-10-24,51.4411
2021-10-25,52.0596
2021-10-26,50.7444
2021-10-27,47.1312
2021-10-28,46.3647
2021-10-29,44.1103
2021-10-30,44.1103
2021-10-31,44.1103
2021-11-01,47.0721
2021-11-02,46.9564
2021-11-03,50.196
2021-11-04,40.9371
2021-11-05,44.6919
2021-11-06,44.6919
2021-11-07,44.6919
2021-11-08,41.8219
2021-11-09,39.7508
2021-11-10,39.4289
2021-11-11,38.6791
