,FDS US Equity
,RSI_30D
2020-12-09,55.5901
2020-12-10,56.5417
2020-12-11,57.4368
2020-12-12,57.4368
2020-12-13,57.4368
2020-12-14,54.6791
2020-12-15,55.7154
2020-12-16,54.6274
2020-12-17,54.5641
2020-12-18,55.2088
2020-12-19,55.2088
2020-12-20,55.2088
2020-12-21,49.414
2020-12-22,48.8059
2020-12-23,46.6741
2020-12-24,47.6137
2020-12-25,47.6137
2020-12-26,47.6137
2020-12-27,47.6137
2020-12-28,48.6454
2020-12-29,47.6374
2020-12-30,48.0719
2020-12-31,49.764
2021-01-01,49.764
2021-01-02,49.764
2021-01-03,49.764
2021-01-04,48.9983
2021-01-05,48.5893
2021-01-06,49.7282
2021-01-07,50.6542
2021-01-08,50.6758
2021-01-09,50.6758
2021-01-10,50.6758
2021-01-11,49.6834
2021-01-12,51.1193
2021-01-13,49.0973
2021-01-14,44.8308
2021-01-15,43.9004
2021-01-16,43.9004
2021-01-17,43.9004
2021-01-18,43.9004
2021-01-19,44.4624
2021-01-20,48.2402
2021-01-21,47.1226
2021-01-22,45.3356
2021-01-23,45.3356
2021-01-24,45.3356
2021-01-25,44.287
2021-01-26,42.1933
2021-01-27,42.588
2021-01-28,41.1531
2021-01-29,38.9101
2021-01-30,38.9101
2021-01-31,38.9101
2021-02-01,43.7849
2021-02-02,46.2194
2021-02-03,45.3419
2021-02-04,45.5648
2021-02-05,46.5452
2021-02-06,46.5452
2021-02-07,46.5452
2021-02-08,47.9032
2021-02-09,44.9872
2021-02-10,43.4282
2021-02-11,46.9376
2021-02-12,46.4975
2021-02-13,46.4975
2021-02-14,46.4975
2021-02-15,46.4975
2021-02-16,45.1903
2021-02-17,46.3109
2021-02-18,47.8742
2021-02-19,45.9462
2021-02-20,45.9462
2021-02-21,45.9462
2021-02-22,42.355
2021-02-23,41.9813
2021-02-24,41.3351
2021-02-25,39.3582
2021-02-26,43.916
2021-02-27,43.916
2021-02-28,43.916
2021-03-01,47.047
2021-03-02,46.95
2021-03-03,46.1737
2021-03-04,44.7621
2021-03-05,48.6942
2021-03-06,48.6942
2021-03-07,48.6942
2021-03-08,49.3659
2021-03-09,48.0219
2021-03-10,47.9427
2021-03-11,48.1417
2021-03-12,47.3754
2021-03-13,47.3754
2021-03-14,47.3754
2021-03-15,50.7349
2021-03-16,50.4029
2021-03-17,49.7559
2021-03-18,47.0998
2021-03-19,47.7237
2021-03-20,47.7237
2021-03-21,47.7237
2021-03-22,49.0867
2021-03-23,51.7513
2021-03-24,52.1601
2021-03-25,52.0736
2021-03-26,54.0228
2021-03-27,54.0228
2021-03-28,54.0228
2021-03-29,53.1831
2021-03-30,47.4248
2021-03-31,46.294
2021-04-01,50.0653
2021-04-02,50.0653
2021-04-03,50.0653
2021-04-04,50.0653
2021-04-05,51.5451
2021-04-06,50.5084
2021-04-07,46.8787
2021-04-08,47.2256
2021-04-09,46.816
2021-04-10,46.816
2021-04-11,46.816
2021-04-12,47.8037
2021-04-13,47.8695
2021-04-14,46.9336
2021-04-15,49.6191
2021-04-16,51.5831
2021-04-17,51.5831
2021-04-18,51.5831
2021-04-19,50.6805
2021-04-20,51.3692
2021-04-21,52.6821
2021-04-22,53.5937
2021-04-23,62.2019
2021-04-24,62.2019
2021-04-25,62.2019
2021-04-26,57.3879
2021-04-27,59.0759
2021-04-28,56.5341
2021-04-29,58.1105
2021-04-30,55.9343
2021-05-01,55.9343
2021-05-02,55.9343
2021-05-03,57.8238
2021-05-04,58.9282
2021-05-05,55.1118
2021-05-06,55.608
2021-05-07,55.1859
2021-05-08,55.1859
2021-05-09,55.1859
2021-05-10,54.3658
2021-05-11,53.0009
2021-05-12,50.8279
2021-05-13,51.6029
2021-05-14,52.5152
2021-05-15,52.5152
2021-05-16,52.5152
2021-05-17,50.6959
2021-05-18,48.7763
2021-05-19,49.0584
2021-05-20,51.0712
2021-05-21,51.4109
2021-05-22,51.4109
2021-05-23,51.4109
2021-05-24,51.737
2021-05-25,52.0697
2021-05-26,52.8277
2021-05-27,53.5003
2021-05-28,54.4
2021-05-29,54.4
2021-05-30,54.4
2021-05-31,54.4
2021-06-01,49.5582
2021-06-02,51.0446
2021-06-03,49.9147
2021-06-04,50.1149
2021-06-05,50.1149
2021-06-06,50.1149
2021-06-07,49.0679
2021-06-08,49.1889
2021-06-09,48.4181
2021-06-10,49.7554
2021-06-11,51.6844
2021-06-12,51.6844
2021-06-13,51.6844
2021-06-14,51.4779
2021-06-15,51.4672
2021-06-16,50.6498
2021-06-17,51.7574
2021-06-18,49.9757
2021-06-19,49.9757
2021-06-20,49.9757
2021-06-21,52.2483
2021-06-22,52.8217
2021-06-23,51.5243
2021-06-24,52.6428
2021-06-25,53.4071
2021-06-26,53.4071
2021-06-27,53.4071
2021-06-28,55.9193
2021-06-29,55.3456
2021-06-30,55.0281
2021-07-01,55.1452
2021-07-02,56.5497
2021-07-03,56.5497
2021-07-04,56.5497
2021-07-05,56.5497
2021-07-06,57.8629
2021-07-07,56.8689
2021-07-08,57.5332
2021-07-09,58.7734
2021-07-10,58.7734
2021-07-11,58.7734
2021-07-12,56.143
2021-07-13,53.4132
2021-07-14,53.5347
2021-07-15,55.3307
2021-07-16,56.6273
2021-07-17,56.6273
2021-07-18,56.6273
2021-07-19,53.8626
2021-07-20,55.4109
2021-07-21,55.7239
2021-07-22,55.9182
2021-07-23,58.3648
2021-07-24,58.3648
2021-07-25,58.3648
2021-07-26,56.5353
2021-07-27,57.2837
2021-07-28,57.9875
2021-07-29,60.0669
2021-07-30,63.9417
2021-07-31,63.9417
2021-08-01,63.9417
2021-08-02,64.7903
2021-08-03,63.7976
2021-08-04,64.1686
2021-08-05,64.2621
2021-08-06,65.7425
2021-08-07,65.7425
2021-08-08,65.7425
2021-08-09,65.9341
2021-08-10,65.3847
2021-08-11,66.4927
2021-08-12,65.0565
2021-08-13,67.5392
2021-08-14,67.5392
2021-08-15,67.5392
2021-08-16,69.9467
2021-08-17,70.1942
2021-08-18,59.4246
2021-08-19,61.2556
2021-08-20,62.9132
2021-08-21,62.9132
2021-08-22,62.9132
2021-08-23,61.2319
2021-08-24,61.6921
2021-08-25,65.1647
2021-08-26,63.7418
2021-08-27,64.7695
2021-08-28,64.7695
2021-08-29,64.7695
2021-08-30,66.4277
2021-08-31,66.4806
2021-09-01,68.539
2021-09-02,68.915
2021-09-03,68.1278
2021-09-04,68.1278
2021-09-05,68.1278
2021-09-06,68.1278
2021-09-07,65.4223
2021-09-08,66.3812
2021-09-09,65.4007
2021-09-10,65.5829
2021-09-11,65.5829
2021-09-12,65.5829
2021-09-13,64.4419
2021-09-14,64.9579
2021-09-15,64.9669
2021-09-16,63.6245
2021-09-17,60.4316
2021-09-18,60.4316
2021-09-19,60.4316
2021-09-20,57.5867
2021-09-21,55.1452
2021-09-22,56.9873
2021-09-23,56.3171
2021-09-24,55.7916
2021-09-25,55.7916
2021-09-26,55.7916
2021-09-27,53.182
2021-09-28,60.5687
2021-09-29,65.0815
2021-09-30,65.1807
2021-10-01,64.7228
2021-10-02,64.7228
2021-10-03,64.7228
2021-10-04,65.6746
2021-10-05,65.7247
2021-10-06,64.2897
2021-10-07,66.9491
2021-10-08,66.5519
2021-10-09,66.5519
2021-10-10,66.5519
2021-10-11,68.04
2021-10-12,70.0011
2021-10-13,69.1326
2021-10-14,70.7693
2021-10-15,70.8439
2021-10-16,70.8439
2021-10-17,70.8439
2021-10-18,71.1454
2021-10-19,73.208
2021-10-20,72.3665
2021-10-21,74.0642
2021-10-22,75.1718
2021-10-23,75.1718
2021-10-24,75.1718
2021-10-25,75.6582
2021-10-26,76.3479
2021-10-27,73.4391
2021-10-28,75.3618
2021-10-29,76.6487
2021-10-30,76.6487
2021-10-31,76.6487
2021-11-01,69.929
2021-11-02,70.2738
2021-11-03,71.5118
2021-11-04,72.4394
2021-11-05,73.3453
2021-11-06,73.3453
2021-11-07,73.3453
2021-11-08,73.6317
2021-11-09,71.994
2021-11-10,72.7943
2021-11-11,74.9669
2021-11-12,74.8691
2021-11-13,74.8691
2021-11-14,74.8691
2021-11-15,76.4121
2021-11-16,74.85
2021-11-17,74.9217
2021-11-18,75.048
2021-11-19,74.6754
2021-11-20,74.6754
2021-11-21,74.6754
2021-11-22,70.4143
2021-11-23,73.1167
2021-11-24,74.1895
2021-11-25,74.1895
2021-11-26,66.9836
2021-11-27,66.9836
2021-11-28,66.9836
2021-11-29,70.3059
2021-11-30,69.7747
2021-12-01,66.3098
2021-12-02,68.4571
2021-12-03,66.1337
2021-12-04,66.1337
2021-12-05,66.1337
2021-12-06,62.5579
2021-12-07,64.6687
2021-12-08,66.7686
2021-12-09,60.9803
2021-12-10,61.9624
2021-12-11,61.9624
2021-12-12,61.9624
2021-12-13,62.0988
2021-12-14,59.9001
2021-12-15,62.1228
2021-12-16,62.714
2021-12-17,63.2099
2021-12-18,63.2099
2021-12-19,63.2099
2021-12-20,62.1411
2021-12-21,63.2939
2021-12-22,64.0565
2021-12-23,64.664
2021-12-24,64.664
2021-12-25,64.664
2021-12-26,64.664
2021-12-27,66.3904
2021-12-28,66.967
2021-12-29,67.2752
2021-12-30,64.9736
2021-12-31,65.3525
2022-01-01,65.3525
2022-01-02,65.3525
2022-01-03,60.0649
2022-01-04,58.3253
2022-01-05,49.5051
2022-01-06,48.8339
2022-01-07,46.2001
2022-01-08,46.2001
2022-01-09,46.2001
2022-01-10,46.6098
2022-01-11,47.2493
2022-01-12,48.5482
2022-01-13,43.86
2022-01-14,41.7328
2022-01-15,41.7328
2022-01-16,41.7328
2022-01-17,41.7328
2022-01-18,42.3953
2022-01-19,42.7279
2022-01-20,41.5041
2022-01-21,39.8451
2022-01-22,39.8451
2022-01-23,39.8451
2022-01-24,40.233
2022-01-25,38.305
2022-01-26,36.1956
2022-01-27,36.1902
2022-01-28,38.7083
2022-01-29,38.7083
2022-01-30,38.7083
2022-01-31,42.9668
2022-02-01,42.7898
2022-02-02,45.8281
2022-02-03,42.7973
2022-02-04,43.2388
2022-02-05,43.2388
2022-02-06,43.2388
2022-02-07,42.3742
2022-02-08,43.2
2022-02-09,42.5914
2022-02-10,39.6754
2022-02-11,39.3504
2022-02-12,39.3504
2022-02-13,39.3504
2022-02-14,37.3282
2022-02-15,40.8906
2022-02-16,42.7164
2022-02-17,40.7167
2022-02-18,39.9389
2022-02-19,39.9389
2022-02-20,39.9389
2022-02-21,39.9389
2022-02-22,40.4414
2022-02-23,37.548
2022-02-24,37.2277
2022-02-25,43.4685
2022-02-26,43.4685
2022-02-27,43.4685
2022-02-28,43.2751
2022-03-01,45.5349
2022-03-02,47.8232
2022-03-03,45.7661
2022-03-04,46.293
2022-03-05,46.293
2022-03-06,46.293
2022-03-07,46.2233
2022-03-08,44.3583
2022-03-09,47.376
2022-03-10,44.8072
2022-03-11,45.1128
2022-03-12,45.1128
2022-03-13,45.1128
2022-03-14,45.3031
2022-03-15,48.4432
2022-03-16,49.4849
2022-03-17,52.2666
2022-03-18,56.0753
2022-03-19,56.0753
2022-03-20,56.0753
2022-03-21,55.4541
2022-03-22,54.7953
2022-03-23,51.494
2022-03-24,48.93
2022-03-25,47.2396
2022-03-26,47.2396
2022-03-27,47.2396
2022-03-28,52.7959
2022-03-29,54.5308
2022-03-30,55.2527
2022-03-31,53.2796
2022-04-01,51.6117
2022-04-02,51.6117
2022-04-03,51.6117
2022-04-04,52.8413
2022-04-05,55.0639
2022-04-06,55.5868
2022-04-07,56.1434
