,2078185D US Equity
,RSI_30D
2021-07-03,68.0281
2021-07-04,68.0281
2021-07-05,68.0281
2021-07-06,68.0281
2021-07-07,68.0281
2021-07-08,68.0281
2021-07-09,68.0281
2021-07-10,68.0281
2021-07-11,68.0281
2021-07-12,68.0281
2021-07-13,68.0281
2021-07-14,68.0281
2021-07-15,68.0281
2021-07-16,68.0281
2021-07-17,68.0281
2021-07-18,68.0281
2021-07-19,68.0281
2021-07-20,68.0281
2021-07-21,68.0281
2021-07-22,68.0281
2021-07-23,68.0281
2021-07-24,68.0281
2021-07-25,68.0281
2021-07-26,68.0281
2021-07-27,68.0281
2021-07-28,68.0281
2021-07-29,68.0281
2021-07-30,68.0281
2021-07-31,68.0281
2021-08-01,68.0281
2021-08-02,68.0281
2021-08-03,68.0281
2021-08-04,68.0281
2021-08-05,68.0281
2021-08-06,68.0281
2021-08-07,68.0281
2021-08-08,68.0281
2021-08-09,68.0281
2021-08-10,68.0281
2021-08-11,68.0281
2021-08-12,68.0281
2021-08-13,68.0281
2021-08-14,68.0281
2021-08-15,68.0281
2021-08-16,68.0281
2021-08-17,68.0281
2021-08-18,68.0281
2021-08-19,68.0281
2021-08-20,68.0281
2021-08-21,68.0281
2021-08-22,68.0281
2021-08-23,68.0281
2021-08-24,68.0281
2021-08-25,68.0281
2021-08-26,68.0281
2021-08-27,68.0281
2021-08-28,68.0281
2021-08-29,68.0281
2021-08-30,68.0281
2021-08-31,68.0281
2021-09-01,68.0281
2021-09-02,68.0281
2021-09-03,68.0281
2021-09-04,68.0281
2021-09-05,68.0281
2021-09-06,68.0281
2021-09-07,68.0281
2021-09-08,68.0281
2021-09-09,68.0281
2021-09-10,68.0281
2021-09-11,68.0281
2021-09-12,68.0281
2021-09-13,68.0281
2021-09-14,68.0281
2021-09-15,68.0281
2021-09-16,68.0281
2021-09-17,68.0281
2021-09-18,68.0281
2021-09-19,68.0281
2021-09-20,68.0281
2021-09-21,68.0281
2021-09-22,68.0281
2021-09-23,68.0281
2021-09-24,68.0281
2021-09-25,68.0281
2021-09-26,68.0281
2021-09-27,68.0281
2021-09-28,68.0281
2021-09-29,68.0281
2021-09-30,68.0281
2021-10-01,68.0281
2021-10-02,68.0281
2021-10-03,68.0281
2021-10-04,68.0281
2021-10-05,68.0281
2021-10-06,68.0281
2021-10-07,68.0281
2021-10-08,68.0281
