,CORT US Equity
,RSI_30D
2020-08-24,39.0003
2020-08-25,39.5831
2020-08-26,38.4022
2020-08-27,37.9422
2020-08-28,38.9734
2020-08-29,38.9734
2020-08-30,38.9734
2020-08-31,39.5965
2020-09-01,38.8667
2020-09-02,67.3675
2020-09-03,64.0388
2020-09-04,66.0177
2020-09-05,66.0177
2020-09-06,66.0177
2020-09-07,66.0177
2020-09-08,59.8991
2020-09-09,63.1077
2020-09-10,57.9058
2020-09-11,56.3936
2020-09-12,56.3936
2020-09-13,56.3936
2020-09-14,56.9977
2020-09-15,56.1314
2020-09-16,55.9742
2020-09-17,54.5368
2020-09-18,56.5049
2020-09-19,56.5049
2020-09-20,56.5049
2020-09-21,56.5049
2020-09-22,55.9365
2020-09-23,53.4498
2020-09-24,52.5436
2020-09-25,53.446
2020-09-26,53.446
2020-09-27,53.446
2020-09-28,54.1616
2020-09-29,54.7659
2020-09-30,54.255
2020-10-01,54.1649
2020-10-02,52.505
2020-10-03,52.505
2020-10-04,52.505
2020-10-05,54.7503
2020-10-06,54.9949
2020-10-07,55.1828
2020-10-08,56.86
2020-10-09,56.9526
2020-10-10,56.9526
2020-10-11,56.9526
2020-10-12,56.5758
2020-10-13,57.3541
2020-10-14,56.8273
2020-10-15,55.6808
2020-10-16,55.1496
2020-10-17,55.1496
2020-10-18,55.1496
2020-10-19,53.8216
2020-10-20,54.1264
2020-10-21,52.6003
2020-10-22,53.8667
2020-10-23,54.2225
2020-10-24,54.2225
2020-10-25,54.2225
2020-10-26,54.2225
2020-10-27,53.975
2020-10-28,50.7628
2020-10-29,50.8982
2020-10-30,49.1285
2020-10-31,49.1285
2020-11-01,49.1285
2020-11-02,51.9913
2020-11-03,53.6613
2020-11-04,55.231
2020-11-05,54.7264
2020-11-06,54.7691
2020-11-07,54.7691
2020-11-08,54.7691
2020-11-09,53.9781
2020-11-10,55.826
2020-11-11,58.4169
2020-11-12,54.876
2020-11-13,53.7196
2020-11-14,53.7196
2020-11-15,53.7196
2020-11-16,53.7634
2020-11-17,53.4493
2020-11-18,56.1858
2020-11-19,70.1711
2020-11-20,71.1477
2020-11-21,71.1477
2020-11-22,71.1477
2020-11-23,66.8504
2020-11-24,66.3157
2020-11-25,66.0879
2020-11-26,66.0879
2020-11-27,66.4692
2020-11-28,66.4692
2020-11-29,66.4692
2020-11-30,64.8198
2020-12-01,65.7003
2020-12-02,65.1222
2020-12-03,66.372
2020-12-04,66.8486
2020-12-05,66.8486
2020-12-06,66.8486
2020-12-07,67.2778
2020-12-08,68.7548
2020-12-09,68.9
2020-12-10,70.8175
2020-12-11,71.0873
2020-12-12,71.0873
2020-12-13,71.0873
2020-12-14,71.8285
2020-12-15,72.9793
2020-12-16,73.0223
2020-12-17,74.3729
2020-12-18,71.0386
2020-12-19,71.0386
2020-12-20,71.0386
2020-12-21,71.7612
2020-12-22,72.7926
2020-12-23,73.3286
2020-12-24,72.6769
2020-12-25,72.6769
2020-12-26,72.6769
2020-12-27,72.6769
2020-12-28,69.5382
2020-12-29,66.2497
2020-12-30,66.5767
2020-12-31,66.5211
2021-01-01,66.5211
2021-01-02,66.5211
2021-01-03,66.5211
2021-01-04,66.1215
2021-01-05,65.5396
2021-01-06,66.8378
2021-01-07,69.0272
2021-01-08,68.8463
2021-01-09,68.8463
2021-01-10,68.8463
2021-01-11,67.8653
2021-01-12,67.3688
2021-01-13,67.4918
2021-01-14,69.4292
2021-01-15,70.8662
2021-01-16,70.8662
2021-01-17,70.8662
2021-01-18,70.8662
2021-01-19,72.4383
2021-01-20,71.6515
2021-01-21,67.5405
2021-01-22,67.7759
2021-01-23,67.7759
2021-01-24,67.7759
2021-01-25,69.2192
2021-01-26,68.9635
2021-01-27,69.7437
2021-01-28,69.2105
2021-01-29,66.2622
2021-01-30,66.2622
2021-01-31,66.2622
2021-02-01,69.3534
2021-02-02,71.0579
2021-02-03,65.7936
2021-02-04,66.9876
2021-02-05,66.7009
2021-02-06,66.7009
2021-02-07,66.7009
2021-02-08,69.7786
2021-02-09,64.7205
2021-02-10,65.1376
2021-02-11,59.7755
2021-02-12,56.8279
2021-02-13,56.8279
2021-02-14,56.8279
2021-02-15,56.8279
2021-02-16,57.1218
2021-02-17,55.4728
2021-02-18,51.4685
2021-02-19,52.2607
2021-02-20,52.2607
2021-02-21,52.2607
2021-02-22,51.4705
2021-02-23,51.0118
2021-02-24,50.9301
2021-02-25,46.8738
2021-02-26,45.406
2021-02-27,45.406
2021-02-28,45.406
2021-03-01,46.7112
2021-03-02,44.3076
2021-03-03,43.0603
2021-03-04,41.2582
2021-03-05,44.2792
2021-03-06,44.2792
2021-03-07,44.2792
2021-03-08,41.724
2021-03-09,45.4295
2021-03-10,45.8211
2021-03-11,48.5702
2021-03-12,49.3457
2021-03-13,49.3457
2021-03-14,49.3457
2021-03-15,49.7191
2021-03-16,48.6432
2021-03-17,49.4625
2021-03-18,46.6748
2021-03-19,49.2816
2021-03-20,49.2816
2021-03-21,49.2816
2021-03-22,49.5861
2021-03-23,47.4853
2021-03-24,42.6339
2021-03-25,43.0407
2021-03-26,45.9356
2021-03-27,45.9356
2021-03-28,45.9356
2021-03-29,43.9417
2021-03-30,42.8425
2021-03-31,44.0491
2021-04-01,46.5398
2021-04-02,46.5398
2021-04-03,46.5398
2021-04-04,46.5398
2021-04-05,45.5885
2021-04-06,45.6677
2021-04-07,42.9504
2021-04-08,41.6976
2021-04-09,41.0036
2021-04-10,41.0036
2021-04-11,41.0036
2021-04-12,40.2502
2021-04-13,39.7964
2021-04-14,42.7776
2021-04-15,42.7449
2021-04-16,42.1618
2021-04-17,42.1618
2021-04-18,42.1618
2021-04-19,42.7847
2021-04-20,41.517
2021-04-21,44.5052
2021-04-22,47.494
2021-04-23,47.9907
2021-04-24,47.9907
2021-04-25,47.9907
2021-04-26,49.2733
2021-04-27,47.6272
2021-04-28,47.1231
2021-04-29,45.9619
2021-04-30,43.486
2021-05-01,43.486
2021-05-02,43.486
2021-05-03,42.3243
2021-05-04,41.4564
2021-05-05,39.608
2021-05-06,39.8601
2021-05-07,37.8647
2021-05-08,37.8647
2021-05-09,37.8647
2021-05-10,34.5501
2021-05-11,36.9744
2021-05-12,37.7693
2021-05-13,39.3036
2021-05-14,40.8132
2021-05-15,40.8132
2021-05-16,40.8132
2021-05-17,41.6843
2021-05-18,41.6139
2021-05-19,41.9184
2021-05-20,42.4872
2021-05-21,42.3312
2021-05-22,42.3312
2021-05-23,42.3312
2021-05-24,41.0834
2021-05-25,40.8885
2021-05-26,42.5787
2021-05-27,43.7978
2021-05-28,43.4939
2021-05-29,43.4939
2021-05-30,43.4939
2021-05-31,43.4939
2021-06-01,43.2279
2021-06-02,42.6433
2021-06-03,44.6102
2021-06-04,43.0819
2021-06-05,43.0819
2021-06-06,43.0819
2021-06-07,42.9895
2021-06-08,43.7995
2021-06-09,46.056
2021-06-10,44.2193
2021-06-11,44.2815
2021-06-12,44.2815
2021-06-13,44.2815
2021-06-14,44.6006
2021-06-15,46.8069
2021-06-16,51.8509
2021-06-17,52.7365
2021-06-18,49.9947
2021-06-19,49.9947
2021-06-20,49.9947
2021-06-21,52.4974
2021-06-22,47.294
2021-06-23,48.837
2021-06-24,50.8704
2021-06-25,51.2128
2021-06-26,51.2128
2021-06-27,51.2128
2021-06-28,52.0039
2021-06-29,48.6385
2021-06-30,47.4826
2021-07-01,50.187
2021-07-02,49.1012
2021-07-03,49.1012
2021-07-04,49.1012
2021-07-05,49.1012
2021-07-06,47.931
2021-07-07,49.3869
2021-07-08,46.8692
2021-07-09,47.9772
2021-07-10,47.9772
2021-07-11,47.9772
2021-07-12,46.8228
2021-07-13,45.7783
2021-07-14,41.4718
2021-07-15,40.5549
2021-07-16,39.9197
2021-07-17,39.9197
2021-07-18,39.9197
2021-07-19,41.9761
2021-07-20,41.681
2021-07-21,43.2726
2021-07-22,41.4106
2021-07-23,41.2824
2021-07-24,41.2824
2021-07-25,41.2824
2021-07-26,40.6318
2021-07-27,40.1086
2021-07-28,42.5325
2021-07-29,42.0232
2021-07-30,44.9964
2021-07-31,44.9964
2021-08-01,44.9964
2021-08-02,46.4753
2021-08-03,49.6146
2021-08-04,49.5609
2021-08-05,49.9531
2021-08-06,51.0226
2021-08-07,51.0226
2021-08-08,51.0226
2021-08-09,49.9191
2021-08-10,46.625
2021-08-11,44.1154
2021-08-12,44.1154
2021-08-13,45.0024
2021-08-14,45.0024
2021-08-15,45.0024
2021-08-16,43.3256
2021-08-17,43.9799
2021-08-18,43.4096
2021-08-19,43.6159
2021-08-20,45.2002
2021-08-21,45.2002
2021-08-22,45.2002
2021-08-23,47.202
2021-08-24,48.6886
2021-08-25,48.8828
2021-08-26,48.503
2021-08-27,51.3078
2021-08-28,51.3078
2021-08-29,51.3078
2021-08-30,51.3078
2021-08-31,49.6261
2021-09-01,52.0332
2021-09-02,52.4776
2021-09-03,51.147
2021-09-04,51.147
2021-09-05,51.147
2021-09-06,51.147
2021-09-07,50.4505
2021-09-08,49.9578
2021-09-09,48.693
2021-09-10,48.1327
2021-09-11,48.1327
2021-09-12,48.1327
2021-09-13,46.4732
2021-09-14,44.2379
2021-09-15,43.6628
2021-09-16,45.2976
2021-09-17,44.4962
2021-09-18,44.4962
2021-09-19,44.4962
2021-09-20,43.8277
2021-09-21,42.7644
2021-09-22,42.9434
2021-09-23,44.9042
2021-09-24,43.4984
