,GTES US Equity
,RSI_30D
2021-07-02,53.5045
2021-07-03,53.5045
2021-07-04,53.5045
2021-07-05,53.5045
2021-07-06,51.0171
2021-07-07,52.6656
2021-07-08,51.471
2021-07-09,54.0144
2021-07-10,54.0144
2021-07-11,54.0144
2021-07-12,55.6186
2021-07-13,54.4573
2021-07-14,53.2194
2021-07-15,52.0821
2021-07-16,49.5542
2021-07-17,49.5542
2021-07-18,49.5542
2021-07-19,44.8273
2021-07-20,50.6272
2021-07-21,52.751
2021-07-22,52.3751
2021-07-23,54.0027
2021-07-24,54.0027
2021-07-25,54.0027
2021-07-26,54.0704
2021-07-27,50.39
2021-07-28,49.6615
2021-07-29,53.2939
2021-07-30,53.4276
2021-07-31,53.4276
2021-08-01,53.4276
2021-08-02,51.9655
2021-08-03,54.6672
2021-08-04,53.4999
2021-08-05,53.8398
2021-08-06,56.4728
2021-08-07,56.4728
2021-08-08,56.4728
2021-08-09,51.1187
2021-08-10,50.7681
2021-08-11,43.6981
2021-08-12,43.0454
2021-08-13,43.7695
2021-08-14,43.7695
2021-08-15,43.7695
2021-08-16,42.7024
2021-08-17,41.1721
2021-08-18,41.3275
2021-08-19,40.3357
2021-08-20,40.4179
2021-08-21,40.4179
2021-08-22,40.4179
2021-08-23,41.5014
2021-08-24,42.8252
2021-08-25,45.0754
2021-08-26,43.8636
2021-08-27,47.5487
2021-08-28,47.5487
2021-08-29,47.5487
2021-08-30,46.9509
2021-08-31,43.9647
2021-09-01,43.4176
2021-09-02,45.8197
2021-09-03,45.8197
2021-09-04,45.8197
2021-09-05,45.8197
2021-09-06,45.8197
2021-09-07,45.2233
2021-09-08,46.1895
2021-09-09,48.7607
2021-09-10,49.5913
2021-09-11,49.5913
2021-09-12,49.5913
2021-09-13,50.4226
2021-09-14,46.1298
2021-09-15,48.2565
2021-09-16,46.8887
2021-09-17,44.169
2021-09-18,44.169
2021-09-19,44.169
2021-09-20,41.725
2021-09-21,41.4357
2021-09-22,43.6191
2021-09-23,46.4493
2021-09-24,47.1905
2021-09-25,47.1905
2021-09-26,47.1905
2021-09-27,47.5659
2021-09-28,45.9442
2021-09-29,47.0339
2021-09-30,45.6733
2021-10-01,48.8135
2021-10-02,48.8135
2021-10-03,48.8135
2021-10-04,49.4767
2021-10-05,52.4506
2021-10-06,47.6807
2021-10-07,47.6807
2021-10-08,47.6136
2021-10-09,47.6136
2021-10-10,47.6136
2021-10-11,44.5012
2021-10-12,44.19
2021-10-13,45.453
2021-10-14,46.1619
2021-10-15,48.0255
2021-10-16,48.0255
2021-10-17,48.0255
2021-10-18,48.4866
2021-10-19,49.1862
2021-10-20,50.2729
2021-10-21,50.5075
2021-10-22,50.668
2021-10-23,50.668
2021-10-24,50.668
2021-10-25,51.0784
2021-10-26,49.1335
2021-10-27,46.4298
2021-10-28,50.0274
2021-10-29,48.0107
2021-10-30,48.0107
2021-10-31,48.0107
2021-11-01,53.2587
2021-11-02,54.0807
2021-11-03,55.5629
2021-11-04,56.03
2021-11-05,59.8932
2021-11-06,59.8932
2021-11-07,59.8932
2021-11-08,52.1025
2021-11-09,51.1576
2021-11-10,52.3079
2021-11-11,52.5008
2021-11-12,52.2821
2021-11-13,52.2821
2021-11-14,52.2821
2021-11-15,48.1331
2021-11-16,49.3798
2021-11-17,50.0695
2021-11-18,48.8978
2021-11-19,46.0147
2021-11-20,46.0147
2021-11-21,46.0147
2021-11-22,47.0425
2021-11-23,48.7023
2021-11-24,48.6337
2021-11-25,48.6337
2021-11-26,46.8595
2021-11-27,46.8595
2021-11-28,46.8595
2021-11-29,46.589
2021-11-30,44.6557
2021-12-01,44.1331
2021-12-02,46.4819
2021-12-03,47.1164
2021-12-04,47.1164
2021-12-05,47.1164
2021-12-06,44.9788
2021-12-07,49.2082
2021-12-08,47.6912
2021-12-09,46.2173
2021-12-10,45.4252
2021-12-11,45.4252
2021-12-12,45.4252
2021-12-13,44.5691
2021-12-14,43.0207
2021-12-15,43.9441
2021-12-16,42.3935
2021-12-17,41.821
2021-12-18,41.821
2021-12-19,41.821
2021-12-20,36.8455
2021-12-21,43.049
2021-12-22,43.1989
2021-12-23,43.962
2021-12-24,43.962
2021-12-25,43.962
2021-12-26,43.962
2021-12-27,46.6318
2021-12-28,46.3778
2021-12-29,46.7528
2021-12-30,47.2867
2021-12-31,47.5973
2022-01-01,47.5973
2022-01-02,47.5973
2022-01-03,49.5204
2022-01-04,53.3461
2022-01-05,51.1196
2022-01-06,51.1898
2022-01-07,50.8872
2022-01-08,50.8872
2022-01-09,50.8872
2022-01-10,48.6555
2022-01-11,49.6454
2022-01-12,49.9526
2022-01-13,52.9929
2022-01-14,52.5099
2022-01-15,52.5099
2022-01-16,52.5099
2022-01-17,52.5099
2022-01-18,50.9102
2022-01-19,47.7499
2022-01-20,45.9243
2022-01-21,45.101
2022-01-22,45.101
2022-01-23,45.101
2022-01-24,47.3
2022-01-25,45.2181
2022-01-26,44.8101
2022-01-27,41.7565
2022-01-28,43.7803
2022-01-29,43.7803
2022-01-30,43.7803
2022-01-31,45.4153
2022-02-01,47.3173
2022-02-02,47.7878
2022-02-03,45.5436
2022-02-04,44.7956
2022-02-05,44.7956
2022-02-06,44.7956
2022-02-07,43.066
2022-02-08,45.2527
2022-02-09,47.4221
2022-02-10,46.0246
2022-02-11,43.2554
2022-02-12,43.2554
2022-02-13,43.2554
2022-02-14,43.2554
2022-02-15,46.8412
2022-02-16,48.5977
2022-02-17,47.469
2022-02-18,46.836
2022-02-19,46.836
2022-02-20,46.836
2022-02-21,46.836
2022-02-22,45.7148
2022-02-23,47.659
2022-02-24,46.3705
2022-02-25,49.8752
2022-02-26,49.8752
2022-02-27,49.8752
2022-02-28,50.4705
2022-03-01,46.3428
2022-03-02,48.8071
2022-03-03,50.8588
2022-03-04,46.4737
2022-03-05,46.4737
2022-03-06,46.4737
2022-03-07,43.4771
2022-03-08,45.8157
2022-03-09,49.7279
2022-03-10,48.5199
2022-03-11,47.9178
2022-03-12,47.9178
2022-03-13,47.9178
2022-03-14,46.6017
2022-03-15,47.2153
2022-03-16,50.9106
2022-03-17,52.1864
2022-03-18,53.6692
2022-03-19,53.6692
2022-03-20,53.6692
2022-03-21,52.6556
2022-03-22,54.0907
2022-03-23,50.2195
2022-03-24,52.4283
2022-03-25,47.2153
2022-03-26,47.2153
2022-03-27,47.2153
2022-03-28,47.2763
2022-03-29,48.0211
2022-03-30,47.2727
2022-03-31,46.3528
2022-04-01,45.2151
2022-04-02,45.2151
2022-04-03,45.2151
2022-04-04,41.916
2022-04-05,38.3661
2022-04-06,36.8781
2022-04-07,38.0847
2022-04-08,37.8644
2022-04-09,37.8644
2022-04-10,37.8644
2022-04-11,37.0663
2022-04-12,36.8431
2022-04-13,37.6968
2022-04-14,38.3241
2022-04-15,38.3241
2022-04-16,38.3241
2022-04-17,38.3241
2022-04-18,37.257
2022-04-19,41.6141
2022-04-20,42.6264
2022-04-21,43.4951
2022-04-22,40.6808
2022-04-23,40.6808
2022-04-24,40.6808
2022-04-25,40.3749
2022-04-26,38.1957
2022-04-27,38.1473
2022-04-28,40.488
2022-04-29,38.8165
2022-04-30,38.8165
2022-05-01,38.8165
2022-05-02,40.8082
2022-05-03,41.4153
2022-05-04,42.929
2022-05-05,41.1684
2022-05-06,38.9968
2022-05-07,38.9968
2022-05-08,38.9968
2022-05-09,36.7077
2022-05-10,35.9794
2022-05-11,35.1234
2022-05-12,37.3942
2022-05-13,40.4734
2022-05-14,40.4734
2022-05-15,40.4734
2022-05-16,40.6244
2022-05-17,43.5157
2022-05-18,41.1756
2022-05-19,41.6185
2022-05-20,41.0326
2022-05-21,41.0326
2022-05-22,41.0326
2022-05-23,42.1808
2022-05-24,41.1853
2022-05-25,42.9647
2022-05-26,44.4758
2022-05-27,46.5276
2022-05-28,46.5276
2022-05-29,46.5276
2022-05-30,46.5276
2022-05-31,45.0514
2022-06-01,43.7937
2022-06-02,48.1438
2022-06-03,45.6853
2022-06-04,45.6853
2022-06-05,45.6853
2022-06-06,47.0498
2022-06-07,48.5214
2022-06-08,47.0458
2022-06-09,44.9259
2022-06-10,41.637
2022-06-11,41.637
2022-06-12,41.637
2022-06-13,38.2207
2022-06-14,39.2942
2022-06-15,39.7991
2022-06-16,37.2785
2022-06-17,37.5019
2022-06-18,37.5019
2022-06-19,37.5019
2022-06-20,37.5019
2022-06-21,37.3643
2022-06-22,37.0827
2022-06-23,37.5694
2022-06-24,38.9536
2022-06-25,38.9536
2022-06-26,38.9536
2022-06-27,40.0058
2022-06-28,39.3049
2022-06-29,38.1353
2022-06-30,37.8704
2022-07-01,39.3524
2022-07-02,39.3524
2022-07-03,39.3524
2022-07-04,39.3524
2022-07-05,38.7894
2022-07-06,38.97
2022-07-07,42.3994
2022-07-08,41.1126
2022-07-09,41.1126
2022-07-10,41.1126
2022-07-11,39.9189
2022-07-12,40.9825
2022-07-13,39.5345
2022-07-14,38.4797
2022-07-15,41.3572
2022-07-16,41.3572
2022-07-17,41.3572
2022-07-18,41.1704
2022-07-19,45.4199
2022-07-20,47.3856
2022-07-21,47.3856
2022-07-22,47.7081
2022-07-23,47.7081
2022-07-24,47.7081
2022-07-25,47.7908
2022-07-26,47.9612
2022-07-27,50.3099
2022-07-28,51.5224
2022-07-29,52.9477
2022-07-30,52.9477
2022-07-31,52.9477
2022-08-01,52.5042
2022-08-02,51.2602
2022-08-03,52.8292
2022-08-04,53.5618
2022-08-05,50.1595
2022-08-06,50.1595
2022-08-07,50.1595
2022-08-08,49.8149
2022-08-09,48.1883
2022-08-10,51.8679
2022-08-11,52.5169
2022-08-12,54.5761
2022-08-13,54.5761
2022-08-14,54.5761
2022-08-15,55.3466
2022-08-16,54.9608
2022-08-17,51.875
2022-08-18,52.2115
2022-08-19,49.6103
2022-08-20,49.6103
2022-08-21,49.6103
2022-08-22,45.1929
2022-08-23,45.9175
2022-08-24,46.2848
2022-08-25,47.3937
2022-08-26,43.5924
2022-08-27,43.5924
2022-08-28,43.5924
2022-08-29,39.5112
2022-08-30,41.5527
2022-08-31,40.7762
2022-09-01,39.3804
2022-09-02,41.9051
2022-09-03,41.9051
2022-09-04,41.9051
2022-09-05,41.9051
2022-09-06,40.7984
2022-09-07,45.526
2022-09-08,46.1846
2022-09-09,49.2025
2022-09-10,49.2025
2022-09-11,49.2025
2022-09-12,51.6389
2022-09-13,47.6286
2022-09-14,47.7037
2022-09-15,46.4642
2022-09-16,44.2193
2022-09-17,44.2193
2022-09-18,44.2193
2022-09-19,46.4245
2022-09-20,43.9833
2022-09-21,43.4238
2022-09-22,41.8926
2022-09-23,38.8854
2022-09-24,38.8854
2022-09-25,38.8854
2022-09-26,38.1373
2022-09-27,38.9188
2022-09-28,41.305
2022-09-29,40.1461
2022-09-30,39.2351
2022-10-01,39.2351
2022-10-02,39.2351
2022-10-03,42.0413
2022-10-04,44.9881
2022-10-05,44.4198
2022-10-06,43.8468
2022-10-07,42.0393
2022-10-08,42.0393
2022-10-09,42.0393
2022-10-10,40.3198
2022-10-11,40.3198
2022-10-12,40.4995
2022-10-13,44.3946
2022-10-14,44.4782
2022-10-15,44.4782
2022-10-16,44.4782
2022-10-17,45.4116
2022-10-18,48.7348
2022-10-19,47.7089
2022-10-20,46.4798
2022-10-21,48.5758
2022-10-22,48.5758
2022-10-23,48.5758
2022-10-24,49.8267
2022-10-25,52.0874
2022-10-26,51.4479
2022-10-27,52.7968
2022-10-28,53.8289
2022-10-29,53.8289
2022-10-30,53.8289
2022-10-31,52.144
2022-11-01,53.9339
2022-11-02,50.2858
2022-11-03,50.2858
2022-11-04,46.6118
2022-11-05,46.6118
2022-11-06,46.6118
2022-11-07,52.0814
2022-11-08,52.2864
2022-11-09,51.5263
2022-11-10,55.4153
2022-11-11,56.776
2022-11-12,56.776
2022-11-13,56.776
2022-11-14,54.6581
2022-11-15,56.4028
2022-11-16,54.3923
2022-11-17,53.2593
2022-11-18,53.4599
2022-11-19,53.4599
2022-11-20,53.4599
2022-11-21,53.5972
2022-11-22,54.7707
2022-11-23,53.5349
2022-11-24,53.5349
2022-11-25,54.0356
2022-11-26,54.0356
2022-11-27,54.0356
2022-11-28,50.7999
2022-11-29,51.5502
2022-11-30,53.4592
2022-12-01,53.1261
2022-12-02,53.2015
2022-12-03,53.2015
2022-12-04,53.2015
2022-12-05,50.3518
2022-12-06,48.4565
2022-12-07,47.0074
2022-12-08,49.1597
2022-12-09,47.7702
2022-12-10,47.7702
2022-12-11,47.7702
2022-12-12,49.6513
2022-12-13,52.3528
2022-12-14,50.8998
2022-12-15,47.7041
2022-12-16,49.1968
2022-12-17,49.1968
2022-12-18,49.1968
2022-12-19,48.2225
2022-12-20,49.2619
2022-12-21,51.2104
2022-12-22,48.2219
2022-12-23,50.002
2022-12-24,50.002
2022-12-25,50.002
2022-12-26,50.002
2022-12-27,50.8382
2022-12-28,49.0633
2022-12-29,51.8602
2022-12-30,51.8602
2022-12-31,51.8602
2023-01-01,51.8602
2023-01-02,51.8602
2023-01-03,53.0531
2023-01-04,54.9306
2023-01-05,56.1855
2023-01-06,58.8213
2023-01-07,58.8213
2023-01-08,58.8213
2023-01-09,59.076
2023-01-10,59.7203
2023-01-11,60.4291
2023-01-12,60.8182
2023-01-13,60.8846
2023-01-14,60.8846
2023-01-15,60.8846
2023-01-16,60.8846
2023-01-17,58.9244
2023-01-18,57.4147
2023-01-19,55.4551
2023-01-20,57.4818
2023-01-21,57.4818
2023-01-22,57.4818
2023-01-23,59.1208
2023-01-24,59.8858
2023-01-25,58.3455
2023-01-26,59.2137
2023-01-27,60.9671
2023-01-28,60.9671
2023-01-29,60.9671
2023-01-30,58.4708
2023-01-31,61.4001
2023-02-01,62.6671
2023-02-02,64.3614
