,BY US Equity
,RSI_30D
2021-02-08,62.8234
2021-02-09,64.3301
2021-02-10,64.5776
2021-02-11,64.8658
2021-02-12,67.1795
2021-02-13,67.1795
2021-02-14,67.1795
2021-02-15,67.1795
2021-02-16,65.1267
2021-02-17,62.5132
2021-02-18,60.6702
2021-02-19,62.0588
2021-02-20,62.0588
2021-02-21,62.0588
2021-02-22,63.9947
2021-02-23,65.3409
2021-02-24,67.0407
2021-02-25,65.3821
2021-02-26,64.7448
2021-02-27,64.7448
2021-02-28,64.7448
2021-03-01,66.9759
2021-03-02,66.1358
2021-03-03,68.1093
2021-03-04,65.6824
2021-03-05,67.1177
2021-03-06,67.1177
2021-03-07,67.1177
2021-03-08,68.6548
2021-03-09,65.3698
2021-03-10,66.9442
2021-03-11,67.5135
2021-03-12,67.7553
2021-03-13,67.7553
2021-03-14,67.7553
2021-03-15,63.6499
2021-03-16,61.4648
2021-03-17,62.3789
2021-03-18,62.8003
2021-03-19,61.7275
2021-03-20,61.7275
2021-03-21,61.7275
2021-03-22,60.2488
2021-03-23,55.5162
2021-03-24,56.4221
2021-03-25,58.2989
2021-03-26,60.7892
2021-03-27,60.7892
2021-03-28,60.7892
2021-03-29,57.2523
2021-03-30,58.8422
2021-03-31,59.1347
2021-04-01,59.7269
2021-04-02,59.7269
2021-04-03,59.7269
2021-04-04,59.7269
2021-04-05,59.952
2021-04-06,59.3231
2021-04-07,59.483
2021-04-08,60.7208
2021-04-09,61.1956
2021-04-10,61.1956
2021-04-11,61.1956
2021-04-12,61.0049
2021-04-13,59.2849
2021-04-14,61.4503
2021-04-15,61.4503
2021-04-16,61.6184
2021-04-17,61.6184
2021-04-18,61.6184
2021-04-19,60.1271
2021-04-20,56.4043
2021-04-21,58.2486
2021-04-22,58.5209
2021-04-23,61.7469
2021-04-24,61.7469
2021-04-25,61.7469
2021-04-26,58.4844
2021-04-27,58.3618
2021-04-28,58.1724
2021-04-29,59.0431
2021-04-30,61.9736
2021-05-01,61.9736
2021-05-02,61.9736
2021-05-03,64.2684
2021-05-04,62.9365
2021-05-05,61.1026
2021-05-06,62.67
2021-05-07,63.4129
2021-05-08,63.4129
2021-05-09,63.4129
2021-05-10,60.3322
2021-05-11,58.5176
2021-05-12,55.8224
2021-05-13,57.959
2021-05-14,58.8175
2021-05-15,58.8175
2021-05-16,58.8175
2021-05-17,59.877
2021-05-18,58.8742
2021-05-19,58.119
2021-05-20,57.8631
2021-05-21,60.684
2021-05-22,60.684
2021-05-23,60.684
2021-05-24,59.5065
2021-05-25,54.7449
2021-05-26,56.4992
2021-05-27,57.2658
2021-05-28,57.8534
2021-05-29,57.8534
2021-05-30,57.8534
2021-05-31,57.8534
2021-06-01,59.7893
2021-06-02,55.7552
2021-06-03,55.1803
2021-06-04,54.3114
2021-06-05,54.3114
2021-06-06,54.3114
2021-06-07,54.8023
2021-06-08,54.8023
2021-06-09,55.1119
2021-06-10,53.5311
2021-06-11,54.0223
2021-06-12,54.0223
2021-06-13,54.0223
2021-06-14,51.5188
2021-06-15,53.1472
2021-06-16,54.4037
2021-06-17,52.2
2021-06-18,47.7938
2021-06-19,47.7938
