,SIVBQ US Equity
,RSI_30D
2021-06-10,52.713
2021-06-11,51.8063
2021-06-12,51.8063
2021-06-13,51.8063
2021-06-14,48.8267
2021-06-15,49.6645
2021-06-16,52.6692
2021-06-17,48.7882
2021-06-18,46.434
2021-06-19,46.434
2021-06-20,46.434
2021-06-21,50.3063
2021-06-22,50.7578
2021-06-23,51.4082
2021-06-24,51.5564
2021-06-25,52.1855
2021-06-26,52.1855
2021-06-27,52.1855
2021-06-28,50.7313
2021-06-29,50.7332
2021-06-30,50.6444
2021-07-01,52.2319
2021-07-02,52.2939
2021-07-03,52.2939
2021-07-04,52.2939
2021-07-05,52.2939
2021-07-06,49.2486
2021-07-07,49.5744
2021-07-08,48.2439
2021-07-09,53.976
2021-07-10,53.976
2021-07-11,53.976
2021-07-12,56.9664
2021-07-13,54.0456
2021-07-14,54.2716
2021-07-15,54.3558
2021-07-16,50.6949
2021-07-17,50.6949
2021-07-18,50.6949
2021-07-19,46.1507
2021-07-20,50.7032
2021-07-21,52.6199
2021-07-22,51.8299
2021-07-23,52.0764
2021-07-24,52.0764
2021-07-25,52.0764
2021-07-26,51.0461
2021-07-27,49.2319
2021-07-28,50.4944
2021-07-29,51.344
2021-07-30,48.467
2021-07-31,48.467
2021-08-01,48.467
2021-08-02,47.5165
2021-08-03,48.2915
2021-08-04,48.2208
2021-08-05,51.9906
2021-08-06,55.2292
2021-08-07,55.2292
2021-08-08,55.2292
2021-08-09,54.7277
2021-08-10,53.5436
2021-08-11,55.6832
2021-08-12,55.0339
2021-08-13,53.2758
2021-08-14,53.2758
2021-08-15,53.2758
2021-08-16,53.2091
2021-08-17,49.8078
2021-08-18,48.6528
2021-08-19,46.3565
2021-08-20,47.901
2021-08-21,47.901
2021-08-22,47.901
2021-08-23,49.2505
2021-08-24,51.025
2021-08-25,51.6567
2021-08-26,49.6016
2021-08-27,52.0124
2021-08-28,52.0124
2021-08-29,52.0124
2021-08-30,49.38
2021-08-31,49.3451
2021-09-01,50.2719
2021-09-02,51.1957
2021-09-03,51.5306
2021-09-04,51.5306
2021-09-05,51.5306
2021-09-06,51.5306
2021-09-07,54.1099
2021-09-08,54.0832
2021-09-09,54.7515
2021-09-10,55.1057
2021-09-11,55.1057
2021-09-12,55.1057
2021-09-13,56.9817
2021-09-14,53.1348
2021-09-15,55.4877
2021-09-16,57.2318
2021-09-17,57.5511
2021-09-18,57.5511
2021-09-19,57.5511
2021-09-20,52.8101
2021-09-21,53.7683
2021-09-22,56.2026
2021-09-23,61.156
2021-09-24,62.1634
2021-09-25,62.1634
2021-09-26,62.1634
2021-09-27,65.095
2021-09-28,61.0127
2021-09-29,61.2578
2021-09-30,59.487
2021-10-01,61.7057
2021-10-02,61.7057
2021-10-03,61.7057
2021-10-04,58.8388
2021-10-05,60.827
2021-10-06,59.7962
2021-10-07,60.511
2021-10-08,61.1282
2021-10-09,61.1282
2021-10-10,61.1282
2021-10-11,60.3405
2021-10-12,58.8773
2021-10-13,60.0431
2021-10-14,62.1244
2021-10-15,62.9201
2021-10-16,62.9201
2021-10-17,62.9201
2021-10-18,63.626
2021-10-19,64.0981
2021-10-20,64.7574
2021-10-21,64.7275
2021-10-22,70.0107
2021-10-23,70.0107
2021-10-24,70.0107
2021-10-25,68.4393
2021-10-26,68.2854
2021-10-27,60.6824
2021-10-28,60.9654
2021-10-29,61.8054
2021-10-30,61.8054
2021-10-31,61.8054
2021-11-01,63.0654
2021-11-02,64.4901
2021-11-03,66.0765
2021-11-04,65.2804
2021-11-05,64.516
2021-11-06,64.516
2021-11-07,64.516
2021-11-08,63.3687
2021-11-09,64.3774
2021-11-10,62.5676
2021-11-11,62.574
2021-11-12,62.8264
2021-11-13,62.8264
2021-11-14,62.8264
2021-11-15,63.368
2021-11-16,64.2455
2021-11-17,62.0766
2021-11-18,62.0098
2021-11-19,58.169
2021-11-20,58.169
2021-11-21,58.169
2021-11-22,60.1615
2021-11-23,59.3137
2021-11-24,59.7869
2021-11-25,59.7869
2021-11-26,54.3212
2021-11-27,54.3212
2021-11-28,54.3212
2021-11-29,55.9565
2021-11-30,50.16
2021-12-01,47.5107
2021-12-02,53.1133
2021-12-03,47.6996
2021-12-04,47.6996
2021-12-05,47.6996
2021-12-06,50.3195
2021-12-07,53.3256
2021-12-08,52.4042
2021-12-09,51.8192
2021-12-10,51.5124
2021-12-11,51.5124
2021-12-12,51.5124
2021-12-13,47.6504
2021-12-14,47.8048
2021-12-15,50.9694
2021-12-16,48.6664
2021-12-17,45.2007
2021-12-18,45.2007
2021-12-19,45.2007
2021-12-20,43.352
2021-12-21,47.1265
2021-12-22,48.089
