2020-01-01,2020-04-01,2020-07-01,2020-10-01,2021-01-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01
MNCN IJ,MNCN IJ,MNCN IJ,ROG SW,LIF CN,MNCN IJ,,ROG SW,ROG SW,AZM IM,CPFE3 BZ,ROG SW,ADRO IJ,,DMAS IJ,ADM LN
MNDI LN,MNDI LN,MNDI LN,SAFE LN,LINK IJ,MNDI LN,,SAFE LN,SAFE LN,BA/ LN,CSTRL IN,SAFE LN,AEONTS TB,,ECLX IN,ADRO IJ
MONY LN,MONY LN,MONY LN,SAN FP,LIVEPOL1 MM,MONY LN,,SAN FP,SAN FP,BAJAJCON IN,CTC/A CN,SAN FP,AIR FP,,ECOPETL CB,AH TB
NESZ MK,NESZ MK,NESZ MK,SANB11 BZ,LPPF IJ,NESZ MK,,SANB11 BZ,SANB11 BZ,BB FP,DHL GR,SAVE SS,AKE FP,,EGIE3 BZ,AKE FP
NETB SS,NETB SS,NETB SS,SCAB SS,LTTS IN,NETB SS,,SCAB SS,SCAB SS,BBAS3 BZ,DLG IM,SBBB SS,AKRBP NO,,EMG LN,AKRA IJ
NMDC IN,NMDC IN,NMDC IN,SCT LN,MBB VN,NMDC IN,,SCT LN,SCT LN,BBOX LN,DLO US,SCT LN,ALLE US,,ENTRA NO,AKRBP NO
NOVOB DC,NOVOB DC,NOVOB DC,SKAB SS,MER PM,NOVOB DC,,SKAB SS,SKAB SS,BBSE3 BZ,DOKA SW,SGRO LN,ALPEKA MM,,EVO SS,ALD AU
NPI CN,NPI CN,NPI CN,SUNTV IN,MFG AU,NPI CN,,SUNTV IN,SUNTV IN,BCH TB,DOL CN,SSE LN,ALPM IN,,EZJ LN,ALLE US
NTB BH,NTB BH,NTB BH,TCB VN,MGFL IN,NTB BH,,TCB VN,TCB VN,BCP TB,ELUXB SS,STGT TB,AMXB MM,,FABG SS,ALPEKA MM
NXT LN,NXT LN,NXT LN,TFII CN,MNCN IJ,NXT LN,,TFII CN,TFII CN,BEKB BB,EPR NO,SUNTV IN,ANDINAA CI,,FRVIA FP,ANGELONE IN
OMAB MM,OMAB MM,OMAB MM,TISCO TB,MNDI LN,OMAB MM,,TISCO TB,TISCO TB,BESI NA,EQB CN,TAEE11 BZ,ANDR AV,,GAIL IN,APAM NA
OMV AV,OMV AV,OMV AV,TRMDA DC,MONY LN,OMV AV,,TRMDA DC,TRMDA DC,BGN IM,EQTL3 BZ,TCS LI,APAM NA,,GAPB MM,ARTO IN
ONGC IN,ONGC IN,ONGC IN,TTCH IN,NESTE FH,ONGC IN,,TTCH IN,TTCH IN,BIMAS TI,ERAA IJ,TEL NO,APL PA,,GETD IN,ASELS TI
OPM FP,OPM FP,OPM FP,ULVR LN,NMDC IN,OPM FP,,ULVR LN,ULVR LN,BME LN,ERO CN,TEL PM,ARBP IN,,GFC FP,ASII IJ
ORSTED DC,ORSTED DC,ORSTED DC,UNAT NA,NOVOB DC,ORSTED DC,,UNAT NA,UNAT NA,BMW GR,EVTC US,TEL2B SS,ASELS TI,,GFNORTEO MM,ATE FP
OSB LN,OSB LN,OSB LN,UNTR IJ,NPI CN,OSB LN,,UNTR IJ,UNTR IJ,BNTX US,FDJ FP,TOKMAN FH,ASHM LN,,GGAL AR,ATS AV
OTP HB,OTP HB,OTP HB,UNVR IJ,NXT LN,OTP HB,,UNVR IJ,UNVR IJ,BPCL IN,FIBRAPL MM,TOP DC,ASRNL NA,,GGRM IJ,AUTO LN
PAGE LN,PAGE LN,PAGE LN,VHM VN,OINL IN,PAGE LN,,VHM VN,VHM VN,BPOP US,FNTN GR,TRI CN,ATRLJB SS,,GJF NO,AXFO SS
PAMP AR,PAMP AR,PAMP AR,VPK NA,OMAB MM,PAMP AR,,VPK NA,VPK NA,BRBY LN,FXPO LN,TRPL4 BZ,AXS US,,GLO PM,BAB LN
PEABB SS,PEABB SS,PEABB SS,VRLA FP,OSB LN,PEABB SS,,VRLA FP,VRLA FP,BSAN CI,GGBR4 BZ,TSCO LN,AZA SS,,GNP IN,BAFL PA
PFC LN,PFC LN,PFC LN,WAF GR,OTP HB,PFC LN,,WAF GR,WAF GR,BSL AU,GMEXICOB MM,TX US,AZM IM,,GOLI IN,BALDB SS
PGSUS TI,PGSUS TI,PGSUS TI,WIKA IJ,PAGE LN,PGSUS TI,,WIKA IJ,WIKA IJ,BWLPG NO,GRAN IN,UBL PA,BA/ LN,,GOOS CN,BAP US
PNDORA DC,PNDORA DC,PNDORA DC,WMH LN,PAMP AR,PNDORA DC,,WMH LN,WMH LN,BYG LN,GSK LN,UNVR IJ,BAFL PA,,GSK LN,BARC LN
POONAWAL IN,POONAWAL IN,POONAWAL IN,WTON IJ,PNDORA DC,POONAWAL IN,,WTON IJ,WTON IJ,CAB MK,GSY CN,VALE3 BZ,BAJAJCON IN,,GTCAP PM,BBAJIOO MM
PSN LN,PSN LN,PSN LN,,PSN LN,PSN LN,,,,CAST SS,HCG CN,VBBR3 BZ,BALDB SS,,GTT FP,BBAS3 BZ
PTBA IJ,PTBA IJ,PTBA IJ,,PTBA IJ,PTBA IJ,,,,CATE SS,HEAL IJ,VEDL IN,BARC LN,,HAS LN,BBSE3 BZ
PWON IJ,PWON IJ,PWON IJ,,QBR/B CN,PWON IJ,,,,CCOLA TI,HEI GR,VEI NO,BB FP,,HCLT IN,BBTN IJ
RA MM,RA MM,RA MM,,QSR CN,RA MM,,,,CDR PW,HEIM MK,VGP BB,BBAS3 BZ,,HEIM MK,BBY LN
RACE US,RACE US,RACE US,,RA MM,RACE US,,,,CESP6 BZ,HFG GR,VHM VN,BBOX LN,,HEXW IN,BCOLO CB
RDW LN,RDW LN,RDW LN,,RALS IJ,RDW LN,,,,CFP CN,HL/ LN,VPLAYB SS,BBSE3 BZ,,HL/ LN,BCP TB
REL LN,REL LN,REL LN,,RDW LN,REL LN,,,,CIE SM,HLAG GR,VRLA FP,BCH TB,,HMSP IJ,BELCO NO
RHIM LN,RHIM LN,RHIM LN,,REAL CN,RHIM LN,,,,CIX CN,HMSP IJ,WFG CN,BCP TB,,HNDL IN,BHP AU
RIO AU,RIO AU,RIO AU,,REL LN,RIO AU,,,,CLGT IN,HPCL IN,,BEKB BB,,HPCL IN,BILL SS
RIO LN,RIO LN,RIO LN,,RMV LN,RIO LN,,,,CNA LN,HWDN LN,,BESI NA,,HWDN LN,BIMAS TI
RMV LN,RMV LN,RMV LN,,ROG SW,RMV LN,,,,COAL IN,ICG LN,,BETSB SS,,IAG LN,BIMBOA MM
ROG SW,ROG SW,ROG SW,,SAFE LN,ROG SW,,,,COPEC CI,IDS LN,,BGN IM,,IDS LN,BKW AU
RTL LX,RTL LX,RTL LX,,SANB11 BZ,RTL LX,,,,CP CN,IFS US,,BHP AU,,IGM CN,BME LN
SALM NO,SALM NO,SALM NO,,SCAB SS,SALM NO,,,,CPFE3 BZ,IGG LN,,BIMAS TI,,ILD FP,BMO CN
SALMOCAM CI,SALMOCAM CI,SALMOCAM CI,,SCT LN,SALMOCAM CI,,,,CSNA3 BZ,III LN,,BKW AU,,IMA IM,BMW GR
SCT LN,SCT LN,SCT LN,,SMWH LN,SCT LN,,,,CSTRL IN,IMB LN,,BME LN,,IMI LN,BNTX US
SGSN SW,SGSN SW,SGSN SW,,SOTL IN,SGSN SW,,,,CTC/A CN,INDF IJ,,BMW GR,,INDUSTOW IN,BOL SS
SIM DC,SIM DC,SIM DC,,SUNTV IN,SIM DC,,,,DHL GR,INDU PA,,BNTX US,,INTUCH TB,BPCL IN
SMWH LN,SMWH LN,SMWH LN,,SWON SW,SMWH LN,,,,DLG IM,INDUSTOW IN,,BPCL IN,,IOCL IN,BPOP US
SOTL IN,SOTL IN,SOTL IN,,TALK LN,SOTL IN,,,,DNLM LN,IOCL IN,,BPOP US,,IRB IN,BSAN CI
SRBNK NO,SRBNK NO,SRBNK NO,,TCB VN,SRBNK NO,,,,DOKA SW,IPN FP,,BRBY LN,,ITMG IJ,BSL AU
SSE LN,SSE LN,SSE LN,,TEG GR,SSE LN,,,,DOL CN,ISAT IJ,,BSAN CI,,ITUB4 BZ,BSMXB MM
SUNTV IN,SUNTV IN,SUNTV IN,,TEN PW,SUNTV IN,,,,DWNI GR,ISEC IN,,BSL AU,,ITV LN,BSR VN
SWEDA SS,SWEDA SS,SWEDA SS,,TFII CN,SWEDA SS,,,,ECOPETL CB,ITP CN,,BWLPG NO,,JBH AU,BTPS IJ
TAEE11 BZ,TAEE11 BZ,TAEE11 BZ,,TISCO TB,TAEE11 BZ,,,,EGIE3 BZ,ITUB4 BZ,,BYG LN,,JBSS3 BZ,BVIC LN
TATA IN,TATA IN,TATA IN,,TTCH IN,TATA IN,,,,ELK NO,ITV LN,,CAB MK,,JCI US,BWLPG NO
TCB VN,TCB VN,TCB VN,,TW/ LN,TCB VN,,,,ELUXB SS,JBH AU,,CAST SS,,JPFA IJ,BYG LN
TGSU2 AR,TGSU2 AR,TGSU2 AR,,UBL PA,TGSU2 AR,,,,ENBR3 BZ,JM SS,,CESC IN,,JSTL IN,CAB MK
TRI FP,TRI FP,TRI FP,,ULVR LN,TRI FP,,,,ENTRA NO,JPFA IJ,,CFP CN,,JUBLPHAR IN,CAR AU
TRPL4 BZ,TRPL4 BZ,TRPL4 BZ,,UNAT NA,TRPL4 BZ,,,,EPCL PA,KSCL IN,,CGCBV FH,,KAZ LN,CCA CN
TW/ LN,TW/ LN,TW/ LN,,UNTR IJ,TW/ LN,,,,EPR NO,LBTYA US,,CHCC PA,,KBANK TB,CCOLA TI
TX US,TX US,TX US,,UNVR IJ,TX US,,,,EQB CN,LEG GR,,CHILE CI,,KBC BB,CESC IN
TYRES FH,TYRES FH,TYRES FH,,VHM VN,TYRES FH,,,,EQTL3 BZ,LGEN LN,,CIE SM,,KECI IN,CEZ CP
UG FP,UG FP,UG FP,,VOLVB SS,UG FP,,,,ERAA IJ,LIF CN,,CIM AU,,KIMBERA MM,CHILE CI
ULVR LN,ULVR LN,ULVR LN,,VPB VN,ULVR LN,,,,EREGL TI,LLOY LN,,CJT CN,,KKP TB,CIE SM
UNAT NA,UNAT NA,UNAT NA,,VPK NA,UNAT NA,,,,EVTC US,LMP LN,,CLGT IN,,KL CN,CJT CN
UNTR IJ,UNTR IJ,UNTR IJ,,VVO LN,UNTR IJ,,,,FDJ FP,LUCK PA,,CNA LN,,KLED SS,CLGT IN
UNVR IJ,UNVR IJ,UNVR IJ,,WIHL SS,UNVR IJ,,,,FGEN PM,MAERSKB DC,,CNE LN,,KSCL IN,CMPC CI
VBBR3 BZ,VBBR3 BZ,VBBR3 BZ,,WIKA IJ,VBBR3 BZ,,,,FIBRAPL MM,MARI PA,,COAL IN,,KTC TB,CNQ CN
VEI NO,VEI NO,VEI NO,,WTON IJ,VEI NO,,,,FN CN,MBG GR,,COLOB DC,,LEG GR,COAL IN
VHM VN,VHM VN,VHM VN,,Z IN,VHM VN,,,,FNTN GR,MCB PA,,COPEC CI,,LGEN LN,COFB BB
VOLVB SS,VOLVB SS,VOLVB SS,,,VOLVB SS,,,,FROTO TI,MFC CN,,CPFE3 BZ,,LIVEPOL1 MM,COLOB DC
VOW GR,VOW GR,VOW GR,,,VOW GR,,,,FXPO LN,MG CN,,CPRI US,,LPPF IJ,COM7 TB
WAF GR,WAF GR,WAF GR,,,WAF GR,,,,GBF GR,MGFL IN,,CPS PW,,LTF IN,COPEC CI
WDP BB,WDP BB,WDP BB,,,WDP BB,,,,GGBR4 BZ,MIN AU,,CSAN3 BZ,,LTIM IN,CPA US
WIKA IJ,WIKA IJ,WIKA IJ,,,WIKA IJ,,,,GMEXICOB MM,MRFG3 BZ,,CSNA3 BZ,,LTTS IN,CPFE3 BZ
WIZZ LN,WIZZ LN,WIZZ LN,,,WIZZ LN,,,,GOGL NO,MT NA,,CSTRL IN,,MCB PA,CPRI US
WTB LN,WTB LN,WTB LN,,,WTB LN,,,,GRAN IN,MUTH IN,,CTC/A CN,,MER PM,CRDA LN
WTON IJ,WTON IJ,WTON IJ,,,WTON IJ,,,,GSY CN,NCCB SS,,DHL GR,,MFG AU,CSBBANK IN
ZENT IN,ZENT IN,ZENT IN,,,ZENT IN,,,,GTT FP,NDA GR,,DLG IM,,MG CN,CTC/A CN
