,USDKRW BGN Curncy
,PX_LAST
2012-01-08,1162.75
2012-01-09,1163.65
2012-01-10,1156.69
2012-01-11,1158.78
2012-01-12,1158.2
2012-01-13,1148.4
2012-01-14,1148.4
2012-01-15,1148.4
2012-01-16,1154.85
2012-01-17,1145.4
2012-01-18,1141.75
2012-01-19,1137.38
2012-01-20,1134.21
2012-01-21,1134.21
2012-01-22,1134.21
2012-01-23,1130.75
2012-01-24,1128.07
2012-01-25,1125.95
2012-01-26,1121.82
2012-01-27,1123.2
2012-01-28,1123.2
2012-01-29,1123.2
2012-01-30,1127.25
2012-01-31,1123.26
2012-02-01,1126.35
2012-02-02,1118.35
2012-02-03,1118.07
2012-02-04,1118.07
2012-02-05,1118.07
2012-02-06,1120.78
2012-02-07,1118.53
2012-02-08,1115.7
2012-02-09,1115.73
2012-02-10,1123.73
2012-02-11,1123.73
2012-02-12,1123.73
2012-02-13,1121.88
2012-02-14,1123.78
2012-02-15,1121.4
2012-02-16,1131.9
2012-02-17,1125.5
2012-02-18,1125.5
2012-02-19,1125.5
2012-02-20,1123.4
2012-02-21,1122.7
2012-02-22,1126.0
2012-02-23,1129.0
2012-02-24,1125.8
2012-02-25,1125.8
2012-02-26,1125.8
2012-02-27,1129.24
2012-02-28,1124.43
2012-02-29,1118.96
2012-03-01,1116.53
2012-03-02,1115.61
2012-03-03,1115.61
2012-03-04,1115.61
2012-03-05,1118.63
2012-03-06,1122.64
2012-03-07,1124.8
2012-03-08,1118.28
2012-03-09,1117.9
2012-03-10,1117.9
2012-03-11,1117.9
2012-03-12,1123.9
2012-03-13,1121.55
2012-03-14,1126.25
2012-03-15,1127.85
2012-03-16,1125.78
2012-03-17,1125.78
2012-03-18,1125.78
2012-03-19,1122.26
2012-03-20,1124.9
2012-03-21,1129.5
2012-03-22,1130.95
2012-03-23,1135.35
2012-03-24,1135.35
2012-03-25,1135.35
2012-03-26,1141.63
2012-03-27,1134.2
2012-03-28,1135.4
2012-03-29,1136.9
2012-03-30,1133.1
2012-03-31,1133.1
2012-04-01,1133.1
2012-04-02,1127.88
2012-04-03,1121.85
2012-04-04,1129.41
2012-04-05,1127.26
2012-04-06,1131.8
2012-04-07,1131.8
2012-04-08,1131.8
2012-04-09,1138.32
2012-04-10,1139.7
2012-04-11,1144.5
2012-04-12,1140.45
2012-04-13,1135.0
2012-04-14,1135.0
2012-04-15,1135.0
2012-04-16,1138.63
2012-04-17,1140.56
2012-04-18,1137.2
2012-04-19,1138.05
2012-04-20,1139.55
2012-04-21,1139.55
2012-04-22,1139.55
2012-04-23,1139.5
2012-04-24,1140.8
2012-04-25,1141.35
2012-04-26,1136.32
2012-04-27,1135.1
2012-04-28,1135.1
2012-04-29,1135.1
2012-04-30,1130.13
2012-05-01,1131.8
2012-05-02,1127.45
